Date,Open,High,Low,Close,Volume
2023-01-13,83.69,85.33,82.87,84.89,399800
2023-01-17,84.5,85.74,84.19,85.66,440000
2023-01-18,86.44,87.81,85.67,85.89,439000
2023-01-19,85.28,85.71,83.32,85.11,468700
2023-01-20,86.1,86.3,84.78,86.29,283600
2023-01-23,87.11,90.67,86.88,89.29,479300
2023-01-24,88.78,90.27,88.48,89.07,445800
2023-01-25,88.09,89.25,87.21,88.84,363500
2023-01-26,89.22,90.21,88.54,90.08,353900
2023-01-27,88.9,90.21,88.83,89.7,329900
2023-01-30,88.42,89.37,87.96,88.84,438900
2023-01-31,88.25,90.4,88.25,90.39,472600
2023-02-01,90.61,94.06,90.42,93.24,604800
2023-02-02,92.67,95.51,91.24,94.89,1283700
2023-02-03,95.08,104.97,93.57,102.38,2563700
2023-02-06,100.64,104.35,99.97,102.37,863100
2023-02-07,102.31,107.31,101.62,106.65,1158200
2023-02-08,105.83,107.63,104.73,105.11,566300
2023-02-09,106.15,107.04,104.31,104.98,468000
2023-02-10,104.23,104.97,102.34,104.5,648600
2023-02-13,104.73,107.11,103.99,106.14,565000
2023-02-14,106.26,108.42,105.61,105.85,776100
2023-02-15,105.05,106.98,104.33,106.01,520400
2023-02-16,104.81,106.93,104.69,104.77,419900
2023-02-17,104.62,104.62,102.16,103.53,529100
2023-02-21,102.13,103.81,101.56,101.66,422900
2023-02-22,101.85,103.42,101.6,101.79,391600
2023-02-23,104.0,104.24,101.72,102.77,283900
2023-02-24,101.49,102.85,101.48,102.08,373600
2023-02-27,103.16,103.6,102.04,102.19,320200
2023-02-28,101.67,104.04,101.36,102.75,604200
2023-03-01,103.37,104.61,102.48,103.21,453500
2023-03-02,102.35,104.92,101.64,104.34,366500
2023-03-03,104.16,104.63,102.94,103.74,604000
2023-03-06,104.37,105.62,102.39,102.79,424100
2023-03-07,103.19,103.72,102.54,103.23,304800
2023-03-08,103.73,104.67,103.4,104.19,282700
2023-03-09,104.02,105.77,101.73,101.86,511200
2023-03-10,102.29,102.5,99.38,100.79,416600
2023-03-13,99.47,101.45,99.04,99.92,366300
2023-03-14,101.53,102.9,100.92,102.52,407800
2023-03-15,101.11,101.89,99.12,101.18,418400
2023-03-16,99.94,103.72,99.25,103.0,371800
2023-03-17,103.67,104.41,101.91,102.75,1231200
2023-03-20,103.2,104.8,102.92,104.53,323800
2023-03-21,105.38,106.0,102.94,104.48,456800
2023-03-22,104.23,106.82,103.57,103.58,474300
2023-03-23,104.75,106.86,104.37,105.82,444400
2023-03-24,104.88,105.73,103.44,105.59,585500
2023-03-27,105.91,106.45,104.35,106.2,441700
2023-03-28,106.2,106.39,101.98,104.39,583000
2023-03-29,105.81,109.35,105.76,108.59,600300
2023-03-30,109.46,111.15,108.86,109.56,582100
2023-03-31,108.6,109.56,108.04,109.38,496400
2023-04-03,109.16,109.75,106.84,107.62,465200
2023-04-04,107.74,107.74,104.75,105.6,414000
2023-04-05,104.86,104.97,101.71,102.65,824300
2023-04-06,102.0,102.87,101.39,102.74,702900
2023-04-10,101.78,103.81,101.78,103.3,311000
2023-04-11,103.65,103.9,101.42,101.82,433800
2023-04-12,88.23,91.73,87.9,89.28,3291300
2023-04-13,89.69,91.24,89.56,90.9,963700
2023-04-14,90.77,92.18,88.76,89.17,986400
2023-04-17,89.03,91.15,87.97,89.4,1098500
2023-04-18,90.13,90.44,88.0,88.83,463000
2023-04-19,88.24,89.12,87.65,89.07,344400
2023-04-20,88.38,89.63,88.23,88.75,474600
2023-04-21,88.81,88.81,87.55,88.0,407800
2023-04-24,87.5,87.83,86.11,86.71,612300
2023-04-25,86.13,86.2,83.77,84.07,617700
2023-04-26,84.4,85.34,83.84,83.98,486500
2023-04-27,83.25,84.86,81.94,84.77,565300
2023-04-28,85.35,86.0,84.21,85.79,549700
2023-05-01,85.79,86.64,84.71,85.05,471900
2023-05-02,85.33,85.97,84.1,85.38,444200
2023-05-03,85.08,86.23,84.6,84.85,484500
2023-05-04,83.94,84.34,81.87,82.33,1147200
2023-05-05,78.9,80.51,76.7,79.46,1760800
2023-05-08,79.21,79.99,77.31,78.03,635200
2023-05-09,76.92,77.41,75.85,77.12,679400
2023-05-10,78.06,79.29,77.34,78.93,502100
2023-05-11,78.69,79.19,77.17,78.28,436800
2023-05-12,78.79,79.18,77.72,78.52,357900
2023-05-15,78.49,80.08,77.86,80.06,370200
2023-05-16,79.61,80.08,77.48,77.56,439200
