Date,Open,High,Low,Close,Volume
2023-01-13,62.37,63.12,61.79,62.34,43600
2023-01-17,62.74,63.58,61.7,63.14,35100
2023-01-18,63.39,63.82,62.47,62.93,43200
2023-01-19,62.51,63.92,62.28,62.85,61200
2023-01-20,63.16,64.66,61.71,64.51,96300
2023-01-23,64.05,65.41,63.81,64.2,40100
2023-01-24,62.78,64.81,62.78,64.49,48800
2023-01-25,64.53,64.85,63.9,64.62,27500
2023-01-26,64.78,65.77,64.37,65.41,38500
2023-01-27,65.53,66.85,65.53,66.28,35100
2023-01-30,66.0,66.5,65.27,65.8,58300
2023-01-31,65.68,68.05,65.68,67.62,111100
2023-02-01,67.78,69.84,67.14,69.21,87300
2023-02-02,69.58,71.97,69.58,71.07,63900
2023-02-03,70.78,70.87,69.06,70.08,84400
2023-02-06,69.67,70.81,68.67,69.45,44900
2023-02-07,67.53,70.14,67.53,69.56,85800
2023-02-08,68.85,69.97,68.71,69.41,30700
2023-02-09,69.4,69.5,68.4,68.79,69000
2023-02-10,68.77,69.09,67.99,68.72,47700
2023-02-13,68.84,69.44,68.16,68.25,107500
2023-02-14,67.88,68.88,67.52,67.56,59200
2023-02-15,66.99,67.68,65.29,66.07,107400
2023-02-16,65.78,66.22,64.37,65.29,78500
2023-02-17,65.83,65.83,64.21,64.73,142700
2023-02-21,63.85,64.33,62.88,63.52,66600
2023-02-22,62.12,64.15,62.12,63.3,121200
2023-02-23,63.62,63.89,62.55,63.6,83400
2023-02-24,62.82,63.73,62.62,62.77,92900
2023-02-27,63.4,64.21,62.62,63.0,80900
2023-02-28,62.86,63.93,62.47,62.61,150800
2023-03-01,62.1,62.47,60.74,61.84,82100
2023-03-02,61.57,62.69,61.19,61.74,59900
2023-03-03,62.13,63.37,61.6,63.0,103500
2023-03-06,63.17,63.53,62.36,62.66,90600
2023-03-07,62.92,63.03,61.08,61.36,65900
2023-03-08,61.61,62.59,61.52,62.11,79400
2023-03-09,62.33,62.33,60.73,60.75,74600
2023-03-10,60.48,60.49,58.03,58.2,68900
2023-03-13,57.47,59.21,57.47,58.06,80900
2023-03-14,59.16,59.57,58.08,58.67,61300
2023-03-15,57.98,58.42,56.97,57.83,137000
2023-03-16,57.16,57.62,55.75,56.48,84600
2023-03-17,56.31,56.31,52.94,53.5,262500
2023-03-20,53.66,54.47,53.18,53.27,126000
2023-03-21,54.12,54.22,51.78,52.33,116000
2023-03-22,52.23,53.03,51.26,51.59,161100
2023-03-23,51.79,52.84,51.46,51.85,111800
2023-03-24,51.6,52.78,51.42,52.66,104700
2023-03-27,53.18,53.48,52.1,52.21,113100
2023-03-28,51.94,52.58,51.35,51.39,83800
2023-03-29,51.67,53.07,51.67,52.82,91600
2023-03-30,52.55,53.22,52.45,53.0,75400
2023-03-31,53.45,54.66,53.37,54.63,162000
2023-04-03,54.77,55.99,54.64,54.85,118700
2023-04-04,54.88,55.08,54.53,54.91,79800
2023-04-05,55.0,55.43,54.45,54.92,104400
2023-04-06,55.3,55.68,55.14,55.44,109800
2023-04-10,55.52,55.71,54.84,55.33,90900
2023-04-11,55.71,55.71,54.76,54.8,63600
2023-04-12,55.33,55.4,54.7,54.82,81700
2023-04-13,54.87,55.35,54.59,55.16,89700
2023-04-14,55.55,55.59,54.66,55.18,78300
2023-04-17,55.3,56.23,55.29,56.2,84700
2023-04-18,56.28,56.28,55.22,55.61,71400
2023-04-19,55.29,56.49,55.17,56.45,41500
2023-04-20,56.41,57.18,55.08,55.56,42100
2023-04-21,55.86,56.04,55.13,55.17,35700
2023-04-24,55.28,55.4,54.78,54.96,32100
2023-04-25,54.54,55.85,54.54,54.88,57300
2023-04-26,54.4,54.95,53.88,53.98,73700
2023-04-27,54.36,55.4,54.36,55.12,40400
2023-04-28,55.45,56.71,55.44,56.38,98000
2023-05-01,55.98,57.33,55.98,56.87,53100
2023-05-02,64.8,65.05,55.99,56.67,170200
2023-05-03,56.82,58.23,56.48,56.9,63100
2023-05-04,56.44,57.81,56.35,57.77,86100
2023-05-05,58.27,59.58,58.27,59.35,47500
2023-05-08,59.34,60.71,58.27,59.47,77900
2023-05-09,59.31,60.97,58.5,60.18,66500
2023-05-10,60.95,61.18,59.96,60.79,46600
2023-05-11,60.23,60.23,59.2,60.15,43800
2023-05-12,60.07,60.07,59.2,59.6,43100
2023-05-15,59.64,59.78,58.95,59.29,48600
2023-05-16,58.78,58.83,57.84,58.47,62200
2023-05-17,58.91,59.37,57.71,59.07,56500
2023-05-18,58.6,59.85,58.51,59.39,76900
2023-05-19,59.95,60.66,59.19,59.27,81200
2023-05-22,59.5,60.38,58.77,59.99,81700
2023-05-23,60.17,61.25,60.1,60.34,53200
2023-05-24,56.57,59.17,56.57,58.21,59900
2023-05-25,58.34,58.91,57.56,57.8,84900
2023-05-26,58.0,59.16,57.51,58.77,52000
2023-05-30,59.18,59.86,58.97,59.06,43000
2023-05-31,59.07,59.72,58.8,58.81,199600
2023-06-01,58.8,59.6,58.23,58.84,86700
2023-06-02,59.61,62.12,58.83,61.94,81400
2023-06-05,61.47,61.93,60.76,60.93,62100
2023-06-06,60.98,63.07,60.79,62.68,62900
2023-06-07,63.27,64.71,63.24,64.18,60000
2023-06-08,64.0,64.0,61.71,62.47,174100
2023-06-09,62.44,63.36,61.74,62.6,58200
2023-06-12,62.59,62.76,61.81,61.9,57900
2023-06-13,62.41,62.67,61.3,62.24,97800
2023-06-14,62.68,63.05,61.51,62.22,64400
2023-06-15,62.34,62.43,61.36,62.34,50100
2023-06-16,62.72,62.93,62.02,62.68,198800
2023-06-20,62.54,62.54,61.22,61.7,63400
2023-06-21,61.64,61.64,60.74,61.1,58400
2023-06-22,61.18,61.18,58.98,59.67,82000
2023-06-23,59.34,59.39,57.6,58.05,121200
2023-06-26,58.05,59.97,58.05,59.42,47100
2023-06-27,59.49,60.63,59.16,60.37,36600
2023-06-28,60.46,60.54,59.5,60.07,79400
2023-06-29,59.51,61.12,59.51,61.05,44300
2023-06-30,61.72,62.8,60.0,61.36,118300
2023-07-03,61.38,62.31,60.99,62.27,29500
2023-07-05,62.13,62.78,61.16,62.15,68900
2023-07-06,61.58,62.62,60.43,62.19,89500
2023-07-07,62.32,63.15,60.09,62.44,66200
2023-07-10,62.22,63.63,61.6,63.03,59300
2023-07-11,63.11,63.9,62.2,63.88,34700
2023-07-12,64.0,65.06,63.99,64.01,66300
2023-07-13,64.19,64.93,63.84,64.7,60800
