Date,Open,High,Low,Close,Volume
2023-01-13,125.65,131.32,125.65,131.08,74300
2023-01-17,131.18,131.35,124.89,124.96,84300
2023-01-18,124.92,125.35,120.22,120.22,67100
2023-01-19,120.33,121.54,118.92,121.01,87000
2023-01-20,122.22,122.95,119.65,122.36,90100
2023-01-23,122.05,128.98,121.27,128.73,109600
2023-01-24,128.99,130.38,127.3,130.1,93800
2023-01-25,129.04,129.57,126.38,129.27,69100
2023-01-26,130.19,132.63,129.21,132.57,67400
2023-01-27,131.9,132.41,127.51,129.08,88200
2023-01-30,128.18,131.06,128.04,129.6,77700
2023-01-31,130.11,135.8,129.7,135.21,68300
2023-02-01,135.0,137.77,132.945,136.76,58900
2023-02-02,136.8,148.11,135.77,146.96,119500
2023-02-03,145.3,148.91,140.57,141.28,127800
2023-02-06,141.49,145.35,141.27,144.98,71600
2023-02-07,144.5,144.8,140.25,142.46,110800
2023-02-08,141.05,142.25,139.88,140.5,65300
2023-02-09,140.3,142.76,138.33,138.47,61000
2023-02-10,138.45,141.0,137.4,139.56,64000
2023-02-13,139.44,141.72,138.8,140.36,68000
2023-02-14,139.26,141.0,138.01,139.44,65600
2023-02-15,138.66,143.31,138.0,142.16,73500
2023-02-16,140.5,143.343,139.53,139.98,73800
2023-02-17,140.94,141.725,138.7,141.12,50800
2023-02-21,139.5,141.31,138.06,140.06,102300
2023-02-22,140.06,141.85,139.1,141.03,81400
2023-02-23,141.89,143.525,139.14,142.2,66300
2023-02-24,140.52,143.6,139.6,143.33,58600
2023-02-27,144.02,146.59,144.02,144.51,141800
2023-02-28,144.16,147.77,141.56,141.56,172800
2023-03-01,141.78,143.375,140.75,142.05,64500
2023-03-02,141.24,143.41,140.148,142.09,80900
2023-03-03,143.49,144.375,141.81,143.48,80400
2023-03-06,144.09,145.355,140.99,141.63,87700
2023-03-07,141.86,143.68,141.74,142.72,71900
2023-03-08,142.2,143.59,141.46,143.0,69900
2023-03-09,143.47,143.8,140.805,140.81,70500
2023-03-10,139.28,140.48,135.89,136.67,80500
2023-03-13,134.21,137.48,133.65,134.35,80400
2023-03-14,137.38,139.19,134.8,136.27,69300
2023-03-15,132.92,134.23,130.06,132.03,98900
2023-03-16,130.67,135.48,130.18,135.19,68600
2023-03-17,134.48,134.56,131.01,131.15,110500
2023-03-20,132.41,136.31,130.93,134.97,53700
2023-03-21,137.35,138.34,135.52,138.15,66400
2023-03-22,137.67,139.35,135.98,136.39,58200
2023-03-23,136.84,139.14,134.74,136.03,55100
2023-03-24,134.82,136.51,133.35,136.23,58100
2023-03-27,137.8,138.13,136.18,136.79,80500
2023-03-28,136.06,138.3,135.55,136.63,65800
2023-03-29,137.62,138.01,135.8,136.12,63200
2023-03-30,136.96,137.91,136.16,136.44,53500
2023-03-31,137.48,138.99,136.5,138.93,73400
2023-04-03,139.04,139.93,136.87,139.52,60900
2023-04-04,138.35,140.62,133.94,134.68,53400
2023-04-05,134.13,134.8,131.09,132.6,51300
2023-04-06,132.91,134.14,132.25,133.78,33200
2023-04-10,132.83,138.778,132.83,135.03,64800
2023-04-11,136.19,137.828,135.1,135.77,43000
2023-04-12,135.95,137.85,135.95,136.62,22200
2023-04-13,136.75,138.03,135.7,137.62,48500
2023-04-14,138.56,141.53,138.56,140.19,53100
2023-04-17,138.8,141.94,138.8,141.65,33300
2023-04-18,142.44,143.0,135.82,137.49,49600
2023-04-19,136.42,139.58,136.356,138.63,55700
2023-04-20,137.15,139.37,137.02,139.15,71700
2023-04-21,139.06,139.17,136.855,138.21,54500
2023-04-24,139.07,140.17,136.71,139.18,42000
2023-04-25,138.13,139.13,136.745,137.14,51500
2023-04-26,136.07,137.2,132.62,133.18,40500
2023-04-27,132.76,135.82,132.76,134.74,28900
2023-04-28,136.57,136.57,134.41,134.67,29000
2023-05-01,134.21,138.54,134.21,136.88,22900
2023-05-02,135.65,136.26,133.76,134.21,53200
2023-05-03,135.1,137.975,135.1,135.82,32500
2023-05-04,134.53,134.7,132.06,133.04,30400
2023-05-05,135.22,136.61,133.04,135.64,72700
2023-05-08,136.62,136.95,134.33,134.81,34300
2023-05-09,134.87,135.04,132.66,134.08,22200
2023-05-10,135.87,136.53,133.49,136.12,30900
2023-05-11,134.59,134.738,132.79,134.3,34600
2023-05-12,135.32,136.19,133.31,135.26,23000
2023-05-15,135.13,136.33,134.37,134.77,25300
2023-05-16,134.68,134.68,133.06,133.55,30700
2023-05-17,134.988,137.3,134.988,136.49,35200
2023-05-18,136.49,138.23,135.86,137.67,33900
2023-05-19,139.58,139.77,137.57,138.74,37700
2023-05-22,138.7,140.49,137.72,139.29,37600
2023-05-23,137.54,137.7,134.1,134.36,54400
2023-05-24,134.16,135.56,132.78,133.51,41600
2023-05-25,135.7,143.09,135.7,140.45,59800
2023-05-26,141.73,144.75,140.62,144.11,38000
2023-05-30,143.51,146.33,143.43,143.85,42600
2023-05-31,144.07,145.41,140.94,141.72,77600
2023-06-01,141.33,145.32,140.09,144.63,40500
2023-06-02,146.28,154.57,146.28,153.53,66700
2023-06-05,158.04,164.43,153.9,155.46,56800
2023-06-06,154.65,159.495,154.65,156.59,68000
2023-06-07,157.97,161.16,156.875,158.46,75300
2023-06-08,157.1,160.61,157.1,157.34,29500
2023-06-09,156.58,157.96,155.57,156.57,43300
2023-06-12,157.49,160.12,156.74,157.14,54800
2023-06-13,157.7,161.03,156.14,160.2,44100
