Date,Open,High,Low,Close,Volume
2023-01-13,29.01,29.73,28.6,29.62,241200
2023-01-17,29.58,29.61,29.11,29.46,243600
2023-01-18,29.28,29.73,28.66,28.72,251400
2023-01-19,28.39,28.97,28.11,28.9,234200
2023-01-20,29.32,31.34,28.86,31.12,591200
2023-01-23,31.22,32.46,31.03,32.33,509200
2023-01-24,32.0,32.33,31.29,31.58,346100
2023-01-25,31.3,31.94,30.95,31.84,731300
2023-01-26,31.05,31.05,25.13,26.76,2743300
2023-01-27,27.01,28.48,27.0,28.01,1445900
2023-01-30,27.7,28.73,27.7,28.1,951100
2023-01-31,28.4,30.47,28.19,30.37,672700
2023-02-01,30.02,31.48,29.91,30.65,610600
2023-02-02,31.0,32.33,30.86,31.95,797600
2023-02-03,31.43,32.93,30.83,32.29,774900
2023-02-06,32.39,32.88,32.03,32.08,464600
2023-02-07,31.77,32.81,31.62,32.6,681200
2023-02-08,32.35,32.6,31.96,32.28,344900
2023-02-09,32.42,32.78,31.99,32.15,394800
2023-02-10,31.92,32.3,31.41,31.96,403200
2023-02-13,31.92,32.26,31.53,32.26,265600
2023-02-14,32.12,32.12,31.34,31.85,329200
2023-02-15,31.52,32.73,31.52,32.59,375900
2023-02-16,32.01,32.48,31.61,31.8,406900
2023-02-17,31.81,32.24,31.28,32.06,377100
2023-02-21,31.49,31.79,30.55,30.78,370100
2023-02-22,30.69,31.32,30.35,30.66,479700
2023-02-23,30.85,31.09,30.28,30.92,472800
2023-02-24,30.54,31.29,30.19,31.15,391900
2023-02-27,31.39,31.81,30.9,30.97,414800
2023-02-28,30.99,31.4,30.76,30.8,408200
2023-03-01,30.78,31.05,30.32,30.67,343000
2023-03-02,30.2,30.4,29.72,30.11,337900
2023-03-03,30.6,30.91,30.18,30.63,309600
2023-03-06,30.5,30.57,29.47,29.84,480600
2023-03-07,29.63,29.8,28.8,28.91,367700
2023-03-08,28.88,29.01,28.47,28.89,264900
2023-03-09,28.44,28.44,26.26,26.31,1005300
2023-03-10,25.05,25.25,20.75,22.86,2732100
2023-03-13,16.45,20.0,6.87,17.42,8396700
2023-03-14,20.25,21.36,17.23,18.08,2996800
2023-03-15,17.05,20.28,16.66,20.04,1934000
2023-03-16,19.59,21.39,18.23,20.35,1502700
2023-03-17,19.81,19.81,17.31,18.01,2143000
2023-03-20,18.33,19.08,17.83,17.91,1098400
2023-03-21,19.16,20.27,19.06,19.77,1060100
2023-03-22,19.64,19.69,18.13,18.2,855200
2023-03-23,18.41,18.69,16.83,17.37,1025300
2023-03-24,16.92,18.32,16.63,18.23,821900
2023-03-27,18.93,18.93,17.57,17.96,627800
2023-03-28,17.83,18.61,17.36,18.36,733200
2023-03-29,18.53,19.12,18.22,19.12,622800
2023-03-30,19.34,19.34,18.08,18.28,1406100
2023-03-31,18.5,18.78,18.19,18.52,459600
2023-04-03,18.58,19.17,18.09,18.33,461400
2023-04-04,18.12,18.16,16.78,17.35,659500
2023-04-05,17.05,17.34,16.56,16.84,609400
2023-04-06,16.97,17.91,16.85,17.45,585500
2023-04-10,17.06,17.77,16.79,17.3,740500
2023-04-11,17.49,18.02,17.32,17.67,376500
2023-04-12,17.82,18.01,17.22,17.49,489200
2023-04-13,17.79,18.54,17.39,18.13,439700
2023-04-14,18.62,18.78,17.19,17.51,468100
2023-04-17,17.37,18.11,17.07,18.06,502500
2023-04-18,18.05,18.05,17.39,17.7,577000
2023-04-19,17.95,19.72,17.74,19.49,521800
2023-04-20,19.04,19.31,18.81,19.25,417500
2023-04-21,19.16,19.41,18.84,19.1,368300
2023-04-24,18.83,19.58,18.77,19.09,435300
2023-04-25,18.62,18.92,17.51,17.65,531500
2023-04-26,17.76,18.38,17.37,18.08,520000
2023-04-27,18.15,18.89,18.11,18.65,380400
2023-04-28,22.15,22.27,20.55,21.84,943000
2023-05-01,22.11,22.48,20.65,20.92,802500
2023-05-02,20.84,20.92,17.62,18.23,1092900
2023-05-03,18.21,19.16,17.41,17.55,669600
2023-05-04,16.71,17.34,15.8,16.02,1479700
2023-05-05,17.33,19.1,17.28,19.07,840400
2023-05-08,19.31,19.6,17.54,17.77,711500
2023-05-09,17.52,17.69,16.64,17.25,393500
2023-05-10,17.84,17.98,16.65,17.09,353200
2023-05-11,16.57,17.4,16.5,17.01,390400
2023-05-12,17.01,17.27,16.41,17.27,279200
2023-05-15,17.23,19.19,17.23,18.87,508900
2023-05-16,18.76,20.07,18.76,19.59,755200
2023-05-17,20.2,22.13,20.15,22.06,677000
2023-05-18,21.91,22.44,21.51,22.17,517800
2023-05-19,22.77,22.96,21.52,21.95,562200
2023-05-22,22.2,24.23,21.59,24.21,550100
2023-05-23,24.37,25.42,23.43,23.5,725100
2023-05-24,23.27,23.81,22.72,23.46,360800
2023-05-25,23.33,23.75,22.58,23.66,287800
2023-05-26,23.7,24.69,23.17,24.68,294200
2023-05-30,24.78,24.93,23.79,24.64,542400
2023-05-31,24.31,24.31,22.96,23.02,419600
2023-06-01,23.59,24.68,22.9,23.93,440800
2023-06-02,24.3,26.13,24.17,26.0,521200
2023-06-05,25.84,25.84,24.25,25.35,457600
2023-06-06,25.25,27.99,25.0,27.6,700600
2023-06-07,27.99,30.16,26.8,29.9,854700
