Date,Open,High,Low,Close,Volume
2023-01-13,252.76,263.77,252.43,261.94,66900
2023-01-17,259.21,263.57,259.21,261.79,65400
2023-01-18,265.41,269.08,250.33,254.94,60900
2023-01-19,251.87,254.21,248.52,250.3,67900
2023-01-20,251.59,258.31,249.0,258.16,53700
2023-01-23,260.0,262.21,255.36,258.72,43100
2023-01-24,256.86,263.07,256.86,257.76,46100
2023-01-25,253.1,263.3,251.35,263.23,88500
2023-01-26,266.2,271.57,261.77,267.47,67000
2023-01-27,264.58,271.82,264.58,270.6,58800
2023-01-30,269.99,272.34,258.73,259.67,88300
2023-01-31,262.0,266.98,262.0,266.1,70400
2023-02-01,265.69,275.42,261.34,275.3,88500
2023-02-02,278.8,286.85,273.56,278.11,128100
2023-02-03,257.0,290.15,257.0,274.02,152400
2023-02-06,274.0,281.65,269.06,269.65,86600
2023-02-07,269.03,290.98,265.52,290.73,113100
2023-02-08,287.39,291.41,280.0,289.97,113500
2023-02-09,293.79,299.36,286.41,290.47,77800
2023-02-10,288.44,290.47,282.7,284.4,63900
2023-02-13,284.0,291.26,280.77,291.02,38400
2023-02-14,289.23,290.8,282.01,287.65,86700
2023-02-15,283.96,291.5,283.96,290.82,39400
2023-02-16,286.25,290.8,284.0,287.45,47000
2023-02-17,288.18,288.18,279.7,284.83,61800
2023-02-21,278.7,283.3,270.34,270.64,59600
2023-02-22,273.34,277.6,270.42,275.59,60900
2023-02-23,277.21,280.32,273.82,279.61,44700
2023-02-24,274.0,283.02,274.0,281.01,63000
2023-02-27,281.94,284.73,280.0,283.26,52900
2023-02-28,282.38,285.55,282.33,285.0,71200
2023-03-01,284.5,286.68,280.1,286.68,65100
2023-03-02,283.0,290.55,283.0,289.56,61000
2023-03-03,290.0,293.92,285.88,293.51,69200
2023-03-06,293.51,294.71,286.67,289.42,80700
2023-03-07,289.42,293.0,287.09,290.42,70300
2023-03-08,289.14,294.82,287.44,294.8,49700
2023-03-09,294.4,296.0,289.57,289.57,84100
2023-03-10,287.33,290.04,280.57,284.53,67300
2023-03-13,280.14,287.44,278.65,282.1,73300
2023-03-14,289.23,289.23,281.49,287.5,55900
2023-03-15,282.32,285.95,276.52,280.31,73000
2023-03-16,276.73,289.5,276.73,288.46,57000
2023-03-17,286.66,291.42,284.94,289.41,247100
2023-03-20,291.0,296.0,290.83,294.34,75200
2023-03-21,296.46,300.5,295.09,299.25,80300
2023-03-22,298.16,300.0,288.36,289.45,65600
2023-03-23,290.32,298.15,286.55,288.97,46600
2023-03-24,285.77,293.83,284.25,293.06,46800
2023-03-27,295.48,296.86,292.26,295.47,48800
2023-03-28,294.45,299.02,292.35,298.98,56500
2023-03-29,299.86,304.99,298.0,304.99,72800
2023-03-30,306.2,312.95,306.2,311.0,104600
2023-03-31,312.0,317.86,311.89,317.74,66800
2023-04-03,317.0,318.0,308.72,312.87,54800
2023-04-04,314.51,314.51,299.69,300.55,42700
2023-04-05,299.83,299.83,292.48,293.94,73500
2023-04-06,292.19,292.19,274.12,277.32,142300
2023-04-10,277.0,286.0,277.0,284.05,74900
2023-04-11,285.61,288.99,285.04,287.0,44700
2023-04-12,290.81,291.47,286.32,288.29,29000
2023-04-13,290.83,294.76,287.45,294.49,48200
2023-04-14,292.4,295.0,285.21,288.14,37500
2023-04-17,288.0,294.47,287.71,294.1,28700
2023-04-18,298.18,303.41,294.49,300.96,47300
2023-04-19,301.27,305.13,296.94,303.74,39600
2023-04-20,303.74,310.0,303.74,309.58,63800
2023-04-21,310.0,310.0,304.93,308.13,32500
2023-04-24,309.53,311.21,306.18,309.57,43800
2023-04-25,305.92,306.64,296.44,296.56,45700
2023-04-26,295.01,297.71,285.97,287.71,45400
2023-04-27,287.81,292.18,285.88,289.44,50900
2023-04-28,289.29,301.58,289.26,300.22,40500
2023-05-01,298.0,305.85,298.0,299.4,40200
2023-05-02,298.45,299.44,290.96,297.42,34100
