Date,Open,High,Low,Close,Volume
2023-01-13,13.71,14.08,13.7,13.96,1805000
2023-01-17,13.89,14.14,13.68,13.7,1687600
2023-01-18,13.75,13.99,13.58,13.65,1311600
2023-01-19,13.48,13.8,13.44,13.75,1099800
2023-01-20,13.8,14.06,13.51,14.06,1517200
2023-01-23,14.01,14.36,13.96,14.23,1336900
2023-01-24,14.03,14.26,13.99,14.01,1848100
2023-01-25,13.8,14.03,13.66,13.94,833100
2023-01-26,14.05,14.23,13.98,14.23,1727600
2023-01-27,14.14,14.5,13.99,14.37,1351300
2023-01-30,14.18,14.36,14.08,14.09,1309300
2023-01-31,14.09,14.61,14.07,14.43,2643500
2023-02-01,14.12,14.26,13.59,14.19,3894100
2023-02-02,14.45,15.63,14.41,15.04,7973200
2023-02-03,14.81,15.11,14.66,15.03,2400300
2023-02-06,14.73,14.81,14.27,14.63,1338200
2023-02-07,14.49,14.8,14.37,14.75,1759800
2023-02-08,14.65,14.68,14.02,14.08,1655800
2023-02-09,14.2,14.58,14.2,14.3,2138200
2023-02-10,14.21,14.46,14.07,14.45,2287600
2023-02-13,14.5,14.84,14.41,14.8,1286600
2023-02-14,14.68,15.04,14.5,14.91,1546600
2023-02-15,14.73,15.22,14.68,14.94,1886900
2023-02-16,14.56,14.86,14.13,14.24,4300300
2023-02-17,14.19,14.24,13.65,14.0,2897200
2023-02-21,13.82,13.92,13.2,13.28,2670600
2023-02-22,13.3,13.54,13.19,13.3,1993000
2023-02-23,13.44,13.49,12.91,13.38,2896400
2023-02-24,13.1,13.26,12.54,12.98,2185900
2023-02-27,13.22,13.22,12.79,12.89,1932600
2023-02-28,12.84,13.14,12.71,12.94,3568400
2023-03-01,12.88,12.94,12.54,12.68,2350500
2023-03-02,12.47,12.65,12.36,12.57,1421300
2023-03-03,12.74,13.01,12.63,12.88,1333100
2023-03-06,12.95,12.98,12.69,12.77,1521800
2023-03-07,12.69,12.84,12.4,12.55,1796900
2023-03-08,12.54,12.66,12.46,12.65,1396300
2023-03-09,12.61,12.61,12.09,12.09,1458700
2023-03-10,11.99,12.04,11.47,11.58,1713100
2023-03-13,11.21,11.48,10.96,11.19,3289200
2023-03-14,11.59,11.69,10.75,10.83,2755300
2023-03-15,10.44,10.78,10.37,10.76,3576700
2023-03-16,10.62,10.74,10.25,10.65,3443100
2023-03-17,10.46,10.57,10.23,10.55,5501900
2023-03-20,10.55,10.69,10.32,10.41,1871700
2023-03-21,10.64,10.85,10.51,10.82,1940400
2023-03-22,10.81,10.81,10.05,10.07,2125100
2023-03-23,10.14,10.31,9.74,9.77,1641800
2023-03-24,9.59,9.81,9.26,9.79,3486300
2023-03-27,9.99,10.32,9.88,10.18,3001400
2023-03-28,10.03,10.2,9.66,9.85,2299400
2023-03-29,10.03,10.16,9.86,10.15,2638400
2023-03-30,10.36,10.42,10.1,10.2,1511700
2023-03-31,10.31,10.55,10.27,10.54,1664100
2023-04-03,10.49,10.59,10.28,10.4,1507500
2023-04-04,10.45,10.5,9.94,10.08,1528200
2023-04-05,9.98,10.07,9.78,9.86,1606900
2023-04-06,9.92,10.03,9.78,9.85,1197000
2023-04-10,9.61,9.69,9.27,9.6,2360900
2023-04-11,9.6,9.93,9.52,9.73,2846000
2023-04-12,9.89,9.98,9.56,9.58,1640500
2023-04-13,9.62,9.7,9.5,9.68,1168800
2023-04-14,9.74,9.79,9.29,9.51,1629200
2023-04-17,9.15,9.49,9.05,9.47,2041500
2023-04-18,9.56,9.57,9.14,9.35,2291700
2023-04-19,9.22,9.51,9.15,9.42,1034900
2023-04-20,9.26,9.57,9.26,9.52,3105400
2023-04-21,9.57,9.65,9.4,9.63,2211000
2023-04-24,9.62,9.68,9.25,9.37,1649700
2023-04-25,9.23,9.33,8.97,9.11,1245200
2023-04-26,9.11,9.18,8.82,8.93,2083800
2023-04-27,9.04,9.62,9.03,9.52,3107700
2023-04-28,9.53,9.86,9.51,9.85,3521400
2023-05-01,9.79,10.15,9.76,9.8,1798700
2023-05-02,9.7,9.71,8.99,9.48,2418100
2023-05-03,9.59,9.64,9.26,9.27,1997300
2023-05-04,9.18,9.22,8.7,8.94,5306800
2023-05-05,8.9,8.9,7.68,7.98,8577100
2023-05-08,8.06,8.06,7.26,7.55,4833900
2023-05-09,7.4,7.8,7.16,7.67,6393400
2023-05-10,7.85,8.01,7.69,7.85,5089500
