Date,Open,High,Low,Close,Volume
2023-01-13,17.07,17.55,17.07,17.5,718000
2023-01-17,17.55,17.76,17.49,17.56,627400
2023-01-18,17.78,17.87,17.07,17.16,1287300
2023-01-19,16.98,17.01,16.28,16.55,755300
2023-01-20,16.62,16.94,16.3,16.94,681200
2023-01-23,17.04,17.16,16.95,17.12,485700
2023-01-24,16.72,17.02,16.5,16.92,551400
2023-01-25,16.79,17.2,16.63,17.18,367800
2023-01-26,17.41,17.5,16.93,17.09,867500
2023-01-27,17.29,17.61,17.16,17.58,900800
2023-01-30,17.26,17.52,17.15,17.22,1272600
2023-01-31,17.44,18.17,17.4,18.14,1462600
2023-02-01,18.1,18.99,18.03,18.79,1189600
2023-02-02,19.0,19.14,18.57,18.91,1042500
2023-02-03,18.57,19.13,18.53,18.84,843600
2023-02-06,18.62,18.76,18.34,18.68,594300
2023-02-07,18.53,19.1,18.53,18.99,569900
2023-02-08,18.68,19.11,18.67,18.77,576300
2023-02-09,19.02,19.28,18.55,18.56,873200
2023-02-10,18.22,18.25,17.84,18.03,906900
2023-02-13,18.04,18.49,17.89,18.45,515800
2023-02-14,18.29,18.71,18.24,18.54,569400
2023-02-15,18.23,18.8,18.2,18.79,550400
2023-02-16,18.38,19.0,18.29,18.75,948200
2023-02-17,18.72,18.87,18.44,18.85,1103500
2023-02-21,16.64,17.1,15.33,15.53,4402200
2023-02-22,15.41,16.11,15.37,15.97,2322500
2023-02-23,16.08,16.22,15.58,15.79,1244400
2023-02-24,15.35,15.61,15.25,15.6,1067600
2023-02-27,15.82,16.05,15.75,15.84,1251200
2023-02-28,15.91,16.09,15.82,15.84,1127100
2023-03-01,15.92,16.09,15.73,15.89,1027200
2023-03-02,15.57,15.94,15.52,15.92,736100
2023-03-03,16.22,16.32,16.02,16.3,744300
2023-03-06,16.33,16.41,16.01,16.11,1155200
2023-03-07,16.06,16.25,15.83,15.87,1129100
2023-03-08,15.97,16.05,15.68,15.91,791500
2023-03-09,15.89,15.96,15.07,15.11,1731100
2023-03-10,15.09,15.09,14.35,14.5,1353400
2023-03-13,14.0,14.16,13.6,13.95,1804100
2023-03-14,14.35,14.67,14.03,14.25,1133600
2023-03-15,13.55,13.76,13.32,13.72,1977500
2023-03-16,13.47,14.22,13.44,14.03,1029700
2023-03-17,13.9,13.9,13.39,13.49,2002000
2023-03-20,13.55,13.99,13.55,13.73,1344900
2023-03-21,14.18,14.34,13.94,14.08,1503000
2023-03-22,14.14,14.24,13.74,13.76,1458800
2023-03-23,13.88,14.24,13.6,13.72,770500
2023-03-24,13.51,13.85,13.35,13.75,972800
2023-03-27,14.02,14.1,13.85,14.02,963900
2023-03-28,14.01,14.29,13.93,14.23,755200
2023-03-29,14.44,14.53,14.21,14.5,925400
2023-03-30,14.74,14.82,14.57,14.66,801100
2023-03-31,14.83,15.11,14.79,15.05,1117800
2023-04-03,14.96,15.21,14.9,15.15,995100
2023-04-04,15.22,15.22,14.53,14.75,907000
2023-04-05,14.56,14.7,14.19,14.39,1039100
2023-04-06,14.47,14.58,14.19,14.33,933500
2023-04-10,14.17,14.54,14.08,14.46,1667100
2023-04-11,14.62,14.84,14.56,14.66,660000
2023-04-12,15.0,15.06,14.59,14.64,556900
2023-04-13,14.75,14.83,14.53,14.71,630000
2023-04-14,14.68,14.97,14.57,14.82,622600
2023-04-17,14.77,14.88,14.58,14.76,763900
2023-04-18,14.91,14.95,14.55,14.72,711600
2023-04-19,14.57,14.76,14.45,14.75,700300
2023-04-20,14.3,14.7,14.3,14.59,679200
2023-04-21,14.54,14.66,14.23,14.36,961100
2023-04-24,14.42,14.67,14.37,14.56,828700
2023-04-25,14.3,14.49,14.1,14.19,827700
2023-04-26,14.13,14.32,13.95,14.04,997200
2023-04-27,14.16,14.28,13.73,14.25,976300
2023-04-28,14.62,15.36,14.45,14.79,1568600
2023-05-01,14.84,15.02,14.13,14.22,1267900
2023-05-02,14.18,14.37,13.95,14.34,1287400
2023-05-03,14.38,14.51,14.19,14.23,1314600
2023-05-04,14.07,14.16,13.35,13.37,1181600
2023-05-05,13.77,14.29,13.62,14.13,1403100
2023-05-08,14.2,14.29,13.91,14.11,818000
2023-05-09,13.92,13.96,13.7,13.71,1308100
2023-05-10,14.02,14.1,13.53,13.78,974700
2023-05-11,13.5,13.76,13.47,13.75,979000
2023-05-12,13.83,13.83,13.41,13.5,732200
2023-05-15,13.58,13.64,13.42,13.46,1085100
2023-05-16,13.3,13.4,13.02,13.05,800200
2023-05-17,13.19,13.65,13.16,13.59,1004100
2023-05-18,13.5,13.73,13.49,13.69,1030100
2023-05-19,13.87,13.93,13.44,13.49,792000
2023-05-22,13.67,13.85,13.48,13.82,999100
2023-05-23,13.75,14.02,13.74,13.78,700500
2023-05-24,13.65,13.66,13.12,13.43,1055400
2023-05-25,13.42,13.44,12.84,13.0,1940900
2023-05-26,13.12,13.43,12.9,13.32,1298200
2023-05-30,13.42,13.54,13.05,13.09,1334700
2023-05-31,12.91,13.01,12.62,12.87,1825800
2023-06-01,12.85,13.05,12.66,12.92,862800
2023-06-02,13.29,13.93,13.28,13.88,1419100
2023-06-05,13.84,13.93,13.59,13.67,1048000
2023-06-06,13.64,14.1,13.62,14.04,1373400
2023-06-07,14.21,14.85,14.19,14.81,1160100
2023-06-08,14.85,15.07,14.66,14.84,1378900
2023-06-09,14.96,15.02,14.56,14.89,1331300
2023-06-12,15.02,15.7,14.92,15.63,1552600
2023-06-13,15.77,16.31,15.75,16.03,1414200
2023-06-14,16.13,16.49,15.99,16.19,1613800
2023-06-15,16.03,16.6,15.98,16.57,1645900
2023-06-16,16.73,16.84,16.43,16.81,27817900
2023-06-20,16.6,16.64,16.3,16.56,1990500
2023-06-21,16.55,16.88,16.32,16.78,1884800
2023-06-22,16.5,16.5,15.96,16.21,2769900
2023-06-23,15.85,15.91,15.63,15.76,1953200
2023-06-26,15.84,16.22,15.83,15.96,1012200
2023-06-27,16.11,16.42,15.82,16.36,1289300
2023-06-28,16.41,16.58,16.28,16.39,1543600
2023-06-29,16.58,16.87,16.49,16.78,982400
2023-06-30,16.94,17.05,16.78,17.0,945000
2023-07-03,17.0,17.23,16.98,17.16,394200
2023-07-05,17.09,17.09,16.63,16.69,1494900
2023-07-06,16.4,16.9,16.34,16.83,1021100
2023-07-07,16.81,17.62,16.81,17.38,1055500
2023-07-10,17.57,17.94,17.51,17.72,866800
2023-07-11,17.77,17.98,17.67,17.81,1734900
2023-07-12,18.01,18.32,17.98,18.2,905800
2023-07-13,18.24,18.24,17.9,18.14,926500
2023-07-14,18.07,18.2,17.64,17.82,1337700
2023-07-17,17.71,17.91,17.52,17.67,1296900
2023-07-18,17.7,18.17,17.69,18.0,967400
2023-07-19,18.05,18.47,17.85,18.46,1177500
2023-07-20,18.58,18.71,18.37,18.63,1730900
2023-07-21,18.84,18.84,18.4,18.44,2263300
2023-07-24,18.5,18.8,18.48,18.75,922000
2023-07-25,18.62,18.79,18.5,18.7,870400
2023-07-26,18.64,19.0,18.64,18.98,898700
2023-07-27,19.05,19.14,18.68,18.81,2269600
2023-07-28,19.6,19.75,18.74,18.96,1750000
2023-07-31,19.0,19.35,18.83,18.98,1839800
2023-08-01,19.1,19.36,18.9,19.16,2352000
2023-08-02,18.9,18.93,18.42,18.48,2387000
2023-08-03,18.17,18.41,17.89,18.23,1805200
2023-08-04,18.34,18.34,17.93,18.03,961000
2023-08-07,18.06,18.2,17.85,18.09,1164300
2023-08-08,17.76,17.86,17.45,17.85,886600
2023-08-09,17.77,17.94,17.63,17.68,819700
2023-08-10,17.77,17.77,17.17,17.3,793600
2023-08-11,17.17,17.26,16.44,16.45,1550900
2023-08-14,16.19,16.85,16.19,16.84,1645000
2023-08-15,16.7,16.83,16.21,16.22,985400
2023-08-16,16.1,16.26,15.49,15.55,1606700
2023-08-17,15.68,16.03,15.52,15.58,1270100
2023-08-18,15.4,15.92,15.38,15.84,1065200
2023-08-21,15.89,15.96,15.65,15.69,1118500
2023-08-22,15.77,15.84,15.5,15.62,953700
2023-08-23,15.59,15.76,15.5,15.73,888300
2023-08-24,15.62,15.8,15.42,15.45,633300
2023-08-25,15.61,15.75,15.31,15.58,714900
2023-08-28,15.75,15.94,15.73,15.87,732700
2023-08-29,15.71,16.16,15.63,16.15,844000
2023-08-30,16.07,16.23,15.95,16.06,809900
2023-08-31,16.0,16.25,15.99,16.11,1047700
2023-09-01,16.23,16.47,16.15,16.44,764700
2023-09-05,16.21,16.29,15.89,15.97,1064100
2023-09-06,15.99,16.17,15.54,15.86,1040000
2023-09-07,15.62,15.68,15.35,15.55,733200
2023-09-08,15.55,15.74,15.4,15.63,752900
2023-09-11,15.84,15.91,15.47,15.5,662000
2023-09-12,15.44,15.91,15.35,15.87,662400
2023-09-13,15.85,15.9,15.16,15.2,868800
2023-09-14,15.26,15.41,15.02,15.33,1242600
2023-09-15,15.22,15.45,15.07,15.25,2684700
2023-09-18,15.25,15.25,14.96,15.0,941200
2023-09-19,15.06,15.27,14.94,14.97,622000
2023-09-20,15.12,15.45,14.95,14.99,777300
2023-09-21,14.79,14.83,14.52,14.54,806400
2023-09-22,14.7,15.1,14.65,14.98,1496300
2023-09-25,14.9,15.28,14.85,15.04,821200
2023-09-26,14.9,15.09,14.55,14.59,725200
2023-09-27,14.75,14.85,14.4,14.6,629700
2023-09-28,14.56,14.85,14.34,14.62,1172600
2023-09-29,14.75,14.87,14.55,14.67,1430100
2023-10-02,14.6,14.68,14.23,14.36,1095300
2023-10-03,14.15,14.22,13.69,13.8,986500
2023-10-04,13.81,14.01,13.65,13.91,827100
2023-10-05,13.73,13.84,13.27,13.46,1249900
2023-10-06,13.35,13.88,13.21,13.74,1077100
2023-10-09,13.57,13.72,13.36,13.56,878200
2023-10-10,13.69,13.91,13.63,13.72,1413600
2023-10-11,13.83,13.96,13.63,13.82,785600
2023-10-12,13.64,13.72,13.24,13.46,1057900
2023-10-13,13.52,13.53,13.04,13.13,892000
2023-10-16,13.34,13.53,13.1,13.19,3341100
2023-10-17,13.0,13.52,12.98,13.3,1429000
2023-10-18,13.05,13.07,12.81,12.95,1009200
2023-10-19,12.88,13.0,12.5,12.61,1300600
2023-10-20,12.69,12.83,12.56,12.66,1404800
2023-10-23,12.58,12.82,12.53,12.54,1332400
2023-10-24,12.6,12.76,12.58,12.63,1315100
2023-10-25,12.45,12.63,12.31,12.61,1615000
2023-10-26,12.88,13.0,12.59,12.71,2488200
2023-10-27,12.82,13.32,12.39,12.62,3300300
2023-10-30,12.61,12.65,11.64,11.69,2758100
2023-10-31,11.74,11.85,11.43,11.48,2208900
2023-11-01,11.46,11.51,11.1,11.27,2798100
