Date,Open,High,Low,Close,Volume
2023-01-13,22.78,23.12,22.76,23.07,1840700
2023-01-17,22.92,23.055,22.71,22.75,2010900
2023-01-18,23.01,23.52,22.85,22.97,2829100
2023-01-19,22.86,22.97,22.51,22.53,2079300
2023-01-20,22.55,22.845,22.2,22.8,1759000
2023-01-23,22.96,23.41,22.82,23.39,2136100
2023-01-24,23.39,23.44,22.83,22.93,1789900
2023-01-25,22.73,23.0,22.55,22.97,1914600
2023-01-26,23.09,23.38,23.02,23.38,1980300
2023-01-27,23.4,23.639,23.22,23.39,1617500
2023-01-30,23.11,23.21,22.905,22.95,1644600
2023-01-31,23.02,23.23,22.94,23.23,2085100
2023-02-01,23.23,23.955,23.23,23.88,2270000
2023-02-02,24.04,24.72,24.0,24.34,3208000
2023-02-03,23.92,24.51,23.77,24.06,2400500
2023-02-06,23.83,23.91,23.375,23.44,2027900
2023-02-07,23.52,24.218,23.33,24.11,2232100
2023-02-08,24.13,24.21,23.73,23.77,1623000
2023-02-09,23.99,24.26,23.6,23.69,1947700
2023-02-10,23.5,23.68,23.4,23.58,2058200
2023-02-13,23.7,23.99,23.655,23.84,1721900
2023-02-14,23.44,24.215,23.44,24.0,2112700
2023-02-15,23.86,24.235,23.725,24.17,2262800
2023-02-16,23.78,24.19,23.68,23.96,2624400
2023-02-17,23.72,23.74,21.07,21.22,11640000
2023-02-21,20.81,21.52,20.8,21.29,6230400
2023-02-22,21.21,21.475,21.035,21.22,4200500
2023-02-23,21.4,21.435,20.91,21.02,3542900
2023-02-24,20.65,20.805,20.28,20.6,3926200
2023-02-27,20.7,20.81,20.405,20.49,3519100
2023-02-28,20.4,20.548,20.31,20.4,4007600
2023-03-01,20.46,20.705,20.34,20.55,4189400
2023-03-02,20.46,20.69,20.295,20.67,2883200
2023-03-03,20.69,20.78,20.54,20.63,3344000
2023-03-06,20.67,20.86,20.285,20.38,3969500
2023-03-07,20.39,20.66,20.03,20.11,3851900
2023-03-08,20.11,20.168,19.905,20.07,3230100
2023-03-09,20.25,20.32,19.6,19.61,3359300
2023-03-10,19.54,19.61,19.072,19.12,3368900
2023-03-13,19.0,19.285,18.711,18.97,4391800
2023-03-14,19.24,19.638,19.22,19.56,5447600
2023-03-15,19.27,19.728,19.24,19.66,4519200
2023-03-16,19.68,20.02,19.47,19.96,3252000
2023-03-17,20.04,20.195,19.82,20.01,5258300
2023-03-20,20.03,20.555,19.97,20.52,3664500
2023-03-21,20.59,21.16,20.535,21.15,3096700
2023-03-22,21.15,21.37,20.85,20.86,3705500
2023-03-23,21.14,21.36,20.965,21.11,2838100
2023-03-24,21.1,21.29,20.94,21.16,3072500
2023-03-27,21.21,21.39,21.04,21.13,2692000
2023-03-28,20.96,21.15,20.76,20.96,3108900
2023-03-29,21.02,21.23,20.99,21.17,1935800
2023-03-30,21.19,21.24,20.99,21.0,4376100
2023-03-31,21.0,21.65,21.0,21.62,4291000
2023-04-03,21.38,21.515,21.12,21.35,2227600
2023-04-04,21.31,21.48,21.21,21.35,2427700
2023-04-05,21.29,21.32,21.025,21.16,2228000
2023-04-06,21.07,21.27,20.892,21.25,2245100
2023-04-10,21.12,21.12,20.86,21.08,1976900
2023-04-11,20.87,20.92,20.511,20.76,4808700
2023-04-12,20.93,21.03,20.665,20.8,2267200
2023-04-13,20.83,21.9,20.83,21.88,4051300
2023-04-14,21.89,22.1,21.715,22.05,2817000
2023-04-17,22.05,22.18,21.84,22.05,2769300
2023-04-18,22.2,22.325,22.085,22.15,2527700
2023-04-19,22.02,22.08,21.86,21.91,1769500
2023-04-20,21.72,21.9,21.62,21.76,2315200
2023-04-21,21.54,21.83,21.54,21.73,2102600
2023-04-24,21.61,21.73,21.345,21.5,1729500
2023-04-25,21.4,21.42,21.05,21.07,2564000
2023-04-26,21.2,21.34,20.83,20.89,2404400
2023-04-27,21.25,21.28,20.02,20.16,8403500
2023-04-28,19.99,20.41,19.93,20.34,3324400
2023-05-01,20.22,20.425,20.14,20.35,3130900
2023-05-02,20.39,20.49,19.77,20.03,4570900
2023-05-03,20.12,20.21,19.87,19.88,3210200
2023-05-04,19.78,19.965,19.545,19.62,3887800
2023-05-05,20.7,21.445,20.5,21.31,7564400
2023-05-08,21.46,21.56,21.26,21.42,4677500
2023-05-09,21.3,21.55,21.19,21.2,3414000
2023-05-10,21.43,21.905,21.27,21.76,3838000
2023-05-11,21.73,21.79,21.53,21.72,3756900
2023-05-12,21.75,22.23,21.7,22.02,6689100
2023-05-15,22.02,22.815,21.97,22.61,6226300
2023-05-16,22.32,22.49,21.72,22.07,4370600
2023-05-17,22.11,22.415,22.02,22.33,3897500
2023-05-18,22.26,22.6,22.15,22.57,2867000
2023-05-19,22.66,22.75,22.53,22.69,3465800
2023-05-22,22.545,22.765,22.4,22.48,3457300
2023-05-23,22.3,22.6,22.22,22.24,2277900
2023-05-24,22.15,22.29,22.02,22.07,3398200
2023-05-25,22.1,22.56,22.06,22.51,3470100
2023-05-26,22.54,22.93,22.52,22.81,3737300
2023-05-30,23.0,23.06,22.41,22.69,3548400
2023-05-31,22.47,23.13,22.47,23.02,5028900
2023-06-01,22.96,23.34,22.93,23.19,2916900
2023-06-02,23.32,23.72,23.18,23.68,3122800
2023-06-05,23.83,24.11,23.62,23.93,5241600
2023-06-06,23.87,23.96,23.55,23.84,4043200
2023-06-07,23.85,24.11,23.32,23.4,4031100
2023-06-08,23.38,23.67,23.36,23.63,2962400
2023-06-09,23.67,24.35,23.67,24.0,4154500
2023-06-12,24.0,24.61,23.92,24.6,4806900
2023-06-13,24.6,24.89,24.465,24.88,4674700
2023-06-14,24.77,25.16,24.7,25.1,5131700
2023-06-15,24.98,25.935,24.825,25.83,5467700
2023-06-16,26.0,26.15,25.58,25.97,47223300
2023-06-20,25.64,26.145,25.64,25.95,5662900
2023-06-21,25.94,26.285,25.623,25.75,5366700
2023-06-22,25.72,26.49,25.62,26.43,7099000
2023-06-23,26.19,26.59,26.06,26.33,5378800
2023-06-26,26.45,26.45,25.8,25.83,4039700
2023-06-27,25.89,26.22,25.66,26.14,3158400
2023-06-28,26.13,26.73,26.06,26.72,3537900
2023-06-29,26.72,26.78,26.41,26.72,2250100
2023-06-30,26.8,26.87,26.595,26.67,3775100
2023-07-03,26.64,26.73,26.53,26.63,1332100
2023-07-05,26.4,26.635,26.28,26.59,4720800
2023-07-06,26.35,26.76,26.08,26.73,3636700
2023-07-07,26.7,27.235,26.665,26.97,3608600
2023-07-10,26.92,27.44,26.92,27.36,2710300
2023-07-11,27.49,27.765,27.24,27.5,3353500
2023-07-12,27.7,27.82,27.44,27.55,3079000
2023-07-13,27.66,27.98,27.56,27.78,4375600
2023-07-14,27.73,27.81,27.21,27.29,4023100
2023-07-17,27.255,27.86,27.18,27.81,3619900
2023-07-18,27.82,28.11,27.74,28.03,4139800
2023-07-19,28.15,28.68,27.935,28.1,6716500
2023-07-20,27.9,27.99,27.425,27.51,3737900
2023-07-21,27.57,27.59,26.945,26.99,3327000
2023-07-24,26.99,27.1,26.75,26.8,3015200
2023-07-25,26.79,27.025,26.63,26.75,3120900
2023-07-26,26.55,26.86,26.37,26.72,5912500
2023-07-27,27.05,27.23,26.62,26.71,2868900
2023-07-28,26.92,27.115,26.6,26.63,2966400
2023-07-31,26.66,26.97,26.65,26.95,3310400
2023-08-01,26.84,27.01,26.62,26.75,3541200
2023-08-02,26.42,26.46,25.81,25.87,3874800
2023-08-03,25.75,26.148,25.63,25.95,5045300
2023-08-04,26.84,27.97,26.1,27.49,6697900
2023-08-07,27.83,28.485,27.63,28.24,5075600
2023-08-08,27.94,28.17,27.46,27.8,5030900
2023-08-09,27.89,28.015,27.375,27.61,2989200
2023-08-10,27.82,28.06,27.41,27.65,2977300
2023-08-11,27.65,27.98,27.62,27.82,3112900
2023-08-14,27.74,28.405,27.68,28.35,3153900
2023-08-15,28.13,28.57,27.83,27.86,3279500
2023-08-16,27.61,27.785,27.02,27.04,4507700
2023-08-17,27.01,27.02,26.651,26.66,3791700
2023-08-18,26.33,26.9,26.06,26.74,2880600
2023-08-21,26.8,27.04,26.725,26.91,2011100
2023-08-22,27.08,27.3,26.92,27.08,2083800
2023-08-23,27.26,27.43,27.03,27.24,1653500
2023-08-24,27.33,27.54,26.895,26.93,3939300
2023-08-25,27.05,27.42,26.87,27.29,1814600
2023-08-28,27.36,27.73,27.36,27.65,1712100
2023-08-29,27.65,27.95,27.605,27.89,2027700
2023-08-30,27.79,28.025,27.51,27.57,1858100
2023-08-31,27.68,28.0,27.68,27.79,3680400
2023-09-01,28.07,28.235,27.67,27.86,2057000
2023-09-05,27.62,27.898,27.44,27.62,2376300
2023-09-06,27.51,27.72,27.405,27.57,2250300
2023-09-07,27.45,28.07,27.38,27.9,4360800
2023-09-08,27.9,27.975,27.665,27.88,1954400
2023-09-11,28.0,28.48,27.8,27.96,3485400
2023-09-12,27.67,27.9,27.45,27.56,1975300
2023-09-13,27.58,27.66,27.31,27.61,2173600
2023-09-14,27.67,27.869,27.4,27.58,2074100
2023-09-15,27.46,27.545,26.77,26.95,6586200
2023-09-18,26.37,26.75,26.3,26.57,2916900
2023-09-19,26.51,26.85,26.4,26.51,2658100
2023-09-20,26.54,27.14,26.505,26.68,1552400
2023-09-21,26.51,26.91,26.4,26.66,2073800
2023-09-22,26.75,27.095,26.72,26.89,2144100
2023-09-25,26.89,27.365,26.865,27.24,1656700
2023-09-26,27.14,27.23,26.765,26.9,1703000
2023-09-27,27.0,27.39,26.99,27.12,2710300
2023-09-28,27.03,27.395,26.805,27.23,1601300
2023-09-29,27.48,27.615,27.195,27.23,1780200
2023-10-02,27.22,27.415,27.12,27.3,1475300
2023-10-03,27.2,27.49,26.76,26.79,1910800
2023-10-04,26.83,27.177,26.8,27.04,2109500
2023-10-05,26.96,27.13,26.675,26.91,2326300
2023-10-06,26.73,27.73,26.73,27.63,1565700
2023-10-09,27.5,27.915,27.46,27.91,1709100
2023-10-10,27.92,28.28,27.85,27.93,2993900
2023-10-11,28.01,28.32,27.905,28.22,2593400
2023-10-12,28.29,28.29,27.89,28.01,2164000
2023-10-13,27.98,28.06,27.435,27.64,1964300
2023-10-16,27.77,28.27,27.75,27.78,2418700
2023-10-17,27.51,27.77,27.02,27.72,2891200
2023-10-18,27.62,28.085,27.6,27.62,3077600
2023-10-19,27.66,27.9,27.3,27.32,1832200
2023-10-20,27.24,27.37,26.62,26.69,2465900
2023-10-23,26.59,26.83,26.38,26.53,2070400
2023-10-24,26.75,27.34,26.75,27.31,2175600
