Date,Open,High,Low,Close,Volume
2023-01-13,8.69,8.91,8.65,8.83,595800
2023-01-17,8.72,8.91,8.72,8.72,498700
2023-01-18,8.86,8.91,8.52,8.53,571100
2023-01-19,8.42,8.43,8.11,8.14,1130700
2023-01-20,8.14,8.19,8.0,8.09,777900
2023-01-23,8.14,8.36,8.1,8.3,957400
2023-01-24,8.15,8.47,8.04,8.32,614800
2023-01-25,8.16,8.32,8.1,8.27,469000
2023-01-26,8.39,8.45,8.19,8.36,600200
2023-01-27,8.45,8.69,8.32,8.5,712300
2023-01-30,8.33,8.63,8.31,8.4,672800
2023-01-31,8.56,8.87,8.44,8.87,1642600
2023-02-01,8.86,9.43,8.86,9.35,1503800
2023-02-02,9.38,9.9,9.36,9.59,1300200
2023-02-03,9.41,9.8,9.41,9.6,1134700
2023-02-06,9.55,9.6,9.34,9.48,588200
2023-02-07,9.45,9.89,9.37,9.83,954200
2023-02-08,9.71,9.84,9.16,9.27,1437900
2023-02-09,9.44,9.62,9.18,9.2,1357400
2023-02-10,9.01,9.14,8.83,9.13,582000
2023-02-13,9.08,9.46,9.04,9.45,581000
2023-02-14,9.36,9.77,9.3,9.69,856300
2023-02-15,9.54,9.9,9.53,9.9,809800
2023-02-16,9.71,10.12,9.61,10.05,1206700
2023-02-17,9.27,9.34,8.81,9.25,1525300
2023-02-21,9.02,9.13,8.91,9.1,1454400
2023-02-22,8.95,9.1,8.79,8.82,1348600
2023-02-23,8.81,8.88,8.32,8.63,1150300
2023-02-24,8.42,8.76,8.41,8.63,745200
2023-02-27,8.74,8.98,8.7,8.89,844800
2023-02-28,8.84,8.98,8.74,8.8,1354300
2023-03-01,8.77,9.13,8.77,9.04,757500
2023-03-02,8.91,9.42,8.87,9.37,964200
2023-03-03,9.49,9.68,9.32,9.59,905100
2023-03-06,9.63,9.63,9.15,9.19,865200
2023-03-07,9.15,9.35,9.02,9.07,669800
2023-03-08,9.08,9.14,8.97,9.13,488400
2023-03-09,9.15,9.18,8.6,8.61,799800
2023-03-10,8.46,8.61,8.27,8.42,1097800
2023-03-13,8.08,8.24,7.73,8.04,1870900
2023-03-14,8.26,8.47,7.99,8.1,2115200
2023-03-15,7.69,7.87,7.44,7.66,2118400
2023-03-16,7.68,7.89,7.49,7.78,1179300
2023-03-17,7.65,7.85,7.35,7.52,5962800
2023-03-20,7.59,7.76,7.32,7.32,1021000
2023-03-21,7.56,7.8,7.56,7.6,1241000
2023-03-22,7.59,7.71,7.39,7.4,813400
2023-03-23,7.47,7.67,7.3,7.43,856700
2023-03-24,7.29,7.43,7.17,7.36,688200
2023-03-27,7.53,7.57,7.4,7.43,746300
2023-03-28,7.41,7.56,7.37,7.42,624200
2023-03-29,7.58,7.68,7.44,7.59,733900
2023-03-30,7.73,7.78,7.56,7.62,674600
2023-03-31,7.76,7.83,7.67,7.81,826500
2023-04-03,7.84,7.96,7.65,7.88,1082400
2023-04-04,7.91,7.93,7.47,7.57,847800
2023-04-05,7.42,7.54,7.2,7.32,826000
2023-04-06,7.35,7.37,7.13,7.13,784000
2023-04-10,7.15,7.41,7.13,7.39,706300
2023-04-11,7.41,7.63,7.4,7.54,799800
2023-04-12,7.64,7.66,7.4,7.44,734600
2023-04-13,7.53,7.6,7.43,7.54,703200
2023-04-14,7.53,7.68,7.47,7.68,496100
2023-04-17,7.69,7.69,7.47,7.65,706500
2023-04-18,7.71,7.79,7.54,7.61,399400
2023-04-19,7.37,7.44,7.26,7.36,755700
2023-04-20,7.16,7.32,7.08,7.24,834900
2023-04-21,7.2,7.2,7.03,7.14,959500
2023-04-24,7.14,7.33,7.11,7.27,587800
2023-04-25,7.14,7.19,6.89,6.94,851200
2023-04-26,6.9,7.09,6.86,7.01,820200
2023-04-27,7.07,7.12,6.78,6.94,953300
2023-04-28,6.94,7.24,6.87,7.15,791700
2023-05-01,7.17,7.35,7.1,7.14,842400
2023-05-02,7.08,7.08,6.85,7.02,872500
2023-05-03,7.03,7.21,6.95,6.96,918200
2023-05-04,6.94,6.94,6.61,6.74,1221400
2023-05-05,7.33,7.63,6.97,7.41,1628700
2023-05-08,7.39,7.41,7.18,7.28,1118200
2023-05-09,7.13,7.23,7.07,7.07,700800
2023-05-10,7.26,7.3,7.02,7.11,829000
2023-05-11,7.03,7.24,7.01,7.17,723700
2023-05-12,7.25,7.26,7.0,7.11,710700
2023-05-15,7.2,7.23,7.1,7.15,519100
2023-05-16,6.99,7.07,6.85,6.87,747800
2023-05-17,6.91,7.18,6.91,7.13,619400
2023-05-18,7.11,7.11,6.95,7.04,1255300
2023-05-19,7.2,7.26,6.95,6.99,1230300
2023-05-22,7.03,7.14,6.92,7.11,1003200
2023-05-23,7.07,7.36,7.05,7.27,1177000
2023-05-24,7.21,7.21,6.98,7.08,827200
2023-05-25,7.01,7.12,6.77,6.82,1474300
2023-05-26,6.97,7.22,6.91,7.16,1071800
2023-05-30,7.19,7.29,7.06,7.1,634800
2023-05-31,7.03,7.06,6.68,6.75,2362100
2023-06-01,6.75,6.9,6.7,6.85,1214500
2023-06-02,7.02,7.32,6.97,7.3,1301500
2023-06-05,7.28,7.28,6.94,6.97,1400500
2023-06-06,6.91,7.34,6.87,7.32,1612900
2023-06-07,7.41,7.79,7.33,7.74,1553300
2023-06-08,7.76,7.87,7.53,7.62,956800
2023-06-09,7.67,7.74,7.45,7.57,837000
2023-06-12,7.63,7.9,7.57,7.76,950900
2023-06-13,7.87,8.12,7.84,8.11,1118500
2023-06-14,8.19,8.3,7.97,8.06,1030000
2023-06-15,7.95,8.24,7.93,8.21,1006300
2023-06-16,8.32,8.32,8.0,8.09,9705300
2023-06-20,8.03,8.09,7.94,8.07,971500
2023-06-21,8.05,8.23,7.95,8.2,872300
2023-06-22,8.11,8.14,7.86,7.94,879900
2023-06-23,7.75,7.77,7.6,7.73,1916900
2023-06-26,7.68,7.94,7.68,7.84,798900
2023-06-27,7.91,8.1,7.85,8.06,772500
2023-06-28,8.07,8.17,8.03,8.14,733000
2023-06-29,8.23,8.38,8.2,8.34,832700
2023-06-30,8.4,8.4,8.25,8.27,652900
2023-07-03,8.27,8.4,8.27,8.36,508600
2023-07-05,8.28,8.31,8.01,8.01,1140700
2023-07-06,7.93,8.06,7.82,7.88,989700
2023-07-07,7.88,8.64,7.88,8.58,2008800
2023-07-10,8.56,8.75,8.49,8.67,1104500
2023-07-11,8.68,8.82,8.61,8.75,1044200
2023-07-12,8.93,9.01,8.81,8.82,1137200
2023-07-13,8.92,9.08,8.83,8.84,1285600
2023-07-14,8.81,8.89,8.48,8.77,1048900
2023-07-17,8.7,8.81,8.61,8.67,1982400
2023-07-18,8.76,9.14,8.71,9.0,1195900
2023-07-19,9.0,9.1,8.92,8.98,933800
2023-07-20,9.0,9.2,8.97,9.18,982300
2023-07-21,9.31,9.41,9.14,9.19,1466500
2023-07-24,9.25,9.42,9.22,9.41,1599200
2023-07-25,9.38,9.51,9.22,9.31,968100
2023-07-26,9.32,9.47,9.23,9.36,974100
2023-07-27,9.43,9.44,9.14,9.18,729400
2023-07-28,9.34,9.55,9.25,9.26,1026800
2023-07-31,9.24,9.53,9.24,9.45,1605500
2023-08-01,9.39,9.54,9.34,9.52,1019900
2023-08-02,9.39,9.46,9.17,9.37,999600
2023-08-03,9.31,9.35,9.15,9.18,1335400
2023-08-04,9.45,9.45,8.1,8.18,2192900
2023-08-07,8.2,8.32,8.07,8.14,1690900
2023-08-08,8.0,8.31,7.86,8.24,993300
2023-08-09,8.13,8.19,7.85,7.98,1613000
2023-08-10,7.92,7.94,7.6,7.69,1841000
2023-08-11,7.65,7.72,7.49,7.53,1299900
2023-08-14,7.45,7.54,7.25,7.54,1192500
2023-08-15,7.46,7.48,7.19,7.29,1808600
2023-08-16,7.28,7.41,7.24,7.25,951000
2023-08-17,7.3,7.54,7.3,7.37,1285600
2023-08-18,7.29,7.47,7.28,7.47,1249500
2023-08-21,7.51,7.54,7.13,7.25,1144700
2023-08-22,7.39,7.4,7.17,7.22,677100
2023-08-23,7.19,7.32,7.17,7.3,781600
2023-08-24,7.26,7.31,7.14,7.16,603700
2023-08-25,7.19,7.31,7.01,7.18,632900
2023-08-28,7.24,7.41,7.24,7.39,1056500
2023-08-29,7.38,7.67,7.34,7.65,804600
2023-08-30,7.63,7.74,7.57,7.58,500200
2023-08-31,7.54,7.68,7.51,7.55,970400
2023-09-01,7.58,7.71,7.48,7.7,931000
2023-09-05,7.61,7.86,7.51,7.85,1193100
2023-09-06,7.92,8.04,7.75,7.85,1273000
2023-09-07,7.72,7.8,7.49,7.72,1770700
2023-09-08,7.76,7.76,7.62,7.64,1061900
2023-09-11,7.72,7.75,7.64,7.65,835400
2023-09-12,7.62,7.86,7.62,7.76,715400
2023-09-13,7.74,7.85,7.48,7.49,1628000
2023-09-14,7.56,7.63,7.32,7.58,2309500
2023-09-15,7.52,7.72,7.49,7.55,3057800
2023-09-18,7.43,7.48,7.32,7.4,1394400
2023-09-19,7.42,7.49,7.19,7.22,1144700
2023-09-20,7.28,7.44,7.19,7.21,1091300
2023-09-21,7.1,7.32,7.02,7.19,1149600
2023-09-22,7.26,7.39,7.16,7.21,949200
2023-09-25,7.17,7.65,7.15,7.5,1316100
2023-09-26,7.43,7.55,7.25,7.29,865700
2023-09-27,7.31,7.5,7.26,7.32,949100
2023-09-28,7.19,7.5,7.04,7.36,1798700
2023-09-29,7.41,7.46,7.22,7.26,1188400
2023-10-02,7.21,7.23,7.06,7.12,1447600
2023-10-03,7.06,7.14,7.0,7.07,1222600
2023-10-04,7.07,7.22,6.99,7.14,1063600
2023-10-05,7.07,7.13,6.85,6.95,1143900
2023-10-06,6.92,7.28,6.86,7.13,1992700
2023-10-09,7.02,7.24,6.98,7.19,807900
2023-10-10,7.15,7.23,7.04,7.14,1563300
2023-10-11,7.14,7.21,7.04,7.14,1663700
2023-10-12,7.11,7.27,7.02,7.14,872800
2023-10-13,7.11,7.15,7.0,7.02,1216800
2023-10-16,7.12,7.33,7.11,7.18,938400
2023-10-17,7.1,7.41,7.1,7.31,1181000
2023-10-18,7.21,7.21,6.99,7.01,1179200
2023-10-19,6.96,7.09,6.86,6.9,1419000
2023-10-20,6.96,7.3,6.95,7.08,1946700
2023-10-23,7.0,7.27,7.0,7.05,1255600
2023-10-24,7.1,7.19,7.03,7.04,1230200
2023-10-25,6.98,7.14,6.83,7.09,1171200
2023-10-26,7.36,7.42,7.08,7.15,1459100
2023-10-27,7.15,7.15,6.81,6.83,1679200
2023-10-30,7.03,7.12,6.6,6.68,1350200
2023-10-31,6.68,6.88,6.63,6.75,1005300
2023-11-01,6.61,6.66,6.29,6.38,1874100
2023-11-02,6.52,6.6,6.32,6.5,2005100
2023-11-03,6.95,7.51,6.86,7.24,2569000
2023-11-06,7.16,7.19,6.6,6.85,1940400
2023-11-07,6.75,6.89,6.72,6.76,1006100
2023-11-08,6.72,6.76,6.58,6.63,997200
2023-11-09,6.66,6.71,6.5,6.56,1108200
2023-11-10,6.59,6.72,6.49,6.67,866000
2023-11-13,6.64,6.72,6.55,6.63,772500
2023-11-14,6.97,7.22,6.95,7.2,1446100
2023-11-15,7.24,7.31,7.07,7.2,2015100
2023-11-16,7.19,7.22,7.02,7.05,1152300
2023-11-17,7.12,7.18,7.07,7.11,939500
2023-11-20,7.19,7.24,7.11,7.2,1594200
2023-11-21,7.09,7.15,7.04,7.13,1171900
2023-11-22,7.15,7.24,7.12,7.2,985600
2023-11-24,7.18,7.29,7.18,7.24,657300
2023-11-27,7.2,7.25,7.11,7.19,1007500
2023-11-28,6.79,7.14,6.43,7.1,1893400
2023-11-29,7.31,7.35,7.08,7.2,2007700
2023-11-30,7.26,7.3,6.94,6.96,1766900
2023-12-01,6.91,7.36,6.87,7.36,2753600
2023-12-04,7.36,7.61,7.36,7.55,1717100
2023-12-05,7.49,7.58,7.43,7.47,1169300
2023-12-06,7.55,7.79,7.5,7.59,1593400
2023-12-07,7.63,7.64,7.5,7.59,1286300
2023-12-08,7.58,7.65,7.52,7.54,1051600
2023-12-11,7.51,7.72,7.51,7.69,1929700
2023-12-12,7.68,7.84,7.56,7.82,2033200
2023-12-13,7.81,8.01,7.53,7.98,2165600
2023-12-14,8.2,8.74,8.08,8.7,3909100
2023-12-15,8.65,8.82,8.4,8.82,20826600
2023-12-18,8.81,8.81,8.29,8.4,2384600
2023-12-19,8.51,8.72,8.45,8.66,1955200
2023-12-20,8.6,8.81,8.46,8.52,2143000
2023-12-21,8.63,8.79,8.54,8.73,1176200
2023-12-22,8.8,8.89,8.72,8.83,934200
2023-12-26,8.92,8.97,8.82,8.92,684200
2023-12-27,8.95,8.99,8.88,8.93,596300
2023-12-28,8.9,8.91,8.8,8.88,728400
2023-12-29,8.84,8.9,8.76,8.81,691300
2024-01-02,8.7,8.89,8.57,8.74,796900
2024-01-03,8.54,8.68,8.02,8.03,1492700
2024-01-04,8.03,8.27,7.95,8.19,1054900
2024-01-05,8.12,8.46,8.08,8.29,922900
2024-01-08,8.22,8.44,8.19,8.39,665700
2024-01-09,8.27,8.34,8.2,8.22,728700
2024-01-10,8.19,8.24,8.05,8.13,966400
2024-01-11,8.08,8.08,7.9,8.06,798900
2024-01-12,8.14,8.18,7.99,8.02,543800
2024-01-16,7.85,8.01,7.83,7.98,1032000
2024-01-17,7.46,7.51,7.17,7.31,1865500
2024-01-18,7.36,7.42,7.25,7.4,637200
2024-01-19,7.38,7.54,7.28,7.52,824400
2024-01-22,7.6,7.78,7.56,7.66,1379800
2024-01-23,7.85,7.91,7.71,7.75,794400
2024-01-24,7.87,7.87,7.56,7.64,687300
2024-01-25,7.81,8.0,7.69,7.99,1450600
2024-01-26,8.07,8.22,8.0,8.06,864100
2024-01-29,8.05,8.13,7.87,8.11,779200
2024-01-30,8.12,8.28,8.05,8.21,936600
2024-01-31,8.22,8.38,8.08,8.09,1018600
2024-02-01,8.2,8.31,8.09,8.23,1211500
2024-02-02,8.06,8.27,7.95,8.21,869200
2024-02-05,8.06,8.08,7.87,7.9,765100
2024-02-06,7.86,8.21,7.85,8.19,809000
2024-02-07,8.27,8.27,8.01,8.07,749600
2024-02-08,8.05,8.14,7.95,8.12,680800
2024-02-09,8.13,8.24,8.07,8.2,718700
2024-02-12,8.2,8.46,8.2,8.34,1190500
2024-02-13,8.06,8.07,7.81,7.98,1239800
2024-02-14,8.17,8.19,7.99,8.15,1575200
2024-02-15,8.29,8.55,8.19,8.55,2500500
2024-02-16,8.9,8.98,8.09,8.28,1760600
2024-02-20,8.1,8.2,7.66,7.72,2124200
2024-02-21,7.62,7.67,7.32,7.37,2147100
2024-02-22,7.4,7.51,7.14,7.29,1999100
2024-02-23,7.29,7.34,7.05,7.09,2348900
2024-02-26,7.06,7.13,6.68,6.71,3985900
2024-02-27,6.83,6.87,6.63,6.7,2647400
2024-02-28,6.78,7.07,6.62,6.62,3244600
2024-02-29,6.77,6.96,6.73,6.92,2022800
2024-03-01,6.92,6.92,6.72,6.87,1838700
2024-03-04,6.88,6.9,6.67,6.76,1723500
2024-03-05,6.7,6.85,6.66,6.76,1845300
2024-03-06,6.86,6.86,6.61,6.66,2021100
2024-03-07,6.7,6.87,6.62,6.78,2177700
2024-03-08,6.89,6.93,6.62,6.69,1867100
2024-03-11,6.67,6.74,6.53,6.67,2168200
2024-03-12,6.64,6.66,6.54,6.58,1825900
2024-03-13,6.55,6.72,6.49,6.52,2454500
2024-03-14,6.53,6.7,6.44,6.54,3374300
2024-03-15,6.56,6.76,6.48,6.59,29101900
2024-03-18,6.71,6.88,6.49,6.76,2620400
2024-03-19,6.71,6.91,6.71,6.9,1931700
2024-03-20,6.9,7.09,6.81,7.06,2156300
2024-03-21,7.15,7.54,7.15,7.33,2486700
2024-03-22,7.32,7.35,7.19,7.2,1025000
2024-03-25,7.21,7.29,7.11,7.17,1267700
2024-03-26,7.2,7.24,7.04,7.05,1094600
2024-03-27,7.11,7.38,7.04,7.38,1640500
2024-03-28,7.37,7.53,7.3,7.36,1063300
2024-04-01,7.36,7.39,7.2,7.24,1308400
2024-04-02,7.12,7.19,7.04,7.19,1727600
2024-04-03,7.1,7.33,7.1,7.26,1341100
2024-04-04,7.38,7.42,7.08,7.1,926100
2024-04-05,7.12,7.3,7.11,7.27,955600
2024-04-08,7.32,7.46,7.32,7.38,982200
2024-04-09,7.44,7.64,7.42,7.59,1280600
2024-04-10,7.33,7.39,7.18,7.23,1511800
2024-04-11,7.24,7.32,7.13,7.25,594400
2024-04-12,7.16,7.23,7.06,7.07,1019300
2024-04-15,7.1,7.15,6.94,6.99,1363100
2024-04-16,6.92,7.16,6.86,7.02,1312000
2024-04-17,7.09,7.1,6.93,6.95,1153800
2024-04-18,6.95,7.12,6.92,6.98,1342700
2024-04-19,6.95,7.11,6.9,7.08,1186500
2024-04-22,7.17,7.31,7.09,7.22,1422700
2024-04-23,7.37,7.51,7.35,7.49,1745400
2024-04-24,7.42,7.57,7.37,7.56,1308800
2024-04-25,7.41,7.47,7.26,7.47,1236800
2024-04-26,7.46,7.56,7.41,7.52,811900
2024-04-29,7.53,7.65,7.49,7.56,1057400
2024-04-30,7.45,7.47,7.34,7.34,1785200
2024-05-01,7.33,7.62,7.33,7.39,1234900
2024-05-02,7.51,7.59,7.32,7.32,1394900
2024-05-03,7.75,7.85,7.27,7.49,2015500
2024-05-06,7.63,7.7,7.56,7.66,1071900
2024-05-07,7.66,7.79,7.57,7.58,1421100
2024-05-08,7.46,7.8,7.41,7.8,1389900
2024-05-09,7.82,7.84,7.67,7.71,1368800
2024-05-10,7.76,7.78,7.5,7.62,998300
2024-05-13,7.68,7.78,7.65,7.67,1062300
2024-05-14,7.84,7.95,7.74,7.85,1438600
2024-05-15,7.97,7.97,7.8,7.9,870600
2024-05-16,7.87,7.92,7.81,7.9,1085200
2024-05-17,7.91,7.96,7.81,7.95,1066100
2024-05-20,7.95,7.98,7.88,7.88,1133300
2024-05-21,7.86,7.86,7.59,7.64,954500
2024-05-22,7.57,7.58,7.35,7.41,1105500
2024-05-23,7.43,7.46,7.21,7.32,1133500
2024-05-24,7.39,7.41,7.28,7.41,864700
2024-05-28,7.48,7.55,7.35,7.45,973900
2024-05-29,7.28,7.37,7.24,7.27,880400
2024-05-30,7.35,7.52,7.34,7.52,927000
2024-05-31,7.54,7.69,7.53,7.64,1398300
2024-06-03,7.74,7.76,7.5,7.74,1282300
2024-06-04,7.61,7.7,7.59,7.6,1112500
2024-06-05,7.7,7.76,7.57,7.76,1090800
2024-06-06,7.7,7.74,7.62,7.65,1131800
2024-06-07,7.57,7.59,7.41,7.53,1164000
2024-06-10,7.4,7.54,7.37,7.5,1067700
2024-06-11,7.45,7.45,7.28,7.3,1770000
2024-06-12,7.52,7.71,7.41,7.48,1022700
2024-06-13,7.44,7.47,7.17,7.18,1303700
2024-06-14,7.05,7.05,6.86,6.91,1462200
2024-06-17,6.85,7.07,6.84,7.06,1222500
2024-06-18,7.07,7.13,6.89,6.89,1012300
2024-06-20,6.85,6.9,6.75,6.8,1260500
2024-06-21,6.8,7.01,6.78,6.92,4440300
2024-06-24,6.94,7.22,6.94,7.12,1366900
2024-06-25,7.1,7.13,6.98,7.11,774100
2024-06-26,7.02,7.19,6.97,7.03,1285900
2024-06-27,7.04,7.05,6.87,6.9,1038800
2024-06-28,7.0,7.03,6.86,6.99,1754500
2024-07-01,7.04,7.09,6.84,6.91,988000
2024-07-02,6.93,7.04,6.88,6.95,1201500
2024-07-03,6.96,7.02,6.92,6.99,420500
2024-07-05,6.9,6.95,6.66,6.67,1510000
2024-07-08,6.77,6.85,6.7,6.71,993300
2024-07-09,6.67,6.83,6.62,6.77,1475100
2024-07-10,6.79,6.83,6.72,6.81,1180500
2024-07-11,6.99,7.12,6.93,7.03,1473700
2024-07-12,7.14,7.2,7.05,7.17,967100
2024-07-15,7.16,7.27,7.1,7.15,916900
2024-07-16,7.25,7.35,7.23,7.35,1701500
2024-07-17,7.25,7.45,7.25,7.43,1433400
2024-07-18,7.37,7.58,7.28,7.35,1001900
2024-07-19,7.26,7.28,6.95,6.99,1393100
2024-07-22,7.07,7.24,6.95,7.23,1289700
2024-07-23,7.16,7.33,7.05,7.24,1264400
2024-07-24,7.18,7.38,7.09,7.09,898500
2024-07-25,7.07,7.14,6.9,7.03,1284600
2024-07-26,7.18,7.24,7.02,7.21,1046100
2024-07-29,7.21,7.24,7.07,7.13,935500
2024-07-30,7.2,7.24,7.06,7.11,960900
2024-07-31,7.19,7.65,7.18,7.43,3445000
2024-08-01,7.42,7.44,7.04,7.16,1315900
2024-08-02,6.99,7.12,6.62,6.66,1965700
2024-08-05,6.41,6.48,6.19,6.36,2010900
2024-08-06,6.36,6.49,6.28,6.32,1504100
2024-08-07,6.4,6.44,6.06,6.07,1548100
2024-08-08,6.16,6.24,6.08,6.21,1528200
2024-08-09,6.9,7.25,6.48,6.51,3058700
2024-08-12,6.45,6.6,5.99,6.06,2604900
2024-08-13,6.11,6.25,6.03,6.17,1551900
2024-08-14,6.22,6.26,6.08,6.16,1248300
2024-08-15,6.35,6.44,6.29,6.33,947400
2024-08-16,6.28,6.36,6.23,6.35,1365000
2024-08-19,6.39,6.47,6.38,6.43,1479200
2024-08-20,6.41,6.47,6.32,6.33,1151400
2024-08-21,6.4,6.43,6.35,6.39,748100
2024-08-22,6.37,6.39,6.24,6.25,1122800
2024-08-23,6.33,6.66,6.3,6.53,2038600
2024-08-26,6.61,6.63,6.51,6.51,1060500
2024-08-27,6.48,6.54,6.36,6.48,1544800
