Date,Open,High,Low,Close,Volume
2023-01-13,32.64,33.35,31.6,33.25,73000
2023-01-17,33.17,33.28,32.84,33.11,54100
2023-01-18,32.9,32.95,32.16,32.16,74100
2023-01-19,32.01,32.42,31.56,32.23,71800
2023-01-20,32.6,32.92,32.21,32.87,111600
2023-01-23,32.87,33.19,32.56,33.01,67300
2023-01-24,33.02,33.51,32.69,32.8,65200
2023-01-25,32.61,32.63,32.14,32.54,53000
2023-01-26,32.61,32.61,32.15,32.43,77300
2023-01-27,32.05,32.05,29.16,29.95,283400
2023-01-30,29.7,30.41,29.7,29.76,109700
2023-01-31,29.76,30.57,29.72,29.82,151200
2023-02-01,29.75,30.92,29.75,30.6,134600
2023-02-02,30.87,31.67,30.51,30.89,191900
2023-02-03,30.67,31.83,30.65,31.7,174500
2023-02-06,31.53,31.86,31.03,31.18,129400
2023-02-07,31.08,31.6,30.68,31.42,150100
2023-02-08,31.3,31.53,31.04,31.51,75800
2023-02-09,31.61,31.98,31.01,31.07,151200
2023-02-10,31.0,32.27,31.0,31.95,133100
2023-02-13,31.88,32.16,31.42,31.51,158700
2023-02-14,31.54,31.6,30.84,30.87,119500
2023-02-15,30.65,31.59,30.55,31.57,74100
2023-02-16,31.24,31.52,30.01,30.85,81500
2023-02-17,31.13,31.13,30.77,31.06,141800
2023-02-21,30.78,30.86,30.26,30.26,96700
2023-02-22,30.1,30.73,30.01,30.26,134500
2023-02-23,30.43,30.58,30.28,30.35,99700
2023-02-24,30.03,30.15,29.61,29.91,102700
2023-02-27,30.07,30.61,29.64,30.5,248900
2023-02-28,30.44,31.25,30.44,30.64,133000
2023-03-01,30.48,30.8,30.44,30.67,166600
2023-03-02,30.52,30.86,30.27,30.62,99300
2023-03-03,30.64,31.45,30.35,31.26,270100
2023-03-06,31.19,31.66,30.29,30.6,162000
2023-03-07,30.5,30.5,29.89,30.0,117200
2023-03-08,30.1,30.31,29.97,30.2,96900
2023-03-09,30.21,30.21,29.04,29.55,284900
2023-03-10,29.13,29.41,27.74,28.72,473800
2023-03-13,25.77,25.83,21.63,23.08,891600
2023-03-14,25.31,26.4,24.66,25.01,465600
2023-03-15,24.09,24.52,23.2,24.35,287200
2023-03-16,24.03,25.82,23.81,25.23,268500
2023-03-17,25.1,25.14,23.62,23.89,594100
2023-03-20,24.37,25.14,23.48,23.56,247600
2023-03-21,24.29,25.11,24.23,24.79,224300
2023-03-22,24.86,24.86,23.24,23.3,286400
2023-03-23,23.78,23.78,22.91,22.93,230600
2023-03-24,22.68,23.65,22.53,23.46,248900
2023-03-27,23.98,24.0,23.49,23.53,145400
2023-03-28,23.58,24.14,23.12,23.46,127100
2023-03-29,23.55,23.67,22.8,23.29,176500
2023-03-30,23.43,23.45,22.48,22.58,113800
2023-03-31,22.71,22.92,22.37,22.72,241600
2023-04-03,22.85,22.97,22.3,22.61,188300
2023-04-04,22.8,22.8,21.2,21.54,189000
2023-04-05,21.35,21.75,21.0,21.54,155100
2023-04-06,21.48,21.91,21.43,21.57,146600
2023-04-10,21.54,21.98,21.38,21.78,305500
2023-04-11,21.98,21.98,21.5,21.54,92000
2023-04-12,21.75,21.89,20.97,21.03,117200
2023-04-13,21.14,21.5,20.88,21.36,177400
2023-04-14,21.32,21.41,20.59,20.7,181100
2023-04-17,20.68,21.46,20.45,21.43,186100
2023-04-18,21.43,21.43,20.42,20.57,163900
2023-04-19,20.79,21.13,20.45,20.99,134900
2023-04-20,20.81,21.0,20.45,20.65,258300
2023-04-21,20.61,20.81,20.26,20.44,91700
2023-04-24,20.48,20.65,20.3,20.44,127600
2023-04-25,20.17,20.25,19.18,19.23,140600
2023-04-26,19.32,19.82,18.75,19.14,158700
2023-04-27,19.32,19.79,19.32,19.53,145600
2023-04-28,21.15,21.9,20.45,20.6,206300
2023-05-01,20.27,20.63,19.7,19.86,265200
2023-05-02,19.81,19.81,17.96,18.28,263700
2023-05-03,18.26,18.77,18.05,18.16,233900
2023-05-04,17.58,17.89,16.63,17.69,273100
2023-05-05,18.37,18.83,17.86,18.21,230100
2023-05-08,18.56,18.56,17.52,17.58,145400
2023-05-09,17.44,17.59,16.68,16.99,250300
2023-05-10,17.29,17.84,16.39,16.56,178000
2023-05-11,16.28,16.61,16.04,16.09,161100
2023-05-12,16.15,16.21,15.66,15.79,306900
2023-05-15,15.79,16.46,15.77,16.08,246300
2023-05-16,16.44,16.64,15.57,15.58,241500
2023-05-17,15.98,16.93,15.81,16.75,412900
2023-05-18,16.75,17.58,16.56,17.41,465200
2023-05-19,17.74,17.97,16.95,16.98,461600
2023-05-22,17.5,17.68,16.9,17.48,313500
2023-05-23,17.53,18.31,17.44,18.0,325100
2023-05-24,17.9,17.9,17.45,17.5,236900
2023-05-25,17.38,17.45,17.05,17.11,201400
2023-05-26,17.26,17.26,16.77,17.12,228300
2023-05-30,17.14,17.29,16.6,16.99,157300
2023-05-31,16.82,16.91,16.06,16.2,246100
2023-06-01,16.28,16.79,16.02,16.44,221300
2023-06-02,16.81,17.58,16.48,17.48,377700
2023-06-05,17.46,17.46,16.75,17.0,208100
2023-06-06,17.15,18.34,16.84,18.08,311600
2023-06-07,18.33,19.23,17.99,19.1,330300
2023-06-08,18.88,18.98,18.44,18.84,226100
2023-06-09,18.82,18.84,18.49,18.66,147700
2023-06-12,18.7,19.01,18.36,18.47,190100
2023-06-13,18.46,19.25,18.2,19.13,239000
2023-06-14,19.13,19.31,18.23,18.35,198800
2023-06-15,18.2,18.7,18.15,18.55,150200
2023-06-16,18.68,18.68,18.09,18.48,607000
2023-06-20,18.41,18.41,17.91,17.99,168200
2023-06-21,17.88,18.13,17.64,17.82,112600
2023-06-22,17.7,17.78,17.23,17.62,314600
2023-06-23,17.28,17.67,17.25,17.61,687500
2023-06-26,17.59,18.11,17.56,17.59,172500
2023-06-27,17.59,18.14,17.26,17.92,210600
2023-06-28,17.88,17.89,17.63,17.84,154600
2023-06-29,18.0,18.38,17.78,17.99,200700
2023-06-30,18.14,18.36,17.49,17.63,204500
2023-07-03,17.62,18.22,17.62,18.17,75700
2023-07-05,17.94,18.1,17.41,17.71,182000
2023-07-06,17.5,17.6,17.17,17.38,127100
2023-07-07,17.39,18.1,17.37,17.9,247300
2023-07-10,17.93,18.52,17.85,17.97,261900
2023-07-11,17.99,18.41,17.9,18.34,151000
2023-07-12,18.85,19.12,18.56,18.73,163100
2023-07-13,18.93,19.33,18.78,19.32,238000
2023-07-14,19.11,19.2,18.6,18.78,163500
2023-07-17,18.73,19.51,18.71,19.4,171900
2023-07-18,19.4,20.35,19.15,20.32,182900
2023-07-19,20.32,21.04,20.13,20.91,153100
2023-07-20,20.9,21.13,20.38,20.82,174600
2023-07-21,21.06,21.07,20.5,20.54,137300
2023-07-24,20.49,21.36,20.47,21.33,133700
2023-07-25,21.33,21.47,20.98,21.08,149000
2023-07-26,21.48,22.32,21.34,22.16,148400
2023-07-27,22.46,22.5,21.55,21.66,156300
2023-07-28,22.99,23.24,22.13,22.58,151000
2023-07-31,22.46,22.96,22.22,22.4,155100
2023-08-01,22.35,22.36,21.75,22.07,111200
2023-08-02,21.69,22.76,21.69,22.66,253800
2023-08-03,22.86,22.97,22.39,22.77,113000
2023-08-04,22.68,22.87,22.56,22.7,149900
2023-08-07,22.83,23.56,22.59,23.44,176500
2023-08-08,22.85,23.2,22.18,23.13,175600
2023-08-09,23.06,23.22,22.72,23.02,131100
2023-08-10,23.11,23.44,22.94,23.01,112900
2023-08-11,23.0,23.36,22.58,23.25,88100
2023-08-14,23.08,23.14,22.5,23.01,163700
2023-08-15,22.62,22.81,22.12,22.13,134000
2023-08-16,21.99,22.27,21.66,21.74,114900
2023-08-17,21.84,22.43,21.79,22.33,108200
2023-08-18,22.07,22.55,21.69,22.34,157000
2023-08-21,22.37,22.42,21.92,22.18,110700
2023-08-22,22.19,22.5,21.47,21.53,172700
2023-08-23,21.48,21.74,21.23,21.45,111900
2023-08-24,21.32,21.84,21.32,21.61,115200
2023-08-25,21.75,21.75,20.82,21.1,70700
2023-08-28,21.18,21.65,21.18,21.4,78000
2023-08-29,21.4,21.6,21.32,21.44,80900
2023-08-30,21.47,21.82,21.23,21.67,491300
2023-08-31,21.77,21.77,20.91,21.31,133400
2023-09-01,21.52,22.32,21.52,22.27,124600
2023-09-05,22.22,22.32,21.67,21.69,116400
2023-09-06,21.68,21.7,21.02,21.22,123500
2023-09-07,21.15,21.28,20.54,20.63,207700
2023-09-08,20.68,20.75,20.3,20.63,243200
2023-09-11,20.79,20.95,20.28,20.32,122700
2023-09-12,20.38,20.68,20.29,20.61,125900
2023-09-13,20.71,21.39,20.47,20.52,147000
2023-09-14,20.76,21.08,20.58,21.04,145000
2023-09-15,20.9,21.08,20.57,20.64,531600
