Date,Open,High,Low,Close,Volume
2023-01-13,39.325,39.7,39.075,39.525,194520
2023-01-17,39.75,40.05,39.45,39.675,295600
2023-01-18,39.95,40.475,39.4,39.6,271840
2023-01-19,39.375,39.5,38.5375,38.85,375200
2023-01-20,39.0,39.2,38.375,39.15,392000
2023-01-23,39.25,40.15,39.025,39.8,276880
2023-01-24,39.8,40.125,38.9,38.95,226880
2023-01-25,38.925,39.55,38.825,39.45,243400
2023-01-26,39.5,39.625,39.225,39.375,266360
2023-01-27,39.35,40.225,39.175,39.85,449320
2023-01-30,39.75,40.0,39.275,39.325,192080
2023-01-31,39.475,40.6125,39.325,40.6,401280
2023-02-01,40.35,41.125,40.025,41.0,345440
2023-02-02,41.25,41.975,41.225,41.725,301520
2023-02-03,41.5,41.575,40.85,41.125,328640
2023-02-06,40.825,41.2,40.125,40.55,292800
2023-02-07,40.3,40.65,39.7275,40.2,355960
2023-02-08,40.025,40.4375,40.0,40.15,225240
2023-02-09,40.3,40.4625,39.2375,39.375,231200
2023-02-10,39.325,40.0525,39.325,40.0,131760
2023-02-13,40.175,40.5975,40.1375,40.525,200360
2023-02-14,40.35,40.65,40.025,40.175,168520
2023-02-15,40.0,40.425,39.9,40.35,200200
2023-02-16,40.025,40.2,39.875,40.025,207040
2023-02-17,40.2,40.225,39.575,39.575,302920
2023-02-21,39.45,39.525,38.2025,38.425,310240
2023-02-22,38.4,38.65,38.0375,38.15,276560
2023-02-23,38.425,38.7625,38.075,38.425,273000
2023-02-24,38.2,38.325,37.725,37.925,247280
2023-02-27,38.3,38.325,37.325,37.575,347720
2023-02-28,37.65,38.3625,37.55,37.75,477560
2023-03-01,37.625,37.875,37.3,37.675,334360
2023-03-02,37.5,37.65,37.275,37.625,292920
2023-03-03,37.775,37.975,37.475,37.85,386920
2023-03-06,38.05,38.6375,37.935,38.275,379200
2023-03-07,38.25,38.5,37.35,37.6,359200
2023-03-08,36.95,37.225,36.325,36.625,260240
2023-03-09,36.65,36.725,36.175,36.225,229080
2023-03-10,36.275,36.375,35.0775,35.4,328520
2023-03-13,35.05,36.05,34.975,35.45,526880
2023-03-14,35.95,36.15,34.8,34.9,431600
2023-03-15,34.65,35.175,34.3,34.95,468520
2023-03-16,34.45,34.5375,33.5125,33.775,455320
2023-03-17,33.625,33.7375,32.525,33.0,821280
2023-03-20,33.0,33.525,32.775,32.975,555040
2023-03-21,33.1,33.675,32.9,33.225,547360
2023-03-22,33.125,33.3725,32.05,32.075,582880
2023-03-23,31.975,32.3,31.0,31.025,545000
2023-03-24,30.75,31.9125,30.675,31.825,365760
2023-03-27,32.175,32.325,31.625,31.65,389680
2023-03-28,32.2,33.3,31.975,32.975,1091440
2023-03-29,33.225,33.975,32.975,33.85,752560
2023-03-30,34.15,34.65,33.475,33.95,378840
2023-03-31,34.2,34.375,33.7,34.35,440520
2023-04-03,34.5,34.675,33.75,34.025,370160
2023-04-04,34.275,34.55,33.25,33.45,436800
2023-04-05,33.3,33.525,33.2,33.375,322840
2023-04-06,33.625,36.05,33.225,35.25,3605080
2023-04-10,35.125,35.375,34.215,34.975,822800
2023-04-11,35.125,35.45,34.55,34.975,725760
2023-04-12,35.15,35.75,35.025,35.125,627480
2023-04-13,35.2,35.4375,34.65,35.1,506080
2023-04-14,35.475,35.7625,34.55,34.85,442640
2023-04-17,34.95,35.3125,34.8375,35.175,447160
2023-04-18,35.125,35.25,34.7,35.0,285960
2023-04-19,34.7,35.4,34.575,35.3,364200
2023-04-20,35.025,35.225,34.525,34.95,367720
2023-04-21,34.975,35.1125,34.6625,34.825,290200
2023-04-24,34.8,34.8875,34.5,34.8,282240
2023-04-25,34.5,34.7375,33.9125,34.125,343600
2023-04-26,34.0,34.225,33.75,34.175,445400
2023-04-27,34.225,34.8,34.225,34.75,349480
2023-04-28,34.875,35.5,34.85,35.175,331040
2023-05-01,35.375,35.425,34.875,34.9,333560
2023-05-02,35.125,35.325,34.1375,34.35,525000
2023-05-03,34.55,35.4,34.4375,34.925,677400
2023-05-04,34.775,35.65,34.5,35.525,456240
2023-05-05,35.95,36.075,35.34,35.55,396360
2023-05-08,35.825,35.975,35.5025,35.85,442400
2023-05-09,35.75,36.1625,35.55,35.75,544840
2023-05-10,35.35,35.475,34.85,35.075,391280
2023-05-11,34.775,35.175,34.575,35.1,294600
2023-05-12,35.15,35.275,34.7,34.9,261240
2023-05-15,35.0,35.3,34.9,35.05,315880
2023-05-16,35.0,35.25,34.475,34.5,298200
2023-05-17,34.625,35.0625,34.25,34.975,246560
2023-05-18,35.0,35.0,34.2125,34.325,444440
2023-05-19,34.525,34.825,33.875,34.0,375280
2023-05-22,34.2,34.275,33.7625,34.125,291680
2023-05-23,34.125,35.2375,34.125,34.575,316120
2023-05-24,34.5,34.575,33.625,33.675,237840
2023-05-25,33.7,33.7,33.0,33.05,332040
2023-05-26,33.1375,34.2,32.7375,34.075,1079880
2023-05-30,34.225,35.0125,34.125,34.875,361600
2023-05-31,34.675,35.0,34.55,34.7,503040
2023-06-01,34.8,34.85,34.025,34.175,300560
