Date,Open,High,Low,Close,Volume
2023-01-13,15.94,15.98,15.6,15.77,2330900
2023-01-17,15.83,15.92,15.53,15.81,1001000
2023-01-18,15.87,15.99,15.38,15.53,1357100
2023-01-19,15.42,15.48,15.14,15.32,1886900
2023-01-20,15.4,15.44,15.07,15.37,1625900
2023-01-23,15.38,15.59,15.21,15.4,1055200
2023-01-24,15.22,15.39,15.09,15.1,936200
2023-01-25,14.96,15.4,14.74,15.32,1148700
2023-01-26,15.45,15.53,15.2,15.47,1397700
2023-01-27,15.41,16.51,15.41,16.45,1690600
2023-01-30,16.27,16.52,15.98,16.01,1661300
2023-01-31,16.04,16.76,15.94,16.75,1951700
2023-02-01,16.61,17.14,16.4,17.03,2975700
2023-02-02,17.35,17.98,17.28,17.7,2336200
2023-02-03,17.39,17.39,16.81,16.98,1697600
2023-02-06,16.75,16.8,16.25,16.52,1832500
2023-02-07,16.51,16.65,16.18,16.5,3295600
2023-02-08,16.6,16.83,16.12,16.52,3167100
2023-02-09,16.7,16.86,15.98,16.08,2117200
2023-02-10,15.99,16.26,15.98,16.15,1743100
2023-02-13,16.2,16.28,16.07,16.18,1093300
2023-02-14,16.15,16.39,15.94,16.0,2146800
2023-02-15,15.85,16.16,15.81,16.1,1920700
2023-02-16,15.87,15.98,15.61,15.67,1610300
2023-02-17,15.64,15.67,15.31,15.42,1083100
2023-02-21,15.3,15.36,14.81,14.93,1755200
2023-02-22,14.9,15.09,14.63,14.71,1463100
2023-02-23,14.8,14.98,14.56,14.73,838300
2023-02-24,14.44,14.53,14.25,14.43,1566500
2023-02-27,14.63,14.66,14.11,14.22,2000200
2023-02-28,14.21,14.39,14.13,14.13,4655200
2023-03-01,14.06,14.21,13.92,14.16,1634700
2023-03-02,14.02,14.35,13.77,14.28,2392000
2023-03-03,13.82,14.31,13.82,14.28,2338800
2023-03-06,14.44,14.51,14.31,14.32,1529900
2023-03-07,14.32,14.43,13.57,13.8,2266300
2023-03-08,13.79,14.07,13.61,13.92,1432200
2023-03-09,13.81,13.88,13.22,13.34,2591500
2023-03-10,13.26,13.26,12.47,12.61,3908600
2023-03-13,12.41,12.74,12.17,12.73,3369600
2023-03-14,12.96,13.16,11.99,12.21,5004100
2023-03-15,11.97,12.62,11.67,12.36,4665200
2023-03-16,12.22,12.23,11.66,11.88,3520300
2023-03-17,11.85,11.94,11.14,11.39,7262100
2023-03-20,11.41,11.89,11.39,11.59,3257500
