Date,Open,High,Low,Close,Volume
2023-01-13,9.5,10.18,9.32,10.16,185800
2023-01-17,10.19,10.42,10.07,10.37,125200
2023-01-18,10.5,11.25,10.43,10.44,304400
2023-01-19,10.35,10.43,10.11,10.4,116000
2023-01-20,10.51,11.07,10.25,10.75,293200
2023-01-23,10.64,11.13,10.64,11.1,187600
2023-01-24,11.12,11.45,10.96,11.2,159900
2023-01-25,11.13,11.32,11.0,11.2,126500
2023-01-26,11.27,11.435,11.05,11.19,82000
2023-01-27,11.16,11.333,11.08,11.2,97600
2023-01-30,11.15,11.815,11.1,11.7,161000
2023-01-31,11.65,12.93,11.65,12.64,227000
2023-02-01,12.52,13.03,12.25,12.82,265500
2023-02-02,12.86,13.67,12.86,13.35,246600
2023-02-03,13.12,13.38,12.86,12.99,144100
2023-02-06,12.96,13.18,12.58,12.75,93500
2023-02-07,12.69,13.38,12.42,13.26,133600
2023-02-08,13.15,13.239,12.57,12.62,78500
2023-02-09,12.82,12.87,12.29,12.38,80200
2023-02-10,12.31,12.52,12.04,12.34,102200
2023-02-13,12.4,13.0,12.32,12.98,88600
2023-02-14,12.88,12.945,12.41,12.44,95200
2023-02-15,12.25,12.55,12.23,12.26,73700
2023-02-16,12.07,12.44,11.83,12.12,90800
2023-02-17,12.11,12.11,11.6,11.79,92700
2023-02-21,11.51,11.62,10.72,10.86,138900
2023-02-22,10.87,11.22,10.87,11.06,64500
2023-02-23,11.15,11.61,11.15,11.58,75700
2023-02-24,11.37,12.08,10.953,12.01,156300
2023-02-27,12.19,12.38,11.75,12.0,138800
2023-02-28,11.88,12.15,11.78,12.03,150300
2023-03-01,12.06,12.59,12.0,12.49,321200
2023-03-02,12.42,12.72,12.28,12.47,263500
2023-03-03,12.51,12.636,12.12,12.45,210400
2023-03-06,12.52,12.73,12.23,12.43,234300
2023-03-07,12.52,12.95,12.05,12.39,227400
2023-03-08,12.5,12.73,12.28,12.54,174800
2023-03-09,12.6,12.78,12.01,12.05,180200
2023-03-10,12.0,12.28,11.75,12.07,208000
2023-03-13,11.75,12.39,11.7,12.11,152200
2023-03-14,12.57,12.71,12.11,12.2,115500
2023-03-15,11.97,12.416,11.67,11.9,109500
2023-03-16,11.71,12.37,11.45,12.28,106500
2023-03-17,12.26,12.475,12.06,12.12,165700
2023-03-20,12.24,12.29,11.76,12.18,275300
2023-03-21,12.43,12.515,12.135,12.38,174700
2023-03-22,12.39,12.728,12.25,12.38,157600
2023-03-23,12.5,12.71,12.31,12.45,123500
2023-03-24,12.34,12.77,12.16,12.69,105600
2023-03-27,12.84,13.07,12.57,12.65,89300
2023-03-28,12.56,12.86,12.48,12.67,47100
2023-03-29,12.78,13.0,12.66,12.99,77200
2023-03-30,13.0,13.23,12.85,13.16,84900
2023-03-31,13.24,13.47,13.08,13.25,116200
2023-04-03,13.25,13.4,13.12,13.24,95600
2023-04-04,13.19,13.23,12.79,12.8,110300
2023-04-05,12.6,13.05,12.54,13.05,127000
2023-04-06,12.98,13.32,12.78,13.22,116000
2023-04-10,13.12,13.59,13.12,13.42,81400
2023-04-11,13.55,13.89,13.525,13.72,72800
2023-04-12,13.74,13.89,13.51,13.56,63200
2023-04-13,13.6,13.94,13.41,13.71,61600
2023-04-14,13.69,13.97,13.635,13.91,88000
2023-04-17,14.08,14.32,13.75,14.2,168200
2023-04-18,14.12,14.65,14.12,14.6,106100
2023-04-19,14.51,14.64,14.3,14.41,68700
2023-04-20,14.51,15.266,14.51,15.18,149300
2023-04-21,15.16,15.635,15.16,15.53,155700
2023-04-24,15.55,15.78,15.41,15.72,84700
2023-04-25,15.57,15.93,15.51,15.68,116800
2023-04-26,15.57,15.92,14.59,14.6,245200
2023-04-27,14.62,14.995,14.61,14.89,104900
2023-04-28,15.01,15.52,15.01,15.25,160800
2023-05-01,15.69,16.5,15.5,16.08,225000
2023-05-02,16.01,16.055,15.3,15.82,270500
2023-05-03,15.88,16.2,15.59,15.76,115600
2023-05-04,15.8,16.035,15.28,15.4,112000
2023-05-05,15.51,16.14,15.51,16.13,96500
2023-05-08,16.5,17.64,16.475,17.21,295300
2023-05-09,17.2,17.626,16.58,16.64,148800
2023-05-10,16.96,17.37,16.7,17.0,143600
2023-05-11,17.02,17.02,16.5,16.65,106800
2023-05-12,16.71,17.25,16.18,16.2,113200
2023-05-15,16.22,16.71,16.2,16.56,91400
2023-05-16,16.44,16.71,16.295,16.58,78500
2023-05-17,16.64,17.0,16.41,16.92,92700
2023-05-18,17.01,17.56,16.89,17.53,98600
2023-05-19,17.75,17.75,17.01,17.24,179700
2023-05-22,17.25,17.5,16.7,16.76,174400
2023-05-23,16.84,17.34,16.582,17.15,133500
2023-05-24,17.15,18.04,17.15,17.53,200200
2023-05-25,17.68,18.56,17.68,18.02,201600
2023-05-26,18.02,18.29,17.61,17.68,166800
2023-05-30,17.88,18.1,17.62,17.94,149100
