Date,Open,High,Low,Close,Volume
2023-01-13,41.82,42.5,41.8,42.24,71200
2023-01-17,42.34,42.43,41.47,41.69,103600
2023-01-18,41.9,42.26,41.09,41.23,142900
2023-01-19,41.0,41.88,40.85,41.32,131100
2023-01-20,41.7,42.31,41.42,42.28,135100
2023-01-23,42.28,43.59,42.03,43.45,184300
2023-01-24,43.13,44.13,43.13,43.7,140300
2023-01-25,43.45,44.15,43.168,44.05,82500
2023-01-26,44.38,44.73,43.87,44.66,121600
2023-01-27,44.54,45.35,44.45,45.09,632100
2023-01-30,44.98,45.4,44.79,44.84,419100
2023-01-31,45.04,45.61,44.827,45.61,481100
2023-02-01,45.59,46.769,45.35,46.48,370200
2023-02-02,46.95,48.88,46.35,48.82,283300
2023-02-03,48.16,49.13,48.06,48.85,237700
2023-02-06,48.35,48.94,47.85,48.7,167400
2023-02-07,48.37,49.55,48.13,49.52,234800
2023-02-08,49.17,49.63,49.06,49.38,221400
2023-02-09,49.51,49.62,48.89,49.15,168600
2023-02-10,49.03,49.03,48.0,48.67,181100
2023-02-13,48.5,49.06,48.24,49.03,144100
2023-02-14,48.76,49.81,48.64,49.29,124900
2023-02-15,48.83,49.9,48.83,49.71,106100
2023-02-16,49.75,50.23,49.11,49.94,298900
2023-02-17,49.96,50.38,49.38,49.57,194400
2023-02-21,46.88,47.1,37.32,39.33,1338900
2023-02-22,39.88,42.35,39.2,42.35,561500
2023-02-23,42.44,43.78,41.51,43.49,332400
2023-02-24,42.83,43.04,42.46,42.86,227900
2023-02-27,43.36,43.65,42.563,42.81,162100
2023-02-28,42.63,43.11,42.31,42.31,251600
2023-03-01,42.38,42.79,41.772,42.2,179300
2023-03-02,41.7,41.78,41.18,41.31,128300
2023-03-03,41.51,42.12,41.39,41.85,89700
2023-03-06,41.66,41.66,40.75,41.04,265200
2023-03-07,41.03,41.36,40.65,40.66,148600
2023-03-08,40.68,40.85,40.21,40.73,177100
2023-03-09,40.79,40.81,39.84,40.05,260300
2023-03-10,39.65,40.19,37.52,37.73,403600
2023-03-13,36.89,37.57,35.83,36.53,345100
2023-03-14,37.59,38.05,36.53,36.81,230800
2023-03-15,36.03,37.03,35.71,36.78,270900
2023-03-16,36.55,37.77,36.28,37.41,223800
2023-03-17,36.9,37.3,36.27,36.47,552700
2023-03-20,36.98,37.53,36.82,37.35,187300
2023-03-21,38.11,38.83,38.1,38.15,252600
2023-03-22,38.2,38.9,37.93,37.97,166500
2023-03-23,38.28,38.9,37.85,38.65,275300
2023-03-24,38.21,39.175,38.1,39.11,136600
2023-03-27,39.62,39.87,39.4,39.75,115200
2023-03-28,39.57,40.0,39.17,39.98,164900
2023-03-29,40.38,40.67,39.76,39.88,154900
2023-03-30,40.28,40.66,40.01,40.28,151800
2023-03-31,40.62,40.96,40.43,40.86,213500
2023-04-03,40.58,41.38,40.48,41.26,209800
2023-04-04,41.59,41.59,40.73,40.82,161600
2023-04-05,40.49,40.81,40.25,40.72,218600
2023-04-06,40.78,41.1,40.1,40.99,112300
2023-04-10,40.84,41.64,40.705,41.52,266700
2023-04-11,41.86,42.55,41.86,42.16,127500
2023-04-12,42.66,42.9,41.95,42.62,109700
2023-04-13,42.75,43.49,42.425,43.45,155200
2023-04-14,43.41,43.75,43.1,43.73,160500
2023-04-17,43.63,43.7,43.38,43.65,157100
2023-04-18,43.62,43.83,43.509,43.51,145000
2023-04-19,43.32,43.52,43.16,43.49,175400
2023-04-20,43.14,44.81,43.0,44.77,173400
2023-04-21,44.74,45.03,43.99,44.68,125200
2023-04-24,44.53,45.012,44.31,44.56,177400
2023-04-25,44.41,44.41,43.13,43.5,183800
2023-04-26,43.15,43.185,41.79,42.1,140200
2023-04-27,42.55,43.32,42.45,43.25,143400
2023-04-28,43.16,43.47,42.5,43.25,230500
2023-05-01,43.41,43.81,42.38,42.67,140600
2023-05-02,42.69,42.69,41.5,41.78,158800
2023-05-03,41.78,45.15,40.731,44.13,364300
2023-05-04,43.43,43.8,41.45,42.46,180400
2023-05-05,43.0,43.19,42.37,42.45,329200
2023-05-08,42.36,43.26,42.08,42.49,456400
2023-05-09,42.28,44.12,41.74,44.1,185400
