Date,Open,High,Low,Close,Volume
2023-02-13,26.62,26.99,26.44,26.65,830300
2023-02-14,26.37,27.08,26.26,26.94,1214800
2023-02-15,26.59,27.01,26.18,26.8,1002900
2023-02-16,26.67,27.13,26.19,26.23,978000
2023-02-17,26.05,26.25,25.3,26.14,1166000
2023-02-21,26.03,26.75,26.03,26.5,1250800
2023-02-22,26.58,26.86,26.05,26.13,1512900
2023-02-23,26.72,27.06,26.2,26.8,1145500
2023-02-24,26.97,26.97,25.73,26.93,1797400
2023-02-27,27.03,27.5,26.75,27.22,1946300
2023-02-28,27.22,27.44,25.11,25.17,5000500
2023-03-01,25.0,25.98,24.59,25.8,3515700
2023-03-02,25.56,26.2,25.2,25.42,2782200
2023-03-03,25.31,26.05,24.64,25.74,1585100
2023-03-06,25.54,25.93,25.25,25.63,1537400
2023-03-07,25.61,25.76,25.16,25.33,1555700
2023-03-08,25.31,25.67,24.35,24.54,1510300
2023-03-09,24.36,24.72,23.52,23.59,1720600
2023-03-10,23.48,24.08,23.25,23.31,1412900
2023-03-13,22.45,23.18,22.0,22.14,1438400
2023-03-14,22.4,23.22,22.12,22.36,2198800
2023-03-15,21.5,21.7,20.68,21.14,1991300
2023-03-16,20.75,22.26,20.63,22.24,2325900
2023-03-17,22.12,22.64,21.91,22.18,3215000
2023-03-20,22.56,22.9,22.19,22.62,1451600
2023-03-21,23.2,23.28,22.58,22.75,1595100
2023-03-22,22.6,23.71,22.47,22.5,2155600
2023-03-23,22.71,23.34,22.17,22.23,2296700
2023-03-24,21.5,22.09,20.96,21.87,1738800
2023-03-27,22.26,23.17,21.93,23.01,1337900
2023-03-28,22.8,23.58,22.66,23.49,1630600
2023-03-29,23.37,23.54,22.93,23.14,2073600
2023-03-30,23.55,23.55,22.67,22.92,969000
2023-03-31,22.96,23.02,22.61,22.95,1311200
2023-04-03,23.7,23.95,22.89,23.25,1675500
2023-04-04,23.14,23.43,22.03,22.5,1989900
2023-04-05,22.38,23.99,22.38,23.8,2109400
2023-04-06,23.61,23.98,23.17,23.42,1397600
2023-04-10,23.42,24.38,23.42,24.11,1588600
2023-04-11,24.23,25.07,24.23,24.86,1651800
2023-04-12,24.99,25.16,23.91,23.95,1065400
2023-04-13,23.6,23.85,23.15,23.57,1111600
2023-04-14,23.7,23.89,23.1,23.49,1219400
2023-04-17,23.53,23.62,22.67,22.99,1225000
2023-04-18,22.57,22.81,22.19,22.56,1003700
2023-04-19,22.27,22.41,21.75,22.34,1613300
2023-04-20,22.04,22.32,21.94,22.25,1122300
2023-04-21,22.29,22.33,21.68,21.86,1145800
2023-04-24,21.73,22.44,21.64,22.23,1218100
2023-04-25,22.04,22.14,21.37,21.47,1548800
2023-04-26,21.35,21.76,21.03,21.42,1307000
2023-04-27,21.41,21.59,20.88,21.49,1851600
2023-04-28,21.51,21.97,21.41,21.75,1125500
2023-05-01,21.65,22.08,21.44,21.6,1369600
2023-05-02,21.33,21.4,20.23,20.43,2374400
2023-05-03,20.26,20.64,19.4,19.81,2711900
2023-05-04,19.65,20.17,19.39,19.62,1998300
2023-05-05,20.29,21.05,20.18,20.83,1962500
2023-05-08,22.26,23.21,21.08,21.43,4026200
2023-05-09,21.0,22.08,20.89,21.82,2662800
2023-05-10,22.03,22.89,21.84,22.23,2579800
2023-05-11,21.87,22.32,21.87,22.19,1414100
2023-05-12,22.16,22.39,21.78,22.1,1214300
2023-05-15,22.34,22.73,22.13,22.5,1639900
2023-05-16,22.27,22.44,21.26,21.36,1787500
2023-05-17,21.65,22.28,21.26,22.14,2227800
2023-05-18,21.88,22.72,21.75,22.7,865500
2023-05-19,22.84,23.03,22.06,22.36,1313200
2023-05-22,22.47,23.28,22.47,23.04,1035300
2023-05-23,23.14,23.4,22.82,22.85,736600
2023-05-24,23.1,23.63,22.83,23.52,858500
2023-05-25,23.01,23.41,22.71,23.21,1219400
2023-05-26,23.28,23.52,23.12,23.19,940700
2023-05-30,22.84,22.84,22.23,22.46,911300
2023-05-31,22.1,22.38,21.72,22.02,1363500
2023-06-01,22.16,22.25,21.39,21.43,1050400
2023-06-02,22.02,22.96,21.89,22.76,1230800
2023-06-05,22.96,22.96,22.16,22.46,817800
2023-06-06,22.07,23.38,22.07,23.32,1007200
2023-06-07,23.42,24.8,23.3,24.61,2173200
2023-06-08,24.56,24.75,23.87,24.07,1250800
2023-06-09,23.87,24.11,23.53,24.03,1162900
2023-06-12,23.57,23.95,23.35,23.53,880900
2023-06-13,23.97,24.38,23.29,23.29,1113100
2023-06-14,23.54,23.75,22.69,23.08,1081300
2023-06-15,23.15,23.67,23.07,23.64,1149200
2023-06-16,23.78,23.9,23.36,23.6,1474600
2023-06-20,23.55,23.57,22.95,23.26,910500
2023-06-21,23.08,23.91,22.71,23.74,1177800
2023-06-22,23.36,23.64,22.68,23.13,1119700
2023-06-23,22.79,23.49,22.73,23.15,3921200
2023-06-26,23.15,23.62,22.75,23.45,987600
2023-06-27,23.51,23.93,23.0,23.8,1049300
2023-06-28,23.67,23.77,23.31,23.57,1421900
2023-06-29,23.58,23.94,23.38,23.74,1114400
2023-06-30,24.03,24.03,23.51,23.95,870900
2023-07-03,24.1,24.23,23.77,23.93,426500
2023-07-05,24.02,24.02,22.7,22.72,2382600
2023-07-06,22.33,22.68,21.68,22.19,1719000
2023-07-07,22.08,23.24,22.04,23.02,1163100
2023-07-10,23.05,23.16,22.73,22.94,1023500
2023-07-11,23.07,23.97,22.85,23.9,1255100
2023-07-12,24.17,24.57,23.54,23.56,1362700
2023-07-13,23.65,24.19,23.43,23.52,949600
2023-07-14,23.38,23.38,22.87,23.09,877100
2023-07-17,22.97,23.83,22.97,23.54,1523700
2023-07-18,23.43,24.55,23.4,24.02,806200
2023-07-19,24.38,24.64,23.86,24.4,1222300
2023-07-20,24.78,25.0,24.41,24.99,847400
2023-07-21,25.1,25.59,24.74,25.58,1383600
2023-07-24,25.82,26.38,25.71,25.88,959700
2023-07-25,25.89,26.09,25.51,25.54,1008900
2023-07-26,25.34,26.35,25.18,26.27,695800
2023-07-27,26.38,26.83,26.15,26.55,992800
2023-07-28,26.74,27.18,26.55,27.14,937800
2023-07-31,27.44,27.8,27.41,27.59,1424600
2023-08-01,27.52,27.92,27.39,27.65,1381200
2023-08-02,27.71,28.04,27.16,27.95,1446500
2023-08-03,27.82,27.89,27.1,27.67,1955100
