Date,Open,High,Low,Close,Volume
2023-01-13,75.28,75.76,75.18,75.55,165800
2023-01-17,75.53,76.12,75.4,75.59,223900
2023-01-18,76.08,76.63,75.45,76.42,330000
2023-01-19,76.0,77.96,75.71,77.09,449600
2023-01-20,77.19,78.29,76.61,78.29,420700
2023-01-23,78.64,82.0,78.06,79.09,535300
2023-01-24,78.55,79.31,78.39,79.3,349600
2023-01-25,78.83,79.68,78.47,79.19,281200
2023-01-26,79.7,79.99,78.78,79.71,315000
2023-01-27,79.2,80.27,79.2,79.78,270700
2023-01-30,79.07,79.42,78.04,78.06,582000
2023-01-31,78.08,79.62,78.08,79.56,527100
2023-02-01,79.51,80.87,79.2,80.42,495900
2023-02-02,81.3,83.46,80.94,82.67,599000
2023-02-03,85.0,88.06,83.02,86.41,759000
2023-02-06,85.91,85.91,83.91,83.92,676100
2023-02-07,83.64,85.09,83.21,84.81,556600
2023-02-08,84.54,85.7,83.88,84.22,326000
2023-02-09,84.91,85.03,83.64,83.94,487700
2023-02-10,83.21,83.94,83.05,83.71,249800
2023-02-13,83.66,83.85,83.2,83.39,227900
2023-02-14,83.31,83.94,82.7,83.82,453400
2023-02-15,83.21,84.88,83.21,84.72,529100
2023-02-16,83.61,84.89,83.46,84.26,311200
2023-02-17,83.96,84.38,83.13,83.51,452400
2023-02-21,82.82,83.41,82.42,82.45,455200
2023-02-22,82.74,82.93,81.95,82.35,346900
2023-02-23,82.93,83.06,82.22,82.74,224600
2023-02-24,81.88,82.43,81.69,81.96,269200
2023-02-27,82.4,82.56,81.74,82.05,219400
2023-02-28,81.87,82.72,81.76,82.28,461700
2023-03-01,82.04,83.0,81.75,82.21,254900
2023-03-02,82.01,82.96,81.61,82.95,193000
2023-03-03,83.38,83.63,82.81,83.47,266900
2023-03-06,83.49,84.26,82.08,82.34,396500
2023-03-07,82.33,82.82,82.1,82.51,367600
2023-03-08,82.59,83.19,82.13,82.73,228700
2023-03-09,82.87,83.19,81.29,81.64,301100
2023-03-10,81.28,81.67,79.66,80.25,364700
2023-03-13,79.64,80.88,78.47,80.0,322000
2023-03-14,80.95,81.67,80.46,80.95,441300
2023-03-15,79.94,80.54,79.49,79.86,685000
2023-03-16,79.65,82.23,79.06,82.19,398000
2023-03-17,82.43,82.43,80.26,80.75,659300
2023-03-20,81.19,82.9,81.19,82.61,305600
2023-03-21,83.04,83.47,82.32,83.36,382400
2023-03-22,83.33,83.97,82.05,82.06,290800
2023-03-23,82.62,83.45,81.79,82.5,396600
2023-03-24,82.53,83.2,81.78,82.83,442200
2023-03-27,83.06,83.49,82.4,83.44,376200
2023-03-28,83.23,83.59,82.39,83.24,331000
2023-03-29,83.7,84.63,83.0,83.8,266700
2023-03-30,84.08,84.35,83.9,84.33,163700
2023-03-31,84.49,85.44,84.04,85.42,458500
2023-04-03,85.07,85.67,84.78,85.49,264500
2023-04-04,85.36,85.72,84.78,84.97,302900
2023-04-05,84.75,84.83,83.97,84.39,366900
2023-04-06,84.21,84.91,84.14,84.45,275900
2023-04-10,83.74,84.54,83.61,84.43,264800
2023-04-11,84.32,84.84,84.06,84.27,331800
2023-04-12,84.76,85.23,84.43,84.45,237600
2023-04-13,84.58,86.09,84.35,85.91,277500
2023-04-14,85.65,86.4,84.96,85.57,198100
2023-04-17,85.8,85.86,84.92,85.64,198800
2023-04-18,86.0,86.0,85.29,85.8,230800
2023-04-19,85.33,85.89,84.86,85.34,188500
