Date,Open,High,Low,Close,Volume
2023-01-13,26.89,27.71,26.59,27.69,799100
2023-01-17,26.95,27.98,26.3,27.78,975300
2023-01-18,28.45,29.5,27.67,27.86,1376100
2023-01-19,27.09,27.548,26.34,26.45,763100
2023-01-20,26.77,27.88,26.411,27.62,1228600
2023-01-23,27.88,28.805,27.47,28.76,556400
2023-01-24,28.7,29.26,28.07,28.39,531100
2023-01-25,26.81,28.31,25.71,27.96,1125700
2023-01-26,28.68,29.02,27.62,28.84,744200
2023-01-27,28.55,29.94,28.45,29.64,1200900
2023-01-30,29.15,29.9,28.5,29.07,739500
2023-01-31,29.3,29.97,29.15,29.35,835000
2023-02-01,29.52,31.98,28.94,31.47,1248900
2023-02-02,32.72,34.87,32.57,34.69,1939300
2023-02-03,33.14,33.3,30.755,31.0,1940200
2023-02-06,30.5,31.73,29.33,29.79,1375800
2023-02-07,29.66,30.53,28.11,30.4,1322500
2023-02-08,30.31,31.1,29.95,30.05,942400
2023-02-09,30.63,30.88,29.02,29.06,686300
2023-02-10,28.46,29.06,27.37,27.63,1050100
2023-02-13,27.99,29.2,27.6,28.97,923200
2023-02-14,28.52,31.03,28.14,30.61,1289900
2023-02-15,30.5,33.37,30.5,33.0,3484400
2023-02-16,35.0,36.22,31.32,35.58,4714000
2023-02-17,35.91,37.08,34.73,35.33,3226000
2023-02-21,34.77,35.54,33.58,33.65,2446100
2023-02-22,32.54,34.5,32.54,33.35,2112200
2023-02-23,33.5,34.01,32.0,32.75,1730000
2023-02-24,31.9,32.69,30.88,31.44,1849500
2023-02-27,31.77,32.34,30.7,31.15,1839100
2023-02-28,31.15,33.115,31.15,31.98,1913900
2023-03-01,31.88,32.73,31.61,31.75,1401300
2023-03-02,31.2,33.6,30.91,33.4,1623800
2023-03-03,33.51,35.3,33.51,35.27,1581800
2023-03-06,35.77,36.065,34.75,34.87,1232300
2023-03-07,34.97,36.53,34.68,35.79,1755900
2023-03-08,35.75,37.15,35.53,36.8,1792400
2023-03-09,36.2,38.04,34.49,34.55,2156800
2023-03-10,34.22,35.29,32.5,33.0,2519100
2023-03-13,32.05,34.85,31.89,34.24,1990900
