Date,Open,High,Low,Close,Volume
2023-01-13,88.59,90.12,87.75,90.02,63800
2023-01-17,90.08,90.55,87.29,88.63,86900
2023-01-18,89.08,89.67,86.14,86.23,86000
2023-01-19,85.49,87.01,84.72,86.69,73000
2023-01-20,87.48,89.64,85.84,89.56,117000
2023-01-23,89.84,91.7,87.27,90.33,78000
2023-01-24,90.39,93.0,88.8,92.01,147000
2023-01-25,91.95,91.95,90.59,90.98,86900
2023-01-26,92.02,93.53,91.05,93.36,85700
2023-01-27,93.57,94.08,92.57,93.5,59300
2023-01-30,92.6,94.61,92.6,94.39,74600
2023-01-31,95.0,97.28,94.95,97.06,152000
2023-02-01,97.29,99.9,96.25,99.12,141000
2023-02-02,99.8,102.02,99.1,101.68,122100
2023-02-03,101.09,102.25,99.76,99.87,110500
2023-02-06,99.11,101.29,96.08,97.7,90000
2023-02-07,97.23,98.08,93.91,96.48,132300
2023-02-08,96.02,96.18,93.78,93.99,115000
2023-02-09,95.09,96.35,93.73,94.42,112100
2023-02-10,93.92,94.79,93.2,93.96,100200
2023-02-13,94.0,94.98,93.64,94.66,88700
2023-02-14,94.46,95.18,93.21,93.68,72600
2023-02-15,92.72,95.11,90.49,94.24,64700
2023-02-16,93.23,95.41,92.63,94.48,100300
2023-02-17,94.61,97.37,94.61,96.87,58400
2023-02-21,95.86,96.96,93.77,93.77,116700
2023-02-22,93.76,94.08,92.62,93.38,109400
2023-02-23,93.58,94.74,90.9,92.36,100400
2023-02-24,90.96,92.44,89.79,92.33,96900
2023-02-27,93.45,94.1,91.99,93.33,97000
2023-02-28,90.65,94.24,90.38,93.03,140400
2023-03-01,93.31,93.94,89.0,90.69,146000
2023-03-02,89.61,91.73,89.5,91.28,99400
2023-03-03,92.08,92.1,90.35,90.47,128000
2023-03-06,90.37,90.37,83.92,84.88,217100
2023-03-07,84.51,84.86,83.4,84.39,119900
2023-03-08,84.36,85.46,83.49,84.74,112600
2023-03-09,84.91,85.56,84.27,84.83,98600
2023-03-10,84.33,84.38,82.5,83.45,172300
2023-03-13,81.86,83.73,81.08,81.95,115400
2023-03-14,84.02,84.02,82.22,83.0,93400
2023-03-15,81.04,82.54,81.0,82.46,122600
2023-03-16,81.33,84.48,80.96,83.87,118200
2023-03-17,83.24,83.72,81.33,81.97,372600
2023-03-20,82.48,84.34,81.79,81.94,116900
2023-03-21,82.93,83.7,82.26,83.37,125300
2023-03-22,83.09,84.11,81.99,81.99,132800
2023-03-23,82.23,83.51,80.85,81.24,123200
2023-03-24,80.39,82.69,80.26,82.5,92200
2023-03-27,83.0,83.46,82.33,83.1,71400
2023-03-28,82.94,84.11,82.17,83.87,79700
2023-03-29,84.65,84.75,83.26,84.2,103200
2023-03-30,84.8,85.07,83.76,84.34,63300
2023-03-31,84.98,87.15,84.22,86.26,108700
2023-04-03,85.99,86.6,85.02,85.59,62000
2023-04-04,85.81,85.81,82.5,83.46,76500
2023-04-05,82.86,82.89,82.19,82.71,67500
2023-04-06,82.76,84.18,82.29,83.34,60900
2023-04-10,83.22,85.19,82.49,84.92,103200
2023-04-11,85.59,87.35,85.52,86.48,76500
2023-04-12,87.37,87.37,85.56,85.74,55200
2023-04-13,86.27,86.68,85.5,86.38,54500
2023-04-14,86.66,87.56,85.18,85.97,48700
2023-04-17,86.27,86.75,85.6,86.34,47300
2023-04-18,86.41,86.94,84.65,85.02,54300
2023-04-19,84.46,85.14,83.77,84.28,57700
