Date,Open,High,Low,Close,Volume
2023-01-13,8.67,8.7,8.56,8.66,1064200
2023-01-17,8.72,8.78,8.66,8.78,1680000
2023-01-18,8.75,8.8,8.58,8.6,2091900
2023-01-19,8.51,8.68,8.48,8.66,1394500
2023-01-20,8.73,8.9,8.61,8.9,1165000
2023-01-23,8.9,9.06,8.84,9.06,956700
2023-01-24,9.1,9.14,8.92,9.12,838200
2023-01-25,9.09,9.37,9.01,9.34,2007400
2023-01-26,9.42,9.54,9.31,9.53,1683200
2023-01-27,9.44,9.66,9.44,9.6,937400
2023-01-30,9.5,9.6,9.37,9.41,1427600
2023-01-31,9.42,9.7,9.41,9.63,2325000
2023-02-01,9.6,9.81,9.42,9.72,1580000
2023-02-02,9.84,10.02,9.77,9.98,1940200
2023-02-03,9.84,9.99,9.79,9.85,1571900
2023-02-06,9.8,9.82,9.55,9.62,1214900
2023-02-07,9.5,9.73,9.48,9.63,1768300
2023-02-08,9.52,9.69,9.42,9.47,1564200
2023-02-09,9.54,9.62,9.45,9.47,778000
2023-02-10,9.43,9.44,9.14,9.31,1637500
2023-02-13,9.29,9.49,9.23,9.45,1068600
2023-02-14,9.36,9.57,9.3,9.45,1450200
2023-02-15,9.36,9.56,9.36,9.47,1199000
2023-02-16,9.23,9.29,8.9,8.98,3797200
2023-02-17,8.94,8.98,8.77,8.83,2765200
2023-02-21,9.11,9.16,8.6,8.84,2439100
2023-02-22,8.81,8.99,8.74,8.79,3533300
2023-02-23,8.82,9.06,8.61,8.94,2424200
2023-02-24,8.75,8.9,8.66,8.88,1586400
2023-02-27,9.02,9.09,8.83,8.9,1316700
2023-02-28,8.89,8.97,8.68,8.72,1911900
2023-03-01,8.67,8.79,8.65,8.7,2327200
2023-03-02,8.6,8.74,8.59,8.72,1526600
2023-03-03,8.81,8.91,8.72,8.8,1243500
2023-03-06,8.79,8.89,8.7,8.76,1970900
2023-03-07,8.81,8.85,8.6,8.71,1515600
2023-03-08,8.73,8.83,8.63,8.8,1564700
2023-03-09,8.78,8.79,8.32,8.34,2221700
2023-03-10,8.26,8.37,8.11,8.24,2916100
2023-03-13,8.1,8.24,7.99,8.17,2546700
2023-03-14,8.47,8.51,8.16,8.23,2439600
2023-03-15,7.94,8.18,7.92,8.16,4168800
2023-03-16,8.03,8.21,7.87,8.08,2698600
2023-03-17,8.0,8.09,7.72,7.76,6057300
2023-03-20,7.84,8.05,7.83,7.84,5070400
2023-03-21,8.02,8.13,7.89,7.99,2800300
2023-03-22,7.9,7.94,7.5,7.5,2853800
2023-03-23,7.53,7.65,7.33,7.34,1950200
2023-03-24,7.2,7.44,7.14,7.4,4773000
2023-03-27,7.53,7.58,7.39,7.47,2464000
2023-03-28,7.38,7.61,7.35,7.48,3799700
2023-03-29,7.59,7.75,7.56,7.73,2483900
2023-03-30,8.02,8.03,7.7,7.8,1766000
2023-03-31,7.9,8.15,7.87,8.13,2986200
2023-04-03,8.13,8.24,8.01,8.09,2536300
2023-04-04,8.12,8.15,7.94,8.11,1637200
2023-04-05,8.06,8.12,8.02,8.03,2158300
2023-04-06,8.11,8.12,7.99,8.06,1205900
2023-04-10,8.02,8.2,8.0,8.12,2862200
2023-04-11,8.16,8.28,8.11,8.23,3800300
2023-04-12,8.32,8.35,8.04,8.06,2842800
2023-04-13,8.12,8.22,8.06,8.13,2106400
2023-04-14,8.16,8.26,8.0,8.11,1801600
2023-04-17,8.09,8.38,8.07,8.33,4134100
2023-04-18,8.33,8.47,8.21,8.34,1394700
2023-04-19,8.26,8.3,8.18,8.24,1063500
2023-04-20,8.15,8.18,7.99,8.07,1132600
2023-04-21,8.1,8.16,7.99,8.11,1510500
2023-04-24,8.09,8.14,8.02,8.1,896000
2023-04-25,7.97,8.02,7.86,7.91,1361600
2023-04-26,7.84,8.03,7.84,7.89,2316700
2023-04-27,7.95,7.98,7.82,7.96,2254900
2023-04-28,7.91,8.17,7.91,8.11,1492900
2023-05-01,8.11,8.37,8.11,8.25,1762500
2023-05-02,8.2,8.31,7.98,8.15,2787700
2023-05-03,8.17,8.46,8.16,8.22,1552800
2023-05-04,8.15,8.47,8.14,8.42,2212200
2023-05-05,8.37,8.7,8.13,8.48,5119600
2023-05-08,8.49,8.49,8.36,8.46,2620000
2023-05-09,8.34,8.49,8.29,8.45,3934000
2023-05-10,8.61,8.64,8.31,8.4,2508600
2023-05-11,8.27,8.34,7.96,8.09,3741400
2023-05-12,8.1,8.15,8.0,8.07,2473200
2023-05-15,8.08,8.15,8.01,8.09,2020000
2023-05-16,8.06,8.23,7.97,8.05,3035100
2023-05-17,8.11,8.2,8.02,8.11,1920600
2023-05-18,8.07,8.3,8.05,8.23,3468000
2023-05-19,8.31,8.34,8.04,8.1,2253800
2023-05-22,8.11,8.14,7.82,7.93,4340600
2023-05-23,7.93,8.03,7.88,7.91,2725700
2023-05-24,7.84,7.87,7.67,7.69,1651700
2023-05-25,7.66,7.75,7.53,7.72,1321400
2023-05-26,7.71,7.85,7.67,7.84,2915600
2023-05-30,7.9,8.03,7.8,7.87,2021500
2023-05-31,7.89,7.91,7.7,7.85,3037400
2023-06-01,7.84,8.04,7.84,7.88,3444100
2023-06-02,8.05,8.33,8.05,8.3,1692100
2023-06-05,8.21,8.34,8.17,8.24,3092500
2023-06-06,8.21,8.52,8.2,8.49,2355300
2023-06-07,8.59,8.68,8.42,8.49,2308900
2023-06-08,8.43,8.51,8.32,8.48,1638300
2023-06-09,8.43,8.45,8.27,8.3,1731300
2023-06-12,8.29,8.39,8.19,8.25,2179300
2023-06-13,8.29,8.33,8.14,8.14,2174300
2023-06-14,8.21,8.24,8.01,8.15,2502100
2023-06-15,8.14,8.14,7.84,7.99,2291300
2023-06-16,8.08,8.13,7.94,8.01,4120000
2023-06-20,7.99,8.01,7.85,7.87,2928100
2023-06-21,7.8,7.92,7.73,7.85,2715500
2023-06-22,7.86,7.89,7.74,7.79,1435700
2023-06-23,7.63,7.74,7.61,7.65,2613300
2023-06-26,7.59,7.8,7.59,7.65,2256400
2023-06-27,7.64,7.79,7.5,7.76,1645900
2023-06-28,7.77,7.81,7.7,7.74,1807300
2023-06-29,7.68,8.0,7.68,7.99,2821900
2023-06-30,8.05,8.07,7.93,8.01,1869300
2023-07-03,8.03,8.25,7.99,8.23,1059400
2023-07-05,8.16,8.21,8.03,8.13,1849800
2023-07-06,8.01,8.11,7.95,8.08,2010400
2023-07-07,8.11,8.27,8.11,8.13,1510700
2023-07-10,8.08,8.32,8.03,8.31,1306800
2023-07-11,8.33,8.39,8.28,8.34,1157100
2023-07-12,8.53,8.53,8.21,8.21,1719500
2023-07-13,8.2,8.27,8.15,8.17,1971200
2023-07-14,8.13,8.13,7.9,7.96,1863900
2023-07-17,7.92,8.09,7.92,7.97,2123200
2023-07-18,8.0,8.14,7.97,8.14,1068400
2023-07-19,8.21,8.26,8.16,8.23,2018700
2023-07-20,8.24,8.24,8.01,8.07,1447500
2023-07-21,8.09,8.2,8.09,8.13,1919500
2023-07-24,8.13,8.16,8.04,8.1,1302600
2023-07-25,8.1,8.18,7.99,8.17,3073900
2023-07-26,8.15,8.31,8.11,8.11,1288200
2023-07-27,8.18,8.28,8.09,8.1,1924100
2023-07-28,8.18,8.5,8.15,8.43,1669000
2023-07-31,8.4,8.57,8.4,8.5,1666300
2023-08-01,8.47,8.47,8.15,8.38,2146800
2023-08-02,8.26,8.32,8.15,8.26,1820200
2023-08-03,8.14,8.14,7.85,7.88,3670400
2023-08-04,7.9,8.11,7.72,7.93,3802100
2023-08-07,7.95,8.2,7.91,8.12,2037500
2023-08-08,7.98,8.07,7.83,8.01,2896100
2023-08-09,8.03,8.13,7.98,8.06,1892400
2023-08-10,8.07,8.12,7.88,7.92,1140200
2023-08-11,7.87,7.93,7.72,7.81,1834000
2023-08-14,7.73,7.87,7.68,7.86,1759800
2023-08-15,7.75,7.96,7.75,7.85,1908200
2023-08-16,7.85,7.93,7.77,7.81,2020600
2023-08-17,7.8,7.84,7.67,7.68,2055900
2023-08-18,7.59,7.89,7.56,7.86,1994700
2023-08-21,7.87,7.91,7.76,7.87,3208100
2023-08-22,7.85,7.97,7.72,7.89,1809700
2023-08-23,7.95,7.98,7.87,7.88,1536100
2023-08-24,7.84,7.92,7.65,7.65,2146200
2023-08-25,7.65,7.66,7.44,7.5,1464900
2023-08-28,7.65,8.0,7.65,7.89,3123900
2023-08-29,7.87,8.2,7.85,8.15,3871900
2023-08-30,8.13,8.27,8.07,8.14,4645700
2023-08-31,8.15,8.16,8.0,8.06,2635400
2023-09-01,8.19,8.21,8.01,8.01,1363000
2023-09-05,7.91,8.05,7.87,7.99,2241200
2023-09-06,8.0,8.04,7.91,7.95,1823000
2023-09-07,7.89,7.92,7.79,7.84,2540300
2023-09-08,7.86,8.14,7.83,8.12,2319500
2023-09-11,8.12,8.31,8.12,8.2,3854300
2023-09-12,8.2,8.34,8.1,8.31,3307100
2023-09-13,8.3,8.31,8.03,8.03,2122900
2023-09-14,8.14,8.24,7.95,8.12,1693000
2023-09-15,8.05,8.3,7.99,8.25,4272600
2023-09-18,8.22,8.29,8.06,8.1,1722100
2023-09-19,8.14,8.16,8.02,8.03,1265200
2023-09-20,8.09,8.13,7.92,7.94,1891700
2023-09-21,7.89,8.0,7.81,7.84,3222300
2023-09-22,7.86,7.93,7.77,7.77,2258400
2023-09-25,7.7,7.95,7.67,7.9,2338300
2023-09-26,7.82,7.9,7.72,7.73,2985800
2023-09-27,7.8,8.06,7.8,7.98,5180200
2023-09-28,7.95,8.2,7.95,8.09,3373400
2023-09-29,8.16,8.17,7.96,8.03,2798500
2023-10-02,7.99,8.11,7.98,8.07,3029200
2023-10-03,8.01,8.02,7.71,7.75,2203500
2023-10-04,7.81,7.94,7.71,7.92,2760700
2023-10-05,7.91,8.03,7.89,7.99,1736100
2023-10-06,7.95,8.12,7.8,7.98,1550700
2023-10-09,7.89,8.0,7.79,7.95,1772100
2023-10-10,8.0,8.13,8.0,8.07,1026500
2023-10-11,8.11,8.2,7.95,8.08,1868800
2023-10-12,8.12,8.13,7.99,8.08,989100
2023-10-13,8.11,8.11,7.91,7.93,1337200
2023-10-16,8.02,8.18,8.0,8.12,2280100
2023-10-17,8.07,8.31,8.07,8.17,1570100
2023-10-18,8.07,8.13,8.0,8.0,1551400
2023-10-19,7.99,8.11,7.87,7.87,1694800
2023-10-20,7.9,7.96,7.79,7.79,2545100
2023-10-23,7.78,7.89,7.7,7.77,2491800
2023-10-24,7.88,7.98,7.8,7.89,1609400
2023-10-25,7.81,7.91,7.71,7.72,1524300
2023-10-26,7.76,7.85,7.69,7.77,1361700
2023-10-27,7.75,7.75,7.33,7.38,2932900
2023-10-30,7.48,7.74,7.4,7.67,2944300
2023-10-31,7.72,7.77,7.6,7.73,2230100
2023-11-01,7.96,8.0,7.45,7.77,5160700
2023-11-02,7.83,8.25,7.83,8.24,2349300
2023-11-03,8.38,8.59,8.35,8.45,1726700
2023-11-06,8.45,8.48,8.31,8.33,1423800
2023-11-07,8.36,8.36,8.24,8.29,1241900
2023-11-08,8.32,8.32,8.06,8.11,1471800
2023-11-09,8.24,8.24,8.01,8.07,1267900
2023-11-10,8.09,8.23,7.98,8.19,1227000
2023-11-13,8.1,8.27,8.04,8.17,986800
2023-11-14,8.51,8.64,8.4,8.46,2403300
2023-11-15,8.46,8.57,8.38,8.43,1891800
2023-11-16,8.43,8.5,8.28,8.32,1567800
2023-11-17,8.41,8.47,8.38,8.42,1796300
2023-11-20,8.41,8.44,8.35,8.39,1573300
2023-11-21,8.33,8.35,8.15,8.19,1720900
2023-11-22,8.27,8.35,8.22,8.24,1146600
2023-11-24,8.27,8.36,8.22,8.35,441100
2023-11-27,8.29,8.35,8.23,8.31,1297400
2023-11-28,8.32,8.4,8.26,8.36,1614100
2023-11-29,8.42,8.64,8.27,8.28,1980900
