Date,Open,High,Low,Close,Volume
2023-01-13,78.94,80.26,78.1,79.36,417800
2023-01-17,79.31,82.95,79.235,82.55,418600
2023-01-18,83.73,85.84,82.011,83.7,611300
2023-01-19,83.21,84.184,80.51,82.71,415000
2023-01-20,83.7,85.17,82.13,84.58,249800
2023-01-23,84.85,86.87,83.71,86.38,179600
2023-01-24,86.0,87.14,84.39,85.32,151200
2023-01-25,84.26,87.03,82.73,85.82,243500
2023-01-26,87.54,88.35,86.41,87.46,301100
2023-01-27,88.32,94.08,86.58,93.03,541500
2023-01-30,91.69,94.18,91.01,91.76,375400
2023-01-31,92.37,96.29,92.37,95.49,306900
2023-02-01,95.65,98.15,93.52,97.42,329900
2023-02-02,99.29,105.46,99.2,105.3,749400
2023-02-03,98.06,104.55,96.96,99.89,1309200
2023-02-06,99.13,101.08,98.21,99.1,298600
2023-02-07,98.32,98.695,93.02,95.12,898400
2023-02-08,95.25,96.2,93.72,94.82,302200
2023-02-09,96.19,96.479,94.455,95.01,308900
2023-02-10,93.38,93.38,90.19,91.61,509800
2023-02-13,92.29,94.31,91.275,93.33,234900
2023-02-14,92.3,95.695,92.29,94.19,281500
2023-02-15,94.18,97.92,93.51,97.62,366600
2023-02-16,95.91,97.29,94.051,94.1,265000
2023-02-17,94.0,94.0,90.78,91.34,514000
2023-02-21,90.0,91.5,89.54,90.88,221400
2023-02-22,91.52,91.66,88.52,90.04,277800
2023-02-23,90.48,90.99,87.73,89.68,223400
2023-02-24,87.76,88.11,86.355,87.16,461400
2023-02-27,87.75,90.69,87.565,89.0,631600
2023-02-28,88.54,94.4,88.37,90.79,1176900
2023-03-01,103.11,111.41,101.27,110.98,2080600
2023-03-02,110.34,121.33,109.87,119.88,1320400
2023-03-03,116.12,120.379,111.01,119.27,1877500
2023-03-06,119.78,127.52,119.61,127.35,1114900
2023-03-07,127.99,130.495,121.14,123.74,1730500
2023-03-08,123.45,127.13,122.51,126.5,502200
2023-03-09,125.8,126.75,120.88,121.41,458500
2023-03-10,120.94,122.455,116.524,117.78,527400
2023-03-13,116.83,124.26,114.11,122.77,830500
2023-03-14,124.44,125.0,118.935,123.72,924500
2023-03-15,121.56,124.0,119.07,122.91,1535700
2023-03-16,122.91,127.8,122.11,127.37,669300
2023-03-17,127.43,128.922,125.1,126.32,643900
2023-03-20,125.07,129.86,122.873,129.42,481400
2023-03-21,130.2,135.767,129.01,132.125,715200
2023-03-22,131.97,137.47,130.9,136.12,656200
2023-03-23,138.11,139.48,133.02,135.13,835300
2023-03-24,135.6,139.145,134.37,136.51,472600
2023-03-27,136.73,138.0,133.65,136.6,434600
2023-03-28,137.32,139.22,135.645,136.9,698100
2023-03-29,137.44,138.92,135.87,136.99,444200
2023-03-30,137.24,138.48,135.87,136.01,539000
2023-03-31,137.0,146.401,136.28,142.59,974900
2023-04-03,142.05,143.815,139.55,143.08,379900
2023-04-04,144.5,144.91,138.58,139.7,584100
2023-04-05,139.07,139.745,134.24,136.63,435600
2023-04-06,136.63,138.48,132.53,136.73,504000
2023-04-10,134.71,136.18,134.0,134.7,489100
2023-04-11,135.02,136.96,134.08,135.26,547800
2023-04-12,137.36,138.0,134.345,135.01,375300
2023-04-13,137.09,138.37,135.65,136.08,481300
2023-04-14,136.04,137.8,133.975,134.9,533000
2023-04-17,134.72,136.077,129.96,135.31,516100
2023-04-18,137.52,139.17,135.62,139.13,407500
2023-04-19,138.23,142.0,138.23,141.88,420000
2023-04-20,141.0,142.4,137.461,138.24,273700
2023-04-21,137.87,142.45,137.14,140.82,361000
2023-04-24,140.53,144.0,139.95,141.04,390500
