Date,Open,High,Low,Close,Volume
2023-01-13,85.68,87.39,85.22,86.81,155900
2023-01-17,86.79,87.27,86.11,86.17,157800
2023-01-18,86.51,88.23,85.48,85.71,162900
2023-01-19,85.05,85.99,84.68,85.37,182700
2023-01-20,85.89,87.75,84.77,87.56,151600
2023-01-23,87.5,89.71,87.26,89.0,150700
2023-01-24,88.09,88.52,87.75,87.92,132300
2023-01-25,86.62,88.83,85.63,88.02,135200
2023-01-26,88.7,88.94,87.31,88.87,169900
2023-01-27,88.01,90.73,88.01,90.27,253700
2023-01-30,89.68,90.2,88.36,88.41,179000
2023-01-31,88.84,91.17,88.81,90.95,218100
2023-02-01,90.94,93.31,90.01,92.83,179300
2023-02-02,94.2,97.19,93.71,96.78,237300
2023-02-03,95.54,97.8,95.25,95.72,265600
2023-02-06,94.41,95.04,93.32,94.17,158000
2023-02-07,93.35,95.69,92.7,95.4,221300
2023-02-08,94.74,95.15,90.0,91.34,334200
2023-02-09,88.73,90.74,87.11,88.25,396700
2023-02-10,87.85,91.72,87.35,91.59,384600
2023-02-13,91.23,92.39,90.7,91.8,229100
2023-02-14,91.16,92.81,90.87,91.41,210400
2023-02-15,90.7,92.88,90.37,92.72,181200
2023-02-16,91.08,92.9,90.67,91.3,225500
2023-02-17,91.35,92.92,90.41,92.46,190500
2023-02-21,90.97,91.69,89.51,89.54,218900
2023-02-22,89.46,90.22,88.99,89.38,214000
2023-02-23,89.85,90.44,88.25,89.55,137100
2023-02-24,88.1,88.9,87.79,88.42,289600
2023-02-27,89.43,89.92,88.63,88.95,426700
2023-02-28,89.04,89.71,88.45,88.8,426200
2023-03-01,88.76,89.39,87.66,88.25,242700
2023-03-02,87.53,88.33,87.14,88.04,154000
2023-03-03,88.93,88.93,87.65,87.79,197500
2023-03-06,88.01,88.91,87.82,88.21,207900
2023-03-07,88.3,88.7,87.09,87.14,104000
2023-03-08,87.5,88.13,85.85,86.68,126000
2023-03-09,86.98,87.51,85.05,85.06,152200
2023-03-10,84.65,84.86,82.23,82.61,223100
2023-03-13,81.2,82.03,79.74,79.99,273400
2023-03-14,82.87,83.2,80.77,81.89,242800
2023-03-15,79.73,80.82,78.29,80.74,519400
2023-03-16,79.51,83.88,79.51,83.23,399000
2023-03-17,82.87,83.55,80.3,80.51,637500
2023-03-20,81.08,82.25,80.4,80.77,348300
2023-03-21,82.06,82.86,80.97,81.86,338100
2023-03-22,81.75,82.58,78.93,78.99,231800
2023-03-23,79.19,80.27,78.02,78.53,284300
2023-03-24,77.92,79.05,77.33,79.02,178500
2023-03-27,80.04,80.65,79.55,80.4,162800
2023-03-28,80.05,80.76,79.59,80.43,193300
2023-03-29,81.71,81.71,80.7,81.21,116200
