Date,Open,High,Low,Close,Volume
2023-01-13,60.14,61.3,59.88,61.02,302600
2023-01-17,60.89,61.47,60.61,61.16,414400
2023-01-18,61.05,62.11,61.04,61.34,518600
2023-01-19,61.33,62.48,61.33,62.25,802600
2023-01-20,62.19,62.74,61.65,62.68,456900
2023-01-23,62.86,63.27,62.2,62.29,776600
2023-01-24,61.75,62.65,61.59,61.7,481500
2023-01-25,61.5,62.22,61.28,62.12,430600
2023-01-26,62.42,62.73,61.77,61.81,691800
2023-01-27,61.39,61.81,60.48,61.39,1623500
2023-01-30,61.41,61.68,60.78,60.94,562800
2023-01-31,61.33,62.52,61.01,62.45,1251000
2023-02-01,62.23,63.57,61.73,63.21,1420300
2023-02-02,62.97,63.6,61.46,61.51,802300
2023-02-03,61.35,61.6,60.37,61.49,778100
2023-02-06,61.18,61.61,59.37,59.49,567300
2023-02-07,59.2,59.27,57.62,58.87,2113200
2023-02-08,64.9,64.9,59.53,60.46,2287700
2023-02-09,60.97,61.29,60.06,60.79,1411900
2023-02-10,60.8,61.5,60.59,61.35,628200
2023-02-13,61.4,62.08,61.35,61.61,844400
2023-02-14,61.47,62.78,61.01,61.51,985200
2023-02-15,61.13,62.41,61.13,62.15,683600
2023-02-16,61.53,63.26,61.39,62.48,1006800
2023-02-17,62.39,63.06,62.09,62.86,910900
2023-02-21,62.45,62.62,61.0,61.26,560000
2023-02-22,61.39,61.76,61.19,61.48,449600
2023-02-23,61.54,61.58,60.36,60.88,332800
2023-02-24,60.24,60.71,59.9,60.22,534400
2023-02-27,60.54,60.9,60.02,60.12,586900
2023-02-28,59.25,59.25,56.35,56.52,2261300
2023-03-01,56.53,56.57,55.8,56.21,1038500
2023-03-02,55.89,56.1,55.16,55.52,1027800
2023-03-03,55.81,55.81,54.95,55.25,1661500
2023-03-06,55.24,55.93,54.73,54.82,1086000
2023-03-07,54.75,54.79,53.96,54.6,831100
2023-03-08,54.71,55.19,54.31,54.48,916500
2023-03-09,54.6,54.81,53.6,54.05,2149700
2023-03-10,54.06,54.07,52.87,53.38,972200
2023-03-13,53.13,53.7,52.65,52.81,1158900
2023-03-14,53.45,53.75,52.39,53.04,989900
2023-03-15,51.96,52.15,51.15,52.06,1317900
2023-03-16,51.64,53.42,51.55,52.97,853100
2023-03-17,52.82,53.23,51.41,51.55,1044900
2023-03-20,51.88,52.87,51.73,52.5,704400
2023-03-21,53.07,53.41,52.62,53.24,721800
2023-03-22,53.04,53.72,52.38,52.38,529600
2023-03-23,52.3,52.32,51.38,51.76,860500
2023-03-24,51.65,52.4,51.3,52.37,443600
2023-03-27,52.95,53.13,52.46,52.81,509300
2023-03-28,52.64,53.13,52.32,52.63,433300
2023-03-29,52.89,53.06,52.56,52.61,634600
2023-03-30,52.96,53.37,52.65,53.13,577600
2023-03-31,53.33,54.12,53.25,54.1,982200
2023-04-03,54.19,54.66,53.93,54.1,1098500
2023-04-04,59.49,61.35,59.07,60.07,2824700
2023-04-05,60.07,61.51,59.91,61.07,1431200
2023-04-06,61.35,61.45,60.57,60.75,681700
2023-04-10,60.44,61.7,60.44,61.66,564600
2023-04-11,61.65,62.76,61.42,62.18,747700
2023-04-12,62.27,62.27,61.45,61.69,515300
2023-04-13,62.09,62.31,61.81,61.89,467100
2023-04-14,62.03,62.1,61.58,61.86,455700
2023-04-17,61.73,61.95,61.07,61.39,507700
2023-04-18,61.65,61.93,61.4,61.7,783800
2023-04-19,61.61,62.37,61.38,62.23,783100
2023-04-20,62.12,62.12,61.27,61.31,938000
2023-04-21,62.46,64.22,61.8,63.68,1269100
2023-04-24,63.55,64.52,63.37,63.58,771500
2023-04-25,63.75,64.07,63.02,63.34,888800
2023-04-26,63.01,64.29,62.85,63.68,1245100
2023-04-27,63.73,63.97,63.08,63.44,875400
2023-04-28,66.34,66.44,62.77,64.15,1641300
2023-05-01,64.81,65.25,63.98,64.28,791900
2023-05-02,64.15,64.15,62.59,63.3,987700
2023-05-03,63.43,63.65,62.72,62.9,741600
2023-05-04,62.91,63.17,62.04,62.91,457500
2023-05-05,63.35,64.37,62.35,62.46,432200
2023-05-08,62.23,62.6,61.45,62.23,830300
2023-05-09,62.23,62.47,61.37,61.48,485900
2023-05-10,61.97,62.2,61.34,61.45,495700
2023-05-11,61.05,62.04,60.68,61.88,498000
2023-05-12,61.9,62.12,60.97,61.3,438800
2023-05-15,61.33,61.43,60.57,60.95,416400
2023-05-16,60.59,60.81,60.3,60.31,458800
2023-05-17,60.29,60.97,59.79,60.87,438600
2023-05-18,60.52,61.58,60.16,61.53,460800
2023-05-19,62.04,62.5,61.68,61.8,1061000
2023-05-22,61.93,62.46,61.5,62.0,486200
2023-05-23,62.0,62.15,60.81,60.84,729300
2023-05-24,60.56,60.56,59.79,60.13,519400
2023-05-25,59.79,59.99,59.31,59.79,562300
2023-05-26,59.86,60.32,59.66,59.91,662700
2023-05-30,59.79,61.23,59.67,61.13,736800
2023-05-31,61.11,62.32,60.81,62.02,723900
