Date,Open,High,Low,Close,Volume
2023-01-13,42.37,43.41,42.0,43.09,94900
2023-01-17,43.32,43.32,42.44,43.12,179000
2023-01-18,42.96,43.2,42.61,42.97,90700
2023-01-19,42.55,43.01,42.46,42.64,82100
2023-01-20,42.94,43.42,42.5,43.41,113600
2023-01-23,43.13,43.52,42.99,43.13,68400
2023-01-24,43.04,43.83,42.84,43.46,64900
2023-01-25,43.39,43.79,43.37,43.74,57500
2023-01-26,43.73,44.09,43.25,43.27,92600
2023-01-27,43.24,43.24,42.4,42.4,69800
2023-01-30,42.4,43.0,42.4,42.46,70300
2023-01-31,42.47,43.92,42.47,43.87,123100
2023-02-01,43.58,43.87,43.13,43.38,148500
2023-02-02,43.31,43.31,42.05,42.91,121600
2023-02-03,42.75,43.57,42.62,43.38,87600
2023-02-06,43.29,43.78,43.17,43.59,96700
2023-02-07,43.35,44.05,43.23,43.81,61800
2023-02-08,43.53,43.92,43.43,43.43,80700
2023-02-09,43.55,43.74,42.38,42.51,121000
2023-02-10,42.47,43.25,42.47,43.12,82500
2023-02-13,43.23,43.58,43.15,43.45,61300
2023-02-14,43.35,43.44,42.88,42.91,70400
2023-02-15,42.62,43.34,42.62,43.29,64800
2023-02-16,42.88,43.26,42.78,43.02,150600
2023-02-17,44.1,46.12,43.8,45.99,187000
2023-02-21,45.34,45.77,42.39,43.0,160700
2023-02-22,42.94,43.4,41.86,43.17,269200
2023-02-23,43.26,43.54,42.31,43.31,132400
2023-02-24,43.31,44.16,43.09,43.66,129400
2023-02-27,43.92,44.34,43.45,43.9,85200
2023-02-28,43.61,44.87,43.61,44.41,187700
2023-03-01,44.22,44.38,43.36,44.27,91800
2023-03-02,43.97,44.19,43.63,43.75,70800
2023-03-03,43.77,44.07,43.4,43.69,145500
2023-03-06,43.72,43.89,42.92,43.35,117700
2023-03-07,43.34,43.42,42.32,42.94,87400
2023-03-08,43.09,43.46,42.85,43.13,87900
2023-03-09,42.98,43.19,42.19,42.22,102100
2023-03-10,41.8,42.62,41.53,41.82,150900
2023-03-13,41.09,42.09,40.64,40.73,244900
2023-03-14,41.53,42.77,41.4,42.19,286300
2023-03-15,41.2,41.55,40.11,41.14,226100
2023-03-16,40.79,42.95,40.59,42.56,204500
2023-03-17,42.07,42.07,40.28,40.87,1138300
2023-03-20,41.35,42.98,41.35,42.17,194400
2023-03-21,42.78,43.32,42.22,42.4,120100
2023-03-22,42.4,42.71,41.37,41.45,105800
2023-03-23,41.54,41.67,40.87,41.24,141000
2023-03-24,40.97,42.29,40.96,42.17,106700
2023-03-27,42.57,42.8,41.92,42.05,91200
2023-03-28,41.96,42.45,41.85,42.38,72300
2023-03-29,42.39,42.48,41.6,41.76,110800
2023-03-30,41.91,42.03,41.38,41.51,95700
2023-03-31,41.57,41.96,41.46,41.69,239800
2023-04-03,41.61,42.27,41.61,41.84,114500
2023-04-04,42.15,42.15,40.98,41.5,172600
2023-04-05,41.39,42.03,41.39,41.8,108400
2023-04-06,42.02,42.46,41.73,42.37,109000
2023-04-10,42.44,42.84,42.05,42.41,234700
2023-04-11,42.55,42.87,42.2,42.25,135400
2023-04-12,42.45,42.9,42.41,42.45,79600
2023-04-13,42.26,42.64,42.09,42.5,118800
2023-04-14,42.65,42.88,41.81,42.11,90800
2023-04-17,41.96,42.43,41.69,42.41,73400
2023-04-18,42.54,42.59,42.01,42.57,61300
2023-04-19,42.55,42.98,42.49,42.61,83900
2023-04-20,42.62,42.85,42.32,42.77,90700
2023-04-21,42.69,42.89,42.33,42.82,182500
2023-04-24,42.69,43.32,42.51,42.57,74200
2023-04-25,42.21,42.98,42.2,42.34,103800
2023-04-26,41.89,42.05,41.42,41.77,148500
2023-04-27,42.02,42.28,41.49,42.12,74500
2023-04-28,40.25,41.12,39.0,39.59,250700
2023-05-01,39.54,41.18,39.27,40.36,139200
2023-05-02,40.15,40.22,39.19,39.74,226900
2023-05-03,39.81,40.52,39.62,39.66,107400
2023-05-04,39.47,39.47,38.74,39.23,108400
2023-05-05,39.56,40.04,38.66,38.81,106700
2023-05-08,38.81,39.25,38.4,38.5,79800
2023-05-09,38.11,38.57,37.78,37.8,134600
2023-05-10,37.98,38.2,37.49,37.99,119200
2023-05-11,37.56,37.95,37.55,37.95,149900
2023-05-12,38.11,38.16,37.54,37.76,71100
2023-05-15,37.88,37.89,36.78,37.83,318800
2023-05-16,37.76,38.02,37.49,37.58,200200
2023-05-17,37.9,37.97,37.4,37.46,112600
2023-05-18,37.32,37.73,37.2,37.53,113600
2023-05-19,37.93,38.38,37.2,37.44,141400
2023-05-22,37.58,37.58,37.04,37.21,77300
2023-05-23,37.21,37.61,37.15,37.26,98200
2023-05-24,37.13,37.24,36.91,36.91,100800
2023-05-25,36.66,36.82,36.27,36.42,141800
2023-05-26,36.31,36.49,35.68,36.11,72500
2023-05-30,36.15,36.52,35.9,36.28,123700
2023-05-31,36.22,36.52,35.84,36.16,294300
2023-06-01,36.3,36.72,36.05,36.25,175400
2023-06-02,36.65,38.37,36.44,38.31,217300
2023-06-05,37.88,38.14,37.18,37.7,244600
2023-06-06,37.88,39.04,37.82,38.89,197700
2023-06-07,38.94,40.0,38.94,39.73,173500
2023-06-08,39.49,39.49,39.03,39.19,119600
2023-06-09,39.23,39.29,38.64,38.81,109500
2023-06-12,38.73,39.05,38.37,38.58,127300
2023-06-13,38.55,39.21,38.5,38.56,97400
2023-06-14,38.45,38.63,37.63,37.79,112100
2023-06-15,37.65,38.13,37.65,37.88,165600
2023-06-16,38.08,38.74,37.74,38.0,635800
2023-06-20,37.97,38.22,37.41,37.85,150700
2023-06-21,37.88,37.92,37.43,37.46,103300
2023-06-22,37.38,37.44,36.91,37.19,197100
2023-06-23,37.04,37.32,36.66,36.71,249900
2023-06-26,36.72,37.22,36.65,37.08,117500
2023-06-27,37.15,38.55,36.87,37.08,94600
2023-06-28,37.12,37.12,36.58,36.74,109500
2023-06-29,36.85,37.48,36.74,37.26,103900
2023-06-30,37.43,37.76,37.35,37.41,89100
2023-07-03,37.16,37.92,37.16,37.66,63600
2023-07-05,37.27,37.27,36.37,36.71,99100
2023-07-06,36.39,36.64,36.24,36.46,84300
2023-07-07,36.4,36.95,36.4,36.64,144000
2023-07-10,36.51,37.05,36.36,36.43,112900
2023-07-11,36.46,36.54,36.08,36.35,63600
2023-07-12,36.72,36.73,36.17,36.35,78500
2023-07-13,36.28,36.35,36.09,36.15,70800
2023-07-14,36.11,36.11,35.43,35.79,60400
2023-07-17,35.68,36.42,35.68,35.94,74300
2023-07-18,35.84,36.33,35.84,35.96,92600
2023-07-19,35.91,36.3,35.6,36.13,190600
2023-07-20,36.28,36.91,36.15,36.85,100900
2023-07-21,37.07,37.07,36.52,36.6,72900
2023-07-24,36.49,37.35,36.45,37.22,101700
2023-07-25,37.08,37.3,36.9,37.27,127300
2023-07-26,37.13,37.86,37.13,37.71,95100
2023-07-27,40.25,40.25,38.4,38.84,159700
2023-07-28,39.1,39.1,38.53,38.64,129000
2023-07-31,38.65,38.91,38.44,38.63,108600
2023-08-01,38.78,38.81,37.89,38.45,259700
2023-08-02,38.18,39.22,38.18,38.66,111100
2023-08-03,38.47,39.25,38.42,39.06,99600
2023-08-04,38.95,39.38,38.88,39.09,100100
2023-08-07,39.15,40.16,39.15,39.79,110800
2023-08-08,39.14,39.2,38.89,39.11,64100
2023-08-09,38.99,39.28,38.88,39.18,125200
2023-08-10,39.18,39.53,39.01,39.23,82100
2023-08-11,39.08,39.46,39.08,39.36,77700
2023-08-14,39.17,39.32,38.82,39.21,143900
2023-08-15,38.9,39.39,38.9,39.25,101600
2023-08-16,39.14,39.79,39.1,39.4,110500
2023-08-17,39.53,39.7,39.21,39.37,105100
2023-08-18,39.26,39.74,39.25,39.52,103900
2023-08-21,39.59,39.62,38.93,39.03,108000
2023-08-22,38.91,39.27,38.42,38.44,105500
2023-08-23,38.33,39.02,38.33,38.58,113500
2023-08-24,38.39,39.15,38.39,38.84,127500
2023-08-25,38.82,39.22,38.65,38.79,158200
2023-08-28,38.84,39.24,38.79,39.02,87000
2023-08-29,38.88,39.25,38.81,39.2,83400
2023-08-30,39.05,39.61,38.99,39.11,122900
2023-08-31,39.07,39.4,39.07,39.23,138100
2023-09-01,39.39,39.78,39.38,39.4,126300
2023-09-05,39.13,39.66,38.39,38.47,159100
2023-09-06,38.48,38.81,38.44,38.58,134600
2023-09-07,38.76,39.04,38.57,38.83,162100
2023-09-08,38.75,39.06,38.42,38.98,98000
2023-09-11,38.98,39.57,38.98,39.53,95000
2023-09-12,39.46,40.17,39.46,39.65,92200
2023-09-13,39.55,39.73,39.46,39.57,91900
2023-09-14,39.76,40.4,39.74,40.27,137300
2023-09-15,40.18,40.45,39.6,40.05,603400
2023-09-18,40.14,40.43,39.82,40.27,170300
2023-09-19,40.35,40.74,40.0,40.51,105100
2023-09-20,40.71,40.99,40.58,40.61,64600
2023-09-21,40.54,41.23,40.49,41.13,173100
2023-09-22,41.04,41.41,41.03,41.11,136200
2023-09-25,40.96,41.07,40.82,40.82,86000
2023-09-26,40.55,41.13,40.38,40.38,122700
2023-09-27,40.51,40.71,40.22,40.54,123900
2023-09-28,40.52,41.01,40.52,40.89,174900
2023-09-29,40.83,41.04,39.88,39.95,132400
2023-10-02,39.92,39.92,38.71,39.37,132300
2023-10-03,39.33,39.47,39.01,39.02,93400
2023-10-04,38.97,39.5,38.85,39.26,94200
2023-10-05,39.2,40.09,39.2,40.03,114200
2023-10-06,39.88,40.84,39.88,40.27,208500
2023-10-09,40.21,40.93,39.84,40.36,71500
2023-10-10,40.21,40.35,39.81,39.91,101000
2023-10-11,40.0,40.27,38.72,39.98,41000
2023-10-12,40.03,40.03,38.88,39.87,66800
2023-10-13,40.28,40.45,39.86,39.9,56700
2023-10-16,40.18,40.76,40.18,40.51,71400
2023-10-17,40.43,41.78,40.37,41.53,126600
2023-10-18,41.21,41.37,40.82,40.86,54600
2023-10-19,40.85,40.92,39.64,39.88,141600
2023-10-20,40.06,40.06,39.01,39.06,136800
2023-10-23,39.15,39.15,38.53,38.61,122800
2023-10-24,38.87,39.24,38.87,39.14,78600
2023-10-25,38.93,39.98,38.93,39.43,87300
2023-10-26,38.01,38.72,37.22,37.57,148100
2023-10-27,37.63,37.63,36.65,37.15,118700
2023-10-30,37.61,37.91,37.27,37.46,103900
2023-10-31,37.67,38.16,37.65,38.0,268100
2023-11-01,38.06,38.66,37.89,38.54,112300
2023-11-02,38.64,38.76,38.25,38.69,97300
2023-11-03,39.33,39.44,38.48,38.83,136100
2023-11-06,38.63,39.05,38.56,38.92,82000
2023-11-07,38.69,38.69,38.17,38.29,117300
2023-11-08,38.64,38.64,37.89,38.31,81900
2023-11-09,38.4,38.4,37.8,37.98,153400
2023-11-10,38.02,38.17,37.74,38.03,96700
2023-11-13,38.05,38.05,37.33,37.35,163100
2023-11-14,38.03,38.68,37.63,38.65,145100
2023-11-15,38.34,38.55,37.58,37.6,164700
2023-11-16,37.84,38.27,37.83,37.93,96000
2023-11-17,38.09,38.39,37.97,37.99,146500
2023-11-20,37.77,37.88,37.4,37.43,138000
2023-11-21,37.56,38.05,37.54,37.81,87000
2023-11-22,37.95,38.2,37.78,37.97,72000
2023-11-24,38.15,38.51,38.1,38.34,30000
2023-11-27,38.11,38.46,37.87,38.32,140400
2023-11-28,38.43,38.43,37.82,37.97,115900
2023-11-29,37.92,38.02,37.55,37.65,119400
2023-11-30,37.82,38.32,37.82,38.31,127700
2023-12-01,38.21,38.92,38.21,38.56,91000
2023-12-04,38.33,39.23,38.33,38.96,130300
2023-12-05,39.1,39.43,38.96,39.2,131000
2023-12-06,39.28,39.47,38.53,38.74,136600
2023-12-07,38.97,39.08,38.49,39.08,138800
2023-12-08,39.08,39.24,38.78,39.21,94400
2023-12-11,39.02,39.34,38.99,39.24,100700
2023-12-12,39.21,39.52,39.02,39.25,153600
2023-12-13,39.39,39.6,38.98,39.38,206100
2023-12-14,39.78,39.78,38.83,39.01,199000
2023-12-15,39.0,39.08,38.21,38.54,690200
2023-12-18,38.72,38.99,38.35,38.76,235600
2023-12-19,38.72,39.06,38.63,38.87,241400
2023-12-20,38.96,39.58,38.48,39.0,207900
2023-12-21,38.91,39.24,38.52,39.21,182000
2023-12-22,39.48,39.96,39.4,39.55,108000
2023-12-26,39.58,39.81,39.36,39.63,104900
2023-12-27,39.82,39.82,39.38,39.39,120900
2023-12-28,39.43,39.76,39.43,39.52,78900
2023-12-29,39.48,39.51,39.1,39.4,93600
2024-01-02,39.42,39.91,39.41,39.73,117100
2024-01-03,39.9,40.17,39.47,39.48,127700
2024-01-04,39.77,40.13,39.52,39.62,168300
2024-01-05,39.57,39.86,39.44,39.61,130400
2024-01-08,39.76,39.76,39.08,39.48,103100
2024-01-09,39.21,39.21,38.55,38.88,104100
2024-01-10,38.7,38.97,38.64,38.95,105500
2024-01-11,38.78,39.13,38.38,39.04,214000
2024-01-12,39.42,39.65,39.07,39.33,89000
2024-01-16,39.14,39.62,39.02,39.22,109400
2024-01-17,38.91,40.01,38.91,39.99,161600
2024-01-18,40.0,40.32,39.84,40.31,138700
2024-01-19,40.69,40.97,40.41,40.94,95400
2024-01-22,41.13,42.09,41.04,42.04,110900
2024-01-23,42.05,42.56,41.65,41.66,127400
2024-01-24,42.02,42.04,41.53,41.72,91100
2024-01-25,42.06,42.06,41.31,41.46,89200
2024-01-26,41.68,41.68,41.09,41.41,73200
2024-01-29,41.23,41.55,41.16,41.42,83300
2024-01-30,41.31,41.85,41.16,41.83,88100
2024-01-31,41.99,42.6,41.59,41.72,152600
2024-02-01,41.49,41.49,40.28,40.83,110900
2024-02-02,40.68,41.05,40.57,40.77,85600
2024-02-05,40.42,40.57,40.02,40.43,151500
2024-02-06,40.39,40.69,39.88,40.5,113200
2024-02-07,40.51,40.51,39.79,39.81,293500
2024-02-08,39.77,40.94,39.67,40.87,202000
2024-02-09,40.76,41.88,40.63,41.66,124900
2024-02-12,41.73,42.84,41.73,42.56,129900
2024-02-13,42.2,42.43,41.85,42.27,186500
2024-02-14,42.62,42.83,41.95,42.59,154600
2024-02-15,42.81,43.65,42.61,43.32,143100
2024-02-16,44.25,46.78,43.0,45.02,271700
2024-02-20,45.09,45.97,44.35,45.02,289400
2024-02-21,45.25,46.05,45.25,45.4,195800
2024-02-22,45.07,46.36,44.93,46.33,126400
2024-02-23,46.31,46.53,46.05,46.14,99200
