Date,Open,High,Low,Close,Volume
2023-01-13,238.42,251.65,238.42,245.83,3965500
2023-01-17,249.08,260.98,245.17,251.06,4428000
2023-01-18,255.0,260.0,245.4,250.31,3632200
2023-01-19,245.9,249.25,222.91,222.97,6219700
2023-01-20,224.75,227.9,219.83,222.54,6102200
2023-01-23,223.58,234.33,217.97,228.44,4818300
2023-01-24,222.5,223.95,215.28,219.47,5967600
2023-01-25,207.17,211.71,201.68,210.32,6627900
2023-01-26,213.9,214.49,203.61,208.02,3510100
2023-01-27,206.65,213.59,204.67,210.09,3731400
2023-01-30,208.43,217.99,206.25,212.22,4017900
2023-01-31,212.17,221.58,212.15,221.38,4161900
2023-02-01,221.26,229.64,216.91,227.14,4137600
2023-02-02,232.7,235.9,222.2,227.7,4405200
2023-02-03,220.0,227.9,219.43,222.93,2506100
2023-02-06,224.13,231.68,220.57,222.99,3758700
2023-02-07,225.88,230.11,219.56,228.46,6312300
2023-02-08,246.9,247.0,214.79,218.87,14098000
2023-02-09,221.71,222.49,202.76,209.6,9220400
2023-02-10,208.91,220.29,206.86,212.07,6710900
2023-02-13,212.88,217.07,208.5,212.57,3597000
2023-02-14,208.0,211.39,199.03,208.35,6190900
2023-02-15,208.88,218.62,207.17,217.87,4543500
2023-02-16,212.5,217.12,202.67,202.8,4941000
2023-02-17,202.65,206.58,202.04,204.99,4082800
2023-02-21,203.69,207.0,200.5,201.65,3275600
2023-02-22,202.47,205.0,198.5,203.57,2399700
2023-02-23,207.0,208.82,198.13,204.71,2971800
2023-02-24,199.46,203.16,196.25,198.96,2776800
2023-02-27,205.47,213.28,203.36,210.78,4119800
2023-02-28,209.82,213.49,207.15,210.53,2807000
2023-03-01,212.21,216.39,210.0,212.95,2633000
2023-03-02,209.34,212.35,207.44,211.56,1804100
2023-03-03,213.36,219.18,210.77,217.16,2547300
2023-03-06,218.57,230.44,217.61,225.35,4529600
2023-03-07,225.17,227.67,219.46,224.21,2938500
2023-03-08,222.72,223.58,213.66,218.31,3170400
2023-03-09,219.18,224.41,214.65,215.85,2564000
2023-03-10,217.07,221.52,207.54,210.22,3675700
2023-03-13,209.17,215.59,203.11,211.53,3146900
2023-03-14,216.59,221.49,209.21,213.01,2946300
2023-03-15,209.98,211.97,198.69,205.76,3910100
2023-03-16,204.92,205.58,198.28,201.1,3538600
2023-03-17,200.7,200.7,181.55,183.64,8717500
2023-03-20,189.59,196.88,185.2,192.51,5073500
2023-03-21,196.93,209.35,195.29,207.63,5470700
2023-03-22,209.65,211.22,201.75,202.15,4009400
2023-03-23,207.2,214.85,201.83,204.66,3430900
2023-03-24,202.35,203.55,192.36,195.99,4038900
2023-03-27,199.36,200.27,191.6,195.83,2769500
2023-03-28,196.0,196.6,190.62,193.52,1811100
2023-03-29,196.75,205.8,191.35,203.95,3643000
2023-03-30,209.44,214.19,203.81,205.27,3051200
2023-03-31,206.02,212.13,205.81,210.28,2776800
2023-04-03,213.98,215.89,201.63,202.6,3609600
2023-04-04,202.89,203.2,198.65,202.54,2164100
2023-04-05,200.0,201.71,187.73,193.67,3914900
2023-04-06,191.43,192.0,187.15,191.0,2907800
2023-04-10,189.09,195.9,188.51,195.8,1978600
2023-04-11,195.9,199.04,193.12,196.88,1638900
2023-04-12,199.9,201.26,195.81,196.03,1991400
2023-04-13,200.01,211.59,198.52,209.69,4395700
2023-04-14,209.77,214.65,204.6,208.9,2996400
2023-04-17,215.0,229.24,214.78,224.92,7481800
2023-04-18,225.43,231.42,222.23,227.87,3599200
2023-04-19,225.06,228.5,222.28,224.27,2234300
2023-04-20,220.5,226.26,219.3,224.79,2516400
2023-04-21,223.75,226.77,219.9,223.61,2661300
2023-04-24,223.61,225.32,214.53,224.6,3468900
2023-04-25,222.41,228.36,220.27,220.6,4423300
2023-04-26,178.63,183.31,160.61,163.83,25345200
2023-04-27,166.53,169.12,162.37,164.18,8898200
2023-04-28,163.32,164.3,156.31,164.2,7878600
2023-05-01,164.0,166.64,159.7,160.59,5245200
2023-05-02,158.73,158.88,152.15,152.88,5177300
2023-05-03,153.41,158.63,152.63,155.42,4434200
2023-05-04,158.87,159.88,154.63,155.42,4198800
2023-05-05,157.59,160.7,154.82,159.65,3402900
2023-05-08,161.7,164.56,158.45,163.29,2784200
2023-05-09,161.01,161.74,156.31,157.83,3613700
2023-05-10,158.98,162.03,157.59,161.42,2957800
2023-05-11,159.4,162.72,159.06,160.79,1969900
2023-05-12,163.86,172.6,163.84,167.55,6722100
2023-05-15,167.71,172.11,165.59,168.71,3397400
2023-05-16,167.35,169.0,160.8,160.96,3329700
2023-05-17,161.3,165.59,159.09,163.73,2930200
2023-05-18,163.27,164.57,159.6,163.72,2503500
2023-05-19,165.35,166.72,161.52,162.37,3104300
2023-05-22,162.8,166.95,162.66,164.65,2622800
2023-05-23,162.38,166.14,161.54,162.83,2664600
2023-05-24,160.25,164.33,158.81,164.05,2458700
2023-05-25,165.36,165.37,161.55,164.59,2562800
2023-05-26,165.66,166.88,161.85,165.2,2686300
2023-05-30,167.72,175.81,167.3,174.12,4056600
2023-05-31,173.85,176.22,169.3,173.88,3659000
2023-06-01,174.25,184.06,172.3,181.47,3087200
2023-06-02,187.87,187.99,179.73,181.86,3048300
2023-06-05,183.64,186.7,180.25,182.73,2743000
2023-06-06,180.56,185.85,179.73,182.61,2100100
2023-06-07,184.05,186.8,181.67,182.09,2496100
2023-06-08,182.1,183.94,179.53,181.4,1803700
2023-06-09,182.77,182.8,174.48,174.58,2594800
2023-06-12,172.83,177.11,169.63,176.89,3129900
2023-06-13,179.99,184.2,175.8,179.66,3123100
2023-06-14,179.0,180.93,174.65,179.2,2985700
2023-06-15,177.35,182.06,175.46,180.51,3574900
2023-06-16,183.29,184.92,176.58,181.81,4630100
2023-06-20,181.9,182.0,168.3,171.99,5351600
2023-06-21,171.8,174.17,167.28,167.99,3376700
2023-06-22,164.84,165.3,156.01,162.53,5989400
2023-06-23,159.72,162.17,155.87,158.69,4462300
2023-06-26,159.18,162.56,158.23,159.21,2770500
2023-06-27,160.0,161.42,157.16,161.03,3014200
2023-06-28,160.0,164.7,158.65,161.42,2919200
2023-06-29,162.31,165.1,157.43,158.77,3414000
2023-06-30,162.34,168.77,159.7,167.48,5161800
2023-07-03,169.59,173.72,168.23,169.55,2499200
2023-07-05,169.32,169.98,164.15,165.34,3059700
2023-07-06,163.0,164.33,160.06,161.38,3040600
2023-07-07,162.53,169.5,162.29,166.17,3292200
2023-07-10,166.13,176.24,163.44,175.47,4021800
2023-07-11,175.48,177.02,172.71,173.78,2812800
2023-07-12,178.0,183.87,177.81,182.8,5125800
2023-07-13,186.0,186.36,181.03,182.64,3124100
2023-07-14,183.29,183.57,176.9,177.94,3396200
2023-07-17,178.11,191.31,175.5,189.67,4687300
2023-07-18,189.67,192.22,183.03,184.05,4479100
2023-07-19,186.0,189.5,184.29,185.49,2985600
2023-07-20,178.62,180.54,175.65,175.92,4808900
2023-07-21,178.0,179.71,174.83,177.48,4534500
2023-07-24,178.98,179.87,175.03,177.81,2658500
2023-07-25,178.47,182.26,178.01,179.47,2901000
2023-07-26,170.0,176.0,168.33,173.36,5607500
2023-07-27,175.15,175.59,166.25,166.8,8267000
2023-07-28,150.0,154.91,145.67,154.33,15657500
2023-07-31,154.25,156.67,150.35,151.83,5486300
2023-08-01,150.45,153.56,149.92,150.32,3959000
2023-08-02,145.0,145.5,139.89,140.69,7200600
2023-08-03,140.0,144.25,139.28,140.36,3798900
2023-08-04,140.76,144.4,138.96,140.0,4041700
2023-08-07,140.0,140.12,132.48,135.45,5600400
2023-08-08,133.78,135.95,133.12,135.77,2995300
2023-08-09,136.63,139.49,134.77,138.46,3218700
2023-08-10,139.08,141.19,135.69,136.46,2999200
2023-08-11,134.4,136.06,133.3,135.2,2230500
2023-08-14,134.01,138.62,131.67,138.59,2481200
2023-08-15,138.12,138.12,134.45,134.56,2126700
2023-08-16,132.76,136.95,132.18,132.88,2507100
2023-08-17,132.31,133.19,130.4,131.44,2926600
2023-08-18,129.26,132.09,128.56,130.34,2891600
2023-08-21,130.63,132.19,129.22,130.16,2396200
2023-08-22,130.8,130.99,127.34,128.32,2668600
2023-08-23,128.71,131.4,127.17,130.36,2438700
2023-08-24,130.98,131.09,121.76,122.34,5484200
2023-08-25,121.94,125.03,120.9,124.09,2955100
2023-08-28,125.69,126.49,123.9,125.3,2352800
2023-08-29,125.41,129.79,124.46,129.05,3135100
2023-08-30,129.53,130.3,127.02,128.11,1806000
2023-08-31,128.08,129.38,126.04,126.53,2407000
2023-09-01,128.99,132.33,127.98,128.73,2808700
2023-09-05,127.3,130.5,127.06,127.77,2384000
2023-09-06,127.21,127.69,122.05,123.03,2787700
2023-09-07,121.0,122.34,118.14,122.23,3411200
2023-09-08,122.11,122.29,119.51,120.23,2864300
2023-09-11,122.3,124.14,120.3,122.19,3200400
2023-09-12,120.42,124.39,119.46,123.35,3162900
2023-09-13,123.3,123.68,118.59,119.6,3538600
2023-09-14,121.25,123.4,119.89,122.31,3454500
2023-09-15,121.5,122.79,119.44,120.3,3613300
2023-09-18,119.15,119.3,116.86,117.16,3600800
2023-09-19,119.5,124.19,119.4,122.09,5732900
2023-09-20,122.28,127.47,121.05,123.97,4523100
