Date,Open,High,Low,Close,Volume
2023-02-06,9.49,9.56,8.97,9.25,434900
2023-02-07,9.39,9.39,8.99,9.25,2663100
2023-02-08,9.21,9.395,9.06,9.07,316200
2023-02-09,9.09,9.31,8.95,9.2,298600
2023-02-10,8.61,9.25,7.79,9.05,2732500
2023-02-13,9.06,9.46,8.92,9.02,408100
2023-02-14,9.0,9.35,8.94,9.2,462800
2023-02-15,9.15,9.43,9.05,9.37,317200
2023-02-16,9.32,9.5,9.15,9.42,236100
2023-02-17,9.5,9.72,9.112,9.28,2244100
2023-02-21,9.25,9.25,8.63,8.78,690100
2023-02-22,8.82,9.12,8.69,8.89,416800
2023-02-23,8.91,9.095,8.65,8.86,255000
2023-02-24,8.73,8.92,8.62,8.8,278500
2023-02-27,8.96,9.165,8.73,8.88,203800
2023-02-28,8.85,9.16,8.85,9.07,299100
2023-03-01,9.11,9.21,9.01,9.05,314800
2023-03-02,9.0,9.1,8.875,8.91,229200
2023-03-03,8.99,9.278,8.89,9.21,289700
2023-03-06,9.25,9.41,9.01,9.2,307200
2023-03-07,9.19,9.31,9.04,9.17,236800
2023-03-08,9.17,9.17,8.75,8.86,394300
2023-03-09,8.76,9.02,8.4,8.58,897800
2023-03-10,8.55,8.56,7.97,8.07,855900
2023-03-13,7.99,8.634,7.93,8.46,494600
2023-03-14,8.54,8.75,8.247,8.71,856600
2023-03-15,8.5,8.73,8.395,8.56,446200
2023-03-16,8.46,8.92,8.45,8.49,377700
2023-03-17,8.46,8.67,8.28,8.37,606200
2023-03-20,8.32,8.515,8.18,8.41,275100
2023-03-21,8.5,8.61,8.4,8.42,259700
2023-03-22,8.42,8.605,8.27,8.29,270000
2023-03-23,8.33,8.495,8.115,8.25,309000
2023-03-24,8.2,8.48,8.13,8.44,197100
2023-03-27,8.47,8.53,8.31,8.41,147000
2023-03-28,8.39,8.39,8.14,8.21,207600
2023-03-29,8.31,8.36,8.18,8.34,211600
2023-03-30,8.39,8.48,8.195,8.35,169300
2023-03-31,8.4,8.56,8.27,8.46,328000
2023-04-03,8.43,8.62,8.33,8.46,211100
2023-04-04,8.47,8.48,8.295,8.37,387400
2023-04-05,8.41,8.55,8.28,8.32,240000
2023-04-06,8.29,8.41,8.27,8.39,121500
