Date,Open,High,Low,Close,Volume
2023-01-13,24.12,24.53,23.95,24.45,682100
2023-01-17,24.75,25.01,24.465,24.64,1803100
2023-01-18,24.62,24.94,24.38,24.46,1875900
2023-01-19,24.41,24.65,24.33,24.38,1204100
2023-01-20,24.45,24.541,23.91,24.1,1174700
2023-01-23,24.15,24.49,24.02,24.4,560900
2023-01-24,24.58,24.73,24.125,24.2,991300
2023-01-25,24.14,24.45,24.0,24.33,538700
2023-01-26,24.47,24.83,24.32,24.67,708700
2023-01-27,24.55,24.915,24.55,24.76,385700
2023-01-30,24.64,25.08,24.64,24.9,377200
2023-01-31,24.75,25.5,24.75,25.48,981800
2023-02-01,25.37,25.61,24.74,25.16,568900
2023-02-02,25.37,25.735,24.92,25.43,778000
2023-02-03,25.2,25.47,24.98,25.39,597800
2023-02-06,25.22,25.405,25.03,25.08,575600
2023-02-07,24.91,25.145,24.75,25.02,748900
2023-02-08,24.8,25.115,24.8,24.95,609200
2023-02-09,24.96,25.14,24.45,24.6,504100
2023-02-10,24.57,25.14,24.55,25.07,477600
2023-02-13,25.11,25.31,25.11,25.2,445500
2023-02-14,25.15,25.3,24.65,24.67,424700
2023-02-15,24.5,25.06,24.5,24.88,657800
2023-02-16,24.5,25.62,24.45,25.41,980300
2023-02-17,25.58,26.24,25.23,25.89,4277100
2023-02-21,25.89,25.89,25.44,25.66,1337500
2023-02-22,25.8,25.93,25.16,25.21,998900
2023-02-23,25.37,25.84,25.33,25.8,1061500
2023-02-24,25.55,25.865,25.29,25.83,1175600
2023-02-27,26.1,26.29,25.805,25.98,694400
2023-02-28,25.99,26.43,25.76,25.76,1691300
2023-03-01,25.58,25.68,25.19,25.51,970100
2023-03-02,25.41,26.16,25.36,26.14,642700
2023-03-03,26.3,26.3,26.1,26.19,721100
2023-03-06,26.16,26.27,25.59,25.77,1154200
2023-03-07,25.83,25.83,25.11,25.42,551900
2023-03-08,25.47,25.67,25.22,25.41,539400
2023-03-09,25.62,25.62,25.185,25.22,579200
2023-03-10,25.14,25.2,23.91,24.04,937900
2023-03-13,23.79,24.63,23.69,24.23,1457400
2023-03-14,24.89,24.91,24.21,24.48,941000
2023-03-15,24.04,24.38,23.81,24.26,900500
2023-03-16,23.98,24.59,23.85,24.32,1179100
2023-03-17,24.13,24.42,23.97,24.29,2560300
2023-03-20,24.52,24.92,24.35,24.77,1038600
2023-03-21,24.9,25.04,24.11,24.29,896400
2023-03-22,24.18,24.21,23.21,23.24,830000
2023-03-23,23.35,23.67,22.94,23.11,693500
2023-03-24,23.0,23.73,22.86,23.72,935300
2023-03-27,23.95,24.04,23.705,23.81,522200
2023-03-28,23.7,23.98,23.54,23.96,617700
2023-03-29,24.13,24.29,24.05,24.18,587900
2023-03-30,24.16,24.34,24.115,24.27,571800
2023-03-31,24.5,24.86,24.5,24.85,836100
2023-04-03,24.82,25.04,24.5,24.69,861800
2023-04-04,24.69,24.72,24.15,24.47,626700
2023-04-05,24.51,24.52,24.03,24.11,782300
2023-04-06,24.33,24.43,24.04,24.3,640700
2023-04-10,24.22,24.66,24.11,24.51,877400
2023-04-11,24.55,24.79,24.42,24.67,1085800
2023-04-12,24.86,25.02,24.47,24.53,800400
2023-04-13,24.63,24.63,24.26,24.55,565900
2023-04-14,24.59,24.79,23.96,24.09,353800
2023-04-17,24.04,24.5,24.01,24.49,679500
2023-04-18,24.48,24.54,24.03,24.25,567100
2023-04-19,24.12,24.35,23.98,24.35,434700
2023-04-20,24.18,24.42,24.09,24.38,539400
2023-04-21,24.45,24.51,24.11,24.18,900700
2023-04-24,24.3,24.3,23.525,23.81,826700
2023-04-25,23.67,24.09,23.67,23.99,448300
2023-04-26,23.64,24.19,23.57,23.89,1029000
2023-04-27,23.59,24.97,23.59,24.76,1412200
2023-04-28,24.78,25.015,24.512,24.75,799700
2023-05-01,24.68,25.1,24.53,24.64,711700
2023-05-02,24.62,24.825,23.92,24.43,838900
2023-05-03,24.58,25.13,24.33,24.83,1261300
2023-05-04,24.71,25.295,24.6,25.18,777100
2023-05-05,25.4,25.705,25.05,25.22,696400
2023-05-08,25.15,25.41,25.12,25.31,462900
2023-05-09,25.33,25.33,24.82,24.84,874100
2023-05-10,25.14,25.22,24.69,25.03,538800
2023-05-11,24.79,24.93,24.5,24.82,985200
2023-05-12,24.91,24.93,24.63,24.87,426500
2023-05-15,24.87,25.17,24.82,25.07,338500
2023-05-16,25.03,25.09,24.52,24.52,425000
2023-05-17,24.57,24.74,24.358,24.66,478500
2023-05-18,24.6,24.64,24.28,24.47,533500
2023-05-19,24.69,24.81,24.34,24.46,696200
2023-05-22,24.51,24.72,24.29,24.35,886200
2023-05-23,24.34,24.52,24.18,24.2,779000
2023-05-24,24.12,24.16,23.88,23.93,800700
2023-05-25,23.91,23.98,23.375,23.58,547200
2023-05-26,23.62,24.05,23.48,23.93,623700
2023-05-30,24.09,24.2,23.845,23.88,777100
2023-05-31,23.96,24.18,23.84,23.93,1788300
2023-06-01,23.95,24.13,23.74,23.87,1027900
2023-06-02,24.15,24.55,24.1,24.52,908900
2023-06-05,24.39,24.54,24.11,24.34,712300
2023-06-06,24.44,24.91,24.41,24.84,803000
2023-06-07,24.91,25.12,24.8,24.92,1375000
2023-06-08,24.86,24.95,24.445,24.5,1039300
2023-06-09,24.44,24.69,24.38,24.65,597200
2023-06-12,24.57,24.6,24.24,24.5,737500
2023-06-13,24.5,24.96,24.405,24.64,1123100
2023-06-14,24.89,24.94,24.39,24.65,1627300
2023-06-15,24.79,24.79,24.39,24.61,1102800
2023-06-16,24.75,24.91,24.42,24.67,2629800
2023-06-20,24.58,24.615,24.22,24.29,895900
2023-06-21,24.2,24.27,23.785,23.83,785400
2023-06-22,23.86,23.95,23.295,23.39,1081600
2023-06-23,23.15,23.42,22.89,22.91,2850200
2023-06-26,22.86,23.165,22.77,23.06,626700
2023-06-27,23.13,23.39,23.01,23.33,828400
2023-06-28,23.33,23.48,23.13,23.46,957700
2023-06-29,23.13,23.97,23.13,23.89,1365100
