Date,Open,High,Low,Close,Volume
2023-01-13,92.83,94.97,92.83,94.3,71500
2023-01-17,93.87,94.76,92.96,93.6,70600
2023-01-18,93.55,94.73,93.11,93.83,99200
2023-01-19,92.96,93.2,91.55,91.76,83600
2023-01-20,92.51,94.84,92.25,93.33,113200
2023-01-23,93.31,93.51,92.31,93.01,39600
2023-01-24,92.54,95.03,92.3,94.29,55500
2023-01-25,93.73,93.73,92.09,92.98,49900
2023-01-26,93.71,94.35,92.33,94.34,52100
2023-01-27,93.75,95.47,93.75,94.23,48000
2023-01-30,93.37,94.8,93.37,93.66,39500
2023-01-31,94.07,98.6,93.7,98.44,195100
2023-02-01,97.99,100.64,97.56,99.22,147300
2023-02-02,99.45,101.15,99.45,99.91,104200
2023-02-03,98.92,101.42,98.92,99.73,85900
2023-02-06,99.92,100.79,98.94,99.74,97600
2023-02-07,98.74,101.46,98.29,101.05,99900
2023-02-08,100.01,101.4,99.43,99.6,64400
2023-02-09,99.0,101.52,87.75,93.48,284200
2023-02-10,93.44,96.23,92.85,95.19,114700
2023-02-13,95.3,96.5,94.55,95.99,78500
2023-02-14,95.49,95.82,94.15,94.17,59200
2023-02-15,93.54,95.74,93.54,95.56,53900
2023-02-16,94.17,97.39,93.65,96.08,95000
2023-02-17,97.03,98.3,96.17,97.9,90900
2023-02-21,96.95,96.95,93.03,93.33,88100
2023-02-22,93.66,95.5,93.32,94.01,111700
2023-02-23,94.66,94.66,92.61,92.72,58700
2023-02-24,91.54,93.11,90.77,92.32,64900
2023-02-27,93.42,94.12,92.4,92.59,53100
2023-02-28,92.54,94.3,92.54,93.19,85900
2023-03-01,92.91,94.81,92.91,93.69,50200
2023-03-02,93.03,94.41,92.92,94.33,51700
2023-03-03,94.91,95.41,93.56,94.75,52300
2023-03-06,94.6,94.88,90.76,91.41,119100
2023-03-07,91.83,92.39,90.6,92.03,83200
2023-03-08,92.48,93.0,91.61,92.56,78300
2023-03-09,93.01,93.59,90.92,91.07,77000
2023-03-10,90.77,90.77,87.85,88.58,93000
2023-03-13,86.91,88.53,86.56,87.17,72400
2023-03-14,89.7,90.41,88.44,89.82,88500
2023-03-15,87.46,88.5,85.5,87.0,98700
2023-03-16,85.76,89.51,85.68,88.87,87200
2023-03-17,88.13,88.7,86.44,87.26,362300
2023-03-20,88.19,89.96,88.19,88.47,91700
2023-03-21,90.15,91.49,88.98,89.44,120600
2023-03-22,89.6,90.38,87.89,88.01,73300
2023-03-23,88.31,89.54,86.88,88.67,128600
2023-03-24,87.84,90.13,87.13,90.13,108800
2023-03-27,91.43,91.63,90.28,90.85,72800
2023-03-28,90.36,92.23,90.36,92.19,64700
2023-03-29,92.86,92.86,91.82,92.25,77800
2023-03-30,92.76,93.35,92.3,93.35,62400
2023-03-31,93.99,95.48,93.82,95.45,156000
2023-04-03,95.44,95.62,93.04,94.68,77000
2023-04-04,94.97,94.97,91.69,92.5,111000
2023-04-05,91.92,92.12,90.48,91.57,112900
2023-04-06,91.59,92.09,90.4,91.85,87300
2023-04-10,91.04,93.38,90.91,93.13,135100
2023-04-11,93.33,94.4,93.01,93.61,73400
2023-04-12,94.0,95.26,93.61,95.05,45200
2023-04-13,95.22,96.04,93.45,95.85,55600
2023-04-14,95.85,96.63,95.13,95.56,85500
2023-04-17,95.45,96.12,95.16,95.57,52300
2023-04-18,95.76,96.71,95.26,96.21,63600
2023-04-19,95.63,96.96,95.63,96.13,77300
2023-04-20,95.69,98.06,95.69,97.84,64200
2023-04-21,98.26,98.26,96.89,97.76,57100
2023-04-24,97.48,98.18,97.04,97.65,46600
2023-04-25,96.55,97.24,95.03,95.07,58700
2023-04-26,93.92,93.93,91.52,91.98,73100
2023-04-27,91.98,94.06,91.98,93.89,43300
2023-04-28,93.41,94.78,93.34,93.57,60200
2023-05-01,93.59,95.87,93.59,94.65,69700
2023-05-02,93.97,95.38,91.97,95.21,93900
2023-05-03,95.13,98.0,95.13,96.55,97300
2023-05-04,95.66,95.66,93.38,93.98,54900
2023-05-05,95.6,97.66,95.6,97.17,59600
2023-05-08,96.9,97.0,95.25,96.43,36300
2023-05-09,95.53,96.44,95.22,95.76,52300
2023-05-10,98.07,98.07,95.54,97.52,60800
2023-05-11,97.07,98.03,97.02,97.51,92500
2023-05-12,98.21,98.4,96.65,97.14,55900
2023-05-15,97.61,97.85,96.1,96.32,105300
2023-05-16,96.04,96.05,94.89,95.26,51900
2023-05-17,95.59,97.5,95.15,96.71,80800
2023-05-18,96.28,96.68,94.85,95.18,120100
2023-05-19,96.2,96.42,94.68,95.02,84200
2023-05-22,95.65,96.26,94.74,94.92,62100
2023-05-23,94.6,94.79,92.51,92.52,85600
2023-05-24,91.3,92.0,90.0,90.94,125700
2023-05-25,90.63,92.56,90.3,92.52,83700
2023-05-26,92.32,93.72,92.32,92.88,53700
2023-05-30,92.96,93.35,91.96,92.33,72700
2023-05-31,92.33,92.33,89.8,90.0,110700
2023-06-01,90.0,91.94,89.77,91.81,78100
2023-06-02,93.24,96.51,93.12,95.99,106200
2023-06-05,95.07,95.07,91.24,92.45,132900
2023-06-06,92.6,96.42,91.98,95.16,146700
2023-06-07,95.93,99.07,95.81,98.34,216900
2023-06-08,97.95,98.24,96.51,96.6,115700
2023-06-09,96.65,97.04,95.87,96.71,109400
2023-06-12,96.77,98.46,96.13,96.9,149200
2023-06-13,97.54,98.86,97.43,98.3,164000
2023-06-14,98.78,99.39,97.26,98.49,118200
2023-06-15,98.02,99.19,96.82,98.56,134700
2023-06-16,99.32,100.29,98.41,100.17,367600
2023-06-20,99.81,100.14,98.58,98.88,103700
2023-06-21,98.46,99.87,98.08,99.08,79800
2023-06-22,99.05,99.05,97.33,98.78,92400
2023-06-23,97.19,98.89,97.11,98.8,750100
2023-06-26,98.82,103.23,98.82,102.03,220800
2023-06-27,102.32,102.74,101.16,102.59,90700
2023-06-28,102.91,104.01,101.73,104.01,115400
2023-06-29,103.5,106.29,103.5,104.59,187000
2023-06-30,105.14,105.42,103.3,103.63,88400
2023-07-03,102.69,103.66,102.04,103.66,38200
2023-07-05,102.73,102.73,100.54,100.7,97300
2023-07-06,100.07,100.3,98.0,98.55,87900
2023-07-07,98.39,99.85,97.78,97.82,133200
2023-07-10,97.5,98.93,96.31,97.2,107700
2023-07-11,97.15,98.26,96.32,96.8,63700
2023-07-12,98.32,99.79,97.51,98.17,69600
2023-07-13,97.76,99.92,97.17,99.23,93200
2023-07-14,98.96,100.32,97.55,100.17,121800
2023-07-17,99.57,102.78,99.57,101.65,61000
2023-07-18,101.41,102.43,100.94,102.05,56900
2023-07-19,101.39,101.8,99.7,100.15,68500
2023-07-20,100.66,101.88,100.01,101.29,56900
2023-07-21,101.44,101.44,99.31,100.01,92000
2023-07-24,100.17,101.56,98.99,100.79,51200
2023-07-25,100.01,101.45,100.01,101.09,57800
2023-07-26,100.8,101.84,100.31,101.05,104500
2023-07-27,101.72,102.54,99.33,99.96,85300
2023-07-28,100.17,100.55,99.07,99.26,51700
2023-07-31,99.1,101.31,99.1,100.55,59900
2023-08-01,99.6,101.76,99.36,100.75,56300
2023-08-02,99.77,102.34,99.77,101.96,57000
2023-08-03,101.35,101.35,99.65,100.63,51200
2023-08-04,100.57,102.12,100.2,101.64,83800
2023-08-07,101.66,103.71,101.66,102.82,51800
2023-08-08,101.6,102.55,100.8,102.55,89500
2023-08-09,104.49,109.29,98.71,105.36,132100
2023-08-10,105.36,105.81,104.09,104.44,94600
2023-08-11,104.53,105.04,104.1,104.46,62600
2023-08-14,104.21,105.03,103.26,104.41,63700
2023-08-15,104.16,104.61,103.39,104.18,36600
2023-08-16,103.88,105.18,103.88,103.93,53800
2023-08-17,103.89,104.59,101.99,102.06,63200
2023-08-18,101.8,103.49,101.8,102.1,57200
2023-08-21,101.88,102.21,101.19,101.59,59300
2023-08-22,101.93,102.61,101.64,101.8,54400
2023-08-23,102.31,103.21,101.93,103.08,45700
2023-08-24,102.51,104.67,101.6,103.69,72700
2023-08-25,104.1,105.34,103.37,104.92,46000
2023-08-28,105.0,106.75,105.0,106.3,44600
2023-08-29,106.29,107.99,106.29,107.95,47300
2023-08-30,107.45,109.43,107.45,108.34,50100
2023-08-31,107.86,109.57,106.97,107.01,84700
2023-09-01,107.55,108.57,106.36,106.68,69400
2023-09-05,105.57,105.57,102.1,102.54,103600
2023-09-06,103.3,104.19,102.3,102.75,54500
2023-09-07,102.79,102.79,101.16,101.73,65600
2023-09-08,102.04,102.04,100.33,100.53,49200
2023-09-11,101.55,101.9,100.33,101.28,56800
2023-09-12,101.38,102.53,100.27,102.26,59400
2023-09-13,101.85,102.88,101.69,102.63,74000
2023-09-14,103.31,105.17,103.02,104.87,89600
2023-09-15,104.54,105.78,103.55,105.6,365000
2023-09-18,105.58,107.85,105.58,106.01,65200
2023-09-19,105.92,106.95,105.15,105.97,62600
2023-09-20,106.15,107.75,105.6,105.99,81400
