Date,Open,High,Low,Close,Volume
2023-01-13,39.74,40.33,39.63,40.03,288300
2023-01-17,40.05,40.18,39.8,40.04,264100
2023-01-18,40.0,41.27,39.95,40.18,354100
2023-01-19,40.0,40.36,39.39,40.3,395400
2023-01-20,40.45,40.93,40.08,40.92,337300
2023-01-23,40.95,41.53,40.74,40.86,355400
2023-01-24,40.76,41.14,40.58,40.65,260600
2023-01-25,40.43,41.28,40.3,41.18,308500
2023-01-26,41.43,42.74,41.39,42.67,550700
2023-01-27,42.67,43.29,42.62,42.95,718800
2023-01-30,42.69,43.13,42.49,42.67,943600
2023-01-31,42.8,44.13,42.69,44.03,758900
2023-02-01,43.78,44.69,43.45,44.29,521000
2023-02-02,44.59,45.01,44.03,44.31,501800
2023-02-03,44.03,44.66,43.79,44.18,450200
2023-02-06,43.78,43.97,42.9,42.92,582300
2023-02-07,42.51,43.62,42.39,43.51,503500
2023-02-08,43.07,43.62,42.9,42.97,292000
2023-02-09,43.34,43.44,42.38,42.43,403400
2023-02-10,41.93,42.8,41.48,42.33,472900
2023-02-13,42.44,43.58,42.44,43.47,541300
2023-02-14,43.45,44.02,43.2,43.65,434100
2023-02-15,43.31,43.8,43.28,43.75,345600
2023-02-16,43.23,44.08,43.23,43.34,353500
2023-02-17,43.65,43.65,43.14,43.5,565000
2023-02-21,43.0,43.26,42.12,42.32,488800
2023-02-22,42.25,42.79,42.13,42.47,572500
2023-02-23,42.67,43.1,42.09,43.04,344500
2023-02-24,42.42,42.92,42.3,42.89,340000
2023-02-27,43.33,43.38,42.82,43.03,382000
2023-02-28,42.89,43.42,42.89,42.95,622100
2023-03-01,42.71,43.37,42.71,43.11,420900
2023-03-02,42.74,43.59,42.74,43.45,495600
2023-03-03,43.75,43.92,43.43,43.71,614100
2023-03-06,43.85,44.66,43.49,43.67,557500
2023-03-07,43.48,43.81,43.34,43.49,659700
2023-03-08,43.62,43.78,43.15,43.43,662000
2023-03-09,42.98,43.07,41.2,41.24,520500
2023-03-10,40.77,41.02,39.34,39.83,771200
2023-03-13,38.48,38.98,36.91,38.01,984600
2023-03-14,39.85,40.15,38.09,38.35,905500
2023-03-15,37.24,37.97,36.79,37.56,1108900
2023-03-16,36.95,39.21,36.53,38.65,545800
2023-03-17,38.08,38.36,36.62,36.78,1270300
2023-03-20,37.45,38.37,37.39,37.88,807200
2023-03-21,38.96,39.24,38.68,38.72,1049000
2023-03-22,38.71,39.27,38.23,38.24,742900
2023-03-23,38.24,38.49,37.74,37.9,962900
2023-03-24,37.32,39.0,37.32,38.96,676600
2023-03-27,39.67,39.76,38.85,39.39,746000
2023-03-28,39.26,39.56,38.96,39.42,354300
2023-03-29,39.71,39.91,39.51,39.9,310000
2023-03-30,40.13,40.28,39.59,39.69,335800
2023-03-31,40.04,40.11,39.73,40.05,624400
2023-04-03,40.05,40.42,39.74,40.19,446500
