Date,Open,High,Low,Close,Volume
2023-01-13,130.4,136.145,130.17,134.67,3924300
2023-01-17,134.5,136.91,132.5,132.51,2892300
2023-01-18,135.06,136.167,130.74,131.44,2458300
2023-01-19,130.47,132.89,127.831,128.97,1687500
2023-01-20,129.58,132.26,127.53,131.82,2475500
2023-01-23,132.75,140.0,132.11,139.12,2782400
2023-01-24,138.02,139.31,135.5,136.68,3052900
2023-01-25,133.06,136.49,131.93,135.86,1926800
2023-01-26,138.915,140.46,134.29,134.54,2394200
2023-01-27,131.432,139.09,129.3,137.8,3044700
2023-01-30,136.44,139.83,134.24,134.7,2362900
2023-01-31,135.6,139.08,135.6,137.58,2143900
2023-02-01,137.58,140.46,134.12,139.58,3181800
2023-02-02,143.0,148.23,142.14,148.2,3777200
2023-02-03,143.3,149.91,142.42,147.5,2686500
2023-02-06,145.56,147.789,143.82,144.54,1394800
2023-02-07,144.0,145.68,139.7,145.03,1706800
2023-02-08,144.28,145.74,142.21,144.02,1473200
2023-02-09,145.2,145.515,137.02,137.56,2489900
2023-02-10,136.145,136.34,131.21,132.13,2868000
2023-02-13,131.99,136.25,128.57,134.75,2517100
2023-02-14,134.11,137.42,130.99,133.75,2331800
2023-02-15,133.0,143.15,132.79,142.26,3056300
2023-02-16,138.34,140.16,129.92,130.31,5292800
2023-02-17,130.4,131.46,127.158,129.68,4314100
2023-02-21,126.76,131.33,124.36,124.845,3415600
2023-02-22,125.425,129.25,124.435,128.45,5040900
2023-02-23,131.827,133.49,120.21,131.58,8601100
2023-02-24,127.89,129.05,123.58,124.105,3577200
2023-02-27,123.84,124.4,119.74,120.6,3736700
2023-02-28,121.4,123.28,120.08,121.41,1886600
2023-03-01,120.53,121.07,116.271,118.28,3440400
2023-03-02,117.05,119.72,116.51,118.46,2951400
2023-03-03,119.38,122.4,119.005,121.42,2997800
2023-03-06,122.05,122.41,118.58,118.78,2843600
2023-03-07,119.09,122.51,114.82,115.89,3927500
2023-03-08,112.67,113.32,107.96,113.18,7098100
2023-03-09,107.4,110.41,105.14,107.74,6967500
2023-03-10,107.34,107.745,103.46,105.98,4762000
2023-03-13,103.015,106.37,99.24,103.71,5646000
2023-03-14,106.755,107.0,101.15,102.79,3300700
2023-03-15,101.73,105.2,100.16,104.74,3586700
2023-03-16,102.82,105.21,101.11,104.43,3549000
2023-03-17,104.04,105.84,103.39,105.34,3175800
2023-03-20,104.43,108.605,103.34,108.36,3988000
2023-03-21,109.95,113.12,109.44,112.71,3456000
2023-03-22,113.34,115.3,110.82,110.96,2539900
