Date,Open,High,Low,Close,Volume
2023-01-13,34.572,34.912,34.556,34.812,555000
2023-01-17,34.738,35.21,34.454,34.474,713500
2023-01-18,34.474,34.732,33.466,33.558,1170000
2023-01-19,33.556,33.934,33.176,33.186,676000
2023-01-20,33.556,33.912,33.136,33.872,897000
2023-01-23,33.934,34.566,33.704,34.374,692000
2023-01-24,34.328,34.534,33.976,34.442,728500
2023-01-25,34.126,34.252,33.386,34.214,806500
2023-01-26,34.516,34.71,34.04,34.378,582500
2023-01-27,34.456,34.508,33.97,34.002,379500
2023-01-30,33.836,34.41,33.708,33.754,512000
2023-01-31,33.684,34.234,33.636,34.12,1720000
2023-02-01,33.952,34.33,32.658,33.864,3043500
2023-02-02,34.18,34.876,34.094,34.626,1065500
2023-02-03,34.348,34.712,33.958,34.398,937000
2023-02-06,34.356,34.398,33.632,33.902,849500
2023-02-07,33.852,34.61,33.402,34.298,1320500
2023-02-08,34.122,34.95,34.014,34.516,616500
2023-02-09,34.896,35.01,34.358,34.45,587500
2023-02-10,34.548,34.796,34.24,34.632,526500
2023-02-13,34.598,35.3,34.574,35.142,511500
2023-02-14,35.0,35.466,34.294,34.564,970500
2023-02-15,34.26,34.668,34.082,34.406,680000
2023-02-16,33.982,34.612,33.686,34.114,942500
2023-02-17,34.178,34.22,33.84,34.106,1048500
2023-02-21,33.762,34.226,33.402,33.902,1216000
2023-02-22,33.932,34.386,33.802,34.022,1164000
2023-02-23,34.224,34.876,32.972,34.396,1519500
2023-02-24,34.056,34.168,33.26,33.69,840500
2023-02-27,33.902,34.14,33.208,33.244,664500
2023-02-28,33.176,33.49,32.854,32.902,1484000
2023-03-01,33.142,33.142,32.426,32.65,1364000
2023-03-02,32.59,33.082,32.322,32.976,611500
2023-03-03,33.25,33.362,32.896,33.166,505000
2023-03-06,33.03,33.546,32.428,33.414,821000
2023-03-07,33.4,33.504,32.39,32.566,852000
2023-03-08,32.636,32.786,32.066,32.26,1042500
2023-03-09,32.5,32.5,31.386,31.388,803500
2023-03-10,31.328,31.338,30.4,30.618,1902000
