Date,Open,High,Low,Close,Volume
2023-01-13,99.54,101.73,99.47,101.45,104600
2023-01-17,101.66,102.48,100.83,101.05,105500
2023-01-18,101.13,101.92,99.89,100.37,117200
2023-01-19,99.6,100.0,98.45,99.0,117400
2023-01-20,99.47,101.17,98.19,101.07,117600
2023-01-23,101.44,102.76,100.2,101.87,104300
2023-01-24,101.29,102.55,100.78,102.22,99200
2023-01-25,101.76,102.25,100.13,101.51,99800
2023-01-26,102.0,102.0,101.18,101.47,57700
2023-01-27,101.04,101.97,100.35,101.16,93200
2023-01-30,100.7,102.36,99.12,99.49,99000
2023-01-31,100.17,102.55,99.98,102.54,153100
2023-02-01,102.23,104.78,101.86,103.55,159700
2023-02-02,103.49,105.58,103.31,105.45,190000
2023-02-03,107.33,112.75,106.36,111.26,305200
2023-02-06,110.56,111.14,107.6,107.8,147000
2023-02-07,107.24,109.31,105.93,109.25,166900
2023-02-08,108.43,109.44,106.27,107.24,140100
2023-02-09,107.59,108.1,104.11,104.44,143300
2023-02-10,104.0,105.92,104.0,105.47,117700
2023-02-13,105.96,106.36,104.88,106.21,119900
2023-02-14,105.69,106.42,104.82,105.4,113200
2023-02-15,104.79,107.31,104.28,107.31,107900
2023-02-16,106.32,107.29,105.81,105.85,151600
2023-02-17,106.35,108.85,105.59,108.8,168300
2023-02-21,107.88,108.62,105.57,105.68,134900
2023-02-22,106.38,107.04,104.78,105.33,163500
2023-02-23,105.34,106.33,104.01,105.22,122100
2023-02-24,104.17,104.4,103.07,103.63,125000
2023-02-27,104.11,104.61,102.72,103.45,170000
2023-02-28,103.41,104.62,102.76,102.9,201400
2023-03-01,102.63,104.0,101.64,103.52,126000
2023-03-02,103.1,104.72,102.67,104.21,103000
2023-03-03,104.58,105.62,103.37,105.46,131300
2023-03-06,105.19,105.85,103.1,104.44,189600
2023-03-07,104.56,104.81,102.51,103.3,153800
2023-03-08,103.11,104.75,102.08,103.16,153500
2023-03-09,102.84,103.47,101.89,101.95,131500
2023-03-10,101.85,101.85,98.66,100.02,194400
2023-03-13,98.92,102.67,97.7,100.98,189700
2023-03-14,103.04,104.78,102.0,104.67,184100
2023-03-15,102.96,103.62,100.34,103.41,232000
2023-03-16,96.0,99.77,91.09,98.5,1714400
2023-03-17,98.76,98.76,94.0,96.04,1246000
2023-03-20,97.02,98.18,96.22,97.38,565400
2023-03-21,97.97,99.03,96.84,98.33,11691500
2023-03-22,97.82,98.11,93.2,93.3,552600
2023-03-23,93.43,94.68,91.55,91.86,448900
2023-03-24,91.66,93.84,91.57,92.93,447700
2023-03-27,94.14,95.9,94.14,95.59,262500
2023-03-28,94.9,96.41,94.81,96.07,219300
2023-03-29,96.83,97.35,95.78,97.16,269300
2023-03-30,97.4,98.49,96.94,97.87,248100
2023-03-31,98.65,100.48,98.65,99.69,446500
2023-04-03,99.16,100.43,98.67,99.34,394300
2023-04-04,99.34,99.38,97.44,98.67,258800
2023-04-05,98.17,98.9,97.06,98.11,223900
2023-04-06,98.18,98.46,97.0,97.68,211800
2023-04-10,96.87,98.75,96.87,98.67,149400
2023-04-11,98.75,99.37,98.35,99.05,185000
2023-04-12,99.7,99.7,98.59,98.61,159900
2023-04-13,99.04,100.28,98.59,100.28,165600
2023-04-14,100.41,100.71,98.15,98.3,138000
2023-04-17,98.7,99.32,98.23,99.15,190400
2023-04-18,99.35,99.7,97.6,97.97,217300
2023-04-19,97.47,98.62,97.24,97.62,186500
2023-04-20,97.24,98.59,96.96,97.8,258900
2023-04-21,98.09,98.49,97.13,98.09,145300
2023-04-24,97.97,98.62,97.23,97.48,125000
2023-04-25,96.93,96.93,95.09,95.11,197800
2023-04-26,94.48,94.71,93.65,94.21,215000
2023-04-27,94.28,96.63,94.28,96.27,243800
2023-04-28,93.06,95.2,91.34,92.05,395000
2023-05-01,92.12,93.26,91.06,91.5,232800
2023-05-02,90.82,92.0,89.07,90.72,287500
2023-05-03,90.96,91.4,89.7,89.76,295700
2023-05-04,88.98,89.28,88.16,88.23,176000
2023-05-05,89.27,90.13,89.01,89.32,223800
2023-05-08,89.14,89.76,88.22,88.42,158100
2023-05-09,88.31,88.76,87.63,88.08,200400
2023-05-10,89.26,89.4,86.98,88.06,205400
2023-05-11,87.6,87.84,86.24,86.44,157200
2023-05-12,86.66,87.3,85.81,86.61,155900
2023-05-15,86.82,87.13,86.26,86.68,215100
2023-05-16,86.08,87.09,85.27,86.11,253600
2023-05-17,86.49,87.85,85.91,87.53,215500
2023-05-18,87.18,89.01,86.83,88.87,308200
2023-05-19,89.79,89.87,88.48,88.72,418300
2023-05-22,88.8,90.48,88.55,90.24,268800
2023-05-23,90.0,91.68,89.94,90.17,359200
2023-05-24,90.04,90.33,89.2,89.35,373800
2023-05-25,89.0,90.56,88.65,89.55,281200
2023-05-26,89.73,92.17,89.73,91.98,266300
2023-05-30,92.39,92.9,91.91,92.09,256800
2023-05-31,92.09,93.02,90.74,91.32,471900
2023-06-01,90.73,92.32,90.73,92.05,351400
2023-06-02,93.21,94.69,92.79,94.38,239500
2023-06-05,93.73,94.38,92.9,93.33,259800
2023-06-06,93.2,95.89,92.85,95.41,268800
2023-06-07,95.48,96.93,95.31,96.6,264600
2023-06-08,96.37,96.95,95.15,96.29,236000
2023-06-09,96.44,96.82,95.72,96.19,211100
2023-06-12,96.61,97.8,96.49,97.57,308800
2023-06-13,97.6,98.59,97.22,98.04,277600
2023-06-14,98.27,98.88,97.3,97.84,471800
2023-06-15,97.57,99.54,97.16,99.42,186300
2023-06-16,100.66,101.36,99.66,101.02,627400
2023-06-20,100.93,101.66,100.48,100.94,312600
2023-06-21,100.48,100.96,99.76,99.95,235000
2023-06-22,99.9,100.33,97.96,98.08,271400
2023-06-23,96.92,97.34,94.06,94.16,550400
2023-06-26,93.88,94.44,92.87,93.54,217600
2023-06-27,93.54,94.44,93.25,93.73,163500
2023-06-28,93.56,93.63,91.43,92.07,186500
2023-06-29,91.77,93.11,91.39,92.83,160200
2023-06-30,93.31,94.12,92.88,93.32,233900
2023-07-03,92.71,93.86,92.51,92.87,97800
2023-07-05,92.63,93.37,92.03,92.68,168000
2023-07-06,91.76,92.27,90.96,91.9,203800
2023-07-07,91.72,93.15,91.29,91.39,257600
2023-07-10,91.25,93.79,91.19,93.73,258100
2023-07-11,93.74,94.92,93.44,94.78,282100
2023-07-12,95.89,97.04,93.9,93.97,254800
2023-07-13,94.07,95.18,93.83,94.4,178800
2023-07-14,94.13,95.65,93.03,95.5,192200
2023-07-17,95.32,96.67,95.02,95.93,206800
2023-07-18,95.71,96.57,95.43,96.35,115500
2023-07-19,96.62,96.75,95.54,96.48,110900
