Date,Open,High,Low,Close,Volume
2023-01-13,40.13,40.99,40.04,40.54,392200
2023-01-17,39.78,39.95,38.85,38.93,545500
2023-01-18,39.17,39.97,38.42,38.7,380500
2023-01-19,38.45,38.645,37.89,37.9,480500
2023-01-20,38.37,38.62,37.8,38.55,474100
2023-01-23,38.68,39.145,38.36,38.75,654700
2023-01-24,38.6,40.17,38.6,39.73,486800
2023-01-25,39.61,40.0,38.83,39.96,448200
2023-01-26,40.23,40.52,39.59,40.08,337700
2023-01-27,40.02,40.91,39.69,40.37,278100
2023-01-30,40.1,40.572,39.9,40.23,369800
2023-01-31,40.43,41.28,40.21,41.1,652300
2023-02-01,41.02,42.64,40.57,41.98,610300
2023-02-02,42.59,43.82,42.25,43.43,695800
2023-02-03,42.7,43.19,42.26,42.79,469500
2023-02-06,42.31,42.74,41.485,41.64,453300
2023-02-07,41.21,41.885,40.69,41.56,423100
2023-02-08,41.37,41.74,40.98,41.44,393000
2023-02-09,41.89,41.97,40.33,40.6,542500
2023-02-10,40.33,40.52,39.46,39.75,482200
2023-02-13,39.92,40.52,39.54,40.5,656300
2023-02-14,40.25,40.85,39.85,40.68,422500
2023-02-15,40.24,41.54,40.07,41.29,304200
2023-02-16,40.44,41.28,40.17,40.85,545100
2023-02-17,41.02,41.19,40.26,41.05,420100
2023-02-21,40.21,40.41,38.68,38.74,1179300
2023-02-22,38.78,40.39,38.78,39.51,716300
2023-02-23,39.44,39.83,38.25,39.61,587900
2023-02-24,38.94,39.14,38.22,38.48,737600
2023-02-27,39.24,39.42,37.845,38.17,793900
2023-02-28,38.23,38.585,37.24,37.36,1092000
2023-03-01,30.6,31.46,22.75,22.76,14082300
2023-03-02,22.55,23.17,22.14,22.88,6573200
2023-03-03,22.85,22.995,22.1,22.31,3164200
2023-03-06,22.51,22.87,22.23,22.36,1894100
2023-03-07,22.25,22.865,22.16,22.5,1764400
2023-03-08,22.5,23.12,22.4,22.93,1971500
2023-03-09,22.75,23.05,21.75,21.78,1426600
2023-03-10,21.63,21.63,19.77,20.07,2335200
2023-03-13,19.78,19.85,19.01,19.3,2678200
2023-03-14,19.98,20.13,18.9,19.35,1798300
2023-03-15,18.81,19.01,18.323,18.79,1715500
2023-03-16,18.49,18.725,18.34,18.53,1394400
2023-03-17,18.15,18.15,17.27,17.35,3745800
2023-03-20,17.42,17.86,17.315,17.51,2024300
2023-03-21,17.76,18.08,17.72,17.74,2210100
2023-03-22,17.66,17.84,17.28,17.28,1700000
2023-03-23,17.46,17.84,17.315,17.54,1985800
2023-03-24,17.36,17.67,17.25,17.53,1602400
2023-03-27,17.8,17.88,17.5,17.69,1740500
2023-03-28,17.63,18.06,17.57,17.65,1685600
2023-03-29,17.82,18.04,17.34,18.02,1937300
2023-03-30,18.31,18.715,18.088,18.62,2412800
2023-03-31,19.23,19.28,18.37,18.84,2438000
2023-04-03,18.9,19.22,18.65,18.86,1422300
2023-04-04,18.83,18.9,18.13,18.55,943400
2023-04-05,18.48,18.89,18.315,18.54,1003800
2023-04-06,18.59,19.13,18.465,19.11,1476000
2023-04-10,18.93,19.97,18.81,19.94,2003300
2023-04-11,20.12,20.53,20.1,20.3,1485300
2023-04-12,20.61,20.7,20.15,20.19,1266300
2023-04-13,20.39,20.865,20.28,20.55,1850100
2023-04-14,20.77,21.03,20.175,20.42,834000
2023-04-17,20.47,20.81,20.37,20.58,1612600
2023-04-18,20.66,20.66,19.93,20.06,1297300
2023-04-19,19.96,20.22,19.81,20.06,1141600
2023-04-20,19.82,20.5,19.76,20.16,1538400
2023-04-21,20.16,20.59,20.14,20.5,989400
2023-04-24,20.44,21.32,20.31,21.25,1461600
2023-04-25,21.0,21.145,20.5,20.5,1093200
2023-04-26,20.5,20.89,20.38,20.71,1338200
2023-04-27,20.89,21.0,20.47,20.83,730300
2023-04-28,20.82,21.05,20.63,21.04,869100
2023-05-01,21.11,21.49,21.055,21.39,923000
2023-05-02,20.89,21.58,20.85,21.57,1052300
2023-05-03,21.52,22.17,21.52,21.92,1107400
2023-05-04,21.9,22.522,21.88,22.24,1052500
2023-05-05,22.44,22.93,22.3,22.4,1041000
2023-05-08,22.25,22.53,22.035,22.33,1406100
2023-05-09,22.04,23.0,21.98,22.85,1370600
2023-05-10,23.2,23.37,22.435,22.73,1603600
2023-05-11,23.81,24.65,22.855,23.76,2301900
2023-05-12,24.0,24.2,23.51,24.06,1232900
2023-05-15,23.92,24.19,23.66,23.96,1425000
2023-05-16,23.67,23.96,23.22,23.79,1889800
2023-05-17,23.82,25.0,23.515,24.89,2252600
2023-05-18,24.9,25.475,24.75,25.44,1285300
2023-05-19,25.36,25.36,24.39,24.71,977600
2023-05-22,24.93,25.745,24.64,25.55,1067400
2023-05-23,25.34,25.93,25.08,25.19,1110700
2023-05-24,25.28,25.5,24.77,24.88,1044500
2023-05-25,25.51,25.57,25.13,25.43,1031000
2023-05-26,25.21,25.82,24.85,25.76,831100
2023-05-30,25.92,26.15,25.43,25.68,1293000
2023-05-31,25.4,25.69,24.615,25.25,1614900
2023-06-01,25.23,26.025,24.79,25.7,1326000
2023-06-02,26.02,26.28,25.69,25.97,1280400
2023-06-05,25.76,25.95,25.23,25.88,958600
2023-06-06,25.88,26.49,25.495,26.18,897500
2023-06-07,26.44,26.71,26.245,26.27,1051200
2023-06-08,26.14,26.88,26.002,26.75,1813700
2023-06-09,26.76,26.95,25.965,26.08,848500
2023-06-12,26.16,26.24,25.855,26.09,1079400
2023-06-13,26.3,27.02,26.23,26.9,1485600
2023-06-14,26.97,26.97,25.85,26.16,1991400
2023-06-15,26.01,26.72,25.89,26.62,1714400
2023-06-16,26.88,26.88,25.24,25.71,2509500
2023-06-20,25.73,26.1,25.59,25.72,1191700
2023-06-21,25.75,25.75,25.2,25.23,1529700
2023-06-22,25.04,25.24,24.745,24.76,1351700
2023-06-23,24.49,24.66,23.8,23.92,2068900
2023-06-26,23.95,24.57,23.92,23.94,849900
2023-06-27,24.02,24.27,23.825,24.0,1336100
2023-06-28,23.99,24.19,23.705,24.0,886100
2023-06-29,23.93,24.46,23.915,24.12,648900
2023-06-30,24.41,24.555,23.8,24.29,691400
2023-07-03,24.29,24.85,24.29,24.71,331300
