Date,Open,High,Low,Close,Volume
2023-01-13,58.14,59.1,58.05,58.96,321900
2023-01-17,59.0,59.21,58.0,58.5,435500
2023-01-18,58.47,60.24,58.28,59.51,730700
2023-01-19,58.68,59.77,58.24,59.52,488300
2023-01-20,59.4,60.63,58.88,60.63,557000
2023-01-23,60.64,61.22,60.19,61.02,541300
2023-01-24,60.88,61.83,60.65,61.27,366200
2023-01-25,60.88,61.14,60.29,60.81,662800
2023-01-26,61.09,62.0,61.05,61.55,1076800
2023-01-27,61.5,61.86,60.99,61.34,414100
2023-01-30,60.94,61.3,60.35,60.37,1113500
2023-01-31,60.37,62.01,60.33,61.87,926200
2023-02-01,61.41,63.09,60.92,62.88,659300
2023-02-02,63.31,64.66,63.25,63.77,637800
2023-02-03,63.16,63.49,62.55,62.84,605200
2023-02-06,62.18,62.57,61.14,61.57,445300
2023-02-07,61.07,61.98,60.48,61.67,644300
2023-02-08,60.99,61.89,60.8,61.54,580000
2023-02-09,61.2,61.2,56.99,57.54,857000
2023-02-10,59.02,60.56,58.56,60.19,1074300
2023-02-13,59.88,61.68,59.88,61.35,602300
2023-02-14,61.13,61.6,60.68,61.14,516100
2023-02-15,60.81,61.04,60.34,61.04,489900
2023-02-16,60.18,60.9,59.57,59.6,558200
2023-02-17,59.1,60.26,58.29,60.02,1192500
2023-02-21,59.16,59.83,58.34,58.51,818500
2023-02-22,58.17,59.12,58.17,58.31,578600
2023-02-23,58.41,58.65,55.29,56.5,1024800
2023-02-24,55.95,56.71,55.41,56.51,890600
2023-02-27,56.9,57.52,56.5,56.95,355700
2023-02-28,56.97,57.16,56.6,56.78,657200
2023-03-01,56.49,56.87,55.37,55.91,543100
2023-03-02,55.0,55.5,53.77,54.52,925500
2023-03-03,54.8,54.84,53.98,54.6,784000
2023-03-06,54.72,55.17,53.87,54.09,865200
2023-03-07,53.55,53.82,53.17,53.29,448400
2023-03-08,53.43,54.55,53.18,54.14,666500
2023-03-09,54.06,54.17,53.61,53.79,707700
2023-03-10,53.47,54.06,52.8,52.99,1327900
2023-03-13,51.81,53.59,50.88,53.03,1549600
2023-03-14,54.37,54.64,53.59,54.04,1341500
2023-03-15,52.69,55.1,52.62,55.02,1687300
2023-03-16,54.57,55.75,54.18,54.41,1040900
2023-03-17,54.17,54.17,51.21,51.39,2026300
2023-03-20,52.12,54.11,52.12,53.84,778700
2023-03-21,54.82,55.23,54.51,54.82,637700
2023-03-22,54.72,55.21,53.66,53.69,524400
2023-03-23,53.73,54.17,53.01,53.27,581700
2023-03-24,52.56,54.03,51.9,53.71,783700
2023-03-27,54.47,55.06,54.22,54.56,468200
2023-03-28,54.03,54.51,53.48,54.11,814000
2023-03-29,54.87,54.87,53.83,53.91,770000
2023-03-30,54.59,55.42,54.32,54.66,494200
2023-03-31,55.03,55.78,54.9,55.66,518500
2023-04-03,55.53,56.27,55.33,55.55,469500
2023-04-04,55.86,55.93,54.43,55.14,664800
2023-04-05,54.86,55.86,54.83,55.83,711300
2023-04-06,55.96,55.96,55.02,55.23,435900
2023-04-10,55.23,56.03,55.14,55.81,427200
2023-04-11,55.91,57.44,55.88,56.89,693000
2023-04-12,57.48,57.89,56.58,56.96,660900
2023-04-13,56.83,56.9,55.99,56.65,730600
2023-04-14,56.73,57.62,56.28,56.66,715200
2023-04-17,56.49,57.52,56.25,57.39,491100
2023-04-18,57.47,57.83,57.1,57.64,363600
2023-04-19,57.68,57.82,57.1,57.73,311000
2023-04-20,57.65,57.8,56.63,56.85,458500
2023-04-21,57.03,57.42,56.21,57.41,421400
2023-04-24,57.53,57.53,56.64,56.97,249100
2023-04-25,56.41,56.83,55.72,55.92,272100
2023-04-26,55.61,56.28,55.25,55.3,639900
2023-04-27,53.75,55.82,50.66,55.6,1556700
2023-04-28,55.37,58.0,55.37,57.61,677700
2023-05-01,57.21,58.0,57.14,57.57,563200
2023-05-02,57.29,57.86,55.82,57.18,684300
2023-05-03,57.81,59.47,57.62,58.03,925900
2023-05-04,57.61,57.82,56.21,57.06,532400
2023-05-05,57.76,58.45,57.58,58.29,402400
2023-05-08,58.22,58.42,57.41,58.32,336100
2023-05-09,58.02,58.5,57.72,57.91,385200
2023-05-10,58.76,59.0,57.56,58.39,508700
2023-05-11,57.5,57.81,56.23,56.73,948000
2023-05-12,57.1,57.31,55.74,56.29,503800
2023-05-15,56.52,56.68,56.03,56.5,453800
2023-05-16,56.01,56.12,55.42,55.7,500700
2023-05-17,56.01,56.4,55.61,56.04,357900
2023-05-18,56.01,56.52,55.64,56.46,403900
2023-05-19,56.95,56.97,55.54,55.75,458800
2023-05-22,55.56,55.77,54.59,54.89,413200
2023-05-23,54.84,55.2,54.56,54.79,547600
2023-05-24,54.43,54.76,53.59,54.44,329600
2023-05-25,54.35,54.71,53.91,54.63,304700
2023-05-26,54.83,55.59,54.24,55.25,515900
2023-05-30,55.54,56.0,55.11,55.99,302700
2023-05-31,55.61,55.69,54.85,54.93,539100
2023-06-01,55.14,55.79,54.91,55.76,474600
2023-06-02,56.14,56.93,56.14,56.86,653000
2023-06-05,56.56,56.56,55.15,55.29,403800
2023-06-06,55.49,56.93,55.38,56.75,464900
2023-06-07,56.46,57.84,56.4,57.34,909100
2023-06-08,57.43,57.43,56.41,56.69,489900
2023-06-09,56.44,56.54,55.83,56.23,357300
2023-06-12,56.22,56.28,55.1,55.32,569000
2023-06-13,55.52,56.79,55.5,56.14,488800
2023-06-14,56.15,56.39,54.99,55.77,649400
2023-06-15,55.65,56.65,55.65,56.62,481000
2023-06-16,56.9,57.21,56.44,57.16,1138200
2023-06-20,57.0,57.11,56.02,56.9,574800
2023-06-21,56.7,57.17,56.41,57.14,511500
2023-06-22,57.09,57.24,56.61,56.74,460300
2023-06-23,56.56,56.7,54.97,55.37,632300
2023-06-26,55.59,56.79,55.56,56.33,449400
2023-06-27,56.0,57.43,55.19,57.21,444700
2023-06-28,57.08,57.18,56.56,56.74,419500
2023-06-29,56.84,57.35,56.48,56.92,584000
2023-06-30,57.34,57.36,56.79,57.02,324000
2023-07-03,56.89,57.36,56.75,56.87,198800
2023-07-05,56.39,56.61,55.81,56.26,447800
2023-07-06,55.77,55.77,54.53,55.14,666100
2023-07-07,55.31,55.72,55.09,55.32,803000
2023-07-10,55.3,56.24,55.27,56.03,533200
2023-07-11,56.28,56.78,56.08,56.29,347400
2023-07-12,57.1,57.52,56.48,57.52,960600
2023-07-13,57.55,59.93,57.55,59.92,1216100
2023-07-14,59.91,59.91,58.39,58.65,549900
2023-07-17,58.41,59.17,58.2,58.81,744100
2023-07-18,58.55,59.25,57.99,58.3,594400
2023-07-19,58.37,58.81,58.24,58.8,674600
2023-07-20,59.18,59.29,58.63,59.07,430700
2023-07-21,59.51,59.57,58.56,58.8,332900
2023-07-24,59.02,59.3,58.7,58.79,323300
2023-07-25,58.79,59.15,58.59,58.85,404600
2023-07-26,58.85,60.07,58.85,59.79,673700
2023-07-27,62.25,64.36,61.81,62.32,1026800
2023-07-28,63.19,63.41,62.36,62.71,633300
2023-07-31,63.03,64.16,63.02,63.38,520000
2023-08-01,63.2,63.54,62.71,62.83,410600
2023-08-02,62.03,62.78,61.8,62.35,627900
2023-08-03,62.19,62.19,61.02,61.5,518100
2023-08-04,61.47,62.87,61.47,62.53,415600
2023-08-07,62.74,63.4,62.36,63.12,331200
2023-08-08,62.39,62.53,61.61,62.48,315100
2023-08-09,62.48,63.46,62.42,63.0,337500
2023-08-10,63.49,64.5,63.17,63.65,552700
2023-08-11,63.25,64.17,63.08,64.08,406000
2023-08-14,64.0,64.25,63.43,63.97,397600
2023-08-15,63.44,63.66,62.51,63.13,361900
2023-08-16,62.95,63.36,61.89,61.91,344200
2023-08-17,62.14,62.34,60.98,61.1,264900
2023-08-18,60.72,61.04,60.16,60.57,677400
2023-08-21,60.58,60.73,59.01,59.16,283600
