Date,Open,High,Low,Close,Volume
2023-01-13,26.87,27.142,26.7,27.05,487700
2023-01-17,27.1,27.12,26.72,26.75,514200
2023-01-18,26.57,26.57,25.49,25.64,611500
2023-01-19,25.56,25.6,25.04,25.46,451500
2023-01-20,25.63,25.95,25.56,25.9,545300
2023-01-23,25.8,26.141,25.67,25.75,454700
2023-01-24,25.77,25.77,25.36,25.37,343800
2023-01-25,25.2,25.46,25.05,25.43,354000
2023-01-26,25.53,25.71,25.34,25.44,782600
2023-01-27,26.35,27.12,25.655,26.75,971900
2023-01-30,26.96,27.1,26.5,26.9,770400
2023-01-31,26.91,27.44,26.895,27.44,686200
2023-02-01,27.31,27.69,27.21,27.44,550700
2023-02-02,27.53,27.97,27.45,27.79,574000
2023-02-03,27.68,28.278,27.67,27.84,972200
2023-02-06,27.71,27.98,27.2,27.5,450300
2023-02-07,27.47,27.88,27.34,27.78,454000
2023-02-08,27.7,27.8,27.44,27.44,356700
2023-02-09,27.61,27.66,27.19,27.23,292700
2023-02-10,27.19,27.35,26.93,27.09,348900
2023-02-13,27.1,27.41,26.99,27.35,240200
2023-02-14,27.26,27.375,26.885,27.1,253400
2023-02-15,26.95,27.46,26.89,27.45,303500
2023-02-16,26.88,27.035,26.72,26.82,271600
2023-02-17,26.69,27.07,26.625,27.05,350200
2023-02-21,26.92,27.079,26.43,26.73,410400
2023-02-22,26.74,26.96,26.57,26.72,476700
2023-02-23,26.82,26.99,26.64,26.8,288100
2023-02-24,26.58,27.12,26.58,27.12,450300
2023-02-27,27.31,27.54,27.17,27.31,535200
2023-02-28,27.39,27.705,27.33,27.35,578000
2023-03-01,27.25,27.41,27.01,27.39,458800
2023-03-02,27.16,27.165,26.26,26.33,446700
2023-03-03,26.53,26.78,26.31,26.73,453000
2023-03-06,26.68,26.8,25.98,26.16,1023400
2023-03-07,25.96,26.05,25.61,25.64,446000
2023-03-08,25.61,25.82,25.26,25.48,417800
2023-03-09,25.22,25.32,23.84,23.86,733800
2023-03-10,23.33,23.77,22.34,23.03,1906700
2023-03-13,21.61,23.57,19.68,20.19,3445600
2023-03-14,22.15,22.97,20.85,21.17,1780600
2023-03-15,20.0,21.4,19.79,20.94,2310700
2023-03-16,20.71,22.27,20.06,21.67,2031300
2023-03-17,21.25,21.51,20.34,21.14,2978200
2023-03-20,21.69,22.11,21.035,21.23,1599300
2023-03-21,22.12,22.52,21.97,22.35,1059600
2023-03-22,22.3,22.43,20.95,20.98,882000
2023-03-23,21.26,21.3,20.42,20.54,1359700
2023-03-24,20.21,21.03,20.21,20.87,838200
2023-03-27,21.56,21.7,20.93,20.94,757400
2023-03-28,20.85,21.36,20.69,21.23,612300
2023-03-29,21.41,21.61,20.83,21.0,693200
2023-03-30,21.14,21.175,20.39,20.43,819800
2023-03-31,20.55,20.8,20.42,20.63,920000
2023-04-03,20.75,20.885,20.35,20.54,1198300
2023-04-04,20.56,20.64,19.82,20.35,1254600
2023-04-05,20.0,20.265,19.86,20.15,1059000
2023-04-06,20.13,20.53,20.04,20.22,871700
