Date,Open,High,Low,Close,Volume
2023-01-13,39.28,39.76,38.78,39.4,383200
2023-01-17,39.4,39.48,38.7,38.75,602200
2023-01-18,38.59,38.59,37.48,37.57,475100
2023-01-19,37.42,37.49,36.6,37.35,730300
2023-01-20,37.75,38.22,37.31,37.91,547000
2023-01-23,38.01,38.27,37.61,37.98,422300
2023-01-24,37.98,37.98,37.15,37.21,601200
2023-01-25,37.1,38.1,37.04,38.1,962400
2023-01-26,38.26,38.26,37.53,37.71,542800
2023-01-27,36.67,36.67,33.41,33.62,2955900
2023-01-30,33.29,34.68,33.16,34.28,2885100
2023-01-31,34.4,35.94,34.17,35.88,1585000
2023-02-01,36.16,37.08,35.96,36.6,1107400
2023-02-02,36.62,37.1,36.36,37.06,827800
2023-02-03,36.99,37.69,36.8,37.59,721900
2023-02-06,36.92,37.27,36.6,36.86,697000
2023-02-07,36.64,37.15,36.48,37.07,622300
2023-02-08,36.76,37.27,36.42,36.57,406300
2023-02-09,36.78,36.94,36.36,36.45,524900
2023-02-10,36.43,36.71,36.12,36.69,405200
2023-02-13,36.71,37.05,36.57,37.04,491000
2023-02-14,36.92,37.16,36.3,36.59,456400
2023-02-15,36.4,37.35,36.22,37.31,480000
2023-02-16,37.15,37.15,36.48,36.53,359500
2023-02-17,36.77,37.17,36.34,37.13,448500
2023-02-21,36.71,36.8,35.99,36.08,673600
2023-02-22,36.07,36.5,35.73,35.91,465400
2023-02-23,35.99,36.44,35.81,36.21,340500
2023-02-24,36.06,36.32,35.66,35.93,507700
2023-02-27,36.19,36.48,35.72,35.95,465000
2023-02-28,35.9,35.9,35.45,35.54,986600
2023-03-01,35.54,35.54,34.89,35.03,721300
2023-03-02,34.81,34.86,33.97,34.56,766000
2023-03-03,34.72,35.19,34.29,35.13,492900
2023-03-06,35.14,35.58,34.9,35.17,560200
2023-03-07,34.94,34.94,34.03,34.37,613500
2023-03-08,34.46,34.46,33.77,33.87,537200
2023-03-09,33.6,33.6,31.87,31.94,726600
2023-03-10,31.12,32.18,30.26,31.74,1312600
2023-03-13,30.03,34.41,29.58,31.05,2760400
2023-03-14,33.69,34.25,30.75,31.17,1170100
2023-03-15,29.5,31.5,29.5,31.39,1747200
2023-03-16,30.91,32.73,30.53,31.72,1228900
2023-03-17,31.37,31.74,29.62,29.75,1838800
2023-03-20,30.32,31.51,30.14,30.65,1073400
2023-03-21,31.83,32.52,31.25,31.78,1027800
2023-03-22,31.63,31.67,29.97,29.99,675600
2023-03-23,30.29,30.37,28.56,29.06,817200
2023-03-24,28.75,30.15,28.7,30.07,733800
2023-03-27,30.87,31.06,30.44,30.57,658300
2023-03-28,30.25,30.97,29.89,30.42,601900
2023-03-29,30.78,30.8,30.19,30.68,588200
2023-03-30,30.97,30.99,29.78,29.91,929800
2023-03-31,30.28,30.37,29.67,29.86,865000
2023-04-03,29.93,30.22,29.42,29.51,496100
2023-04-04,29.53,29.66,28.12,28.6,459900
2023-04-05,28.49,29.1,28.21,28.98,560300
2023-04-06,28.98,29.78,28.9,29.77,665200
2023-04-10,29.5,30.16,29.28,29.76,634600
2023-04-11,29.94,29.94,29.45,29.52,399400
2023-04-12,29.7,29.83,29.03,29.13,275200
2023-04-13,29.16,29.64,28.83,29.55,408800
2023-04-14,30.01,30.2,28.5,28.75,492700
2023-04-17,28.75,29.63,28.46,29.61,536800
2023-04-18,29.7,29.75,28.64,28.79,600400
2023-04-19,28.88,29.93,28.83,29.56,457200
2023-04-20,29.15,29.38,28.49,28.9,622400
2023-04-21,28.79,28.87,27.53,27.87,1354100
2023-04-24,27.94,28.2,27.48,27.59,690600
2023-04-25,27.29,27.36,26.37,26.5,917700
2023-04-26,26.43,26.8,25.96,26.56,952100
2023-04-27,25.9,26.74,25.21,26.37,1669900
2023-04-28,26.46,26.54,25.34,25.59,1080500
2023-05-01,26.48,26.48,25.35,25.49,947200
2023-05-02,25.4,25.5,24.0,24.69,1332300
2023-05-03,24.62,25.36,23.97,24.14,1397600
2023-05-04,23.49,23.69,21.94,23.09,1077200
2023-05-05,23.44,23.9,22.84,23.85,1469600
2023-05-08,24.11,24.28,22.42,22.49,693400
2023-05-09,22.43,22.5,21.03,22.11,937800
2023-05-10,22.54,22.64,21.63,22.47,1070500
2023-05-11,22.17,22.34,21.74,21.82,718800
2023-05-12,21.94,22.05,21.44,21.78,508700
2023-05-15,21.8,22.41,21.75,22.25,695900
2023-05-16,22.2,22.47,21.85,21.85,523100
2023-05-17,22.19,23.43,22.0,23.37,928900
2023-05-18,23.51,23.72,23.14,23.55,713600
2023-05-19,23.88,23.88,22.57,22.85,564800
2023-05-22,23.15,23.71,22.74,23.52,568000
2023-05-23,23.55,24.71,23.38,24.04,982600
2023-05-24,23.94,24.01,23.5,23.55,788000
2023-05-25,23.29,23.78,23.11,23.35,833300
2023-05-26,23.32,23.69,22.84,23.6,409800
2023-05-30,23.66,23.67,22.82,23.07,786400
2023-05-31,22.95,22.95,21.79,22.05,757000
2023-06-01,22.26,22.97,22.0,22.75,445700
2023-06-02,23.14,24.36,22.91,24.24,576800
2023-06-05,24.2,24.23,23.39,23.53,481800
2023-06-06,23.4,25.21,23.02,24.67,669300
2023-06-07,24.96,25.59,24.56,25.41,695700
2023-06-08,25.26,25.43,24.66,25.18,577900
2023-06-09,25.08,25.25,24.64,24.92,430700
2023-06-12,25.0,25.56,24.6,24.81,530000
2023-06-13,25.01,25.96,24.96,25.93,763500
2023-06-14,25.91,26.2,25.07,25.23,792100
2023-06-15,25.06,25.96,25.06,25.75,626300
2023-06-16,26.22,26.23,25.17,25.52,1588500
2023-06-20,25.52,25.56,24.31,24.33,1063600
2023-06-21,24.19,24.35,23.82,24.1,894200
2023-06-22,24.0,24.28,23.68,23.78,539100
2023-06-23,23.35,23.73,23.02,23.4,2374400
2023-06-26,23.54,23.96,23.44,23.63,733300
2023-06-27,23.76,24.01,23.37,23.77,545000
2023-06-28,23.73,24.14,23.31,24.13,1504400
2023-06-29,24.39,24.75,24.27,24.42,486800
2023-06-30,24.59,24.59,23.83,23.84,1345500
2023-07-03,23.85,24.49,23.84,24.19,420200
2023-07-05,23.89,24.15,23.54,23.75,748900
2023-07-06,23.47,23.47,22.51,23.24,840600
2023-07-07,23.31,23.91,23.31,23.53,977500
2023-07-10,23.44,24.06,23.32,23.53,937700
2023-07-11,23.67,23.76,23.22,23.73,879100
2023-07-12,24.35,24.62,23.98,24.36,1064300
2023-07-13,24.54,25.2,24.36,25.08,965400
2023-07-14,25.27,25.27,24.71,24.86,944800
2023-07-17,24.83,25.57,24.73,25.32,668600
2023-07-18,25.33,26.54,25.33,26.17,1031900
2023-07-19,26.35,26.83,26.14,26.65,702900
2023-07-20,26.64,26.68,25.97,26.46,832600
2023-07-21,26.58,26.61,26.13,26.31,837800
2023-07-24,26.21,27.29,26.21,27.24,1083900
2023-07-25,27.32,27.74,26.97,27.63,1382500
2023-07-26,27.89,29.49,27.89,29.17,1436000
2023-07-27,29.82,29.85,28.45,28.58,1656000
2023-07-28,28.77,29.26,28.43,28.79,773500
2023-07-31,28.68,29.12,28.56,28.73,748000
2023-08-01,28.62,28.62,27.7,28.3,823500
2023-08-02,27.95,28.73,27.86,28.67,749500
2023-08-03,28.55,29.31,28.3,29.16,563900
2023-08-04,28.51,29.43,28.51,29.35,760800
2023-08-07,29.35,29.65,29.07,29.56,643000
2023-08-08,28.78,29.29,28.15,29.18,709000
2023-08-09,29.02,29.16,28.72,28.78,459200
2023-08-10,29.0,29.29,28.54,28.73,399100
2023-08-11,28.6,29.04,28.58,28.78,488100
2023-08-14,28.55,28.72,28.11,28.19,364000
2023-08-15,27.69,27.76,27.1,27.13,476900
2023-08-16,27.06,27.48,26.79,26.81,476700
2023-08-17,26.9,26.97,26.63,26.69,516300
2023-08-18,26.45,27.12,26.39,26.8,514900
2023-08-21,26.85,27.02,26.35,26.39,342000
2023-08-22,26.33,26.48,25.22,25.24,500900
2023-08-23,25.27,25.57,25.08,25.42,536900
2023-08-24,25.32,25.89,25.23,25.49,727100
2023-08-25,25.63,25.94,25.05,25.27,621300
2023-08-28,25.48,25.73,25.27,25.65,592100
2023-08-29,25.67,25.83,25.46,25.72,460500
2023-08-30,25.67,25.74,25.34,25.62,500100
2023-08-31,25.64,25.95,25.56,25.91,554100
2023-09-01,26.14,26.74,26.14,26.7,480800
2023-09-05,26.59,26.64,25.88,25.89,552100
2023-09-06,25.89,26.03,24.9,25.03,540300
2023-09-07,24.94,25.22,24.59,24.75,529700
2023-09-08,24.82,25.2,24.33,25.03,517300
2023-09-11,25.1,25.38,24.88,24.92,393600
2023-09-12,24.96,25.35,24.88,25.14,367400
2023-09-13,25.24,25.24,24.57,25.0,549100
2023-09-14,25.21,25.65,25.05,25.6,381100
2023-09-15,25.47,25.73,25.11,25.65,1718000
2023-09-18,25.69,25.71,24.9,24.95,564000
