Date,Open,High,Low,Close,Volume
2023-01-13,187.41,192.12,186.39,190.34,726800
2023-01-17,188.16,188.38,184.53,185.91,918200
2023-01-18,186.89,190.84,184.79,185.15,481600
2023-01-19,183.27,183.67,181.17,181.54,578400
2023-01-20,182.09,187.92,180.64,187.22,420000
2023-01-23,187.88,192.1,186.85,191.67,567300
2023-01-24,190.3,192.42,189.48,192.02,477800
2023-01-25,190.34,192.38,187.84,192.06,362200
2023-01-26,194.3,195.95,190.13,193.65,429100
2023-01-27,193.13,196.45,192.57,195.23,549400
2023-01-30,194.0,197.0,192.61,193.09,446000
2023-01-31,194.97,197.15,194.7,197.13,714300
2023-02-01,196.48,200.52,194.74,198.35,539200
2023-02-02,200.28,202.94,198.76,200.77,583900
2023-02-03,196.62,202.09,194.77,199.71,495500
2023-02-06,198.99,200.5,197.84,199.23,548500
2023-02-07,198.89,198.99,193.81,198.32,496700
2023-02-08,200.0,200.19,197.07,199.04,652900
2023-02-09,200.11,202.73,198.51,200.31,529100
2023-02-10,201.17,202.23,198.75,201.64,736400
2023-02-13,204.22,207.91,203.45,207.01,1100800
2023-02-14,203.88,209.74,202.01,206.44,755900
2023-02-15,205.46,209.38,205.0,208.38,600100
2023-02-16,205.35,209.58,204.55,207.66,552500
2023-02-17,208.42,212.56,207.97,210.47,681800
2023-02-21,206.46,209.43,205.44,207.58,559300
2023-02-22,208.08,211.4,206.33,207.01,401500
2023-02-23,206.87,207.16,200.76,206.52,773900
2023-02-24,204.27,208.08,202.0,207.06,533000
2023-02-27,208.04,208.04,203.04,205.15,741700
2023-02-28,205.61,207.5,204.22,204.3,443100
2023-03-01,202.58,204.25,198.96,199.4,688400
2023-03-02,199.03,201.89,196.89,201.87,856800
2023-03-03,202.0,206.41,201.65,206.38,551400
2023-03-06,205.67,207.11,203.07,203.3,569800
2023-03-07,205.25,208.44,200.69,200.82,868300
2023-03-08,200.97,201.0,196.2,200.85,766800
2023-03-09,200.85,202.43,199.0,199.53,624300
2023-03-10,198.93,200.32,194.62,196.04,725800
2023-03-13,193.38,199.98,189.5,195.78,980400
2023-03-14,200.32,200.32,195.63,197.84,799100
2023-03-15,194.17,198.47,194.07,198.17,1120900
2023-03-16,191.2,196.36,188.72,195.33,1623600
