Date,Open,High,Low,Close,Volume
2023-01-13,27.84,28.0,27.76,27.99,906200
2023-01-17,28.13,28.28,27.9,27.99,1301600
2023-01-18,28.0,28.0,27.03,27.03,1356800
2023-01-19,27.02,27.33,26.7,26.83,1826100
2023-01-20,26.92,26.93,26.37,26.72,2212100
2023-01-23,26.8,26.82,26.52,26.59,1473200
2023-01-24,26.5,26.87,26.41,26.57,2193400
2023-01-25,26.6,26.96,26.54,26.91,3699500
2023-01-26,26.85,27.01,26.44,26.7,3277200
2023-01-27,26.77,26.78,26.31,26.69,2704200
2023-01-30,26.87,27.4,26.85,27.01,3396900
2023-01-31,27.09,28.22,26.93,27.69,19493500
2023-02-01,27.54,27.91,27.43,27.66,2340600
2023-02-02,27.45,27.71,27.29,27.6,2163400
2023-02-03,27.63,27.68,27.11,27.53,1709400
2023-02-06,27.51,27.94,27.51,27.83,1553600
2023-02-07,27.64,27.64,27.2,27.56,2503400
2023-02-08,27.5,27.64,27.43,27.46,1587200
2023-02-09,27.54,27.7,27.2,27.31,1905300
2023-02-10,27.4,27.97,27.04,27.52,4105400
2023-02-13,27.52,27.87,27.2,27.86,2089200
2023-02-14,27.86,27.9,27.4,27.57,2099700
2023-02-15,27.56,27.8,27.48,27.8,1984800
2023-02-16,27.65,27.86,27.3,27.64,1841000
2023-02-17,27.75,28.45,27.65,28.31,2031100
2023-02-21,28.3,28.67,28.09,28.31,2895900
2023-02-22,28.41,28.65,28.27,28.41,1939200
2023-02-23,28.48,28.73,28.45,28.61,1819900
2023-02-24,28.58,28.63,28.26,28.33,1328700
2023-02-27,28.43,28.66,28.24,28.33,1454100
2023-02-28,28.23,28.29,27.87,27.88,2569400
2023-03-01,27.69,27.74,27.35,27.62,1495900
2023-03-02,27.43,27.77,27.38,27.75,1311700
2023-03-03,27.82,28.04,27.67,27.97,1465700
2023-03-06,27.93,28.02,27.72,27.94,1671400
2023-03-07,27.94,28.04,27.5,27.73,1248300
2023-03-08,27.88,27.88,27.24,27.42,1525800
2023-03-09,27.59,27.69,27.22,27.32,1392300
2023-03-10,27.39,27.49,27.11,27.2,1433100
2023-03-13,26.93,27.38,26.45,26.62,3038900
2023-03-14,26.89,27.2,26.67,27.17,2742500
2023-03-15,26.94,27.23,26.86,27.22,2511900
