Date,Open,High,Low,Close,Volume
2023-01-13,35.45,36.5,34.9,36.37,2901300
2023-01-17,36.28,36.56,35.01,35.13,1577300
2023-01-18,35.13,35.59,35.04,35.29,1452100
2023-01-19,35.07,35.21,34.5,34.59,1377700
2023-01-20,35.06,36.14,34.67,36.1,1162700
2023-01-23,36.22,36.9,35.87,36.13,1119300
2023-01-24,35.75,36.9,35.57,36.85,2056500
2023-01-25,36.6,37.07,36.23,37.04,1067500
2023-01-26,37.47,37.72,36.54,36.66,2388700
2023-01-27,36.5,37.73,36.31,37.42,1339000
2023-01-30,37.02,37.42,36.17,36.21,913600
2023-01-31,36.12,36.75,36.0,36.75,1532300
2023-02-01,36.75,37.72,36.29,37.24,2465700
2023-02-02,37.42,37.42,35.66,36.16,1549400
2023-02-03,36.22,37.06,36.18,36.25,1042900
2023-02-06,36.2,36.55,35.56,36.0,987400
2023-02-07,35.97,36.39,35.51,36.11,1183400
2023-02-08,35.95,36.06,35.52,35.55,1015600
2023-02-09,35.75,35.96,35.07,35.23,1086700
2023-02-10,35.4,35.83,35.39,35.64,899500
2023-02-13,35.77,36.15,35.25,36.08,938000
2023-02-14,35.79,36.52,35.61,36.39,1116400
2023-02-15,36.16,36.95,35.95,36.76,957700
2023-02-16,36.12,36.92,36.05,36.49,1368900
2023-02-17,36.75,37.36,36.47,36.65,2799500
2023-02-21,36.09,37.5,35.35,36.58,2305000
2023-02-22,36.85,37.25,35.43,35.62,1782100
2023-02-23,36.17,37.02,35.99,36.53,1420800
2023-02-24,36.26,36.3,35.22,35.76,1806200
2023-02-27,35.95,36.26,35.74,35.85,1573500
2023-02-28,36.0,37.08,35.85,36.67,1565100
2023-03-01,37.15,37.82,36.76,37.61,2847400
2023-03-02,37.42,37.97,37.2,37.6,1547900
2023-03-03,37.93,38.2,37.13,37.56,1192200
2023-03-06,37.25,37.56,36.52,36.87,825500
2023-03-07,36.94,37.46,36.63,36.81,1012100
2023-03-08,36.59,36.81,35.51,35.72,1802500
2023-03-09,35.94,36.14,34.36,34.51,1893000
2023-03-10,34.45,34.45,32.95,33.34,1856100
2023-03-13,32.52,33.4,32.19,32.82,2251200
2023-03-14,33.74,33.95,32.11,32.47,2078100
2023-03-15,31.47,31.5,28.95,30.33,3830300
2023-03-16,29.58,30.47,29.24,30.01,1861600
2023-03-17,29.6,29.6,28.43,29.16,3495800
2023-03-20,29.59,30.4,29.41,29.96,1827300
2023-03-21,30.69,31.17,30.51,30.8,1621600
2023-03-22,30.72,30.72,29.69,29.74,1237800
2023-03-23,29.75,30.32,29.09,29.4,1178400
2023-03-24,28.76,29.25,28.57,29.2,1348200
2023-03-27,29.78,29.79,28.76,29.23,1493400
2023-03-28,29.12,29.72,29.12,29.3,966900
2023-03-29,29.69,29.7,29.27,29.68,1131300
2023-03-30,30.0,30.25,29.49,30.08,1600800
2023-03-31,30.48,30.93,30.35,30.91,2427200
2023-04-03,31.15,31.8,30.62,31.42,2227900
2023-04-04,31.15,31.15,29.49,29.67,2111800
2023-04-05,29.39,29.5,28.37,28.84,1856100
2023-04-06,28.88,28.94,28.38,28.44,2391000
2023-04-10,28.4,29.9,28.4,29.86,1291300
2023-04-11,30.13,30.31,29.86,29.95,1448500
2023-04-12,30.29,30.65,30.0,30.45,1078400
2023-04-13,30.49,30.52,29.85,30.15,1635600
2023-04-14,30.68,31.1,30.11,30.44,1286900
2023-04-17,30.36,30.68,30.24,30.64,764800
2023-04-18,30.73,30.97,30.32,30.56,738700
2023-04-19,30.26,30.32,29.86,30.04,823000
2023-04-20,29.76,29.95,29.54,29.93,665500
2023-04-21,29.7,29.85,29.14,29.53,1119300
2023-04-24,29.68,30.13,29.55,29.77,996100
2023-04-25,29.28,29.43,28.76,28.85,902700
