Date,Open,High,Low,Close,Volume
2023-01-13,85.14,88.72,84.78,84.8,1473000
2023-01-17,84.12,84.26,81.61,83.99,1644700
2023-01-18,85.5,88.5,85.11,85.22,1770500
2023-01-19,83.42,83.816,79.89,80.05,1491400
2023-01-20,79.79,83.855,78.18,83.69,1731400
2023-01-23,83.96,87.45,83.835,87.32,1453400
2023-01-24,87.0,87.79,85.87,87.22,623000
2023-01-25,85.32,89.055,83.71,88.5,1378700
2023-01-26,89.38,90.96,84.52,84.72,1870200
2023-01-27,83.35,88.62,83.01,86.83,1815000
2023-01-30,85.66,87.04,84.99,85.27,1277400
2023-01-31,85.65,90.8,85.65,90.77,1411100
2023-02-01,90.8,95.71,89.529,95.37,1697600
2023-02-02,97.0,102.61,97.0,100.28,3618300
2023-02-03,96.52,100.91,96.52,99.79,2177200
2023-02-06,97.8,101.02,97.45,99.84,1893200
2023-02-07,98.52,101.1,97.12,100.85,2070900
2023-02-08,99.21,99.615,98.0,99.0,1320500
2023-02-09,100.55,101.5,98.75,98.96,1502600
2023-02-10,97.01,97.45,93.95,94.11,1879400
2023-02-13,94.43,99.38,93.56,98.13,1270300
2023-02-14,96.62,100.46,95.14,100.2,1037400
2023-02-15,98.9,101.17,98.19,100.61,1246900
2023-02-16,94.97,100.19,94.85,97.72,1590400
2023-02-17,96.18,96.715,92.87,94.5,1861300
2023-02-21,92.45,92.45,87.34,88.14,2398600
2023-02-22,88.84,90.83,88.62,89.11,1159000
2023-02-23,89.33,91.175,88.24,90.83,1819300
2023-02-24,94.99,94.99,88.78,91.0,3010300
2023-02-27,92.77,92.77,90.0,90.38,1192600
2023-02-28,90.43,92.56,89.195,91.81,1606800
2023-03-01,91.34,92.11,88.08,88.47,1376400
2023-03-02,86.72,89.015,86.13,88.39,884300
2023-03-03,89.16,91.5,88.46,91.28,927800
2023-03-06,91.54,92.51,89.09,89.68,901500
2023-03-07,89.67,90.54,87.78,87.83,1041500
2023-03-08,88.11,89.075,87.26,88.78,1965200
2023-03-09,88.57,90.07,85.51,85.73,1195400
2023-03-10,85.85,88.25,83.99,86.75,2312900
2023-03-13,85.41,89.74,85.085,88.85,2261400
2023-03-14,90.48,91.14,87.62,88.98,1705700
2023-03-15,87.28,89.42,86.67,88.75,965300
2023-03-16,88.23,91.13,88.16,90.58,1363800
2023-03-17,90.72,91.94,89.46,91.52,1789400
2023-03-20,91.82,94.09,91.41,92.43,1384600
2023-03-21,93.49,96.12,93.49,93.76,1429400
2023-03-22,93.98,95.24,92.21,92.3,958900
2023-03-23,93.2,93.62,90.305,91.92,1169300
2023-03-24,91.0,93.37,90.55,93.09,871500
2023-03-27,93.41,93.82,90.15,92.39,971500
2023-03-28,91.95,93.72,91.56,93.41,1037800
2023-03-29,94.21,94.55,92.78,94.45,790700
2023-03-30,95.44,96.06,94.24,94.7,1476800
2023-03-31,95.3,98.43,94.915,98.22,1245800
2023-04-03,97.62,98.73,96.35,98.63,1154700
2023-04-04,99.37,99.37,97.59,98.15,1138800
2023-04-05,97.16,97.57,92.7,93.32,1604900
2023-04-06,92.58,92.79,90.44,92.38,1570400
2023-04-10,91.78,98.37,91.63,97.74,1503600
2023-04-11,98.55,99.2,97.29,98.7,1023500
2023-04-12,99.55,100.0,96.11,96.41,997200
2023-04-13,96.95,98.975,96.25,98.22,978900
2023-04-14,98.26,99.77,97.93,98.41,815100
2023-04-17,98.46,98.79,97.17,98.01,1186000
2023-04-18,99.24,101.39,98.66,100.48,2848500
2023-04-19,99.52,99.675,98.18,99.34,970800
2023-04-20,98.3,100.15,98.21,98.91,980900
2023-04-21,99.22,99.56,97.18,98.39,1120800
2023-04-24,98.85,99.44,97.92,98.9,816700
2023-04-25,99.07,99.62,97.08,97.13,1233800
2023-04-26,98.09,98.525,93.35,93.85,2073100
2023-04-27,94.48,96.49,94.11,96.4,2189500
2023-04-28,97.0,99.7,96.68,99.34,841500
2023-05-01,98.84,99.79,98.37,99.66,1004200
2023-05-02,99.6,100.3,97.65,99.47,839700
2023-05-03,99.5,101.31,97.32,97.55,1576900
2023-05-04,97.5,100.13,96.565,97.32,1658200
2023-05-05,91.05,94.1,87.62,92.44,4863500
2023-05-08,92.3,93.0,90.595,92.05,1380100
2023-05-09,92.0,92.82,90.84,91.73,1346000
2023-05-10,92.36,93.2,90.73,92.65,1219600
2023-05-11,93.61,93.83,91.925,93.16,846500
2023-05-12,93.28,93.97,91.89,92.57,1196800
2023-05-15,92.12,92.73,91.32,92.28,943000
2023-05-16,89.87,90.648,87.865,89.07,2181900
2023-05-17,89.24,91.6,88.58,91.37,1329300
2023-05-18,91.41,91.67,90.11,91.08,963800
2023-05-19,90.61,90.61,87.45,88.45,1345600
2023-05-22,88.06,90.95,87.965,90.57,1014400
2023-05-23,89.92,91.89,88.77,90.71,1209100
2023-05-24,90.84,91.09,87.935,90.13,822400
2023-05-25,90.7,91.88,88.31,88.44,852000
2023-05-26,88.5,92.03,88.025,91.79,909600
2023-05-30,92.99,93.61,91.72,92.88,843000
2023-05-31,92.96,93.35,89.77,91.31,1109600
2023-06-01,90.96,93.12,89.29,92.47,954500
2023-06-02,93.1,95.0,92.28,94.17,1039300
2023-06-05,93.13,93.265,90.92,91.12,1248500
2023-06-06,90.59,93.78,90.26,92.98,1316000
2023-06-07,94.08,99.17,93.58,97.74,2590300
2023-06-08,98.17,98.885,96.23,96.55,855500
