Date,Open,High,Low,Close,Volume
2023-01-13,60.4,62.01,60.259,61.2,697500
2023-01-17,61.0,63.99,60.5,63.23,702900
2023-01-18,63.5,63.71,61.58,62.51,714200
2023-01-19,62.42,65.34,60.41,61.43,846300
2023-01-20,62.34,62.645,60.68,62.63,515800
2023-01-23,63.06,64.18,60.46,61.99,597000
2023-01-24,61.88,62.475,61.01,61.26,282400
2023-01-25,60.88,62.32,60.45,62.26,326800
2023-01-26,62.92,63.545,61.04,61.46,352000
2023-01-27,61.31,65.01,61.16,64.26,773000
2023-01-30,63.89,64.26,61.83,61.84,728500
2023-01-31,62.04,63.69,61.38,63.33,461900
2023-02-01,62.5,64.9,60.88,64.42,838100
2023-02-02,65.35,68.8,64.47,65.92,1287700
2023-02-03,65.03,66.66,63.82,65.27,608000
2023-02-06,64.5,66.455,63.93,65.34,519200
2023-02-07,65.07,65.565,62.54,64.43,512300
2023-02-08,63.99,64.135,62.66,62.8,451100
2023-02-09,62.96,65.419,61.93,62.47,701200
2023-02-10,61.81,63.055,60.66,62.57,481200
2023-02-13,62.84,63.915,61.93,62.51,510800
2023-02-14,62.18,66.25,60.85,65.57,953700
2023-02-15,65.59,68.615,64.89,67.93,1018900
2023-02-16,66.62,67.92,64.13,65.22,691100
2023-02-17,64.98,67.8,64.65,67.31,836400
2023-02-21,66.19,66.195,62.39,62.45,691100
2023-02-22,62.45,65.97,62.45,63.24,835700
2023-02-23,63.41,64.78,57.92,62.39,888200
2023-02-24,60.68,61.295,59.67,61.06,891800
2023-02-27,59.0,63.55,57.105,62.09,1031000
2023-02-28,62.7,63.83,61.27,62.18,733200
2023-03-01,62.28,64.695,61.75,63.85,742600
2023-03-02,63.37,63.84,61.77,62.56,523700
2023-03-03,62.78,64.01,62.29,62.68,503700
2023-03-06,63.11,63.97,62.025,62.84,320200
2023-03-07,62.72,63.55,61.63,61.69,288900
2023-03-08,61.65,62.09,60.71,61.43,408300
2023-03-09,61.59,62.04,59.71,59.79,289900
2023-03-10,59.62,60.26,53.78,56.78,1084800
2023-03-13,55.1,56.94,53.85,55.24,616800
2023-03-14,56.95,57.96,54.09,55.67,537300
2023-03-15,47.18,56.16,45.13,54.65,5532100
2023-03-16,54.58,59.38,52.72,58.27,3551200
2023-03-17,57.86,59.67,57.08,59.62,1345500
2023-03-20,59.99,60.17,58.01,59.05,854700
2023-03-21,60.29,62.46,59.805,61.38,1277700
2023-03-22,62.13,64.405,61.12,62.05,1016300
2023-03-23,62.47,62.86,59.49,59.73,727400
2023-03-24,59.21,62.76,58.77,62.12,880600
2023-03-27,62.45,63.81,61.59,63.01,649900
2023-03-28,63.09,64.23,62.36,63.69,1004000
2023-03-29,64.68,65.75,64.0,64.78,603200
2023-03-30,64.82,66.76,64.62,65.88,858600
2023-03-31,66.12,68.17,65.25,66.19,901400
2023-04-03,66.19,68.05,65.2,67.11,665500
2023-04-04,67.52,67.93,65.93,67.07,609700
2023-04-05,66.8,67.945,64.42,65.4,879500
2023-04-06,65.07,66.15,64.38,66.09,389500
2023-04-10,65.69,66.54,64.5,65.58,354500
2023-04-11,65.99,67.07,64.45,64.57,911400
2023-04-12,65.54,66.065,63.15,63.28,441800
2023-04-13,63.83,67.02,63.83,66.22,602300
2023-04-14,66.37,67.17,64.48,65.2,365200
2023-04-17,65.4,66.93,64.39,65.16,1887700
2023-04-18,65.56,66.84,63.105,65.24,1792300
2023-04-19,65.26,65.3,62.24,62.31,563000
2023-04-20,61.52,63.7,61.52,63.63,847600
2023-04-21,63.72,65.36,63.06,65.01,1061900
2023-04-24,64.85,65.445,64.07,65.19,480700
2023-04-25,64.77,65.66,64.19,65.5,471000
2023-04-26,65.94,68.99,65.48,67.46,909000
2023-04-27,67.82,69.67,66.99,67.72,909200
2023-04-28,67.59,69.0,66.86,68.97,382400
2023-05-01,68.93,69.94,68.18,69.35,494200
2023-05-02,69.34,69.95,66.65,68.1,492200
2023-05-03,68.04,69.575,67.21,69.13,760300
2023-05-04,69.21,69.8,68.06,68.8,534800
2023-05-05,69.48,70.63,66.01,69.54,940700
2023-05-08,69.9,73.48,64.21,67.64,1429300
2023-05-09,68.16,69.095,66.54,68.52,716600
2023-05-10,69.59,71.505,69.41,70.53,1185500
2023-05-11,70.63,70.65,69.61,70.25,502800
2023-05-12,70.13,71.02,68.868,69.1,416100
2023-05-15,69.32,69.81,68.84,69.51,354600
2023-05-16,69.15,69.16,61.95,64.08,1622300
2023-05-17,64.08,64.9,61.5,64.1,858000
2023-05-18,63.49,66.75,61.86,65.88,873600
2023-05-19,65.93,67.78,63.59,64.83,921700
2023-05-22,64.83,66.84,64.0,66.1,919400
2023-05-23,65.97,67.915,64.81,67.35,813100
2023-05-24,67.08,68.3,64.72,66.2,786200
2023-05-25,66.17,66.17,63.63,64.11,541400
2023-05-26,63.69,64.075,62.37,62.8,463800
2023-05-30,62.86,64.47,62.51,63.37,521700
2023-05-31,63.08,63.48,57.66,59.76,1168800
2023-06-01,59.87,61.93,59.01,61.38,667000
