Date,Open,High,Low,Close,Volume
2023-01-13,50.32,51.11,50.29,51.07,622800
2023-01-17,51.36,51.65,51.08,51.27,1414600
2023-01-18,51.35,52.12,51.1,51.36,1421300
2023-01-19,51.1,51.81,51.03,51.43,630700
2023-01-20,51.49,51.85,50.83,51.85,975700
2023-01-23,51.91,52.79,51.48,52.77,1046600
2023-01-24,52.95,53.07,52.44,52.68,646000
2023-01-25,52.28,52.47,51.82,52.22,839900
2023-01-26,52.52,52.87,52.37,52.76,479200
2023-01-27,52.72,53.52,52.63,53.2,541900
2023-01-30,52.93,53.33,52.34,52.42,392600
2023-01-31,52.26,53.4,52.18,53.35,882300
2023-02-01,53.07,54.43,52.71,54.05,1004400
2023-02-02,54.5,55.51,54.5,54.94,874300
2023-02-03,54.19,54.35,53.45,53.8,1832800
2023-02-06,53.25,53.74,52.83,53.7,941000
2023-02-07,53.19,53.79,52.86,53.4,1558500
2023-02-08,53.12,53.96,53.04,53.71,1039300
2023-02-09,53.58,54.48,53.16,53.42,1171400
2023-02-10,53.33,53.65,52.68,53.21,591600
2023-02-13,53.36,53.76,53.3,53.52,715200
2023-02-14,53.41,53.97,52.89,53.7,594000
2023-02-15,53.75,54.82,53.63,54.77,977800
2023-02-16,53.96,54.59,53.7,54.0,1314500
2023-02-17,53.98,54.21,53.42,53.88,723000
2023-02-21,53.51,53.81,53.23,53.36,859900
2023-02-22,53.57,53.69,52.58,52.8,837700
2023-02-23,53.07,53.45,52.48,53.24,528200
2023-02-24,52.79,52.93,52.46,52.52,475100
2023-02-27,53.01,53.22,52.56,52.86,972400
2023-02-28,52.94,53.76,52.72,52.75,932900
2023-03-01,52.3,52.46,51.81,52.46,668100
2023-03-02,52.22,53.65,52.06,53.57,525500
2023-03-03,53.92,54.38,53.76,54.3,533000
2023-03-06,54.5,54.6,53.94,53.96,513100
2023-03-07,53.91,54.01,52.58,52.85,761900
2023-03-08,52.8,53.78,52.8,53.51,778700
2023-03-09,53.47,53.71,52.42,52.63,1104900
2023-03-10,52.69,52.8,50.28,50.58,690300
2023-03-13,50.2,51.73,50.08,51.02,898800
2023-03-14,51.72,52.32,51.28,52.28,1036600
2023-03-15,51.61,52.18,51.12,52.06,645700
2023-03-16,51.56,52.64,51.29,51.9,815900
2023-03-17,51.87,51.87,50.76,50.79,1270100
2023-03-20,51.16,51.89,50.75,51.69,1337200
2023-03-21,51.36,52.02,50.76,51.25,1471300
2023-03-22,50.96,51.01,49.38,49.43,696700
2023-03-23,49.7,50.37,49.09,49.44,733500
2023-03-24,49.2,50.73,49.17,50.62,713100
2023-03-27,51.07,51.39,50.77,51.03,405000
2023-03-28,50.68,51.11,50.49,50.84,350000
2023-03-29,51.37,51.92,51.17,51.9,526100
2023-03-30,52.03,52.25,51.73,52.06,534400
2023-03-31,52.5,53.3,52.37,53.2,880300
2023-04-03,53.05,53.53,52.33,52.65,662700
2023-04-04,52.65,52.68,51.92,52.27,535000
2023-04-05,52.12,52.37,51.63,51.85,794400
2023-04-06,52.09,52.21,51.65,52.13,339500
2023-04-10,51.75,52.23,51.45,52.21,469300
2023-04-11,52.31,52.53,51.92,52.05,726900
2023-04-12,52.49,52.49,51.0,51.12,814600
2023-04-13,51.17,51.4,50.45,51.01,1023000
2023-04-14,50.99,51.59,50.1,50.44,696100
2023-04-17,50.56,51.4,50.4,51.38,660100
2023-04-18,51.41,51.72,50.99,51.25,1373600
2023-04-19,51.05,51.9,50.74,51.85,646100
2023-04-20,52.0,52.96,51.41,52.49,826900
2023-04-21,52.86,53.19,52.33,52.69,850900
2023-04-24,52.8,52.84,51.54,51.83,558600
2023-04-25,51.7,52.09,51.11,51.4,624700
2023-04-26,51.1,51.52,50.51,50.78,639600
