Date,Open,High,Low,Close,Volume
2023-01-13,16.76,16.87,16.44,16.84,974300
2023-01-17,16.74,16.82,16.48,16.6,1060400
2023-01-18,16.12,16.17,15.03,15.24,2996700
2023-01-19,15.18,15.83,15.1,15.43,2617400
2023-01-20,15.66,15.71,15.44,15.64,1141400
2023-01-23,15.64,16.06,15.63,15.96,1454100
2023-01-24,15.9,16.09,15.85,16.05,1323300
2023-01-25,16.01,16.1,15.85,16.08,1406800
2023-01-26,16.2,16.28,16.04,16.17,761900
2023-01-27,16.17,16.34,16.12,16.18,628300
2023-01-30,16.16,16.31,16.08,16.13,655300
2023-01-31,16.2,16.73,16.19,16.73,1230800
2023-02-01,16.56,17.08,16.53,16.91,1233400
2023-02-02,16.91,17.26,16.84,17.25,1064800
2023-02-03,17.17,17.39,17.07,17.28,917900
2023-02-06,17.27,17.36,17.16,17.26,564500
2023-02-07,17.16,17.39,17.07,17.29,844600
2023-02-08,17.21,17.31,17.06,17.25,645800
2023-02-09,17.33,17.4,17.0,17.03,521200
2023-02-10,17.12,17.33,17.09,17.31,627300
2023-02-13,17.24,17.44,17.21,17.42,479500
2023-02-14,17.44,17.5,17.21,17.32,568000
2023-02-15,17.15,17.5,17.14,17.47,486500
2023-02-16,17.42,17.42,17.2,17.2,768900
2023-02-17,17.31,17.43,17.24,17.37,770100
2023-02-21,17.28,17.36,17.15,17.22,1032700
2023-02-22,17.17,17.33,17.12,17.16,1012400
2023-02-23,17.17,17.32,17.07,17.17,879200
2023-02-24,17.05,17.24,16.98,17.23,925000
2023-02-27,17.33,17.44,17.21,17.3,664000
2023-02-28,17.3,17.4,17.2,17.2,714900
2023-03-01,17.15,17.35,17.07,17.31,824500
2023-03-02,17.2,17.2,16.78,16.95,709000
2023-03-03,17.01,17.1,16.82,17.07,555600
2023-03-06,17.04,17.16,16.91,16.98,838900
2023-03-07,16.9,16.9,16.31,16.35,1091600
2023-03-08,16.39,16.51,16.28,16.35,1024200
2023-03-09,16.2,16.2,15.53,15.54,1171400
2023-03-10,15.13,15.84,14.91,15.44,2300000
2023-03-13,14.43,15.67,13.95,14.93,3236200
2023-03-14,15.98,16.2,14.87,15.06,2052500
2023-03-15,14.37,15.05,14.32,14.84,1934500
2023-03-16,14.59,15.68,14.44,15.33,1639000
2023-03-17,14.84,15.08,14.25,14.4,3272500
2023-03-20,15.24,15.24,14.44,14.5,1967900
2023-03-21,15.11,15.21,14.97,15.1,1189800
2023-03-22,15.1,15.11,14.29,14.31,1473000
2023-03-23,14.44,14.62,13.59,13.7,2182600
2023-03-24,13.5,14.18,13.4,14.17,2617500
2023-03-27,14.59,14.63,13.98,14.05,1556800
2023-03-28,13.96,14.13,13.76,13.89,1118500
2023-03-29,14.12,14.15,13.76,13.97,1401500
2023-03-30,14.14,14.14,13.77,13.84,1048000
2023-03-31,13.8,13.88,13.68,13.82,1137800
2023-04-03,13.89,13.95,13.59,13.67,675400
2023-04-04,13.75,13.76,13.24,13.37,1097600
2023-04-05,13.17,13.47,13.16,13.43,1017000
2023-04-06,13.4,13.56,13.38,13.49,691300
2023-04-10,13.4,13.72,13.36,13.56,1028400
2023-04-11,13.57,13.63,13.48,13.52,699400
2023-04-12,13.61,13.74,13.31,13.41,892700
2023-04-13,13.41,13.61,13.27,13.56,1021800
2023-04-14,13.84,13.95,13.12,13.23,1326800
2023-04-17,13.18,13.45,13.09,13.42,1568400
2023-04-18,13.49,13.49,13.02,13.11,1607100
2023-04-19,12.65,12.97,12.29,12.76,2824100
2023-04-20,12.6,12.7,12.43,12.61,2226200
2023-04-21,12.57,12.67,12.29,12.49,1757700
2023-04-24,12.47,12.67,12.23,12.29,1310600
2023-04-25,12.11,12.17,11.75,11.78,1550500
2023-04-26,11.78,11.96,11.71,11.87,1180400
2023-04-27,11.92,11.98,11.78,11.9,1122300
2023-04-28,11.86,12.1,11.85,11.93,1165700
2023-05-01,11.93,12.01,11.75,11.79,942300
2023-05-02,11.76,11.89,11.02,11.07,1636900
2023-05-03,11.1,11.38,10.76,10.88,1849900
2023-05-04,10.55,10.65,10.01,10.16,3074600
2023-05-05,10.55,10.69,10.28,10.47,1966600
2023-05-08,10.66,10.8,10.2,10.22,1113500
2023-05-09,10.16,10.21,9.91,10.04,999500
2023-05-10,10.22,10.24,9.78,9.88,1206100
2023-05-11,9.74,9.81,9.64,9.65,1146100
2023-05-12,9.74,9.91,9.69,9.89,1456000
2023-05-15,10.0,10.8,9.94,10.78,2127200
2023-05-16,10.99,10.99,10.63,10.65,1516300
2023-05-17,10.87,11.55,10.87,11.5,1703500
2023-05-18,11.48,11.54,11.33,11.49,1213000
2023-05-19,11.64,11.65,11.1,11.21,1443900
2023-05-22,11.27,11.46,11.07,11.38,988500
2023-05-23,11.38,11.82,11.34,11.55,1630500
2023-05-24,11.45,11.58,11.32,11.46,1353400
2023-05-25,11.33,11.4,11.12,11.35,1087800
2023-05-26,11.36,11.47,11.16,11.45,835000
2023-05-30,11.45,11.5,11.2,11.39,949700
2023-05-31,11.34,11.39,10.99,11.16,1186100
2023-06-01,11.25,11.69,11.14,11.58,1238400
2023-06-02,11.79,12.28,11.68,12.22,1258800
2023-06-05,12.22,12.28,11.85,12.11,1590700
2023-06-06,12.09,12.88,12.04,12.68,1503900
2023-06-07,12.87,13.38,12.75,13.22,1637100
2023-06-08,13.15,13.16,12.72,12.88,1606500
2023-06-09,12.88,13.0,12.83,12.96,1451900
2023-06-12,12.92,13.34,12.88,12.99,2048400
2023-06-13,13.01,13.42,12.92,13.07,1633000
2023-06-14,13.09,13.3,12.67,12.82,1754000
2023-06-15,12.7,13.16,12.7,13.1,1585400
2023-06-16,13.1,13.18,12.7,12.87,33876700
2023-06-20,12.85,12.85,12.55,12.61,1979000
2023-06-21,12.72,12.72,12.41,12.61,1543100
2023-06-22,12.52,12.55,12.09,12.3,1659500
2023-06-23,12.13,12.28,11.94,12.0,1842900
2023-06-26,12.06,12.25,12.01,12.03,986900
2023-06-27,12.04,12.36,11.93,12.21,777300
2023-06-28,12.16,12.19,12.02,12.15,786500
2023-06-29,12.31,12.52,12.28,12.35,925800
2023-06-30,12.25,12.28,11.91,11.92,995000
2023-07-03,11.96,12.2,11.92,12.11,366300
2023-07-05,11.98,12.12,11.8,11.94,1129500
2023-07-06,11.79,11.88,11.47,11.67,1011900
2023-07-07,11.69,12.04,11.69,11.94,797800
2023-07-10,11.88,12.22,11.88,12.03,814900
2023-07-11,12.07,12.2,11.93,12.15,818900
2023-07-12,12.36,12.54,12.24,12.33,5749500
2023-07-13,12.41,12.67,12.37,12.55,1220900
2023-07-14,12.61,12.64,12.14,12.29,1090800
