Date,Open,High,Low,Close,Volume
2023-01-13,42.15,42.66,41.75,41.91,128900
2023-01-17,41.76,42.37,41.65,42.07,95000
2023-01-18,41.9,42.52,41.81,42.09,199200
2023-01-19,41.86,42.1,41.79,41.87,137700
2023-01-20,41.76,42.25,41.72,41.79,249400
2023-01-23,41.78,42.15,41.1,41.26,212300
2023-01-24,41.1,41.54,41.01,41.41,102400
2023-01-25,41.24,41.83,41.17,41.52,110900
2023-01-26,41.49,42.09,41.07,41.98,97400
2023-01-27,41.95,42.15,41.64,42.14,175600
2023-01-30,41.87,42.02,41.47,41.47,500800
2023-01-31,41.53,42.57,41.46,41.94,111700
2023-02-01,41.89,42.42,41.62,41.95,164900
2023-02-02,42.19,43.65,41.81,43.5,154700
2023-02-03,43.6,44.23,43.23,44.08,297800
2023-02-06,43.71,44.54,43.71,44.02,325200
2023-02-07,44.01,44.36,43.4,44.13,170000
2023-02-08,43.82,44.13,43.38,43.38,84000
2023-02-09,43.88,44.14,43.38,43.5,122900
2023-02-10,43.22,43.71,43.22,43.46,96600
2023-02-13,43.32,44.14,43.32,43.66,118900
2023-02-14,43.75,44.1,43.24,43.36,180900
2023-02-15,43.0,43.85,43.0,43.23,128800
2023-02-16,44.08,46.51,44.08,45.0,829900
2023-02-17,45.89,45.98,44.9,44.95,196400
2023-02-21,44.87,45.1,44.79,44.85,222100
2023-02-22,45.0,46.74,44.82,46.0,321800
2023-02-23,46.28,46.77,46.15,46.36,210900
2023-02-24,46.29,46.73,45.71,46.3,210400
2023-02-27,46.55,47.16,45.87,45.94,136800
2023-02-28,45.82,46.52,45.59,45.92,244600
2023-03-01,45.99,46.59,45.99,46.5,211700
2023-03-02,46.51,47.16,46.45,46.89,292500
2023-03-03,47.06,47.95,47.0,47.18,293400
2023-03-06,46.93,47.16,46.2,46.49,81100
2023-03-07,46.5,46.85,46.19,46.22,635300
2023-03-08,46.15,47.1,46.11,47.0,246600
2023-03-09,47.01,47.42,46.66,46.66,227800
2023-03-10,46.54,46.6,45.09,45.91,278800
2023-03-13,45.31,45.61,44.76,44.77,161000
2023-03-14,45.22,45.86,44.98,45.62,177800
2023-03-15,44.99,45.32,44.38,44.75,208700
2023-03-16,44.62,45.16,44.3,44.82,239700
2023-03-17,44.51,45.03,43.8,43.8,137800
2023-03-20,44.09,44.53,43.63,43.87,113200
2023-03-21,44.33,45.58,44.33,44.81,155100
2023-03-22,44.94,44.94,44.08,44.22,109600
2023-03-23,44.13,45.03,43.71,43.76,124200
2023-03-24,43.66,44.39,43.61,44.27,154300
2023-03-27,44.64,45.04,44.43,44.67,96800
2023-03-28,44.51,45.25,44.28,44.61,171200
2023-03-29,44.78,45.45,44.38,45.26,125500
2023-03-30,45.52,45.58,45.0,45.21,153800
2023-03-31,45.47,45.76,45.38,45.69,130100
2023-04-03,45.33,45.93,45.3,45.67,75600
2023-04-04,45.71,45.86,45.21,45.51,212700
2023-04-05,45.4,45.79,44.99,45.5,192800
2023-04-06,45.51,45.51,44.7,45.04,106000
2023-04-10,44.58,45.44,44.58,45.12,137500
2023-04-11,45.39,45.39,44.68,45.12,90100
2023-04-12,45.25,45.25,42.93,43.33,209600
2023-04-13,43.51,43.74,42.32,42.4,170500
2023-04-14,42.28,42.42,39.66,40.94,491000
2023-04-17,40.89,41.21,40.45,40.97,71200
2023-04-18,41.05,41.93,40.83,41.67,87600
2023-04-19,41.38,41.88,41.25,41.75,210000
2023-04-20,42.16,42.16,41.29,41.76,147200
2023-04-21,41.51,41.92,40.85,41.28,111200
2023-04-24,40.98,41.41,40.65,41.37,127700
2023-04-25,41.13,41.42,40.8,41.09,191000
2023-04-26,41.03,41.69,40.78,41.62,137100
2023-04-27,41.33,43.44,41.33,43.23,154200
2023-04-28,42.94,44.12,42.84,43.72,191800
2023-05-01,43.77,44.01,42.91,43.09,266900
2023-05-02,43.09,43.09,41.43,41.64,207500
2023-05-03,41.8,42.0,40.16,40.88,262200
2023-05-04,41.5,41.5,39.25,40.29,285100
2023-05-05,40.72,41.17,40.26,40.79,248100
2023-05-08,41.16,41.69,40.84,41.3,200800
2023-05-09,41.44,41.95,41.02,41.95,595600
2023-05-10,42.0,42.71,41.17,42.69,178600
2023-05-11,42.0,43.34,41.9,43.29,177000
2023-05-12,43.27,43.49,42.69,43.09,141100
2023-05-15,43.06,43.47,42.86,43.42,185700
2023-05-16,43.47,43.71,41.53,42.3,236300
2023-05-17,42.42,43.58,42.17,43.58,120000
2023-05-18,43.19,45.34,43.19,44.56,255800
2023-05-19,44.86,45.19,44.23,44.75,97600
2023-05-22,44.75,45.14,44.58,44.81,125100
2023-05-23,44.93,45.12,44.38,45.0,668800
2023-05-24,44.64,45.06,44.64,45.0,148900
2023-05-25,45.38,45.38,43.37,44.05,60400
2023-05-26,44.02,44.49,44.0,44.41,117100
2023-05-30,44.24,44.49,43.42,44.17,185200
2023-05-31,44.31,45.11,43.75,44.62,159000
2023-06-01,44.7,44.82,44.19,44.68,111300
2023-06-02,44.82,45.1,44.26,45.09,192100
2023-06-05,45.01,45.39,43.47,43.51,155800
2023-06-06,42.91,43.0,41.7,42.0,339300
2023-06-07,42.29,43.1,42.06,42.61,269300
2023-06-08,42.71,42.84,42.08,42.36,203200
2023-06-09,42.18,42.74,41.82,42.66,168100
2023-06-12,42.71,43.34,42.49,43.03,362800
2023-06-13,43.22,43.52,42.5,43.42,571600
2023-06-14,43.5,43.58,42.39,42.94,113000
2023-06-15,43.03,43.09,41.66,42.32,250200
2023-06-16,42.06,42.3,41.19,41.51,276300
2023-06-20,41.31,41.41,40.95,41.25,197700
2023-06-21,41.41,42.07,40.94,41.46,192800
2023-06-22,41.73,41.73,40.28,40.95,274800
2023-06-23,40.49,40.83,39.99,39.99,374300
2023-06-26,39.84,40.75,39.84,40.4,129600
2023-06-27,40.26,40.54,39.99,40.52,153500
2023-06-28,40.24,40.48,39.75,39.88,171700
2023-06-29,39.77,40.23,39.69,40.0,172800
2023-06-30,40.0,40.26,39.75,39.97,155900
2023-07-03,39.77,40.14,39.69,40.01,74800
2023-07-05,40.0,40.21,39.55,39.81,167600
2023-07-06,39.5,39.95,39.5,39.65,187100
2023-07-07,38.24,39.92,38.0,39.24,374600
2023-07-10,39.24,39.52,38.81,38.95,152600
2023-07-11,38.92,39.1,37.92,38.15,203300
2023-07-12,38.4,38.48,37.83,37.85,188100
2023-07-13,37.58,38.08,37.17,37.75,639200
2023-07-14,37.71,37.73,37.3,37.5,533100
2023-07-17,37.25,37.69,37.17,37.4,372300
2023-07-18,37.34,37.7,37.09,37.4,309900
2023-07-19,37.28,37.63,37.11,37.2,256700
2023-07-20,37.33,37.5,36.19,36.67,237600
2023-07-21,36.87,37.17,35.55,35.86,812100
2023-07-24,35.73,36.09,35.65,35.93,339900
2023-07-25,35.95,36.88,35.73,36.88,205600
2023-07-26,37.13,38.44,36.89,38.4,210100
2023-07-27,38.5,39.48,38.48,38.5,192700
2023-07-28,38.49,39.24,38.03,38.53,183300
2023-07-31,38.35,39.3,38.35,38.95,295000
2023-08-01,38.62,38.83,38.0,38.8,296500
2023-08-02,38.07,38.4,37.57,37.69,969800
2023-08-03,37.54,41.41,37.54,41.2,493900
2023-08-04,41.43,42.32,40.73,42.06,414900
2023-08-07,41.8,41.88,40.14,40.53,199700
2023-08-08,40.16,40.54,38.7,39.0,325300
2023-08-09,39.13,39.13,38.4,38.75,175300
2023-08-10,38.55,39.49,38.33,38.58,112400
2023-08-11,38.45,39.52,38.26,39.31,107900
2023-08-14,39.15,39.53,38.98,39.35,127300
2023-08-15,39.32,39.51,37.87,38.96,141500
2023-08-16,38.98,40.0,38.9,39.7,86000
2023-08-17,38.95,39.53,38.52,38.85,138800
2023-08-18,39.13,39.97,38.96,39.73,118700
2023-08-21,39.43,40.08,39.24,39.69,59900
2023-08-22,39.74,39.85,39.28,39.6,141100
2023-08-23,39.61,39.76,39.11,39.46,118900
2023-08-24,39.5,39.53,39.28,39.44,27600
2023-08-25,39.42,39.7,39.25,39.31,41900
2023-08-28,39.22,39.7,39.22,39.29,27000
2023-08-29,39.5,40.0,39.27,39.6,113500
2023-08-30,39.41,40.04,39.41,39.95,123100
2023-08-31,40.08,40.25,39.82,40.05,162100
2023-09-01,39.95,41.42,39.91,40.8,168800
2023-09-05,40.5,40.62,39.89,40.08,101500
2023-09-06,40.04,40.16,39.62,39.9,46100
2023-09-07,39.75,40.0,39.57,39.92,61600
2023-09-08,39.72,40.0,39.48,39.61,70700
2023-09-11,39.54,39.79,39.25,39.63,70800
2023-09-12,39.39,39.79,39.29,39.41,82500
2023-09-13,39.45,39.63,39.15,39.45,63400
2023-09-14,39.7,39.77,39.29,39.52,1125400
2023-09-15,39.35,39.68,39.25,39.25,56000
2023-09-18,39.29,39.64,39.29,39.47,105800
2023-09-19,39.48,40.0,39.29,39.48,112600
2023-09-20,39.75,40.51,39.54,39.6,94600
2023-09-21,39.6,39.89,39.19,39.59,70900
2023-09-22,39.61,40.25,39.51,39.95,54600
2023-09-25,38.96,40.0,38.96,40.0,93300
2023-09-26,39.52,39.9,38.8,39.0,116900
2023-09-27,38.95,39.45,38.05,38.27,102200
2023-09-28,38.07,39.68,36.98,37.06,173300
2023-09-29,37.02,38.91,36.76,37.0,74400
2023-10-02,36.67,37.44,36.6,36.96,38100
2023-10-03,36.57,37.88,36.29,36.75,128300
2023-10-04,36.83,37.38,36.33,36.75,108000
2023-10-05,36.62,37.28,36.07,36.43,124800
2023-10-06,36.54,37.1,36.32,36.56,203800
2023-10-09,36.18,37.23,36.18,36.95,79000
2023-10-10,37.63,37.63,36.65,36.8,73500
