Date,Open,High,Low,Close,Volume
2023-01-13,12.65,13.04,12.57,12.91,6007700
2023-01-17,12.8,12.92,12.55,12.83,6387300
2023-01-18,13.05,13.39,12.96,12.99,6524600
2023-01-19,12.89,12.91,12.38,12.74,7254900
2023-01-20,12.71,13.31,12.6,13.23,7400600
2023-01-23,13.24,13.66,13.19,13.48,6417100
2023-01-24,13.39,13.65,13.29,13.32,5085800
2023-01-25,13.19,13.2,12.9,13.1,5915100
2023-01-26,13.29,13.46,13.2,13.41,4553100
2023-01-27,13.37,13.42,13.11,13.2,5402500
2023-01-30,12.99,13.19,12.92,13.07,4648900
2023-01-31,13.1,13.63,13.04,13.57,8213900
2023-02-01,13.52,14.26,13.34,14.16,6824600
2023-02-02,14.33,14.96,14.33,14.8,12983000
2023-02-03,14.67,15.49,14.67,15.26,9070000
2023-02-06,15.03,15.11,14.52,14.56,9673200
2023-02-07,14.48,14.67,14.18,14.45,8474300
2023-02-08,14.21,14.25,13.45,13.6,9222700
2023-02-09,13.83,14.0,13.33,13.37,4841600
2023-02-10,13.25,13.48,13.16,13.39,4486900
2023-02-13,13.42,13.74,13.22,13.73,5492700
2023-02-14,13.61,14.07,13.54,14.0,5232000
2023-02-15,13.86,14.3,13.7,14.05,6370200
2023-02-16,13.84,14.05,13.71,13.8,5134200
2023-02-17,13.81,13.94,13.61,13.74,4120300
2023-02-21,13.52,13.56,13.1,13.1,6359000
2023-02-22,13.12,13.3,13.04,13.23,6401300
2023-02-23,13.34,13.38,12.83,13.13,4319100
2023-02-24,12.93,13.33,12.81,13.24,5318900
2023-02-27,13.5,13.55,13.11,13.12,4860900
2023-02-28,13.27,13.4,12.96,13.01,6547500
2023-03-01,12.92,13.08,12.53,12.57,6093200
2023-03-02,12.62,12.95,12.55,12.79,6448200
2023-03-03,12.91,12.93,12.64,12.77,5786600
2023-03-06,12.85,13.02,12.14,12.17,11696400
2023-03-07,12.25,12.57,12.1,12.11,10596300
2023-03-08,12.14,12.31,11.91,11.96,9338100
2023-03-09,11.9,12.1,11.55,11.58,19927000
2023-03-10,10.5,11.28,10.41,10.87,22161800
2023-03-13,10.63,10.65,10.16,10.37,18225300
2023-03-14,10.56,10.64,9.73,9.98,14091900
2023-03-15,9.68,9.8,9.4,9.75,13593000
2023-03-16,9.59,10.11,9.47,10.03,10745700
2023-03-17,9.9,9.93,9.57,9.7,8465900
2023-03-20,9.76,9.91,9.36,9.42,8350700
2023-03-21,9.7,9.93,9.53,9.58,7890700
2023-03-22,9.63,9.69,9.2,9.23,9852700
2023-03-23,9.27,9.47,8.71,8.84,11632700
2023-03-24,8.8,9.09,8.71,9.0,8618000
2023-03-27,9.14,9.17,8.72,9.03,10043000
2023-03-28,9.07,9.27,9.04,9.09,5680200
2023-03-29,9.1,9.29,9.0,9.27,9714800
2023-03-30,9.52,9.65,9.45,9.51,8561800
2023-03-31,9.58,10.08,9.51,10.04,8129600
2023-04-03,10.18,10.39,10.12,10.23,9946900
2023-04-04,10.19,10.23,9.66,9.7,8682200
2023-04-05,9.56,9.6,9.24,9.26,10227600
2023-04-06,9.26,9.41,9.11,9.35,5417100
2023-04-10,9.29,9.99,9.26,9.98,11193100
2023-04-11,10.03,10.41,9.94,10.32,10343600
2023-04-12,10.47,10.5,9.49,9.58,17055900
2023-04-13,9.67,9.69,9.26,9.35,11161500
2023-04-14,9.4,9.53,9.13,9.34,8012800
2023-04-17,9.35,9.58,9.33,9.54,6619300
2023-04-18,9.63,9.79,9.49,9.62,8492000
2023-04-19,9.46,9.68,9.34,9.66,7779900
2023-04-20,9.51,9.73,9.26,9.34,5738700
2023-04-21,9.42,9.65,9.31,9.63,6528200
2023-04-24,9.58,10.09,9.44,10.07,8360100
2023-04-25,9.91,9.92,9.34,9.43,7531700
2023-04-26,9.33,9.58,9.27,9.34,6314200
2023-04-27,9.36,9.59,9.35,9.39,6923400
2023-04-28,9.32,9.7,9.32,9.6,5333700
2023-05-01,9.66,9.73,9.08,9.13,9224300
2023-05-02,9.03,9.1,8.65,8.91,8749800
2023-05-03,8.84,8.98,8.68,8.71,7263300
2023-05-04,8.66,8.71,8.22,8.28,7820500
2023-05-05,8.45,8.78,8.43,8.67,9893300
2023-05-08,8.76,8.87,8.38,8.45,9082100
2023-05-09,8.22,8.61,8.15,8.47,8213300
2023-05-10,8.62,8.69,8.16,8.35,6671700
2023-05-11,8.31,8.44,8.16,8.23,7111000
2023-05-12,8.24,8.27,7.84,7.9,9314900
2023-05-15,7.9,8.02,7.82,7.93,10252800
2023-05-16,7.85,7.85,7.48,7.48,8875500
2023-05-17,7.48,7.82,7.48,7.78,9471800
2023-05-18,7.84,8.14,7.79,8.11,7219700
2023-05-19,7.97,8.02,7.7,7.78,8953000
2023-05-22,7.85,8.04,7.78,7.95,7917500
2023-05-23,7.98,8.01,7.58,7.6,9876700
2023-05-24,7.94,8.06,7.5,7.61,13164700
2023-05-25,7.59,7.66,7.22,7.42,20131800
2023-05-26,8.15,8.55,8.03,8.34,31288600
2023-05-30,8.52,8.52,8.12,8.41,12612800
2023-05-31,8.39,8.4,7.9,8.02,14306700
2023-06-01,7.89,8.1,7.79,8.08,10512000
2023-06-02,8.35,8.72,8.2,8.7,12584600
2023-06-05,8.61,8.63,8.35,8.57,9182400
2023-06-06,8.54,9.22,8.49,9.07,9679800
2023-06-07,9.14,9.39,8.96,9.36,10181500
2023-06-08,9.31,9.48,9.07,9.47,8020300
2023-06-09,9.42,9.7,9.41,9.61,9540000
2023-06-12,9.56,9.8,9.28,9.74,7010800
2023-06-13,9.82,9.84,9.6,9.75,8103100
2023-06-14,9.79,9.81,9.29,9.56,9528600
2023-06-15,9.5,9.74,9.46,9.71,6829700
2023-06-16,9.7,9.74,9.45,9.58,8730600
2023-06-20,9.49,9.5,8.89,8.95,12655400
2023-06-21,8.92,9.32,8.8,9.16,9254300
2023-06-22,9.13,9.13,8.76,8.76,6169800
2023-06-23,8.67,8.88,8.61,8.69,7494800
2023-06-26,8.73,8.96,8.73,8.82,8348800
2023-06-27,8.78,9.05,8.72,8.92,6115100
2023-06-28,8.9,8.91,8.51,8.54,7907500
2023-06-29,8.62,9.06,8.59,8.82,8931100
2023-06-30,8.9,8.95,8.66,8.93,7461000
2023-07-03,8.86,9.14,8.79,8.89,5545100
2023-07-05,8.85,8.91,8.63,8.79,8057200
2023-07-06,8.64,9.03,8.58,8.97,10431400
2023-07-07,9.03,9.12,8.86,8.91,8973000
2023-07-10,8.92,9.13,8.9,9.07,9635900
2023-07-11,9.17,9.65,9.15,9.58,8674700
2023-07-12,9.78,9.84,9.44,9.5,6213900
2023-07-13,9.53,9.62,9.39,9.48,4861900
2023-07-14,9.45,9.47,9.07,9.24,5509800
2023-07-17,9.2,9.3,9.02,9.25,5659700
2023-07-18,9.27,9.54,9.15,9.25,5729700
2023-07-19,9.25,9.39,9.21,9.37,6105000
