Date,Open,High,Low,Close,Volume
2023-01-13,49.44,50.03,48.87,49.76,255200
2023-01-17,49.94,49.94,49.05,49.3,218200
2023-01-18,49.0,49.0,46.29,46.36,545200
2023-01-19,46.23,46.23,45.07,45.47,446500
2023-01-20,45.96,46.84,45.52,46.8,487200
2023-01-23,46.81,47.31,46.34,46.8,300800
2023-01-24,47.01,47.01,45.93,46.24,435600
2023-01-25,45.98,46.68,45.83,46.56,334200
2023-01-26,46.99,47.0,45.57,45.64,780600
2023-01-27,45.73,46.52,44.67,45.41,992200
2023-01-30,45.07,45.79,44.38,44.49,665400
2023-01-31,44.44,45.6,44.32,45.59,716900
2023-02-01,45.27,46.99,44.86,46.23,520400
2023-02-02,46.09,48.2,45.87,48.18,628000
2023-02-03,47.8,48.65,47.74,48.04,506700
2023-02-06,47.87,48.25,47.35,47.64,282500
2023-02-07,47.11,48.1,46.96,47.77,365500
2023-02-08,47.18,47.67,46.81,47.16,347200
2023-02-09,47.5,47.5,46.52,46.58,264800
2023-02-10,46.42,47.15,46.3,47.06,299800
2023-02-13,47.11,47.4,46.83,47.32,269300
2023-02-14,46.89,47.39,46.25,46.98,342500
2023-02-15,46.66,47.66,46.54,47.46,305300
2023-02-16,46.75,47.22,46.62,46.96,385300
2023-02-17,47.14,47.46,46.78,47.15,737500
2023-02-21,47.64,47.64,46.79,47.24,618200
2023-02-22,47.33,47.4,46.78,46.99,410900
2023-02-23,47.19,47.46,46.72,47.44,321600
2023-02-24,46.9,47.47,46.67,47.47,354200
2023-02-27,47.5,47.83,47.22,47.4,290700
2023-02-28,47.5,47.77,47.32,47.38,498900
2023-03-01,47.12,47.48,46.68,47.12,634000
2023-03-02,46.66,46.77,45.6,46.16,607500
2023-03-03,46.54,46.54,45.86,46.46,320200
2023-03-06,46.46,46.88,45.87,45.89,546600
2023-03-07,45.56,45.85,44.27,44.62,440900
2023-03-08,44.66,44.83,44.25,44.8,348700
2023-03-09,44.31,44.61,41.53,41.61,770400
2023-03-10,39.98,41.0,38.57,40.89,1448900
2023-03-13,38.81,40.99,37.07,39.62,2679100
2023-03-14,41.76,42.57,41.05,41.38,1848900
2023-03-15,39.69,41.57,39.6,40.87,1132700
2023-03-16,40.31,43.82,40.18,43.62,1368300
2023-03-17,43.16,43.19,41.09,41.26,1787900
2023-03-20,42.27,43.45,41.48,41.8,1055400
2023-03-21,43.02,44.02,41.75,44.01,1380000
2023-03-22,43.67,44.42,42.58,42.66,1119900
2023-03-23,43.06,43.38,41.24,41.67,662200
2023-03-24,40.66,42.67,40.55,42.49,788800
2023-03-27,43.88,43.91,42.59,42.81,384000
2023-03-28,42.58,43.3,42.14,42.63,339300
2023-03-29,43.22,43.22,42.2,42.76,448100
2023-03-30,43.02,43.1,41.94,42.11,500600
2023-03-31,42.27,42.4,41.46,42.01,816200
2023-04-03,42.01,42.21,41.16,41.45,424300
2023-04-04,41.56,41.56,38.92,39.19,803200
2023-04-05,38.68,39.89,38.62,39.66,510500
2023-04-06,39.96,40.25,39.52,40.24,449600
2023-04-10,39.59,40.75,39.49,40.2,349800
2023-04-11,40.5,40.58,39.91,40.18,509800
2023-04-12,40.57,40.57,38.99,39.0,566000
2023-04-13,38.97,39.46,38.54,39.4,575400
2023-04-14,40.0,40.0,37.39,37.67,672400
2023-04-17,37.56,39.06,37.2,39.03,560900
2023-04-18,39.32,39.32,37.27,37.5,355700
2023-04-19,37.64,39.39,37.49,38.87,457700
2023-04-20,38.42,38.76,37.82,38.33,646700
2023-04-21,36.81,36.81,34.49,35.45,1398300
2023-04-24,35.15,35.73,34.72,34.81,646600
2023-04-25,34.63,34.63,32.54,32.78,811400
2023-04-26,32.76,33.47,32.23,32.7,780300
2023-04-27,32.9,33.47,32.64,33.03,614300
2023-04-28,32.75,33.7,32.72,33.23,743300
2023-05-01,33.08,33.15,31.24,31.26,844700
2023-05-02,31.1,31.21,29.05,29.8,1341800
2023-05-03,29.9,30.86,29.3,29.46,837800
2023-05-04,28.69,28.99,26.79,28.5,1788300
2023-05-05,29.75,29.79,28.46,29.13,1317200
2023-05-08,29.91,29.91,28.47,28.54,778500
2023-05-09,28.3,28.76,27.65,28.21,816000
2023-05-10,28.82,28.94,27.45,27.77,508900
2023-05-11,27.34,27.46,26.85,27.28,695000
2023-05-12,27.58,27.69,26.77,27.49,864900
2023-05-15,27.71,28.34,27.5,28.17,982300
2023-05-16,28.17,28.49,27.45,27.45,666800
2023-05-17,28.03,29.51,27.73,29.42,1203700
2023-05-18,29.28,29.71,29.01,29.53,701000
2023-05-19,29.84,30.04,28.04,28.52,1345200
2023-05-22,28.85,30.16,28.21,30.15,518500
2023-05-23,30.21,31.84,30.01,30.72,735700
2023-05-24,30.36,30.42,29.53,29.55,604500
2023-05-25,29.39,29.68,28.73,29.23,427200
2023-05-26,29.28,29.75,28.53,29.68,310200
2023-05-30,29.82,29.89,29.06,29.63,368800
2023-05-31,29.34,29.62,28.02,28.82,680700
2023-06-01,29.08,29.96,28.64,29.4,389400
2023-06-02,30.0,32.87,29.62,32.71,1253800
2023-06-05,31.88,32.56,31.26,32.0,1320600
2023-06-06,31.95,34.83,31.93,34.08,1106600
2023-06-07,34.38,35.64,34.11,35.19,1314100
2023-06-08,35.0,35.0,33.55,34.59,761900
2023-06-09,34.33,34.75,34.08,34.46,649000
2023-06-12,34.71,36.8,34.33,36.15,1837000
2023-06-13,36.0,36.91,35.69,36.31,1240500
2023-06-14,36.28,36.53,35.16,35.33,1082300
2023-06-15,34.94,36.29,34.94,36.16,603500
2023-06-16,36.57,36.57,34.78,35.02,2053700
2023-06-20,34.98,35.26,34.1,34.33,1118100
2023-06-21,34.01,34.13,32.2,32.22,1188300
2023-06-22,32.21,32.21,31.23,31.34,1005600
2023-06-23,30.83,31.19,30.36,30.66,1563600
2023-06-26,30.86,31.73,30.79,31.04,571400
2023-06-27,31.12,31.86,30.76,31.27,505300
2023-06-28,31.05,31.05,30.43,30.86,371300
2023-06-29,31.06,31.89,30.93,31.53,852700
2023-06-30,32.01,32.01,31.15,31.17,656100
2023-07-03,31.11,31.89,31.11,31.83,377900
2023-07-05,31.47,31.77,30.83,31.15,608000
2023-07-06,30.66,30.94,29.32,29.98,668300
2023-07-07,30.26,30.74,30.06,30.38,680200
2023-07-10,29.9,30.87,29.87,30.06,655400
2023-07-11,30.28,30.48,29.88,30.22,528200
2023-07-12,30.97,31.52,30.66,31.36,651200
2023-07-13,31.41,32.45,31.27,32.21,722000
2023-07-14,32.43,32.43,31.59,31.9,898700
2023-07-17,31.75,32.79,31.72,32.6,529200
2023-07-18,32.58,34.42,32.58,34.15,1223300
2023-07-19,34.16,35.32,34.0,35.28,884300
2023-07-20,35.64,35.81,34.35,35.07,1136200
2023-07-21,36.45,36.45,32.0,32.25,1484100
2023-07-24,30.95,33.4,30.95,33.36,997000
2023-07-25,33.54,33.76,32.36,32.59,1037900
2023-07-26,33.02,33.87,32.4,33.6,764100
2023-07-27,33.83,33.93,32.74,32.88,634000
2023-07-28,33.22,33.6,33.01,33.13,568700
2023-07-31,33.23,33.39,32.55,32.7,640700
2023-08-01,32.67,32.67,31.71,32.52,560000
2023-08-02,31.88,33.48,31.88,33.47,597400
2023-08-03,33.28,33.54,32.57,33.32,535100
2023-08-04,33.25,33.71,32.95,33.36,587600
2023-08-07,33.36,34.03,32.73,33.97,537500
2023-08-08,33.05,33.81,32.26,33.71,803300
2023-08-09,33.36,33.7,32.99,33.51,442600
2023-08-10,34.03,34.25,33.1,33.34,498200
2023-08-11,33.25,33.55,32.98,32.99,341000
2023-08-14,32.5,33.04,32.21,32.66,287500
2023-08-15,32.1,32.1,31.0,31.14,464100
2023-08-16,31.06,31.44,30.61,30.66,428300
2023-08-17,30.78,30.86,30.3,30.63,324700
2023-08-18,30.29,31.15,30.1,31.05,680100
2023-08-21,31.19,31.26,30.34,30.53,368700
2023-08-22,30.47,30.91,29.32,29.33,484100
2023-08-23,29.32,30.03,29.17,29.86,352700
2023-08-24,29.61,30.35,29.61,29.92,322900
2023-08-25,30.17,30.21,29.26,29.86,400600
2023-08-28,30.09,30.98,30.09,30.73,423700
2023-08-29,30.71,31.38,30.48,31.02,312600
2023-08-30,30.85,30.98,30.28,30.35,437800
2023-08-31,30.3,30.59,29.93,30.21,574500
2023-09-01,30.6,31.62,30.6,31.33,381500
2023-09-05,30.97,31.38,30.5,30.61,562900
2023-09-06,30.58,30.9,29.06,29.11,481900
2023-09-07,28.95,29.28,28.33,28.57,627100
2023-09-08,28.6,28.9,28.12,28.67,486000
2023-09-11,28.95,29.37,28.56,28.68,509700
2023-09-12,28.82,29.51,28.82,29.21,397200
2023-09-13,29.23,29.24,28.29,28.51,465200
2023-09-14,28.89,29.49,28.89,29.06,364600
2023-09-15,28.71,29.05,28.63,28.79,1552500
2023-09-18,28.86,28.86,27.97,27.98,743400
2023-09-19,28.05,28.33,27.44,27.58,892100
2023-09-20,27.86,28.01,27.44,27.53,654300
2023-09-21,27.34,28.32,26.84,28.06,837600
2023-09-22,28.04,28.27,27.69,28.08,918500
2023-09-25,27.92,28.84,27.8,28.77,476100
2023-09-26,28.41,29.56,28.4,29.0,1139700
2023-09-27,29.0,29.09,28.04,28.25,1025300
2023-09-28,28.35,29.19,27.78,28.46,803800
2023-09-29,28.75,29.29,28.43,28.5,824200
2023-10-02,28.5,28.99,28.4,28.76,949000
2023-10-03,28.61,28.84,27.96,28.19,790700
2023-10-04,28.05,28.74,27.36,28.7,687600
2023-10-05,28.56,29.48,28.56,29.38,885800
2023-10-06,28.7,30.06,28.55,29.66,768600
2023-10-09,29.21,30.34,29.21,30.25,603700
2023-10-10,30.5,31.03,30.35,30.78,654000
2023-10-11,30.94,31.56,30.55,30.96,681800
2023-10-12,31.01,31.02,30.33,30.96,685000
2023-10-13,31.46,31.46,29.74,29.74,766100
2023-10-16,30.22,30.75,30.12,30.71,581700
2023-10-17,30.49,31.95,30.49,31.47,742500
2023-10-18,30.83,31.2,30.24,30.31,687700
2023-10-19,30.23,31.02,29.73,29.97,897000
2023-10-20,30.7,31.98,29.45,29.74,1703000
2023-10-23,29.45,30.46,29.25,29.27,761700
2023-10-24,29.4,29.55,29.0,29.38,640600
2023-10-25,28.88,29.78,28.6,29.52,539900
2023-10-26,29.8,30.93,29.68,30.75,715100
2023-10-27,30.51,30.67,29.67,30.1,667200
2023-10-30,30.86,30.9,29.85,29.88,718700
2023-10-31,30.0,30.25,29.61,30.19,664600
2023-11-01,30.07,30.46,29.35,29.87,455100
2023-11-02,30.37,31.67,30.37,31.65,754600
2023-11-03,32.63,33.59,32.63,32.78,887300
2023-11-06,32.7,32.7,31.85,32.16,579100
2023-11-07,32.1,32.13,31.36,31.9,643900
2023-11-08,31.84,32.0,31.21,31.49,490500
2023-11-09,31.59,31.75,30.6,30.69,512100
2023-11-10,30.79,31.0,30.37,30.7,386300
2023-11-13,30.56,31.33,30.18,31.24,316400
2023-11-14,32.72,34.67,32.49,33.98,724000
2023-11-15,33.88,34.58,33.74,34.31,756300
2023-11-16,34.22,34.22,33.12,33.58,547500
2023-11-17,33.98,34.32,33.55,33.68,528600
2023-11-20,33.66,34.0,33.24,33.72,357100
2023-11-21,33.48,33.51,32.57,32.61,288400
2023-11-22,33.0,33.02,32.42,32.53,296700
2023-11-24,32.65,32.98,32.39,32.85,165800
2023-11-27,32.59,32.85,32.2,32.69,385900
2023-11-28,32.58,32.74,32.0,32.46,317300
2023-11-29,33.09,34.47,32.9,34.18,789600
2023-11-30,34.18,34.34,33.49,33.63,810800
2023-12-01,33.51,36.38,33.23,36.32,823500
2023-12-04,35.71,36.92,35.51,36.78,491100
2023-12-05,36.59,36.74,35.76,36.02,535000
2023-12-06,36.56,37.72,36.23,36.29,520500
2023-12-07,36.57,37.71,36.26,37.69,622900
2023-12-08,37.7,38.35,37.39,37.95,674900
2023-12-11,37.88,38.35,37.7,38.11,608000
2023-12-12,38.02,38.02,37.33,37.34,654000
2023-12-13,37.34,40.35,36.75,40.16,1314500
2023-12-14,41.96,43.01,41.22,42.87,1529700
2023-12-15,43.56,44.06,42.49,43.46,2805000
2023-12-18,43.78,43.78,41.58,42.16,1082800
2023-12-19,42.25,43.5,41.9,42.68,731200
2023-12-20,42.59,43.64,41.92,41.96,633800
2023-12-21,42.44,42.56,41.56,42.09,580100
2023-12-22,42.42,42.93,41.72,42.04,594300
2023-12-26,42.18,43.19,42.18,42.8,453500
2023-12-27,42.91,43.21,42.53,42.6,520400
2023-12-28,42.4,42.74,42.09,42.5,373600
2023-12-29,42.29,42.42,41.28,41.32,553600
2024-01-02,40.91,42.47,40.77,41.89,712500
2024-01-03,41.34,41.34,39.73,39.78,955000
2024-01-04,39.92,40.59,39.92,40.19,556400
2024-01-05,39.71,40.99,39.71,40.26,427000
2024-01-08,40.22,40.64,39.85,40.6,410600
2024-01-09,39.91,40.21,39.53,39.92,428900
2024-01-10,39.62,40.63,39.44,40.6,567400
2024-01-11,40.16,40.38,39.27,40.32,667500
2024-01-12,40.8,41.05,39.52,39.89,418400
2024-01-16,39.35,39.93,39.16,39.34,538500
2024-01-17,38.36,39.57,38.14,39.35,518400
2024-01-18,39.53,40.05,39.35,39.6,556300
2024-01-19,39.82,41.04,39.15,41.03,587000
2024-01-22,41.41,41.95,40.83,41.71,864100
2024-01-23,42.0,42.13,40.43,41.47,1225100
2024-01-24,41.94,42.25,40.36,40.53,1027200
2024-01-25,41.07,41.13,38.55,38.69,1497100
2024-01-26,40.58,42.75,39.65,41.92,1595300
2024-01-29,41.65,42.6,40.41,40.99,1424700
2024-01-30,40.99,41.47,40.92,41.06,1547800
2024-01-31,40.14,40.37,38.55,38.66,1214300
2024-02-01,38.74,39.11,36.63,38.26,2115500
2024-02-02,37.24,37.83,36.83,37.48,1056200
2024-02-05,36.97,37.22,35.86,36.87,908000
2024-02-06,36.75,37.3,36.46,36.92,726500
2024-02-07,37.11,37.34,36.12,36.9,684400
2024-02-08,36.81,37.6,36.49,36.74,842800
2024-02-09,36.83,36.99,36.03,36.72,969400
2024-02-12,36.76,37.84,36.76,37.38,1059600
2024-02-13,35.88,36.21,34.74,35.3,1242300
2024-02-14,35.9,36.37,34.99,35.84,1079100
2024-02-15,36.16,38.81,36.16,38.5,887700
2024-02-16,37.98,37.99,37.3,37.63,705100
2024-02-20,37.22,37.8,37.08,37.44,349000
2024-02-21,37.3,37.39,36.55,36.74,573800
2024-02-22,36.54,36.82,36.17,36.67,682000
2024-02-23,36.6,36.93,36.09,36.44,611400
2024-02-26,36.08,36.48,35.67,36.12,641800
2024-02-27,36.48,36.74,35.88,36.11,494800
2024-02-28,35.65,36.17,35.6,36.0,701700
2024-02-29,36.89,37.71,36.58,37.42,749200
2024-03-01,37.09,37.56,35.88,37.52,648100
2024-03-04,37.88,38.2,37.4,37.64,446800
2024-03-05,37.35,39.6,37.35,39.45,514700
2024-03-06,39.35,40.66,38.78,39.71,668300
2024-03-07,40.37,40.63,39.85,40.07,458200
2024-03-08,40.76,40.87,40.11,40.47,751700
2024-03-11,40.3,40.71,40.16,40.59,704900
2024-03-12,40.34,40.6,39.73,40.3,693700
2024-03-13,40.25,40.82,39.16,39.51,615200
2024-03-14,39.19,39.29,37.34,37.7,654100
2024-03-15,37.6,38.41,37.53,37.9,1684700
2024-03-18,37.78,37.91,37.28,37.39,629100
2024-03-19,37.21,37.74,37.19,37.49,600400
2024-03-20,37.31,39.19,37.07,38.27,1442500
2024-03-21,38.59,39.51,38.59,38.94,531000
2024-03-22,39.0,39.0,37.99,38.17,505600
2024-03-25,38.4,38.8,38.06,38.38,352100
2024-03-26,38.75,38.76,37.87,38.1,442300
2024-03-27,38.39,39.89,38.19,39.86,477300
2024-03-28,39.85,40.51,39.7,40.28,737600
2024-04-01,40.18,40.18,38.71,38.85,441700
2024-04-02,38.31,38.52,37.72,37.97,494400
2024-04-03,37.61,38.11,37.44,37.81,422600
2024-04-04,38.46,38.84,38.07,38.18,360800
2024-04-05,37.77,38.53,37.7,38.25,391700
2024-04-08,38.34,39.09,38.24,38.95,371700
2024-04-09,39.2,39.82,39.03,39.65,591200
2024-04-10,38.41,38.5,36.24,36.67,867200
2024-04-11,37.01,37.01,36.29,36.43,783800
2024-04-12,36.04,36.52,35.86,36.07,439700
2024-04-15,36.03,36.58,35.49,36.15,507000
2024-04-16,35.67,35.92,34.78,34.87,884900
2024-04-17,35.29,35.61,34.82,34.82,990300
2024-04-18,34.95,35.81,34.79,35.1,866900
2024-04-19,34.92,37.11,34.35,36.94,1522400
2024-04-22,36.63,37.71,35.83,37.69,741500
2024-04-23,37.6,38.74,37.54,38.39,574100
2024-04-24,37.9,38.52,37.73,37.94,605700
2024-04-25,37.84,37.84,36.9,37.4,664500
2024-04-26,37.46,37.85,37.06,37.12,373500
2024-04-29,37.33,37.43,36.92,37.06,623400
2024-04-30,36.69,37.01,36.16,36.18,424100
2024-05-01,36.65,37.83,36.38,36.9,448900
2024-05-02,37.41,37.72,37.17,37.65,420600
2024-05-03,38.44,38.67,37.77,37.91,381600
