Date,Open,High,Low,Close,Volume
2023-01-13,69.83,70.9,69.68,70.53,197700
2023-01-17,70.81,71.39,69.34,69.36,180900
2023-01-18,69.53,69.95,68.17,68.23,167800
2023-01-19,68.0,68.93,67.44,68.44,188800
2023-01-20,68.92,69.26,68.31,68.81,164800
2023-01-23,68.96,69.48,67.82,68.25,183600
2023-01-24,67.89,68.46,67.31,68.06,146700
2023-01-25,67.56,68.69,67.27,68.48,117100
2023-01-26,68.99,70.12,68.13,70.08,96500
2023-01-27,69.79,70.69,69.43,69.68,67700
2023-01-30,69.3,70.41,69.15,69.47,149100
2023-01-31,70.09,71.47,69.82,71.43,152300
2023-02-01,71.03,71.8,69.78,71.58,158800
2023-02-02,71.79,73.09,71.32,73.0,173000
2023-02-03,72.52,72.86,71.92,72.33,108000
2023-02-06,72.27,72.43,71.35,71.64,163400
2023-02-07,71.01,71.74,70.38,71.65,164400
2023-02-08,71.08,71.3,70.35,70.59,147000
2023-02-09,71.22,71.73,69.51,69.56,132500
2023-02-10,69.5,70.4,68.73,70.2,143200
2023-02-13,70.4,71.51,69.95,71.29,91800
2023-02-14,70.33,72.27,70.33,71.55,90700
2023-02-15,71.08,72.04,70.81,71.63,112300
2023-02-16,70.71,71.9,70.43,71.61,129700
2023-02-17,72.12,72.12,71.5,71.72,110500
2023-02-21,71.06,71.06,68.69,68.93,162700
2023-02-22,69.18,70.54,68.77,69.81,120000
2023-02-23,70.28,70.97,69.47,70.45,111200
2023-02-24,69.73,70.35,69.22,70.14,122900
2023-02-27,70.63,71.35,70.28,70.41,168400
2023-02-28,70.27,71.26,70.27,71.05,237900
2023-03-01,70.72,73.96,70.38,73.59,466600
2023-03-02,69.75,69.75,65.7,66.11,763900
2023-03-03,66.45,67.79,65.2,66.96,255000
2023-03-06,66.95,67.09,64.92,65.13,235200
2023-03-07,65.14,65.45,64.52,64.72,204200
2023-03-08,64.3,64.42,63.0,64.03,177700
2023-03-09,63.98,64.18,62.7,62.84,159200
2023-03-10,62.41,62.84,61.25,62.11,219100
2023-03-13,61.16,61.77,60.77,61.03,222400
2023-03-14,62.51,62.7,60.09,60.87,224400
2023-03-15,59.37,60.16,58.3,58.97,339900
2023-03-16,57.84,59.83,57.38,58.83,242100
2023-03-17,58.61,58.63,57.91,58.16,357700
2023-03-20,59.08,60.48,58.96,60.2,255600
2023-03-21,61.22,61.3,59.97,60.2,242300
2023-03-22,60.4,61.13,59.61,59.67,216600
2023-03-23,59.83,60.68,59.01,59.34,187600
2023-03-24,58.99,60.59,58.39,60.31,172900
2023-03-27,60.87,61.69,60.61,61.24,164200
2023-03-28,61.03,61.91,61.03,61.71,127300
2023-03-29,62.15,62.44,61.66,62.36,183000
2023-03-30,62.88,63.25,61.98,62.25,169600
2023-03-31,62.63,63.45,62.43,63.37,197400
2023-04-03,63.58,64.24,62.86,63.29,191200
2023-04-04,63.31,63.31,61.68,62.36,169200
2023-04-05,62.25,62.5,61.78,62.21,135400
2023-04-06,62.4,62.4,61.47,61.71,170600
2023-04-10,61.76,62.85,61.68,62.36,204600
2023-04-11,62.63,63.93,62.63,63.2,178500
2023-04-12,63.54,63.99,63.05,63.44,138400
2023-04-13,63.43,63.71,62.72,63.46,125600
2023-04-14,63.35,63.72,62.44,62.91,108700
2023-04-17,63.03,63.54,62.51,63.08,125300
2023-04-18,63.08,63.3,62.28,62.79,128100
2023-04-19,62.83,62.98,62.37,62.84,100500
2023-04-20,63.31,64.26,63.3,64.25,184900
2023-04-21,64.39,64.39,63.11,63.92,116000
2023-04-24,63.99,64.51,63.68,63.81,85000
2023-04-25,63.1,63.37,62.3,62.44,87000
2023-04-26,62.05,62.47,60.78,61.18,122300
2023-04-27,61.18,62.06,60.84,62.02,96300
2023-04-28,61.77,62.86,61.77,62.79,103300
2023-05-01,62.87,63.57,62.87,63.33,155000
2023-05-02,62.78,63.03,61.56,62.68,196500
2023-05-03,62.7,63.12,62.19,62.79,363100
2023-05-04,62.56,62.56,61.32,61.68,197400
2023-05-05,62.42,63.41,61.89,63.23,129200
2023-05-08,63.29,63.74,62.43,63.02,76200
2023-05-09,62.73,62.73,62.16,62.17,77800
2023-05-10,62.69,62.85,62.0,62.52,98800
2023-05-11,62.08,62.44,62.03,62.13,103800
2023-05-12,62.42,63.16,62.16,63.07,105900
2023-05-15,63.18,63.46,62.51,63.12,80900
2023-05-16,62.98,62.98,62.11,62.17,106600
2023-05-17,62.54,63.19,62.4,62.8,128400
2023-05-18,62.53,63.23,62.3,63.06,156900
2023-05-19,63.69,63.69,61.94,62.49,135900
2023-05-22,62.5,62.96,61.88,62.7,79700
2023-05-23,62.43,63.54,62.21,63.14,84300
2023-05-24,62.9,63.03,61.99,62.0,70000
2023-05-25,61.62,61.89,60.9,61.39,111400
2023-05-26,61.33,61.93,60.88,60.95,101800
2023-05-30,61.0,61.0,60.0,60.65,89500
2023-05-31,60.37,60.93,59.57,60.1,164700
2023-06-01,60.05,60.18,59.37,59.8,117000
2023-06-02,60.48,62.07,59.84,61.83,168400
2023-06-05,61.67,62.18,60.73,61.77,149100
2023-06-06,61.57,63.19,61.57,62.3,154000
2023-06-07,62.5,64.59,62.38,64.22,267600
2023-06-08,66.74,70.47,66.43,70.04,375000
2023-06-09,70.87,71.91,70.53,71.48,219600
2023-06-12,71.38,72.4,70.75,72.01,180100
2023-06-13,71.9,72.47,70.5,71.31,195700
2023-06-14,71.2,71.58,69.5,70.22,192400
