Date,Open,High,Low,Close,Volume
2023-01-13,627.42,634.93,625.09,634.65,14100
2023-01-17,631.94,631.94,626.0,626.24,11300
2023-01-18,629.32,629.32,607.2,611.0,18000
2023-01-19,603.84,611.56,601.85,605.13,15900
2023-01-20,610.67,618.17,610.13,617.81,10300
2023-01-23,619.23,619.23,609.62,612.63,19800
2023-01-24,605.47,621.76,605.46,619.18,13900
2023-01-25,616.7,628.67,616.7,626.88,10700
2023-01-26,630.0,635.83,623.8,635.38,24200
2023-01-27,631.06,641.0,629.78,636.48,11000
2023-01-30,627.0,633.87,627.0,631.71,13600
2023-01-31,643.93,654.64,643.93,653.31,17900
2023-02-01,646.35,661.42,646.35,658.75,19600
2023-02-02,658.41,674.51,658.41,670.71,14600
2023-02-03,666.0,681.7,666.0,670.2,20100
2023-02-06,665.6,669.94,662.47,666.55,14500
2023-02-07,660.94,667.91,654.63,667.91,15000
2023-02-08,657.24,663.08,657.24,661.1,8600
2023-02-09,659.66,663.03,657.52,657.58,12200
2023-02-10,657.5,660.84,656.48,656.48,11300
2023-02-13,668.89,671.48,666.12,671.48,8500
2023-02-14,666.27,668.89,663.8,663.8,16200
2023-02-15,655.3,672.4,655.3,670.47,12100
2023-02-16,665.52,672.0,664.11,664.11,11400
2023-02-17,668.31,672.26,663.36,671.44,14800
2023-02-21,656.74,670.42,656.74,663.11,15800
2023-02-22,663.89,670.99,656.5,656.94,12800
2023-02-23,658.09,662.0,654.66,655.93,11000
2023-02-24,644.0,653.98,641.75,644.95,11000
2023-02-27,645.32,645.32,629.7,629.73,11500
2023-02-28,626.55,632.04,623.86,626.66,23200
2023-03-01,626.49,630.25,622.43,626.94,10600
2023-03-02,621.5,624.91,620.39,624.27,16700
2023-03-03,625.28,627.15,622.43,626.45,14800
2023-03-06,623.76,625.99,619.63,622.67,19200
2023-03-07,617.97,620.6,611.31,611.71,17500
2023-03-08,608.98,621.8,608.98,621.8,18700
2023-03-09,616.92,618.06,604.91,607.18,16800
2023-03-10,601.0,601.0,577.17,586.43,21900
2023-03-13,574.31,577.59,560.8,561.21,17900
2023-03-14,574.34,574.34,563.05,566.39,19800
2023-03-15,551.63,558.63,545.0,557.57,18600
2023-03-16,557.79,585.82,555.62,575.66,26200
2023-03-17,572.31,572.31,564.12,565.53,55600
2023-03-20,568.0,576.28,568.0,572.81,35000
2023-03-21,579.0,579.0,574.73,575.48,12200
2023-03-22,577.57,579.91,569.58,569.66,16600
2023-03-23,570.0,570.85,564.67,567.5,15300
2023-03-24,564.5,575.68,564.5,573.41,13000
2023-03-27,573.08,590.1,573.08,587.02,22100
2023-03-28,583.52,589.2,579.22,583.9,17100
2023-03-29,587.75,587.75,581.06,586.0,22900
2023-03-30,588.35,592.0,584.16,588.09,23800
2023-03-31,596.66,596.82,589.38,595.84,29100
2023-04-03,596.7,596.81,589.52,594.09,21600
2023-04-04,595.45,595.45,577.58,582.54,23300
2023-04-05,582.0,587.63,580.01,584.39,24100
2023-04-06,579.1,579.1,572.0,577.75,31700
2023-04-10,583.89,584.87,581.87,582.3,19800
2023-04-11,581.57,592.6,581.57,589.07,17900
2023-04-12,589.99,594.05,587.42,592.68,16000
2023-04-13,590.22,603.3,588.3,597.51,22100
2023-04-14,593.63,602.02,590.9,594.23,16800
2023-04-17,592.63,604.0,592.63,600.04,23300
2023-04-18,599.13,599.13,587.0,592.67,22300
2023-04-19,586.26,601.07,586.26,593.95,13300
2023-04-20,590.99,591.9,587.49,591.01,14800
2023-04-21,591.08,591.08,584.0,590.27,15300
2023-04-24,589.1,589.1,584.42,584.42,9900
2023-04-25,578.35,582.16,573.9,574.74,9800
2023-04-26,569.77,575.0,569.77,571.72,9500
2023-04-27,575.0,582.71,574.47,582.41,6900
2023-04-28,581.22,585.98,574.98,575.57,10700
2023-05-01,576.05,590.24,576.05,580.24,19400
2023-05-02,576.09,576.09,557.01,570.02,19000
2023-05-03,579.38,583.47,571.52,577.75,21900
2023-05-04,566.28,566.28,558.16,561.07,17300
