Date,Open,High,Low,Close,Volume
2023-01-13,48.28,50.23,48.28,49.21,255900
2023-01-17,48.99,49.58,48.5,49.11,225300
2023-01-18,49.36,49.76,48.2,48.68,401500
2023-01-19,48.43,48.96,47.8,48.33,280500
2023-01-20,48.68,48.68,47.31,48.53,292900
2023-01-23,48.64,49.5,48.29,49.14,262600
2023-01-24,48.6,49.48,48.17,48.17,178700
2023-01-25,47.54,48.19,47.04,47.95,261200
2023-01-26,48.38,48.39,47.06,48.18,210200
2023-01-27,48.06,48.28,47.15,48.04,332000
2023-01-30,47.64,48.768,47.37,48.28,400100
2023-01-31,48.36,49.5,48.16,49.05,478400
2023-02-01,49.09,49.99,48.35,49.76,330000
2023-02-02,50.0,52.79,49.5,52.48,855800
2023-02-03,51.71,53.324,51.52,51.52,419900
2023-02-06,50.87,51.23,48.89,49.91,410100
2023-02-07,49.55,49.8,48.35,49.52,384600
2023-02-08,49.21,49.73,48.55,48.92,177100
2023-02-09,49.41,51.17,49.17,49.29,404700
2023-02-10,49.02,50.59,48.74,50.45,211900
2023-02-13,50.81,50.855,49.825,50.26,183500
2023-02-14,49.9,51.99,49.805,50.48,524200
2023-02-15,50.29,52.71,50.29,52.24,487400
2023-02-16,51.33,53.0,51.04,51.64,437200
2023-02-17,51.74,52.3,51.04,51.6,366500
2023-02-21,50.88,50.955,49.802,50.22,273200
2023-02-22,50.08,50.68,49.14,50.43,543200
2023-02-23,47.58,49.72,46.03,48.85,1025200
2023-02-24,48.26,48.31,47.2,47.6,442100
2023-02-27,47.98,48.63,47.36,47.51,333500
2023-02-28,47.44,48.24,46.87,47.23,466900
2023-03-01,47.21,49.36,46.975,48.51,511600
2023-03-02,48.02,49.34,48.02,49.15,595300
2023-03-03,49.09,50.9,48.88,50.37,607500
2023-03-06,50.49,51.11,48.69,48.7,395600
2023-03-07,48.88,49.52,47.01,47.2,549300
2023-03-08,47.19,47.68,46.76,47.62,338200
2023-03-09,47.92,49.12,46.24,46.58,293100
2023-03-10,46.47,46.49,44.545,45.36,563800
2023-03-13,44.86,46.56,44.26,45.25,583900
2023-03-14,46.4,47.59,45.94,47.4,618700
2023-03-15,46.52,48.59,46.382,48.17,420600
2023-03-16,47.75,50.81,47.62,49.41,507800
2023-03-17,49.45,49.75,47.86,48.02,939700
2023-03-20,48.01,48.915,48.01,48.54,269700
2023-03-21,49.28,50.175,49.16,49.27,325900
2023-03-22,49.44,50.175,48.4,48.46,321000
2023-03-23,48.82,49.11,47.92,48.21,393200
2023-03-24,48.06,49.575,47.8,49.35,289100
2023-03-27,50.04,51.07,49.42,50.83,420400
2023-03-28,50.78,51.0,49.175,49.56,406600
2023-03-29,49.96,50.39,48.88,49.19,314200
2023-03-30,49.62,50.145,49.131,49.25,256200
2023-03-31,49.56,50.99,49.56,50.1,370800
2023-04-03,50.13,50.49,49.31,49.51,276300
2023-04-04,49.69,50.26,49.03,49.85,297800
2023-04-05,49.59,49.84,47.85,48.17,520100
2023-04-06,48.39,49.219,48.02,49.11,239200
2023-04-10,48.82,49.09,48.29,48.69,215800
2023-04-11,48.97,50.22,48.97,49.65,267000
2023-04-12,50.1,50.21,48.02,48.03,377500
2023-04-13,48.31,50.005,47.8,49.25,307200
2023-04-14,49.44,49.58,48.17,48.66,162600
2023-04-17,48.81,49.25,48.81,48.97,165100
2023-04-18,49.43,49.43,47.415,48.33,196200
2023-04-19,48.18,49.62,47.75,49.59,257700
2023-04-20,49.36,50.0,48.81,49.31,196300
2023-04-21,49.59,50.17,49.13,49.57,287600
2023-04-24,49.68,49.71,47.61,48.14,220000
2023-04-25,47.63,48.05,46.61,47.43,285600
2023-04-26,47.25,47.53,46.68,46.89,188000
2023-04-27,46.86,47.44,46.17,47.41,202500
