Date,Open,High,Low,Close,Volume
2023-01-13,5.27,5.36,5.24,5.34,2402200
2023-01-17,5.35,5.37,5.31,5.32,1942700
2023-01-18,5.33,5.36,5.27,5.28,2020800
2023-01-19,5.26,5.32,5.21,5.32,2566000
2023-01-20,5.35,5.41,5.31,5.41,4022300
2023-01-23,5.4,5.47,5.4,5.43,3944700
2023-01-24,5.41,5.45,5.37,5.44,1869300
2023-01-25,5.44,5.49,5.41,5.49,1741100
2023-01-26,5.5,5.55,5.49,5.54,1900500
2023-01-27,5.51,5.56,5.47,5.49,1627400
2023-01-30,5.44,5.49,5.35,5.36,1827900
2023-01-31,5.36,5.52,5.35,5.52,2924000
2023-02-01,5.49,5.78,5.48,5.72,4257700
2023-02-02,5.7,5.82,5.62,5.71,3952500
2023-02-03,5.69,5.77,5.66,5.75,2848300
2023-02-06,5.73,5.75,5.63,5.69,2366200
2023-02-07,5.69,5.71,5.27,5.45,4220500
2023-02-08,5.43,5.69,5.41,5.64,2976900
2023-02-09,5.63,5.76,5.62,5.62,3067300
2023-02-10,5.63,5.94,5.6,5.92,5648500
2023-02-13,5.91,6.11,5.91,6.07,4815000
2023-02-14,6.04,6.27,6.02,6.24,5385600
2023-02-15,6.22,6.4,6.2,6.4,3243700
2023-02-16,6.35,6.36,6.16,6.21,3670200
2023-02-17,6.17,6.29,6.17,6.24,3336300
2023-02-21,6.15,6.26,6.02,6.09,4964900
2023-02-22,6.03,6.2,5.95,6.0,4974500
2023-02-23,6.03,6.27,6.03,6.17,3592900
2023-02-24,6.1,6.26,6.09,6.26,4458000
2023-02-27,6.22,6.39,6.22,6.24,2547400
2023-02-28,6.22,6.35,6.22,6.23,5158000
2023-03-01,6.25,6.28,6.03,6.07,2933100
2023-03-02,6.07,6.29,6.06,6.21,4451100
2023-03-03,6.2,6.3,6.18,6.24,3078300
2023-03-06,6.23,6.28,6.13,6.15,5982000
2023-03-07,6.13,6.16,6.0,6.02,5158300
2023-03-08,6.05,6.17,6.03,6.13,4157200
2023-03-09,6.1,6.18,5.89,5.92,4851300
2023-03-10,5.89,5.97,5.68,5.73,5999600
2023-03-13,5.58,5.59,5.22,5.22,6586000
2023-03-14,5.38,5.53,5.29,5.29,4709400
2023-03-15,5.07,5.12,4.92,5.01,6196400
2023-03-16,4.9,5.07,4.72,5.03,4930800
2023-03-17,4.96,5.07,4.8,4.84,10971100
2023-03-20,4.92,5.07,4.87,4.97,4543500
2023-03-21,5.11,5.16,5.05,5.07,3237300
2023-03-22,5.07,5.08,4.93,4.94,3291900
2023-03-23,4.95,4.99,4.75,4.76,5094000
2023-03-24,4.68,4.78,4.62,4.75,3322600
2023-03-27,4.86,5.0,4.84,4.97,2605100
2023-03-28,4.93,5.06,4.93,4.96,2281000
2023-03-29,5.02,5.04,4.96,5.01,2011800
2023-03-30,5.02,5.05,4.94,4.98,1239200
2023-03-31,5.02,5.03,4.95,5.02,3479000
2023-04-03,5.04,5.16,5.0,5.09,4448200
2023-04-04,5.12,5.16,4.97,5.05,4586500
2023-04-05,4.97,5.19,4.97,5.16,3846700
2023-04-06,5.16,5.4,5.12,5.39,4495300
2023-04-10,5.38,5.59,5.38,5.56,4687200
2023-04-11,5.6,5.84,5.6,5.78,4805100
2023-04-12,5.79,5.94,5.79,5.87,5510100
2023-04-13,5.88,6.0,5.88,5.92,4498200
2023-04-14,5.99,6.17,5.96,6.14,5983600
2023-04-17,6.11,6.2,6.05,6.18,3179500
2023-04-18,6.2,6.29,6.17,6.18,4146700
2023-04-19,6.19,6.25,6.14,6.2,3938000
2023-04-20,6.16,6.18,6.02,6.05,3140800
2023-04-21,6.04,6.06,5.94,5.99,2381600
2023-04-24,5.97,6.08,5.95,5.98,1805900
2023-04-25,5.91,5.97,5.76,5.76,2170000
2023-04-26,5.71,5.77,5.46,5.5,5739000
2023-04-27,5.53,5.64,5.49,5.55,2647500
2023-04-28,5.51,5.86,5.5,5.81,3570600
2023-05-01,5.75,5.86,5.74,5.75,1805600
2023-05-02,5.71,5.73,5.36,5.47,2919300
2023-05-03,5.54,5.66,5.43,5.47,2874100
2023-05-04,5.26,5.26,4.51,4.73,7150200
2023-05-05,4.9,5.06,4.84,4.98,5147400
2023-05-08,5.04,5.27,5.02,5.23,6296700
2023-05-09,5.16,5.34,5.16,5.25,5661700
2023-05-10,5.29,5.31,5.13,5.26,5418900
2023-05-11,5.2,5.34,5.18,5.25,4822000
2023-05-12,5.29,5.4,5.26,5.31,3255700
2023-05-15,5.31,5.5,5.31,5.48,3093000
2023-05-16,5.43,5.53,5.43,5.44,3650300
2023-05-17,5.5,5.59,5.42,5.53,4935000
2023-05-18,5.51,5.71,5.51,5.7,4115300
2023-05-19,5.76,5.82,5.59,5.63,3738700
2023-05-22,5.65,5.67,5.48,5.49,1791300
2023-05-23,5.45,5.64,5.45,5.5,2113200
2023-05-24,5.41,5.54,5.4,5.48,3277900
2023-05-25,5.46,5.66,5.44,5.66,3619300
2023-05-26,5.66,5.69,5.59,5.67,1797300
2023-05-30,5.68,5.71,5.61,5.66,1647900
2023-05-31,5.59,5.66,5.28,5.35,4235000
2023-06-01,5.39,5.47,5.38,5.4,1897400
2023-06-02,5.48,5.67,5.46,5.65,2535500
2023-06-05,5.59,5.6,5.37,5.38,2471300
2023-06-06,5.39,5.56,5.37,5.55,2332500
2023-06-07,5.56,5.85,5.56,5.83,5098500
2023-06-08,5.79,5.9,5.78,5.84,4046200
2023-06-09,5.82,5.85,5.69,5.7,1647600
2023-06-12,5.65,5.69,5.42,5.49,3535400
2023-06-13,5.5,5.56,5.43,5.49,2666900
2023-06-14,5.49,5.54,5.23,5.24,4513200
2023-06-15,5.24,5.3,5.2,5.3,3188300
2023-06-16,5.37,5.37,5.01,5.07,13580200
2023-06-20,5.07,5.13,5.03,5.1,4619800
2023-06-21,5.12,5.13,5.04,5.05,2454500
2023-06-22,5.04,5.05,4.88,4.97,4025500
2023-06-23,4.89,4.99,4.85,4.96,7295100
2023-06-26,4.96,5.05,4.89,4.9,2256700
2023-06-27,4.92,5.04,4.89,5.01,1452500
2023-06-28,4.96,4.96,4.83,4.9,2527100
2023-06-29,4.91,4.99,4.87,4.95,2653000
2023-06-30,4.99,5.06,4.91,5.0,3205000
2023-07-03,4.99,5.32,4.99,5.24,1933800
2023-07-05,5.22,5.33,5.12,5.31,4250000
2023-07-06,5.22,5.37,5.2,5.34,3751300
2023-07-07,5.31,5.63,5.31,5.57,6087600
2023-07-10,5.54,5.69,5.54,5.61,3088700
2023-07-11,5.65,5.66,5.57,5.63,2307600
2023-07-12,5.7,5.72,5.59,5.62,3758100
2023-07-13,5.64,5.77,5.6,5.69,2034900
2023-07-14,5.7,5.71,5.48,5.52,1986500
2023-07-17,5.53,5.67,5.51,5.62,1666700
2023-07-18,5.68,5.73,5.62,5.65,1359000
2023-07-19,5.66,5.67,5.59,5.65,1749900
2023-07-20,5.65,5.73,5.63,5.7,1678500
2023-07-21,5.74,5.75,5.61,5.64,1836600
2023-07-24,5.63,5.7,5.61,5.65,1558100
2023-07-25,5.65,5.74,5.61,5.69,1799700
2023-07-26,5.69,5.79,5.69,5.75,1598500
2023-07-27,5.74,5.75,5.62,5.65,2176200
2023-07-28,5.68,5.76,5.63,5.7,1376000
2023-07-31,5.71,5.87,5.71,5.86,2346500
2023-08-01,5.97,6.1,5.92,5.99,3164900
2023-08-02,5.97,6.1,5.97,6.02,2620700
2023-08-03,6.01,6.06,5.92,5.99,1670400
2023-08-04,5.99,6.2,5.99,6.16,2587500
2023-08-07,6.16,6.26,6.16,6.2,2641600
2023-08-08,6.13,6.22,6.06,6.21,1612100
2023-08-09,6.14,6.38,6.07,6.25,3244900
2023-08-10,6.3,6.33,6.04,6.05,2731700
2023-08-11,6.01,6.07,5.95,6.01,2454100
2023-08-14,5.98,6.03,5.94,5.99,2380600
2023-08-15,5.88,5.91,5.82,5.83,1916400
2023-08-16,5.85,5.91,5.81,5.81,1537800
2023-08-17,5.84,5.9,5.73,5.75,1752600
2023-08-18,5.7,5.85,5.66,5.79,1957000
2023-08-21,5.83,5.87,5.64,5.67,3774700
2023-08-22,5.66,5.75,5.61,5.65,2599900
