Date,Open,High,Low,Close,Volume
2023-01-13,22.44,22.7,22.33,22.43,2762400
2023-01-17,22.48,22.56,22.09,22.23,2225600
2023-01-18,22.31,22.54,22.25,22.29,2978900
2023-01-19,22.11,22.28,21.79,22.15,3206000
2023-01-20,22.26,22.61,22.01,22.56,2661500
2023-01-23,22.76,22.99,22.47,22.7,2751400
2023-01-24,22.51,23.3,22.51,22.92,5391100
2023-01-25,22.85,23.56,22.85,23.42,4009300
2023-01-26,23.6,23.9,23.59,23.78,3580000
2023-01-27,23.75,23.83,23.49,23.76,2263600
2023-01-30,23.71,23.83,23.17,23.17,3777200
2023-01-31,23.38,24.2,23.28,24.09,4842500
2023-02-01,23.48,23.76,23.21,23.76,4510400
2023-02-02,23.67,23.86,23.39,23.82,2225100
2023-02-03,23.7,23.91,23.54,23.66,3120300
2023-02-06,23.48,23.76,23.39,23.66,3499400
2023-02-07,23.0,23.38,21.1,22.14,10162500
2023-02-08,22.36,23.14,22.35,23.13,6082500
2023-02-09,23.52,23.56,23.14,23.2,3557500
2023-02-10,23.28,23.57,23.06,23.51,2930300
2023-02-13,23.61,23.61,23.3,23.52,2566400
2023-02-14,23.7,24.07,23.53,23.58,3620700
2023-02-15,23.43,23.83,23.34,23.75,2111100
2023-02-16,23.5,24.0,23.45,23.67,1887600
2023-02-17,23.76,23.81,23.48,23.52,2553400
2023-02-21,23.25,23.47,22.89,23.09,3118100
2023-02-22,23.13,23.28,22.91,22.97,2623100
2023-02-23,23.16,23.58,23.02,23.56,3255500
2023-02-24,23.41,23.78,23.3,23.72,2333100
2023-02-27,23.93,24.05,23.73,23.8,1825900
2023-02-28,23.77,24.12,23.77,23.8,2892200
2023-03-01,23.79,24.46,23.72,24.38,4268700
2023-03-02,24.26,24.47,24.02,24.43,2940800
2023-03-03,24.63,24.73,24.42,24.58,3227000
2023-03-06,24.45,24.72,24.14,24.19,2873200
2023-03-07,24.34,25.1,24.24,25.02,4405000
2023-03-08,25.11,25.15,24.72,24.94,2939600
2023-03-09,24.99,25.17,24.58,24.62,2302000
2023-03-10,24.53,24.54,23.69,23.76,3619100
2023-03-13,23.51,23.78,23.2,23.3,2759100
2023-03-14,23.54,24.2,23.53,23.97,2691900
2023-03-15,23.53,23.56,23.16,23.42,4097200
2023-03-16,23.13,23.76,22.99,23.65,2217000
2023-03-17,23.68,23.87,23.14,23.31,2812800
2023-03-20,23.5,23.76,23.35,23.61,5755500
2023-03-21,23.99,24.19,23.89,23.94,1728500
2023-03-22,24.03,24.21,23.76,23.78,2304100
2023-03-23,23.92,24.42,23.83,24.01,4286800
2023-03-24,23.88,24.5,23.79,24.44,3083800
2023-03-27,24.6,24.95,24.44,24.82,2514400
2023-03-28,24.84,25.17,24.72,25.15,3184400
2023-03-29,25.31,25.38,24.92,25.17,3201800
2023-03-30,25.34,25.45,25.13,25.26,2216900
2023-03-31,25.36,25.56,25.27,25.49,2421800
2023-04-03,25.5,25.62,25.31,25.49,2278100
2023-04-04,25.44,25.5,24.81,25.04,2071700
2023-04-05,25.08,25.21,24.84,25.18,2937400
2023-04-06,25.25,25.28,24.84,25.06,3349600
2023-04-10,25.06,25.23,24.73,25.03,2346900
2023-04-11,25.3,25.46,25.16,25.24,2946800
2023-04-12,25.25,25.33,24.79,24.84,3369800
2023-04-13,24.91,24.91,24.4,24.86,3641300
2023-04-14,24.77,24.9,24.44,24.76,2670800
2023-04-17,24.75,24.93,24.51,24.91,1877400
2023-04-18,25.0,25.06,24.72,25.02,2969000
2023-04-19,25.0,25.08,24.87,24.99,1781900
2023-04-20,24.88,24.88,24.51,24.68,3213800
2023-04-21,24.73,24.75,24.21,24.42,2562800
2023-04-24,24.55,24.68,24.34,24.62,3053600
2023-04-25,24.14,24.44,24.08,24.34,2296100
2023-04-26,24.32,24.4,23.82,23.91,1823400
2023-04-27,23.83,24.34,23.75,24.26,2636600
2023-04-28,24.19,24.73,24.13,24.66,2303900
2023-05-01,24.59,24.93,24.58,24.63,4469900
2023-05-02,25.31,25.49,24.06,25.41,9784200
2023-05-03,25.66,26.11,25.06,25.1,4361500
2023-05-04,25.4,25.47,24.95,25.2,3679400
2023-05-05,25.43,25.86,25.27,25.7,2050700
2023-05-08,25.73,25.96,25.67,25.93,1672100
2023-05-09,26.03,26.04,25.62,25.72,2701900
2023-05-10,25.73,26.16,25.45,25.9,3950100
2023-05-11,25.76,25.88,25.46,25.68,1619100
2023-05-12,25.68,25.97,25.63,25.95,1938900
2023-05-15,26.0,26.07,25.53,25.83,2650700
2023-05-16,25.82,25.84,25.49,25.5,2514000
2023-05-17,25.64,25.96,25.49,25.77,1883200
2023-05-18,25.7,25.75,25.36,25.63,1703500
2023-05-19,25.84,25.84,25.54,25.76,1520500
2023-05-22,25.67,25.84,25.55,25.65,2969200
2023-05-23,25.49,25.66,25.33,25.41,1756800
2023-05-24,25.45,25.45,25.01,25.01,1799300
2023-05-25,25.01,25.15,24.65,24.86,2051600
2023-05-26,24.88,25.01,24.63,24.71,2071300
2023-05-30,24.74,24.83,24.28,24.46,1874700
2023-05-31,24.25,24.35,23.75,23.9,3196500
2023-06-01,23.92,24.31,23.9,24.16,2985800
2023-06-02,24.39,25.05,24.37,25.0,2567700
2023-06-05,25.79,25.9,25.41,25.45,4186300
2023-06-06,25.36,26.01,25.36,25.84,3210100
2023-06-07,25.92,26.44,25.81,26.31,4076000
2023-06-08,26.32,26.7,26.27,26.45,2956800
2023-06-09,26.48,26.71,26.34,26.52,3016100
2023-06-12,26.51,27.02,26.39,26.96,4348000
2023-06-13,26.86,27.56,25.69,26.22,8722900
2023-06-14,26.28,26.28,25.69,25.82,6230700
2023-06-15,25.67,26.22,25.45,26.17,4421600
2023-06-16,26.14,26.22,25.35,26.01,53234400
2023-06-20,25.5,25.55,24.64,24.66,7777700
2023-06-21,24.49,24.75,24.32,24.41,5214700
2023-06-22,24.19,24.22,23.63,23.96,5532600
2023-06-23,23.76,23.93,23.48,23.6,5724400
2023-06-26,23.55,24.03,23.55,23.97,3934200
2023-06-27,23.94,24.57,23.75,24.22,4522600
2023-06-28,24.2,24.22,23.67,24.02,4451100
2023-06-29,23.09,23.7,22.66,23.67,5695800
