Date,Open,High,Low,Close,Volume
2023-01-13,78.76,80.84,76.295,80.41,75500
2023-01-17,80.82,81.52,79.6,80.09,40000
2023-01-18,80.42,84.13,78.32,78.84,100900
2023-01-19,78.47,83.0,78.05,82.74,64100
2023-01-20,83.69,83.7,79.06,79.54,122700
2023-01-23,79.95,81.61,78.66,79.82,121100
2023-01-24,78.87,79.48,72.85,72.99,119900
2023-01-25,71.86,72.24,69.99,71.46,87500
2023-01-26,71.47,72.23,69.85,70.43,79600
2023-01-27,69.8,70.535,68.6,70.4,307400
2023-01-30,69.86,70.77,68.24,68.44,98600
2023-01-31,68.29,69.48,67.71,68.15,104100
2023-02-01,67.93,67.93,62.66,64.43,179200
2023-02-02,64.5,64.5,61.46,62.17,208500
2023-02-03,62.1,64.37,62.0,63.04,117900
2023-02-06,62.57,63.0,60.385,60.8,159100
2023-02-07,60.69,64.43,60.69,64.43,113900
2023-02-08,64.1,64.81,60.15,62.19,159900
2023-02-09,62.15,65.63,62.13,63.45,123700
2023-02-10,64.47,66.38,63.82,66.22,73000
2023-02-13,65.38,65.38,63.215,64.0,170700
2023-02-14,63.35,65.34,62.63,64.41,115500
2023-02-15,64.08,65.41,62.49,65.28,89800
2023-02-16,64.52,65.7,63.68,63.7,62400
2023-02-17,62.74,62.74,60.8,62.11,133500
2023-02-21,61.46,63.05,61.055,62.34,154100
2023-02-22,62.34,64.37,61.88,64.26,143800
2023-02-23,65.58,67.0,64.97,66.53,125000
2023-02-24,65.91,69.32,65.27,68.15,183900
2023-02-27,68.39,70.05,66.13,66.82,112000
2023-02-28,66.89,68.2,66.12,66.12,134700
2023-03-01,72.38,78.81,71.465,76.01,531600
2023-03-02,76.03,79.18,76.03,78.17,302100
2023-03-03,77.97,82.89,77.97,82.2,358700
2023-03-06,81.11,81.845,77.19,78.75,178900
2023-03-07,78.38,79.31,77.365,77.83,92300
2023-03-08,77.71,79.85,76.75,78.61,91500
2023-03-09,78.78,80.3,77.25,77.25,108400
2023-03-10,76.83,79.24,74.385,75.26,127000
2023-03-13,72.66,77.005,72.585,73.69,141100
2023-03-14,74.41,78.66,74.25,75.5,136300
2023-03-15,71.85,73.603,69.0,71.53,122100
2023-03-16,69.99,74.81,69.18,74.81,145200
2023-03-17,74.27,75.825,72.64,74.22,208100
2023-03-20,74.54,77.4,74.065,75.95,129900
2023-03-21,77.03,79.04,76.05,78.34,137000
2023-03-22,77.94,77.94,75.05,75.24,114600
2023-03-23,75.74,78.29,75.55,75.9,116900
2023-03-24,74.37,78.43,74.37,77.66,112300
2023-03-27,78.15,79.83,75.785,79.42,98200
2023-03-28,79.04,81.515,78.98,79.2,122400
2023-03-29,79.73,80.155,79.05,79.43,101900
2023-03-30,79.81,80.4,78.3,79.21,77000
2023-03-31,79.99,80.3,79.17,80.0,122200
2023-04-03,82.15,83.5,78.65,79.5,335600
2023-04-04,79.99,80.37,77.26,79.44,107000
2023-04-05,79.23,80.7,76.84,78.45,106500
2023-04-06,78.33,78.64,75.69,75.81,89300
2023-04-10,76.6,80.75,76.185,80.0,210500
2023-04-11,81.05,82.2,79.34,81.63,126300
2023-04-12,81.44,82.37,79.68,80.74,130700
2023-04-13,80.75,82.53,80.06,81.38,94900
2023-04-14,81.32,81.815,80.21,81.48,58600
2023-04-17,82.4,82.81,79.85,80.15,65200
2023-04-18,79.88,80.87,79.14,80.86,61300
2023-04-19,79.19,81.31,79.19,81.22,80200
2023-04-20,80.1,81.67,79.63,81.54,68800
2023-04-21,82.02,83.2,81.28,83.1,100100
2023-04-24,82.56,85.175,82.56,84.74,133300
2023-04-25,83.75,83.98,81.84,83.62,105700
2023-04-26,82.62,84.125,81.29,82.63,136700
2023-04-27,82.81,85.605,82.66,85.43,71800
2023-04-28,85.74,91.65,85.74,90.46,156600
2023-05-01,88.99,90.615,83.05,84.53,215400
2023-05-02,83.67,83.67,81.32,81.59,87000
2023-05-03,83.38,89.72,83.38,88.41,233000
2023-05-04,90.36,92.15,85.79,86.56,179100
2023-05-05,88.71,91.64,88.71,90.53,152000
2023-05-08,92.23,92.9,90.4,91.18,127100
2023-05-09,91.23,95.06,91.23,92.45,155100
2023-05-10,92.93,93.45,91.54,92.36,129800
2023-05-11,91.36,92.91,91.12,91.9,72900
2023-05-12,92.57,95.87,91.71,95.82,118200
2023-05-15,96.91,98.72,96.02,96.94,198400
2023-05-16,97.24,98.165,95.31,96.0,111200
2023-05-17,97.27,98.425,95.62,97.42,91100
2023-05-18,97.3,101.89,96.55,101.55,181700
2023-05-19,104.84,104.98,101.13,102.71,191400
2023-05-22,102.81,103.78,99.25,99.79,120100
2023-05-23,100.37,101.53,99.55,99.8,105700
2023-05-24,100.68,103.2,98.174,102.42,114200
2023-05-25,100.7,101.72,99.24,99.88,98000
2023-05-26,100.53,100.71,98.57,99.37,105700
2023-05-30,99.35,99.35,95.83,97.65,97900
2023-05-31,97.02,99.73,96.355,97.02,198600
2023-06-01,97.42,99.16,96.13,96.36,70400
2023-06-02,97.95,99.8,97.715,98.63,120000
2023-06-05,99.79,99.79,97.105,97.39,59600
2023-06-06,96.37,98.98,96.37,98.91,101700
2023-06-07,99.34,103.28,99.34,102.75,195800
2023-06-08,102.55,103.2,99.83,101.92,131700
2023-06-09,101.41,102.96,100.71,101.04,64400
2023-06-12,99.38,100.17,98.0,98.61,68600
2023-06-13,99.74,101.37,98.91,99.06,69600
2023-06-14,99.57,100.87,98.37,100.0,101300
2023-06-15,100.25,101.58,99.71,101.56,155800
2023-06-16,103.44,105.12,101.19,104.37,208900
2023-06-20,104.46,104.46,102.58,104.46,92900
2023-06-21,104.59,109.94,104.59,107.88,168900
2023-06-22,100.68,101.56,94.83,95.95,1522000
2023-06-23,93.79,97.49,93.665,97.27,676300
2023-06-26,97.97,99.37,96.07,96.32,227400
2023-06-27,96.1,98.76,94.57,98.22,204300
2023-06-28,97.99,100.635,97.42,100.39,286500
2023-06-29,100.41,104.37,100.35,103.46,296500
2023-06-30,104.03,106.68,102.61,105.07,154300
2023-07-03,104.65,105.43,103.76,104.04,60100
2023-07-05,105.03,105.45,103.835,105.08,147700
2023-07-06,104.7,105.46,99.8,103.48,164800
2023-07-07,103.27,105.975,102.32,104.05,161200
2023-07-10,104.37,104.795,102.095,104.11,149200
2023-07-11,104.6,107.62,104.6,105.59,104900
2023-07-12,106.39,106.65,104.04,105.75,138900
2023-07-13,106.46,110.02,104.93,106.7,318200
2023-07-14,106.55,106.55,103.0,104.01,153900
2023-07-17,104.71,106.02,103.67,104.94,143500
2023-07-18,105.34,106.99,104.31,104.4,146800
2023-07-19,104.13,104.4,100.92,101.96,150000
2023-07-20,103.36,104.795,102.42,104.41,116800
2023-07-21,104.91,106.53,104.25,106.41,75700
2023-07-24,105.97,106.74,102.84,103.45,143500
2023-07-25,103.57,104.675,102.19,102.26,102900
2023-07-26,102.07,103.49,102.07,102.52,77100
2023-07-27,103.34,103.49,98.69,99.19,85500
2023-07-28,99.63,102.99,98.75,102.98,177300
2023-07-31,103.87,104.23,101.2,102.45,131500
2023-08-01,101.87,104.41,101.085,103.74,181800
2023-08-02,101.31,105.345,101.31,102.75,325300
2023-08-03,103.83,106.045,102.75,103.69,233600
2023-08-04,104.02,108.54,103.6,107.0,236200
2023-08-07,106.83,107.485,103.87,105.39,160800
2023-08-08,103.75,108.49,103.46,108.02,191100
2023-08-09,110.0,112.6,107.8,112.59,321900
2023-08-10,113.12,114.88,111.65,112.88,253800
2023-08-11,112.52,114.08,111.49,113.99,197100
2023-08-14,113.41,114.28,111.69,113.1,218400
2023-08-15,112.33,112.61,110.0,112.23,94500
2023-08-16,114.01,114.41,111.06,111.3,133400
2023-08-17,111.87,113.96,109.3,111.61,156700
2023-08-18,110.4,112.12,110.4,110.79,96100
2023-08-21,111.9,111.9,108.84,111.28,116300
2023-08-22,113.05,113.6,110.02,110.92,136900
2023-08-23,110.5,112.64,110.36,111.57,128500
2023-08-24,110.8,114.1,110.51,112.5,230400
2023-08-25,114.08,114.15,112.43,113.72,155700
2023-08-28,115.85,116.04,113.39,114.52,87700
2023-08-29,114.81,115.28,113.33,114.6,95400
2023-08-30,115.77,115.8,113.95,114.45,128000
2023-08-31,114.86,118.69,114.01,118.0,235100
2023-09-01,119.63,124.58,119.63,123.44,208100
2023-09-05,122.27,124.79,122.23,123.1,189200
2023-09-06,122.65,124.43,119.02,120.71,254300
2023-09-07,120.58,121.92,119.45,119.52,222400
2023-09-08,119.31,122.27,118.22,120.59,99200
2023-09-11,123.12,123.12,115.63,117.29,171600
2023-09-12,119.07,122.65,119.07,121.75,228100
2023-09-13,125.28,125.28,119.71,120.05,200100
2023-09-14,122.03,123.15,119.82,119.94,121100
2023-09-15,119.0,119.9,115.89,115.9,438200
2023-09-18,115.76,117.3,113.02,114.96,152200
2023-09-19,116.36,116.89,112.8,113.56,116800
2023-09-20,112.9,115.005,111.54,111.95,127300
2023-09-21,114.84,115.74,110.63,111.02,214200
2023-09-22,111.29,112.765,110.42,111.54,148100
2023-09-25,111.54,114.01,110.42,113.39,209400
2023-09-26,112.12,114.76,110.97,113.45,205200
2023-09-27,116.47,119.35,115.5,118.58,203700
2023-09-28,118.36,121.21,117.85,120.92,258400
2023-09-29,120.47,120.865,117.79,118.66,140700
2023-10-02,118.86,118.86,113.11,117.21,267500
2023-10-03,117.03,117.225,113.92,116.36,294400
2023-10-04,115.04,115.69,111.515,113.71,152900
2023-10-05,112.9,118.095,112.25,116.99,181100
2023-10-06,117.74,122.38,117.74,120.97,149400
2023-10-09,123.24,125.74,121.8,125.69,215500
2023-10-10,125.55,127.22,123.57,123.6,118500
2023-10-11,121.84,123.74,120.38,123.4,99800
2023-10-12,125.01,125.01,121.38,122.63,120400
2023-10-13,124.91,125.9,122.3,122.35,103200
2023-10-16,122.91,123.65,121.4,122.68,71300
2023-10-17,122.11,126.345,121.84,126.02,224800
2023-10-18,127.16,128.355,125.8,127.51,149700
2023-10-19,125.94,129.56,125.94,126.62,131800
2023-10-20,126.43,127.15,124.06,126.02,108300
2023-10-23,124.7,126.53,123.52,125.27,146900
2023-10-24,125.07,126.3,124.364,125.45,101000
2023-10-25,125.63,126.39,123.83,124.19,111600
2023-10-26,123.62,125.42,122.42,124.79,130700
2023-10-27,124.96,125.25,121.86,123.93,76400
