Date,Open,High,Low,Close,Volume
2023-01-13,26.9,28.05,26.77,27.7,488100
2023-01-17,27.54,28.3,27.54,28.19,281200
2023-01-18,28.44,29.2,27.55,27.66,252700
2023-01-19,27.35,27.98,27.1,27.78,266300
2023-01-20,27.89,29.25,27.36,29.23,340900
2023-01-23,29.0,29.38,28.37,28.58,306800
2023-01-24,28.22,29.22,28.18,28.91,205400
2023-01-25,28.55,29.25,28.55,29.24,216500
2023-01-26,29.47,29.99,28.93,29.71,219100
2023-01-27,29.56,30.35,29.56,30.23,173200
2023-01-30,29.84,30.56,29.32,29.61,296300
2023-01-31,29.84,31.25,29.61,31.2,342100
2023-02-01,30.96,32.66,30.36,32.39,610000
2023-02-02,33.1,34.22,32.63,32.87,574300
2023-02-03,31.96,33.08,31.5,32.49,344700
2023-02-06,32.07,32.98,32.07,32.47,236800
2023-02-07,31.98,33.01,31.76,32.62,267200
2023-02-08,32.42,32.42,31.66,31.89,275700
2023-02-09,32.26,32.47,31.65,31.75,136000
2023-02-10,31.46,31.92,31.13,31.44,254700
2023-02-13,31.52,32.54,31.31,32.4,194600
2023-02-14,31.96,32.35,31.26,32.25,191900
2023-02-15,31.92,32.58,31.56,32.44,146800
2023-02-16,31.77,32.4,31.57,32.04,173000
2023-02-17,31.98,31.98,30.93,31.63,267700
2023-02-21,30.79,31.45,30.17,30.28,322300
2023-02-22,30.32,30.8,29.57,29.84,349900
2023-02-23,29.75,30.59,29.75,30.45,233200
2023-02-24,29.78,30.29,29.36,30.1,208400
2023-02-27,30.48,30.72,30.17,30.58,325100
2023-02-28,31.31,33.25,31.17,31.2,1065800
2023-03-01,31.44,32.18,31.12,31.82,583500
2023-03-02,31.4,32.2,30.8,32.16,239500
2023-03-03,32.52,33.16,32.21,33.01,276900
2023-03-06,33.01,33.05,32.15,32.35,295700
2023-03-07,32.55,32.55,32.02,32.16,343400
2023-03-08,32.36,32.92,31.9,32.91,289200
2023-03-09,32.87,33.39,32.53,32.55,492800
2023-03-10,32.54,32.55,30.84,31.18,356100
2023-03-13,30.39,31.57,30.36,30.68,253500
2023-03-14,31.41,32.33,31.22,31.62,351900
2023-03-15,31.48,31.76,30.63,31.29,386900
2023-03-16,30.9,32.81,30.9,32.77,329900
2023-03-17,32.77,33.05,32.2,32.5,694000
2023-03-20,32.6,33.07,32.14,32.19,363500
2023-03-21,32.61,33.39,32.61,32.87,230900
2023-03-22,32.77,33.96,32.7,32.86,267600
2023-03-23,33.2,34.09,32.92,33.38,387100
2023-03-24,33.1,34.64,32.69,34.34,515100
2023-03-27,34.66,35.01,34.03,34.26,407400
2023-03-28,34.16,34.44,34.02,34.38,203100
2023-03-29,34.66,34.8,33.91,34.1,321400
2023-03-30,34.36,34.7,33.97,34.35,222200
2023-03-31,34.59,35.06,34.46,35.06,287100
2023-04-03,34.99,35.6,34.35,35.2,443700
2023-04-04,35.21,35.22,33.94,34.15,240000
2023-04-05,33.97,34.0,33.47,33.65,236000
2023-04-06,33.63,33.63,32.71,32.94,236600
2023-04-10,32.97,33.62,32.96,33.43,271300
2023-04-11,33.66,35.28,33.51,35.13,274100
2023-04-12,35.38,35.93,35.12,35.24,263600
2023-04-13,35.37,35.57,34.78,35.15,165500
2023-04-14,35.12,35.34,34.69,35.06,167600
2023-04-17,34.95,36.4,34.89,35.73,515200
2023-04-18,35.9,37.23,35.88,37.21,299700
2023-04-19,37.12,37.13,36.53,36.93,183500
2023-04-20,37.14,37.97,36.9,37.01,228000
2023-04-21,37.05,37.25,36.59,36.99,252100
2023-04-24,36.96,37.24,36.39,37.22,278500
2023-04-25,37.01,37.27,36.39,36.46,242600
2023-04-26,36.12,36.69,35.71,35.89,214200
2023-04-27,36.2,36.89,36.09,36.84,207000
2023-04-28,36.78,37.3,36.78,37.27,188800
2023-05-01,37.07,37.53,36.58,36.99,250000
2023-05-02,36.79,36.85,35.62,36.73,286000
2023-05-03,36.91,38.13,36.8,37.17,332100
2023-05-04,40.08,45.8,39.0,45.76,1399000
2023-05-05,46.39,48.16,46.29,48.08,772800
2023-05-08,48.43,50.07,47.91,50.06,734300
2023-05-09,50.08,51.96,50.08,51.95,789400
2023-05-10,52.82,53.72,51.56,53.13,757700
2023-05-11,53.0,53.04,49.38,51.08,1113900
2023-05-12,51.44,51.86,49.83,50.26,718400
2023-05-15,50.31,50.59,49.86,50.37,401300
2023-05-16,50.11,51.23,49.53,50.75,508500
2023-05-17,50.79,51.93,50.46,51.77,348300
2023-05-18,51.82,53.09,51.82,52.71,411600
2023-05-19,52.85,53.01,50.88,51.97,453700
2023-05-22,52.15,52.66,51.6,51.63,436200
2023-05-23,51.2,51.24,48.85,48.88,539300
2023-05-24,48.29,49.67,48.02,48.33,485100
2023-05-25,48.9,49.56,48.39,48.64,379200
2023-05-26,48.51,48.66,47.44,48.02,422600
2023-05-30,48.06,48.55,47.77,48.46,255400
2023-05-31,48.15,49.08,47.1,47.87,603300
2023-06-01,47.8,49.4,47.6,49.14,351200
2023-06-02,49.51,51.69,49.18,51.14,546500
2023-06-05,50.9,52.0,50.4,51.68,466700
2023-06-06,51.57,54.13,51.56,53.96,436900
2023-06-07,54.33,55.37,53.95,55.14,506400
2023-06-08,55.02,56.23,54.91,55.77,365500
2023-06-09,55.93,56.92,55.43,55.69,464600
2023-06-12,55.77,56.53,53.79,56.27,456700
2023-06-13,56.63,57.18,55.74,55.74,307900
2023-06-14,55.74,56.06,54.2,54.6,404400
2023-06-15,55.04,55.82,54.43,55.25,448800
2023-06-16,55.81,56.0,53.87,54.33,1293900
2023-06-20,54.53,56.58,54.51,55.09,400700
2023-06-21,54.71,56.68,54.34,56.44,350500
2023-06-22,55.97,56.5,55.53,55.63,297500
2023-06-23,55.33,55.87,54.17,54.63,566200
2023-06-26,54.25,55.13,52.99,53.12,424400
2023-06-27,53.34,56.08,53.29,55.19,490500
2023-06-28,55.05,56.24,54.99,55.35,287000
2023-06-29,55.28,56.6,54.84,56.31,457500
2023-06-30,57.04,57.53,56.51,56.8,513700
2023-07-03,56.89,57.48,55.32,55.87,294800
2023-07-05,55.71,56.69,54.55,54.68,726300
2023-07-06,54.03,54.11,50.41,50.42,529200
2023-07-07,50.77,51.69,50.0,50.01,467500
2023-07-10,50.0,51.87,49.51,51.76,368700
2023-07-11,51.74,52.27,51.3,51.34,246100
2023-07-12,52.01,54.61,51.84,54.28,420600
2023-07-13,54.52,55.59,54.04,55.47,439000
2023-07-14,55.7,56.21,55.26,55.69,336600
2023-07-17,57.24,58.44,56.1,58.35,635400
2023-07-18,58.48,59.1,57.54,58.09,552800
2023-07-19,57.91,58.55,56.68,58.51,360500
2023-07-20,59.0,59.3,54.85,55.34,402100
2023-07-21,56.03,56.43,54.4,54.57,334800
2023-07-24,54.32,55.37,53.76,55.17,240600
2023-07-25,55.17,57.43,55.17,56.19,295000
2023-07-26,56.0,56.31,54.34,54.74,244000
2023-07-27,55.44,55.85,53.48,53.78,302000
2023-07-28,54.6,56.42,54.54,56.34,267400
2023-07-31,57.0,57.38,55.96,56.52,458300
2023-08-01,56.21,57.06,56.08,56.81,380400
2023-08-02,55.92,56.6,55.02,55.51,390700
2023-08-03,56.24,57.0,49.67,51.57,794100
2023-08-04,51.39,52.63,50.1,52.15,524500
2023-08-07,52.32,53.7,52.32,52.93,388200
2023-08-08,52.39,54.74,52.0,54.56,372400
2023-08-09,54.38,54.38,52.61,52.92,448400
2023-08-10,53.32,54.15,51.48,52.6,379500
2023-08-11,52.56,53.76,52.29,53.08,238700
2023-08-14,52.51,53.35,51.74,52.78,288300
2023-08-15,53.34,54.18,52.37,53.67,370000
2023-08-16,53.4,53.98,51.97,51.99,232700
2023-08-17,52.29,52.43,48.23,48.39,519700
2023-08-18,47.92,49.23,47.0,48.96,343500
2023-08-21,49.37,49.6,46.86,47.55,612500
2023-08-22,47.96,48.49,47.19,47.96,522400
2023-08-23,48.34,49.52,47.73,49.08,246200
2023-08-24,48.95,49.07,47.53,47.54,232200
2023-08-25,47.64,48.08,45.61,46.82,374100
2023-08-28,47.05,47.61,46.48,46.98,325500
2023-08-29,46.97,48.96,46.39,48.71,339900
2023-08-30,48.5,50.52,48.29,49.93,312700
2023-08-31,49.75,50.08,49.09,49.46,253600
2023-09-01,49.85,50.8,49.28,50.69,200600
2023-09-05,50.0,50.0,45.52,46.05,664600
2023-09-06,46.18,47.46,45.75,47.26,388900
2023-09-07,46.5,46.52,44.19,45.72,857200
2023-09-08,45.58,46.0,45.4,45.61,482100
2023-09-11,45.61,46.11,45.18,45.54,478600
2023-09-12,45.1,46.13,44.22,44.85,351500
2023-09-13,44.99,45.08,43.22,44.04,343200
2023-09-14,44.61,45.0,43.67,44.84,459300
2023-09-15,44.2,44.42,42.53,42.98,1383700
2023-09-18,43.32,44.41,42.9,43.5,398500
2023-09-19,43.21,44.02,42.76,43.62,307000
2023-09-20,44.03,44.42,42.37,42.45,224800
2023-09-21,41.69,42.39,40.59,41.68,376500
2023-09-22,41.95,42.26,41.0,41.58,285200
2023-09-25,41.28,42.21,41.28,42.06,224700
2023-09-26,41.75,42.4,41.21,41.57,305200
2023-09-27,42.2,42.57,41.26,41.67,201400
2023-09-28,41.69,43.0,41.67,42.44,213900
2023-09-29,42.93,43.07,41.02,41.51,398800
2023-10-02,41.24,42.08,40.4,40.95,391300
2023-10-03,40.65,40.88,39.69,40.26,329400
2023-10-04,40.38,41.04,39.86,40.92,502400
2023-10-05,40.81,41.12,40.1,40.38,410800
2023-10-06,39.82,41.07,39.29,40.65,300000
2023-10-09,40.42,41.38,39.85,41.18,336600
