Date,Open,High,Low,Close,Volume
2023-01-13,36.74,37.595,36.535,37.14,227000
2023-01-17,37.11,38.09,36.68,37.77,159600
2023-01-18,38.14,38.95,37.76,38.32,324100
2023-01-19,37.83,38.15,37.09,37.6,106900
2023-01-20,37.63,37.63,35.205,36.66,359700
2023-01-23,36.7,38.44,36.18,38.36,174100
2023-01-24,38.1,39.0,37.06,37.39,157400
2023-01-25,36.81,37.13,35.25,35.94,147300
2023-01-26,36.36,37.15,36.05,36.69,153200
2023-01-27,36.46,37.32,35.62,36.83,138800
2023-01-30,36.27,37.85,35.76,37.71,157000
2023-01-31,37.92,39.16,37.855,39.05,156700
2023-02-01,38.86,41.37,38.85,40.92,370400
2023-02-02,42.04,44.945,41.98,44.79,435000
2023-02-03,43.5,45.19,43.107,44.79,196000
2023-02-06,45.15,46.35,44.59,45.22,275700
2023-02-07,45.0,45.81,44.25,45.58,251500
2023-02-08,45.15,46.09,44.13,44.62,253600
2023-02-09,45.27,45.485,41.135,41.78,278500
2023-02-10,41.26,41.785,40.025,40.31,162200
2023-02-13,40.31,40.99,39.46,40.7,263900
2023-02-14,40.26,41.1,39.11,39.78,176700
2023-02-15,39.54,42.72,39.04,42.57,239100
2023-02-16,41.65,44.1,38.4,41.5,518100
2023-02-17,41.35,41.35,40.14,40.66,249100
2023-02-21,39.82,39.98,36.35,38.13,275900
2023-02-22,38.07,38.91,37.25,38.63,259600
2023-02-23,43.03,46.49,42.0,44.81,405800
2023-02-24,43.91,45.52,43.4,45.16,228400
2023-02-27,45.83,46.23,43.84,44.12,289700
2023-02-28,44.1,47.04,43.84,46.65,432200
2023-03-01,46.8,47.808,46.3,47.61,200500
2023-03-02,48.35,49.72,47.792,48.88,310100
2023-03-03,49.19,51.225,49.19,50.62,443300
2023-03-06,50.68,52.61,50.295,52.55,311700
2023-03-07,52.46,54.11,50.44,54.0,503900
2023-03-08,54.0,54.74,52.96,53.15,363700
2023-03-09,53.32,54.03,50.37,50.73,287900
2023-03-10,50.59,50.59,48.82,49.69,227900
2023-03-13,48.83,50.95,48.01,50.33,171000
2023-03-14,52.46,55.0,50.39,51.24,169100
2023-03-15,49.86,51.265,49.0,50.4,215600
2023-03-16,49.57,51.4,48.57,49.2,394300
2023-03-17,48.54,49.31,47.5,47.91,406700
2023-03-20,48.34,48.769,46.77,48.63,223000
2023-03-21,49.35,50.57,49.29,50.16,171300
2023-03-22,50.16,50.67,48.49,48.62,158200
2023-03-23,48.98,49.995,48.19,48.67,146700
2023-03-24,48.02,49.64,46.92,49.35,130600
2023-03-27,50.0,51.72,49.29,50.53,154700
2023-03-28,50.15,50.52,48.77,49.3,111400
2023-03-29,50.21,50.91,49.6,50.81,99100
2023-03-30,51.57,52.2,50.44,50.86,104900
2023-03-31,51.55,52.53,51.36,52.2,242600
2023-04-03,52.18,52.46,50.65,51.83,201800
2023-04-04,52.09,52.615,50.72,50.79,121300
2023-04-05,50.35,50.5,49.42,50.12,273000
2023-04-06,50.12,51.56,49.675,51.27,202000
2023-04-10,50.88,52.685,50.67,52.34,144900
2023-04-11,52.66,53.525,51.935,53.03,149800
2023-04-12,54.04,54.45,51.87,52.26,140200
2023-04-13,52.52,54.01,52.25,53.49,114400
2023-04-14,53.48,54.01,51.885,52.41,118500
2023-04-17,52.3,53.05,51.81,52.97,96600
2023-04-18,53.4,55.96,51.06,55.19,339400
2023-04-19,54.47,55.635,54.47,55.23,212200
2023-04-20,54.75,55.97,54.355,55.08,156100
2023-04-21,54.7,55.24,54.07,54.77,161500
2023-04-24,54.3,55.675,54.13,55.43,217900
2023-04-25,55.08,55.82,54.69,54.88,332400
2023-04-26,54.82,55.0,53.57,53.73,302000
2023-04-27,56.53,61.5,56.53,58.87,459400
2023-04-28,58.83,58.83,55.94,57.5,212800
2023-05-01,57.36,59.7,56.79,58.0,175900
2023-05-02,57.78,59.14,57.54,58.0,428200
2023-05-03,58.02,60.0,57.69,58.45,283200
2023-05-04,58.47,59.68,57.36,58.0,233900
2023-05-05,58.55,60.21,58.29,60.06,207900
2023-05-08,59.97,60.65,59.13,59.5,181300
2023-05-09,59.01,60.2,58.65,59.28,282200
2023-05-10,60.09,60.392,59.09,60.25,166300
2023-05-11,60.01,60.13,58.34,59.02,178100
2023-05-12,59.31,60.05,57.84,58.73,114500
2023-05-15,58.75,59.53,57.1,57.55,178100
2023-05-16,57.3,57.75,55.9,56.51,112500
2023-05-17,56.66,58.64,56.66,58.49,205800
2023-05-18,58.19,58.22,55.71,57.89,159300
2023-05-19,58.46,58.46,56.81,58.0,191100
2023-05-22,58.17,58.84,57.0,57.62,144300
2023-05-23,57.46,58.1,55.32,56.14,173600
2023-05-24,55.75,56.56,54.79,56.29,141300
2023-05-25,56.75,58.16,55.0,55.46,169000
2023-05-26,55.65,56.58,55.16,55.23,91900
2023-05-30,55.53,56.143,54.6,54.89,108200
2023-05-31,54.92,55.37,53.81,55.18,208400
2023-06-01,55.24,56.36,54.11,55.96,196000
2023-06-02,56.77,58.55,56.39,58.13,138300
2023-06-05,57.88,59.26,57.22,59.11,124200
2023-06-06,58.98,60.57,58.76,60.07,234300
2023-06-07,60.31,61.2,59.08,59.17,152500
2023-06-08,59.78,61.84,59.38,61.77,183000
2023-06-09,61.69,62.35,59.61,60.34,316300
2023-06-12,60.61,62.36,60.08,62.1,256700
2023-06-13,62.53,62.58,59.73,60.56,186600
2023-06-14,60.78,61.798,59.35,60.41,116700
2023-06-15,60.18,62.03,59.575,61.63,121500
2023-06-16,62.53,62.69,61.16,61.75,324200
2023-06-20,61.27,61.47,60.1,60.6,129700
2023-06-21,60.49,60.835,59.78,60.28,305900
2023-06-22,60.28,61.19,59.5,61.02,229000
2023-06-23,60.04,62.0,60.04,61.2,580100
2023-06-26,60.84,62.33,60.58,62.16,138800
2023-06-27,62.42,64.225,60.82,61.72,137200
2023-06-28,61.57,62.78,61.346,61.98,127300
2023-06-29,62.01,63.05,60.23,62.85,102800
2023-06-30,63.45,64.19,62.38,62.89,93900
2023-07-03,62.61,63.34,61.455,62.17,49600
2023-07-05,61.68,62.11,60.6,61.5,105000
2023-07-06,61.1,61.383,59.45,59.92,150800
2023-07-07,59.91,61.47,59.88,59.92,108800
2023-07-10,59.65,60.935,59.25,60.0,122600
2023-07-11,60.07,63.12,60.0,62.77,190300
2023-07-12,63.66,63.66,61.27,62.46,246100
2023-07-13,62.53,63.67,62.055,63.41,84300
2023-07-14,63.41,63.97,62.83,63.42,67200
2023-07-17,63.3,64.62,62.85,64.22,87400
2023-07-18,64.11,66.45,63.99,65.98,136300
2023-07-19,67.26,68.25,66.27,66.78,122000
2023-07-20,66.5,67.57,65.56,67.53,114100
2023-07-21,68.28,68.99,67.105,67.88,189100
2023-07-24,67.85,68.21,65.64,67.62,134500
2023-07-25,67.5,68.005,66.32,66.43,136900
2023-07-26,66.3,69.175,66.3,68.9,210900
2023-07-27,71.56,76.36,68.6,69.42,281400
2023-07-28,69.88,70.61,67.62,68.0,223300
2023-07-31,67.92,67.92,66.298,66.87,187200
2023-08-01,66.53,66.53,65.02,66.0,219700
2023-08-02,65.2,65.7,63.555,64.17,143000
2023-08-03,63.88,64.7,63.39,63.96,93600
2023-08-04,65.1,67.93,64.75,66.48,213600
2023-08-07,66.45,66.958,64.88,66.46,94300
2023-08-08,65.98,66.1,64.85,65.35,96000
2023-08-09,65.2,65.885,63.645,64.57,104900
2023-08-10,64.99,65.73,64.19,64.26,106400
2023-08-11,64.2,64.68,63.33,63.84,127000
2023-08-14,63.39,64.08,62.37,62.81,101500
2023-08-15,62.1,63.53,61.71,62.84,86300
2023-08-16,62.84,63.505,62.3,62.69,102000
2023-08-17,62.72,62.75,61.1,61.26,130300
2023-08-18,60.78,61.56,59.96,60.5,105400
2023-08-21,60.6,61.005,58.53,59.57,134100
2023-08-22,59.83,60.045,58.79,59.74,175600
2023-08-23,59.98,60.507,59.62,59.98,120200
2023-08-24,59.72,60.0,58.38,58.46,105000
2023-08-25,58.57,60.67,58.57,59.69,82200
2023-08-28,59.79,60.105,59.15,59.58,73900
2023-08-29,68.61,70.705,67.775,68.61,2315800
2023-08-30,69.1,70.36,67.59,69.58,906800
2023-08-31,70.0,70.98,69.26,69.86,4984800
2023-09-01,69.75,71.76,69.285,70.0,818500
2023-09-05,69.35,70.24,68.99,69.87,350600
2023-09-06,69.46,71.35,69.365,70.95,242800
2023-09-07,70.65,72.795,68.82,72.63,239300
2023-09-08,72.5,72.584,71.5,71.98,370400
2023-09-11,72.47,73.85,72.035,72.94,287100
2023-09-12,72.61,72.835,71.5,71.96,237200
2023-09-13,71.67,72.01,70.18,70.85,398200
2023-09-14,71.0,71.2,69.83,70.3,339500
2023-09-15,70.5,72.52,69.845,72.3,592200
2023-09-18,71.91,72.88,71.59,72.04,270200
2023-09-19,72.0,74.98,69.76,74.68,381300
2023-09-20,76.31,79.4,75.74,78.47,549200
2023-09-21,77.78,78.7,76.26,77.16,324900
2023-09-22,77.44,78.2,76.366,76.42,305200
2023-09-25,75.76,76.08,73.88,75.9,295600
2023-09-26,75.65,76.43,75.045,75.13,194200
2023-09-27,75.24,76.94,74.58,76.52,299700
2023-09-28,76.76,77.71,76.07,76.16,310500
2023-09-29,76.31,76.84,74.21,74.53,288200
2023-10-02,74.27,74.54,72.38,73.57,223600
2023-10-03,73.61,74.445,71.97,71.99,236300
2023-10-04,72.27,72.64,71.42,71.83,256000
2023-10-05,71.63,71.94,70.38,70.44,316000
2023-10-06,70.14,70.31,69.25,70.0,420600
2023-10-09,68.8,71.82,68.72,71.5,174900
2023-10-10,71.63,73.73,71.63,72.38,301300
2023-10-11,73.26,73.38,71.97,73.02,204200
2023-10-12,73.0,73.19,69.43,69.5,197500
2023-10-13,69.74,70.11,68.36,69.35,167800
2023-10-16,69.74,71.87,69.55,70.67,218000
2023-10-17,71.73,75.68,70.87,73.25,396800
2023-10-18,73.15,73.98,71.925,72.62,306200
2023-10-19,72.2,74.35,71.04,72.58,479300
2023-10-20,72.49,72.49,69.8,71.18,368000
2023-10-23,70.46,71.125,68.505,68.66,276000
2023-10-24,69.69,72.06,69.56,70.5,290500
2023-10-25,70.28,70.53,66.87,67.56,313000
2023-10-26,74.32,74.32,66.23,66.44,654500
2023-10-27,66.43,66.955,65.46,65.5,399600
2023-10-30,65.92,66.425,64.05,65.01,204000
2023-10-31,64.97,65.548,64.29,64.87,180800
2023-11-01,64.85,65.25,63.51,65.09,294600
2023-11-02,65.72,70.72,65.28,70.68,293800
2023-11-03,71.71,74.49,71.105,71.12,494100
2023-11-06,71.89,72.33,69.88,71.16,341500
2023-11-07,70.9,71.809,69.75,71.62,212100
2023-11-08,72.04,72.125,70.19,71.5,141100
2023-11-09,71.93,72.86,71.25,71.56,106400
2023-11-10,71.2,72.13,70.355,72.05,227700
2023-11-13,71.96,74.95,71.6,74.79,185200
2023-11-14,76.72,76.72,72.251,73.95,387500
2023-11-15,73.85,75.11,71.99,72.21,329400
2023-11-16,71.64,73.32,70.67,70.82,245900
2023-11-17,70.9,73.02,70.41,73.01,292900
2023-11-20,73.28,74.098,72.52,73.16,228700
2023-11-21,72.79,73.201,71.02,71.34,242000
2023-11-22,71.67,72.565,71.0,72.25,196300
2023-11-24,71.85,74.1,71.75,73.55,86200
2023-11-27,73.9,74.99,72.747,74.68,226100
2023-11-28,74.3,75.02,71.58,71.81,238200
2023-11-29,71.81,74.0,71.765,73.56,209000
2023-11-30,73.75,74.25,72.48,73.28,161900
2023-12-01,73.55,73.95,71.36,72.33,172600
2023-12-04,71.48,75.37,71.3,74.56,247900
2023-12-05,73.99,75.5,73.609,73.95,195700
2023-12-06,74.48,75.51,71.805,72.1,118900
2023-12-07,72.59,72.7,70.88,71.89,118300
2023-12-08,71.17,72.42,69.98,71.2,300200
2023-12-11,71.64,73.06,70.8,71.74,118200
2023-12-12,72.3,74.154,71.48,73.91,218300
2023-12-13,73.76,75.62,72.87,74.92,153700
2023-12-14,75.61,76.005,72.34,73.38,242700
2023-12-15,73.6,74.36,71.73,72.99,592400
2023-12-18,73.33,75.01,72.44,73.8,151200
2023-12-19,74.34,77.925,74.34,77.28,245000
2023-12-20,76.61,77.38,75.355,76.18,263700
2023-12-21,76.91,78.4,76.745,78.13,260700
2023-12-22,78.73,79.16,77.293,78.5,166100
2023-12-26,79.14,79.8,78.485,78.6,177200
2023-12-27,78.52,79.14,77.77,77.78,201700
2023-12-28,77.77,78.7,76.95,77.12,215200
2023-12-29,76.9,77.075,75.28,75.8,149500
2024-01-02,75.86,76.18,72.82,73.61,179800
2024-01-03,73.06,73.165,69.85,69.89,207400
2024-01-04,70.31,72.095,70.17,71.02,221000
2024-01-05,70.33,71.153,69.34,69.63,165700
2024-01-08,69.72,70.0,68.75,69.04,186800
2024-01-09,68.17,69.86,67.09,68.65,193800
2024-01-10,69.26,73.1,69.23,73.05,284900
2024-01-11,72.99,73.75,71.69,72.78,249400
2024-01-12,73.55,74.46,72.535,72.85,119600
2024-01-16,72.16,73.5,71.645,73.43,130600
2024-01-17,72.66,74.8,72.49,74.7,136400
2024-01-18,75.39,75.91,73.015,74.575,145300
2024-01-19,75.12,76.08,73.79,75.47,170800
2024-01-22,76.27,77.528,75.85,77.44,211200
2024-01-23,78.37,78.37,76.29,77.64,112800
2024-01-24,78.6,79.485,76.545,78.36,254900
2024-01-25,78.8,79.27,77.51,78.6,210300
2024-01-26,79.26,79.74,77.635,78.15,121400
2024-01-29,77.9,79.61,77.9,79.34,139400
2024-01-30,79.35,79.43,78.03,79.34,139300
2024-01-31,79.27,80.51,77.06,77.2,286300
2024-02-01,77.2,78.95,75.88,78.45,198600
2024-02-02,77.46,79.15,77.15,77.77,96900
2024-02-05,79.11,80.27,78.0,78.13,370000
2024-02-06,78.09,79.54,77.63,79.1,131100
2024-02-07,79.76,79.76,78.22,78.77,168200
2024-02-08,78.74,80.69,78.07,80.11,160700
2024-02-09,80.36,83.225,79.52,82.94,212800
2024-02-12,83.13,85.62,83.03,85.09,211100
2024-02-13,84.05,85.75,82.5,84.0,222900
