Date,Open,High,Low,Close,Volume
2023-02-13,42.02,44.49,41.83,43.24,2518500
2023-02-14,42.5,47.37,41.99,47.26,2653400
2023-02-15,47.25,49.53,46.295,49.23,1873600
2023-02-16,47.66,49.58,46.68,47.25,2031800
2023-02-17,46.28,46.45,44.97,45.45,1452000
2023-02-21,44.6,45.17,43.74,44.19,1308200
2023-02-22,44.27,44.65,42.778,44.32,1319700
2023-02-23,45.18,45.18,43.59,44.77,1081300
2023-02-24,43.76,44.405,42.535,43.36,838600
2023-02-27,44.38,44.503,43.39,43.68,697500
2023-02-28,43.91,44.6,43.58,44.04,1191800
2023-03-01,44.12,45.185,42.74,42.82,1397300
2023-03-02,42.43,52.99,41.84,49.98,9087600
2023-03-03,49.81,52.66,49.52,52.26,3009300
2023-03-06,53.44,53.44,50.2,51.19,1674500
2023-03-07,51.19,52.12,49.8,49.84,1430400
2023-03-08,49.74,50.64,49.265,50.03,1156400
2023-03-09,50.5,51.01,46.97,47.37,1585100
2023-03-10,46.78,46.855,42.62,44.355,2485600
2023-03-13,42.82,45.55,41.6,44.6,6473800
2023-03-14,30.98,34.31,30.92,33.96,20271200
2023-03-15,33.65,34.19,31.79,33.45,6141700
2023-03-16,34.31,36.34,34.13,35.22,5654300
2023-03-17,35.2,37.59,34.35,36.92,4613200
2023-03-20,36.565,37.76,35.54,36.25,2985700
2023-03-21,36.57,39.053,36.52,37.98,2208800
2023-03-22,37.86,37.86,35.7,36.17,3293400
2023-03-23,37.0,38.02,35.65,36.93,3516400
2023-03-24,36.82,37.1,33.49,33.74,4367300
2023-03-27,34.14,34.55,33.17,33.94,2583400
2023-03-28,33.5,34.065,32.62,33.9,2682700
2023-03-29,33.78,34.13,32.77,33.58,2168100
2023-03-30,33.96,34.37,32.91,33.01,2214200
2023-03-31,32.88,35.29,32.46,34.29,3356800
2023-04-03,33.86,34.38,33.223,34.34,2444800
2023-04-04,34.49,35.2,33.75,34.23,2540800
2023-04-05,33.98,34.15,32.51,33.34,2710900
2023-04-06,33.07,33.63,32.67,33.4,1698000
2023-04-10,32.95,33.69,32.32,33.58,2051700
2023-04-11,33.22,33.63,32.75,33.09,2136800
2023-04-12,33.6,34.77,33.485,33.87,1763600
2023-04-13,34.26,34.46,33.07,33.13,1732400
2023-04-14,32.95,32.968,31.81,32.34,3414500
2023-04-17,32.46,33.56,32.28,32.77,1671100
2023-04-18,32.9,33.29,32.13,32.92,1529200
2023-04-19,32.54,33.13,32.185,32.98,1555700
2023-04-20,32.45,32.92,32.04,32.53,1474300
2023-04-21,32.66,33.75,32.37,32.93,1757400
2023-04-24,32.82,33.0,32.16,32.54,1364100
2023-04-25,32.37,32.68,30.54,30.64,2243700
2023-04-26,31.51,32.5,30.71,30.85,2668100
2023-04-27,31.15,31.52,30.42,31.28,2025900
2023-04-28,30.93,31.16,30.02,30.36,2280700
2023-05-01,30.3,30.38,29.37,29.93,1905100
2023-05-02,29.91,30.35,29.49,29.56,1796000
2023-05-03,29.38,29.55,27.81,28.22,4626900
2023-05-04,28.26,28.36,26.24,26.77,7448500
2023-05-05,27.05,28.425,26.83,27.71,2700000
2023-05-08,28.64,30.21,28.48,30.21,2481300
2023-05-09,29.85,32.31,29.809,31.08,2873600
2023-05-10,31.6,32.0,29.775,30.3,2504100
2023-05-11,29.99,30.25,28.615,29.02,2958900
2023-05-12,29.07,29.265,28.39,28.74,1440300
2023-05-15,29.0,30.8,28.88,30.72,1286700
2023-05-16,30.43,30.825,29.9,30.33,1398000
2023-05-17,30.4,31.99,30.1,31.81,1373500
2023-05-18,31.75,32.64,31.561,32.55,1253800
2023-05-19,32.09,33.55,31.78,32.67,2454100
2023-05-22,32.85,35.505,32.67,34.62,3016300
2023-05-23,34.56,35.54,33.95,34.05,1362200
2023-05-24,33.76,34.46,33.5,34.17,1211100
2023-05-25,34.62,35.22,32.655,32.99,2006000
2023-05-26,33.21,35.33,33.06,34.65,2288000
2023-05-30,35.94,36.38,34.62,35.75,2173100
2023-05-31,35.25,37.4,35.2,36.96,3177600
2023-06-01,36.09,36.746,35.77,35.94,2274600
2023-06-02,36.5,36.71,33.55,33.73,4363400
2023-06-05,34.0,35.68,33.09,35.4,8063200
2023-06-06,45.44,47.1,42.06,46.44,20073100
2023-06-07,46.76,49.78,46.05,47.08,6777000
2023-06-08,46.43,48.2,45.3,45.86,4344600
2023-06-09,46.61,48.73,46.21,47.18,3197600
2023-06-12,47.51,49.18,46.94,49.11,2295000
2023-06-13,49.5,50.95,48.55,50.68,2785700
2023-06-14,50.225,52.38,49.44,50.81,4349100
2023-06-15,49.55,53.65,49.5,53.44,3496200
2023-06-16,53.6,53.79,50.58,51.24,3012400
2023-06-20,50.182,50.75,48.37,49.56,3046700
2023-06-21,48.44,48.6,46.26,46.78,4598900
