Date,Open,High,Low,Close,Volume
2023-01-13,52.24,54.07,51.44,53.26,1571100
2023-01-17,52.73,53.54,52.11,52.54,962000
2023-01-18,53.22,54.6,52.04,52.39,1069900
2023-01-19,51.85,52.43,51.07,52.2,694400
2023-01-20,52.61,53.38,52.245,53.26,738500
2023-01-23,53.81,54.77,53.33,54.5,921000
2023-01-24,54.78,54.98,52.08,52.38,843800
2023-01-25,51.26,51.92,50.35,51.81,1177500
2023-01-26,52.45,52.677,50.34,51.04,980800
2023-01-27,51.0,52.0,50.01,51.02,851300
2023-01-30,50.21,50.82,49.72,50.0,709100
2023-01-31,50.01,52.36,49.86,52.33,762200
2023-02-01,52.6,55.34,52.59,54.73,1096200
2023-02-02,53.93,55.96,53.73,55.47,1445500
2023-02-03,53.88,56.11,53.51,54.83,1186600
2023-02-06,53.94,54.55,52.71,53.93,696500
2023-02-07,53.93,55.24,53.12,55.0,611500
2023-02-08,55.28,55.35,54.36,54.54,557300
2023-02-09,54.87,55.49,52.96,53.2,903300
2023-02-10,52.35,53.09,51.321,52.55,913600
2023-02-13,52.25,53.58,51.47,53.36,785000
2023-02-14,52.66,53.67,51.47,53.19,1078600
2023-02-15,52.94,53.18,49.5,50.53,1628000
2023-02-16,49.95,50.36,48.77,50.11,1054500
2023-02-17,49.83,49.98,49.0,49.84,793400
2023-02-21,49.09,50.05,48.41,49.01,1040900
2023-02-22,49.43,49.97,49.05,49.25,909200
2023-02-23,49.79,50.66,48.94,49.94,515500
2023-02-24,48.38,49.55,48.32,48.67,583500
2023-02-27,49.53,49.7,48.412,48.45,456700
2023-02-28,48.26,49.76,48.22,49.57,586700
2023-03-01,49.79,50.59,49.34,50.41,762700
2023-03-02,50.02,51.07,49.69,50.99,413500
2023-03-03,51.25,52.365,50.91,52.0,855400
2023-03-06,51.85,52.06,50.61,50.88,674300
2023-03-07,50.77,51.17,49.99,50.16,334300
2023-03-08,49.95,50.845,49.19,50.77,379600
2023-03-09,50.87,51.23,48.35,48.4,696200
2023-03-10,48.34,48.34,45.7,46.35,1132900
2023-03-13,45.37,45.86,44.18,45.0,1079500
2023-03-14,46.78,46.89,45.07,45.61,1053000
2023-03-15,44.05,45.275,43.74,45.13,986100
2023-03-16,44.66,46.58,44.34,46.08,804000
2023-03-17,46.01,46.39,43.57,43.97,1498300
2023-03-20,44.01,45.29,44.01,44.78,903100
2023-03-21,45.58,46.77,45.58,46.53,846400
2023-03-22,46.38,47.7,45.98,46.07,912100
2023-03-23,46.37,47.1,45.1,45.33,633200
2023-03-24,44.69,46.17,44.17,45.93,634500
2023-03-27,46.55,47.655,46.13,47.27,707600
2023-03-28,47.44,48.275,47.185,47.6,451300
2023-03-29,48.28,49.5,47.88,49.15,601500
2023-03-30,49.84,50.2,49.345,49.55,323800
2023-03-31,49.86,50.52,49.68,50.46,498700
2023-04-03,50.14,50.43,49.328,49.96,491200
2023-04-04,50.28,50.34,48.79,49.36,576500
2023-04-05,49.01,49.24,47.98,48.68,978700
2023-04-06,48.65,48.84,47.9,48.29,322300
