Date,Open,High,Low,Close,Volume
2023-01-13,36.68,36.68,33.9,34.9,537700
2023-01-17,34.79,35.3,34.53,34.68,352400
2023-01-18,34.99,35.5,34.24,34.43,320400
2023-01-19,33.84,34.16,32.38,32.61,570000
2023-01-20,32.82,33.07,32.18,33.07,466000
2023-01-23,33.19,34.02,32.88,33.83,372200
2023-01-24,33.48,34.41,33.35,33.98,339500
2023-01-25,33.39,34.19,32.68,34.16,435400
2023-01-26,34.52,34.78,33.61,34.35,357200
2023-01-27,33.93,36.36,33.93,35.75,458600
2023-01-30,35.25,36.3,34.96,35.32,651800
2023-01-31,35.62,37.27,35.5,36.91,810600
2023-02-01,36.64,38.17,36.0,37.72,573200
2023-02-02,38.28,39.67,37.89,38.33,881400
2023-02-03,37.5,38.45,37.4,38.37,705300
2023-02-06,37.98,38.28,36.26,36.73,523200
2023-02-07,36.4,36.86,35.73,36.75,359000
2023-02-08,36.82,36.82,35.5,35.61,410300
2023-02-09,36.04,36.44,34.39,34.96,482800
2023-02-10,34.73,35.15,34.24,34.79,404600
2023-02-13,34.64,35.89,34.31,35.6,508300
2023-02-14,35.24,35.93,34.58,35.12,390800
2023-02-15,34.56,36.21,34.5,36.08,334100
2023-02-16,35.29,35.96,34.63,34.96,437500
2023-02-17,36.44,36.44,33.35,34.2,778100
2023-02-21,33.33,33.85,32.06,32.09,835600
2023-02-22,32.02,32.48,30.74,31.01,702900
2023-02-23,31.5,32.67,30.84,32.54,1021600
2023-02-24,31.89,32.14,31.46,31.7,478500
2023-02-27,31.9,32.03,31.63,31.8,579100
2023-02-28,31.54,31.76,31.09,31.41,797900
2023-03-01,31.5,31.63,31.03,31.23,529300
2023-03-02,30.84,31.04,30.06,31.03,674100
2023-03-03,31.4,31.63,30.95,31.18,605600
2023-03-06,31.39,31.47,30.81,31.04,692800
2023-03-07,31.28,31.34,30.42,30.6,451900
2023-03-08,30.67,30.67,29.19,30.0,882600
2023-03-09,30.25,30.88,29.19,29.23,414400
2023-03-10,29.04,29.24,27.5,27.65,1022300
2023-03-13,27.14,28.76,26.18,28.0,1646900
2023-03-14,28.93,29.12,26.9,27.38,1147400
2023-03-15,26.01,26.4,25.02,25.91,1910400
2023-03-16,25.5,25.59,23.75,23.91,1720600
2023-03-17,24.57,25.25,23.5,23.88,2557700
2023-03-20,23.99,24.65,23.84,23.94,1054800
2023-03-21,24.62,26.15,24.51,25.82,1195300
2023-03-22,25.7,26.72,25.43,25.72,1517000
2023-03-23,25.96,26.91,25.2,25.36,1225400
2023-03-24,25.01,26.04,24.61,26.0,649300
2023-03-27,26.5,26.69,25.84,26.29,561900
2023-03-28,26.22,26.71,25.99,26.55,683600
2023-03-29,26.99,27.81,26.69,27.71,686300
2023-03-30,28.36,29.01,28.19,28.26,678400
2023-03-31,28.12,28.72,28.1,28.6,715800
2023-04-03,28.69,29.09,27.58,27.86,536600
2023-04-04,28.21,28.63,27.61,28.2,368900
2023-04-05,27.87,28.14,27.3,27.57,397600
2023-04-06,27.7,27.86,27.35,27.64,311400
2023-04-10,27.47,28.24,27.26,28.11,437900
2023-04-11,28.31,28.55,27.93,28.35,486400
2023-04-12,28.92,28.93,27.87,27.96,380300
2023-04-13,28.05,28.66,27.98,28.55,302800
2023-04-14,28.57,28.7,27.31,27.88,521300
2023-04-17,27.83,28.65,27.76,28.54,439300
2023-04-18,28.76,28.82,27.98,28.5,410800
2023-04-19,28.03,28.95,28.01,28.76,605300
2023-04-20,28.29,28.81,27.87,28.27,537900
2023-04-21,28.43,28.68,27.97,28.48,416600
2023-04-24,28.47,29.08,28.25,29.03,574300
2023-04-25,28.79,29.07,27.99,28.02,613900
2023-04-26,27.6,27.9,26.18,26.41,866100
2023-04-27,26.62,28.01,26.51,27.98,558600
2023-04-28,27.9,28.59,27.77,28.38,391400
2023-05-01,28.39,28.52,27.28,27.62,549000
2023-05-02,27.28,27.53,24.98,24.99,999600
2023-05-03,25.0,27.1,24.95,25.93,678900
2023-05-04,25.59,25.99,24.66,24.91,882300
2023-05-05,26.09,26.8,25.16,26.18,775000
2023-05-08,26.4,26.79,25.4,25.52,471400
2023-05-09,25.13,25.14,24.66,24.83,442600
2023-05-10,25.23,25.97,25.05,25.92,533000
2023-05-11,25.53,26.02,25.48,25.72,474100
2023-05-12,25.93,26.37,25.24,25.45,451700
2023-05-15,25.47,26.29,25.32,26.1,415900
2023-05-16,25.84,26.18,24.67,24.69,426900
2023-05-17,24.85,25.88,24.79,25.82,524300
2023-05-18,25.82,25.92,25.36,25.79,482300
2023-05-19,26.11,26.44,25.31,25.61,628400
2023-05-22,25.95,26.83,25.85,26.78,449300
2023-05-23,26.79,27.84,26.6,26.68,571400
2023-05-24,24.64,25.1,23.67,24.06,3327500
2023-05-25,23.45,24.29,22.53,22.91,7683300
2023-05-26,23.0,23.28,22.43,23.0,3002000
2023-05-30,23.28,23.96,22.91,23.59,3989600
2023-05-31,23.43,23.71,22.77,23.53,2257700
2023-06-01,23.53,24.62,23.1,24.38,1764000
2023-06-02,24.81,25.1,24.24,24.87,1036100
2023-06-05,25.0,25.5,24.74,25.07,769400
2023-06-06,24.81,25.29,24.61,25.23,887300
2023-06-07,25.52,26.09,25.05,25.42,1129700
2023-06-08,25.4,25.75,25.21,25.62,800600
2023-06-09,25.69,25.76,24.42,24.45,647400
2023-06-12,24.44,25.5,24.31,25.37,1206100
2023-06-13,25.69,26.97,25.61,26.93,1733000
2023-06-14,27.19,27.86,27.05,27.48,1309300
2023-06-15,27.3,28.55,27.11,28.41,895200
2023-06-16,28.42,28.42,26.57,27.14,2901300
2023-06-20,26.73,26.93,26.16,26.17,850500
2023-06-21,25.68,26.3,25.3,25.6,893500
2023-06-22,25.37,25.6,24.46,24.56,796900
2023-06-23,24.05,24.37,23.6,23.74,1601000
2023-06-26,23.73,24.38,23.54,24.11,824000
2023-06-27,24.27,24.61,23.98,24.42,664500
2023-06-28,24.38,24.67,24.12,24.55,767600
2023-06-29,24.62,25.5,24.52,25.12,744700
2023-06-30,25.55,25.55,24.87,25.0,671200
2023-07-03,24.6,25.14,24.56,24.74,417000
2023-07-05,24.55,24.81,24.24,24.45,531900
2023-07-06,24.0,24.18,23.41,23.97,556700
2023-07-07,24.03,25.0,23.96,24.64,569300
2023-07-10,24.5,25.43,24.5,25.27,669500
2023-07-11,25.37,25.79,25.17,25.64,523400
2023-07-12,26.43,26.76,26.04,26.37,900700
2023-07-13,26.6,26.83,26.41,26.66,644200
2023-07-14,26.6,26.7,25.97,26.2,517300
2023-07-17,26.15,27.73,25.99,27.62,686900
2023-07-18,27.78,28.67,27.72,28.56,978100
2023-07-19,28.82,29.43,28.61,29.31,785000
2023-07-20,29.06,29.13,28.2,28.34,737700
2023-07-21,28.76,28.76,27.87,28.09,534300
2023-07-24,28.34,28.51,27.65,27.68,576800
2023-07-25,27.68,27.98,27.15,27.24,750200
2023-07-26,27.0,27.62,26.78,27.04,625000
2023-07-27,26.89,27.13,26.04,26.31,541900
2023-07-28,26.75,26.94,25.9,26.02,613800
2023-07-31,26.25,26.74,25.86,26.11,779100
2023-08-01,25.91,26.0,24.91,24.94,755400
2023-08-02,24.62,24.67,23.69,23.97,860200
2023-08-03,24.05,24.41,23.64,24.4,893400
2023-08-04,24.26,25.06,23.9,24.45,986800
2023-08-07,24.16,24.16,21.56,21.71,4095800
2023-08-08,21.43,21.81,21.31,21.78,3959300
2023-08-09,21.87,22.71,21.73,22.46,1925600
2023-08-10,22.75,23.19,22.41,23.12,2424300
2023-08-11,23.0,23.75,22.93,23.64,1312700
2023-08-14,23.49,23.61,22.64,23.12,923400
2023-08-15,24.65,24.9,23.24,23.56,1674300
2023-08-16,23.32,23.8,23.15,23.2,971100
2023-08-17,23.2,23.24,19.85,20.17,3362700
2023-08-18,20.02,21.28,19.63,21.03,1745900
2023-08-21,21.09,21.33,19.46,19.48,2126700
2023-08-22,20.51,21.03,20.0,20.59,2110700
2023-08-23,20.49,21.47,20.41,21.07,1086900
2023-08-24,20.69,21.0,20.28,20.39,1236400
2023-08-25,20.41,20.6,19.9,20.32,1009300
2023-08-28,20.51,20.8,20.26,20.37,879100
2023-08-29,20.44,21.65,20.39,21.64,1255200
2023-08-30,21.76,22.21,21.63,22.1,978400
2023-08-31,22.21,22.82,22.17,22.37,1439800
2023-09-01,22.74,23.34,22.72,23.07,1075800
2023-09-05,24.8,25.47,24.51,25.01,5139400
2023-09-06,24.75,25.05,23.95,24.11,2530700
2023-09-07,23.67,24.48,23.56,24.18,3393000
2023-09-08,24.0,24.36,23.6,24.32,1992500
2023-09-11,24.49,24.49,23.72,24.21,1971000
2023-09-12,23.79,24.65,23.29,24.32,1833000
2023-09-13,24.55,24.72,24.23,24.29,1823200
2023-09-14,24.82,25.02,24.35,24.54,2307200
2023-09-15,24.48,25.43,24.32,24.92,21762200
2023-09-18,24.43,25.38,24.09,24.92,3450300
2023-09-19,25.0,25.2,24.28,24.36,1793800
2023-09-20,24.37,24.78,23.93,23.95,1176700
2023-09-21,23.47,23.64,23.05,23.48,1944600
2023-09-22,23.6,24.19,23.34,23.71,1439500
2023-09-25,23.36,23.93,22.87,23.47,1047400
2023-09-26,23.29,23.64,22.15,22.32,2213700
2023-09-27,22.48,23.02,21.72,21.81,1420700
2023-09-28,21.86,21.96,20.85,21.0,2233400
2023-09-29,21.43,21.94,20.98,21.2,2019300
2023-10-02,21.02,21.17,19.52,19.68,2859100
2023-10-03,18.83,19.1,16.19,16.5,5017700
2023-10-04,16.52,16.84,15.37,15.42,4070700
2023-10-05,15.12,15.32,13.77,14.36,5501200
2023-10-06,14.08,14.7,13.22,14.42,6100500
2023-10-09,14.14,15.68,14.11,15.46,4150100
2023-10-10,15.6,17.07,15.32,16.98,3535700
2023-10-11,17.2,17.88,16.36,16.81,2887700
2023-10-12,16.95,16.97,15.71,16.0,1789200
2023-10-13,16.29,17.04,16.1,16.37,2712900
2023-10-16,16.52,17.56,16.13,17.35,1604200
2023-10-17,17.71,18.43,17.26,18.05,2812600
2023-10-18,17.87,18.37,17.65,18.11,1467700
2023-10-19,17.98,18.18,17.43,17.61,1315800
2023-10-20,17.52,18.02,17.03,17.39,1795900
2023-10-23,17.17,17.71,16.73,17.19,1391200
2023-10-24,17.52,18.56,17.52,18.33,1689400
2023-10-25,18.04,18.22,16.89,17.08,2064000
2023-10-26,17.1,17.64,16.88,17.51,1512000
2023-10-27,17.48,17.5,16.6,16.77,1145400
2023-10-30,17.06,17.29,16.69,16.94,883000
