Date,Open,High,Low,Close,Volume
2023-01-13,37.54,38.16,37.2,37.92,91900
2023-01-17,38.19,38.57,37.97,38.06,198000
2023-01-18,38.06,38.22,36.48,36.68,153200
2023-01-19,36.46,36.91,36.24,36.67,144400
2023-01-20,36.87,36.92,36.25,36.92,158600
2023-01-23,37.02,37.02,35.93,36.0,213400
2023-01-24,36.12,36.47,35.66,36.05,214800
2023-01-25,32.71,33.9,32.21,33.65,580300
2023-01-26,33.84,34.54,33.72,34.06,344100
2023-01-27,34.13,34.31,33.71,33.88,295300
2023-01-30,33.89,35.23,33.89,35.23,378100
2023-01-31,35.35,35.75,35.07,35.61,324300
2023-02-01,35.25,35.77,35.04,35.36,227500
2023-02-02,35.26,35.82,34.66,35.81,312100
2023-02-03,35.82,36.46,35.55,36.3,251600
2023-02-06,36.35,36.54,35.89,35.99,173400
2023-02-07,35.62,36.5,35.58,36.23,219700
2023-02-08,34.07,36.19,33.34,35.53,334800
2023-02-09,35.49,36.25,35.46,36.13,338600
2023-02-10,36.13,36.53,35.79,36.16,400500
2023-02-13,35.98,36.68,35.98,36.45,213000
2023-02-14,36.42,37.14,36.37,37.0,346400
2023-02-15,36.76,37.82,36.6,37.63,259000
2023-02-16,37.18,38.28,37.18,37.99,216000
2023-02-17,38.24,38.27,37.81,38.11,279500
2023-02-21,37.8,37.95,36.75,36.77,367300
2023-02-22,36.72,37.25,36.66,36.67,244900
2023-02-23,36.81,37.07,36.32,36.53,196600
2023-02-24,36.22,37.04,36.17,37.03,179600
2023-02-27,37.3,37.38,36.52,36.67,126900
2023-02-28,36.67,37.16,36.45,36.96,184500
2023-03-01,36.71,36.85,36.21,36.54,139400
2023-03-02,36.45,36.45,36.17,36.37,121400
2023-03-03,36.32,36.77,36.0,36.72,158900
2023-03-06,36.95,37.02,36.42,36.68,297900
2023-03-07,36.56,36.6,36.19,36.55,200000
2023-03-08,36.66,36.66,35.56,35.98,208300
2023-03-09,35.93,35.96,35.53,35.65,176200
2023-03-10,35.29,35.42,34.72,35.04,237200
2023-03-13,34.24,34.41,33.56,33.92,372400
2023-03-14,34.78,35.04,34.19,34.4,247400
2023-03-15,33.21,33.76,32.68,33.73,424000
2023-03-16,33.44,34.69,32.99,34.13,312600
2023-03-17,33.82,33.89,32.31,32.63,922400
2023-03-20,33.03,34.01,33.03,33.76,271300
2023-03-21,34.3,34.82,33.98,34.04,206700
2023-03-22,33.98,34.27,33.1,33.12,180400
2023-03-23,33.09,33.21,32.31,32.35,190700
2023-03-24,32.12,32.9,32.02,32.85,160400
2023-03-27,33.38,33.38,32.97,33.13,162300
2023-03-28,33.02,33.4,32.85,33.02,124400
2023-03-29,33.24,33.3,32.86,33.27,167400
2023-03-30,33.5,33.61,33.1,33.24,157100
2023-03-31,33.3,33.54,33.15,33.48,189300
2023-04-03,33.48,34.17,33.48,33.89,295700
2023-04-04,34.15,34.17,32.74,32.99,281200
2023-04-05,32.6,32.99,32.6,32.8,318100
2023-04-06,32.94,33.65,32.94,33.32,471000
2023-04-10,33.22,33.54,33.12,33.53,208200
2023-04-11,33.63,33.63,33.13,33.18,146700
2023-04-12,33.28,33.65,33.15,33.36,187700
2023-04-13,33.12,33.53,32.77,33.51,175700
2023-04-14,33.68,33.84,32.41,32.66,168700
2023-04-17,32.58,33.28,32.25,33.28,209800
2023-04-18,33.22,33.34,32.78,32.95,148300
2023-04-19,33.05,33.38,32.77,33.29,134900
2023-04-20,33.26,33.44,32.92,33.27,168200
2023-04-21,33.23,33.23,31.25,31.82,306100
2023-04-24,31.76,32.33,31.7,31.88,237300
2023-04-25,31.67,32.08,31.57,31.65,144900
2023-04-26,31.39,31.75,30.65,30.77,223700
2023-04-27,30.82,31.22,30.67,31.06,224700
2023-04-28,31.18,31.5,31.05,31.28,230500
2023-05-01,31.35,31.82,31.21,31.59,276600
2023-05-02,31.5,31.59,30.61,30.94,243000
2023-05-03,30.84,32.8,30.84,32.45,262600
2023-05-04,32.31,32.55,31.6,32.39,200100
2023-05-05,32.93,33.24,32.64,33.15,183600
2023-05-08,33.34,33.51,32.82,32.96,195600
