Date,Open,High,Low,Close,Volume
2023-01-13,50.23,50.72,48.97,50.64,680600
2023-01-17,51.02,51.25,49.58,49.82,972200
2023-01-18,50.16,50.72,47.47,47.57,1313500
2023-01-19,47.44,47.84,46.33,46.9,1631500
2023-01-20,47.49,48.13,46.13,46.92,1353900
2023-01-23,47.14,47.68,46.77,47.14,734400
2023-01-24,47.17,48.29,46.09,48.2,1270400
2023-01-25,48.15,49.96,47.25,49.33,1258600
2023-01-26,50.01,50.35,47.3,49.51,1284900
2023-01-27,49.5,49.9,48.57,49.19,940200
2023-01-30,48.17,49.37,47.65,48.61,1091300
2023-01-31,49.0,49.78,46.35,48.44,2327200
2023-02-01,48.06,48.44,44.91,46.72,1921200
2023-02-02,46.84,47.15,45.17,46.01,1863100
2023-02-03,46.33,47.53,45.13,45.35,1546100
2023-02-06,45.19,45.7,44.64,45.28,1453400
2023-02-07,45.79,46.1,44.98,45.69,761500
2023-02-08,45.46,46.72,45.03,46.48,1158300
2023-02-09,46.21,46.22,42.73,43.06,2519700
2023-02-10,43.47,45.75,43.37,45.73,1651900
2023-02-13,44.85,46.28,43.95,45.97,1208800
2023-02-14,45.47,46.84,44.99,46.14,971800
2023-02-15,45.4,45.61,44.08,44.44,1356000
2023-02-16,43.83,45.1,43.73,44.35,928400
2023-02-17,43.8,43.8,41.77,42.41,1158000
2023-02-21,41.93,42.7,41.51,41.73,1129100
2023-02-22,41.12,41.92,40.17,40.74,1941900
2023-02-23,41.17,41.81,39.64,40.67,1771100
2023-02-24,40.0,41.27,39.43,41.15,2215600
2023-02-27,41.46,42.04,40.9,41.83,1442600
2023-02-28,42.41,42.43,41.55,42.08,1865500
2023-03-01,42.27,43.04,42.15,42.88,1603600
2023-03-02,42.41,45.67,42.26,44.97,1749900
2023-03-03,44.18,45.33,43.72,44.83,1437600
2023-03-06,44.46,45.11,44.17,44.72,1053400
2023-03-07,44.56,44.88,43.54,43.69,883000
2023-03-08,43.41,44.22,42.17,42.74,994200
2023-03-09,43.06,43.4,40.18,40.23,1798600
2023-03-10,40.75,41.14,39.23,39.37,1475000
2023-03-13,37.8,38.49,36.8,37.22,1986000
2023-03-14,37.68,38.53,36.84,37.54,1251200
2023-03-15,35.59,36.33,34.63,35.5,2668900
2023-03-16,34.66,35.63,33.54,35.0,2341700
2023-03-17,35.0,35.05,33.63,34.17,3641900
2023-03-20,34.47,35.84,34.37,35.37,1560500
2023-03-21,36.51,36.85,36.05,36.4,1862800
2023-03-22,36.5,36.5,34.66,34.68,1357400
2023-03-23,34.67,35.21,33.26,33.65,1429400
2023-03-24,32.93,33.98,32.69,33.79,1310300
2023-03-27,34.53,35.69,33.73,35.32,1068700
2023-03-28,35.15,37.14,35.15,36.74,1630500
2023-03-29,37.36,37.71,36.74,36.78,1394900
2023-03-30,37.38,37.4,35.25,35.51,1594500
2023-03-31,35.85,35.93,35.34,35.75,1872300
2023-04-03,37.99,39.21,37.95,38.43,2302200
2023-04-04,38.51,38.51,36.87,37.53,1454900
2023-04-05,37.24,37.96,36.78,37.83,1190800
2023-04-06,38.0,38.13,37.13,37.18,1132700
2023-04-10,37.1,37.99,36.98,37.23,1302400
2023-04-11,37.67,38.12,37.21,37.47,984000
2023-04-12,37.96,38.11,37.13,37.24,999600
2023-04-13,37.17,37.76,37.08,37.24,1114700
2023-04-14,37.51,37.65,36.61,37.43,1212600
2023-04-17,37.54,37.66,36.45,36.86,710700
2023-04-18,36.14,36.79,35.83,36.77,1603500
2023-04-19,36.2,37.19,35.96,37.03,1743800
2023-04-20,36.47,36.85,35.99,36.38,1291700
2023-04-21,36.58,36.58,35.42,35.99,3478900
2023-04-24,35.99,37.2,35.73,37.11,1473400
2023-04-25,36.27,36.57,34.58,34.74,1308400
2023-04-26,34.5,35.49,34.3,34.63,1545000
2023-04-27,33.81,34.34,32.19,33.34,2974800
2023-04-28,33.16,34.23,32.78,33.16,1995700
2023-05-01,32.42,33.27,32.33,33.02,1595200
2023-05-02,32.45,32.62,31.18,31.23,2720900
2023-05-03,30.73,31.7,30.65,31.08,1753500
2023-05-04,30.96,31.57,30.45,31.31,1877000
2023-05-05,32.48,32.8,32.03,32.24,1273200
2023-05-08,33.03,33.54,31.58,31.79,1011000
2023-05-09,31.46,32.17,31.16,31.83,1088400
2023-05-10,32.13,32.17,30.75,31.22,1611900
2023-05-11,30.64,31.01,30.41,30.93,1223800
2023-05-12,31.34,31.59,30.73,31.15,1161200
2023-05-15,31.43,32.06,31.0,31.74,1092300
2023-05-16,31.55,31.97,30.72,30.99,1700000
2023-05-17,30.87,32.03,30.69,31.75,1738000
2023-05-18,31.4,32.76,31.21,32.73,1800900
2023-05-19,33.1,33.1,32.0,32.5,1531400
2023-05-22,32.46,33.32,32.22,32.97,1633900
2023-05-23,33.25,33.63,32.65,33.41,2018200
2023-05-24,33.63,33.8,33.12,33.5,2074200
2023-05-25,32.51,33.0,32.28,32.81,1028600
2023-05-26,33.21,33.21,32.33,32.74,672400
2023-05-30,32.0,32.53,31.8,32.48,1537600
2023-05-31,31.7,32.37,30.87,30.88,1466400
2023-06-01,30.85,32.0,30.85,31.72,1082100
2023-06-02,32.65,33.93,32.2,33.51,2033300
2023-06-05,33.96,34.2,31.93,32.71,1045600
2023-06-06,32.12,33.37,31.92,32.85,964500
2023-06-07,33.22,34.93,32.86,34.86,1994800
2023-06-08,35.0,35.57,34.19,35.03,1906900
2023-06-09,34.78,35.41,34.39,34.8,1085200
2023-06-12,34.02,34.58,33.58,33.64,1362900
2023-06-13,34.27,35.84,34.27,35.26,2369300
2023-06-14,35.66,35.66,33.63,34.06,1576300
2023-06-15,34.28,35.31,34.24,35.25,1996800
2023-06-16,35.63,35.63,34.24,34.61,2770400
2023-06-20,34.33,34.33,33.4,33.86,1187000
2023-06-21,33.61,34.42,33.57,34.09,1081700
2023-06-22,33.59,33.7,32.82,33.5,1061900
2023-06-23,32.83,33.69,32.51,33.6,2087500
2023-06-26,33.81,34.66,33.77,34.34,1189000
2023-06-27,34.2,34.84,33.88,34.3,851700
2023-06-28,34.05,34.41,33.53,34.21,855800
2023-06-29,34.46,35.15,34.3,35.09,1093700
2023-06-30,35.54,35.8,34.85,35.45,1025100
2023-07-03,35.65,36.27,35.48,35.99,593600
2023-07-05,36.25,36.26,35.13,35.25,1010600
2023-07-06,34.92,35.42,33.7,34.28,1138500
2023-07-07,34.14,36.42,34.14,36.21,1784900
2023-07-10,35.36,36.39,35.21,36.07,1434200
2023-07-11,36.31,37.54,35.83,37.44,1590900
2023-07-12,37.99,38.05,37.28,37.35,1146500
2023-07-13,37.28,38.4,37.09,38.31,1352600
2023-07-14,38.21,38.29,37.39,37.54,1474300
2023-07-17,37.16,38.51,36.93,38.26,1460300
2023-07-18,38.42,39.86,38.34,39.44,1083600
2023-07-19,40.08,40.89,39.6,40.79,2232200
2023-07-20,40.92,41.93,40.58,41.19,2185400
2023-07-21,41.2,41.61,40.9,41.13,1505400
2023-07-24,41.23,42.56,41.2,42.26,1191100
2023-07-25,42.03,42.78,41.7,42.47,891400
2023-07-26,41.99,42.98,41.74,42.68,1400200
2023-07-27,43.69,45.28,42.84,44.64,2660500
