Date,Open,High,Low,Close,Volume
2023-01-13,37.36,37.97,37.23,37.85,1149000
2023-01-17,37.88,38.31,37.81,38.16,1452900
2023-01-18,38.3,38.66,38.07,38.49,1456000
2023-01-19,38.43,38.59,37.19,37.25,1945100
2023-01-20,37.43,38.08,37.08,37.44,1365400
2023-01-23,37.56,39.17,37.56,38.5,1727300
2023-01-24,38.53,39.11,38.23,38.66,1128800
2023-01-25,38.47,38.48,37.71,37.82,1487600
2023-01-26,37.94,38.63,37.62,38.56,1099300
2023-01-27,38.48,38.78,38.06,38.25,961700
2023-01-30,38.13,38.56,38.03,38.27,1094500
2023-01-31,38.54,39.03,38.3,38.98,2892800
2023-02-01,38.91,39.66,38.69,39.46,1837300
2023-02-02,39.47,39.73,38.73,39.09,1757000
2023-02-03,39.03,39.74,38.63,39.33,1550000
2023-02-06,39.16,39.67,39.08,39.37,1524000
2023-02-07,39.06,39.67,38.81,39.52,2573900
2023-02-08,40.21,40.21,38.49,39.4,2382600
2023-02-09,39.46,39.46,37.61,37.69,1766000
2023-02-10,37.47,38.93,37.42,38.9,1894800
2023-02-13,38.98,39.76,38.74,39.75,1293800
2023-02-14,39.64,39.69,39.2,39.65,1239000
2023-02-15,39.7,39.8,39.07,39.71,1124900
2023-02-16,39.38,39.59,39.15,39.33,1135900
2023-02-17,39.42,39.55,38.8,39.0,1412200
2023-02-21,38.63,38.79,37.34,37.35,1176000
2023-02-22,37.25,37.88,36.92,37.65,1353100
2023-02-23,37.83,38.21,37.3,37.66,729200
2023-02-24,37.42,37.54,37.04,37.1,956600
2023-02-27,37.42,37.53,36.92,37.07,999900
2023-02-28,36.81,37.36,36.74,36.8,1382400
2023-03-01,36.7,36.83,36.19,36.54,1142500
2023-03-02,36.47,36.72,36.23,36.36,872300
2023-03-03,36.41,36.43,36.03,36.12,1061400
2023-03-06,35.91,36.04,35.55,35.94,1390800
2023-03-07,36.0,36.74,36.0,36.24,1838600
2023-03-08,36.37,37.41,36.28,37.17,2053800
2023-03-09,37.27,37.27,36.12,36.23,1606500
2023-03-10,36.23,36.38,35.37,35.58,1441000
2023-03-13,35.13,35.65,34.66,34.83,1558700
2023-03-14,35.3,35.8,35.05,35.38,1479300
2023-03-15,34.73,34.97,34.33,34.79,1676700
2023-03-16,34.45,35.05,34.19,35.04,1123700
2023-03-17,34.96,34.96,33.95,34.38,5700200
2023-03-20,34.61,35.59,34.54,35.47,1314000
2023-03-21,36.02,36.02,34.98,35.13,1393700
2023-03-22,35.11,35.31,34.13,34.19,1376100
2023-03-23,34.2,34.35,33.13,33.24,1948600
2023-03-24,33.14,34.1,32.91,34.08,1171700
2023-03-27,34.35,34.82,34.23,34.48,1103400
2023-03-28,34.43,34.69,34.21,34.48,985200
2023-03-29,34.74,34.87,34.35,34.36,860900
2023-03-30,34.68,34.78,34.31,34.6,1007000
2023-03-31,34.89,35.33,34.66,35.25,1471500
2023-04-03,35.31,35.5,35.08,35.45,946400
2023-04-04,35.36,35.36,34.01,34.27,1087000
2023-04-05,33.85,34.79,33.72,34.48,961900
2023-04-06,34.64,34.65,33.78,34.01,1234600
2023-04-10,33.81,34.38,33.8,33.89,1211900
2023-04-11,34.09,34.58,33.85,33.9,1651900
2023-04-12,34.2,34.64,34.11,34.43,1951800
2023-04-13,34.42,34.65,34.11,34.42,1146000
2023-04-14,34.42,34.85,34.07,34.35,902300
2023-04-17,34.3,34.45,33.94,34.26,931200
2023-04-18,34.37,34.51,33.71,33.93,1179800
2023-04-19,33.91,33.99,33.6,33.86,783800
2023-04-20,33.7,33.8,33.26,33.59,1734500
2023-04-21,33.91,34.05,33.44,33.9,2187300
2023-04-24,33.91,34.28,33.76,34.0,1435700
2023-04-25,33.94,34.23,33.68,33.88,1126100
2023-04-26,33.86,34.08,33.22,33.32,1062300
2023-04-27,33.34,33.98,33.26,33.97,1097500
2023-04-28,33.92,34.03,33.64,33.91,1259100
2023-05-01,34.1,34.24,33.51,34.08,1286900
2023-05-02,33.81,33.94,32.44,33.09,1542700
