Date,Open,High,Low,Close,Volume
2023-01-13,24.02,24.4,24.02,24.37,56100
2023-01-17,24.33,24.33,23.87,23.98,70500
2023-01-18,24.16,24.29,23.87,23.96,61800
2023-01-19,23.94,24.35,23.84,23.99,54800
2023-01-20,24.16,24.16,23.86,24.02,79600
2023-01-23,23.94,24.16,23.79,24.07,104700
2023-01-24,23.97,24.14,23.72,23.86,91600
2023-01-25,23.77,23.88,23.56,23.77,83000
2023-01-26,23.88,23.88,23.58,23.71,70000
2023-01-27,23.72,23.73,23.37,23.45,73700
2023-01-30,23.38,24.09,23.35,23.83,99200
2023-01-31,23.81,24.24,23.81,24.18,106600
2023-02-01,24.24,24.41,23.81,23.86,147600
2023-02-02,23.9,24.36,23.82,24.36,185500
2023-02-03,24.21,24.95,24.21,24.9,142800
2023-02-06,24.89,24.89,24.32,24.42,86700
2023-02-07,24.23,24.78,23.89,24.76,106100
2023-02-08,24.66,24.68,24.22,24.32,70700
2023-02-09,24.37,24.56,23.98,24.03,118100
2023-02-10,23.95,24.28,23.91,24.19,93400
2023-02-13,24.3,24.6,24.14,24.4,74100
2023-02-14,24.44,24.56,24.25,24.32,128100
2023-02-15,24.16,24.7,24.04,24.52,95500
2023-02-16,24.33,24.96,24.18,24.63,115200
2023-02-17,24.78,24.82,24.39,24.53,417000
2023-02-21,24.6,26.5,24.6,25.72,282300
2023-02-22,25.7,26.06,25.27,25.72,148900
2023-02-23,25.78,26.1,25.52,25.67,189000
2023-02-24,25.41,25.5,25.06,25.3,94200
2023-02-27,25.3,25.51,25.16,25.37,457400
2023-02-28,25.43,25.8,25.25,25.65,479800
2023-03-01,25.54,25.76,25.17,25.44,170200
2023-03-02,25.27,25.79,25.27,25.37,78300
2023-03-03,25.48,25.95,25.25,25.88,82300
2023-03-06,25.92,25.92,25.11,25.29,97300
2023-03-07,25.35,25.93,25.28,25.78,97000
2023-03-08,25.68,25.68,25.35,25.59,77500
2023-03-09,25.65,25.8,25.3,25.34,67700
2023-03-10,25.19,25.29,24.77,25.04,99200
2023-03-13,24.8,25.03,24.56,24.61,97300
2023-03-14,25.0,25.5,25.0,25.47,89000
2023-03-15,25.14,25.51,24.95,25.48,101700
2023-03-16,25.24,26.31,25.06,26.3,145100
