Date,Open,High,Low,Close,Volume
2023-01-13,80.17,80.45,79.15,80.18,252700
2023-01-17,79.15,80.34,78.5,79.06,255700
2023-01-18,79.37,79.37,77.05,77.95,281000
2023-01-19,78.35,78.35,76.27,76.57,315100
2023-01-20,76.81,76.81,75.29,76.24,307700
2023-01-23,75.66,76.52,75.14,75.96,290300
2023-01-24,76.99,78.78,75.62,78.51,265800
2023-01-25,78.4,79.3,77.78,78.19,556500
2023-01-26,78.07,78.59,77.38,77.53,568400
2023-01-27,77.53,77.83,76.64,77.09,463200
2023-01-30,76.75,78.5,75.87,75.95,523700
2023-01-31,76.54,77.69,76.12,77.41,3602500
2023-02-01,77.15,80.14,76.89,79.81,459700
2023-02-02,80.19,81.08,79.55,80.9,272200
2023-02-03,80.41,80.41,78.36,79.83,286100
2023-02-06,79.96,80.49,79.49,80.0,236700
2023-02-07,78.93,79.03,77.34,78.87,302500
2023-02-08,78.49,79.73,78.0,78.03,201200
2023-02-09,78.13,78.92,76.32,76.87,211500
2023-02-10,77.18,77.46,76.82,77.22,147700
2023-02-13,77.57,78.12,77.37,77.67,109100
2023-02-14,77.35,78.01,76.47,76.92,148800
2023-02-15,76.57,77.79,76.05,76.37,192200
2023-02-16,75.77,76.46,74.86,76.18,186800
2023-02-17,76.9,78.02,76.55,77.7,288300
2023-02-21,77.21,77.56,76.68,76.92,180200
2023-02-22,77.28,78.19,76.98,77.32,380000
2023-02-23,76.86,78.58,75.42,77.42,293100
2023-02-24,77.13,78.21,76.35,77.86,259800
2023-02-27,78.05,79.63,77.31,77.74,330900
2023-02-28,77.4,77.94,76.23,76.44,458000
2023-03-01,75.9,75.93,74.17,74.34,347200
2023-03-02,74.0,75.05,73.32,74.5,244700
2023-03-03,74.84,76.12,73.21,75.78,189200
2023-03-06,75.74,76.47,75.28,76.07,176200
2023-03-07,76.41,76.68,75.68,75.94,189100
2023-03-08,76.04,76.22,75.07,76.1,174500
2023-03-09,76.32,76.54,74.92,74.99,227500
2023-03-10,74.89,75.17,73.75,74.41,177700
2023-03-13,74.45,77.74,74.28,75.63,412800
2023-03-14,76.69,77.27,75.82,76.43,317300
2023-03-15,75.85,77.27,75.63,76.36,386200
2023-03-16,75.43,77.19,75.43,76.69,372200
2023-03-17,76.14,77.25,74.97,75.7,1109500
2023-03-20,75.94,77.58,75.93,77.18,306200
2023-03-21,77.58,77.86,72.81,73.37,302000
2023-03-22,73.41,74.51,72.3,72.41,309200
2023-03-23,72.58,73.41,71.42,72.94,196600
2023-03-24,72.84,76.32,72.84,76.0,317700
2023-03-27,76.56,76.98,75.4,75.62,133500
2023-03-28,75.45,76.85,74.98,75.45,143200
2023-03-29,75.83,76.9,75.75,75.94,174200
2023-03-30,76.14,76.88,74.82,75.79,228100
2023-03-31,76.13,76.44,74.94,76.13,255000
2023-04-03,75.89,76.45,74.99,76.15,177000
2023-04-04,75.95,77.19,75.13,77.01,172500
2023-04-05,77.26,79.03,77.26,78.98,173600
2023-04-06,79.61,79.93,78.86,79.42,112400
2023-04-10,79.2,80.04,78.52,79.61,202700
2023-04-11,79.68,81.05,79.23,80.8,156200
2023-04-12,81.34,81.86,80.14,80.26,189400
2023-04-13,79.91,80.48,79.11,79.9,240200
2023-04-14,79.66,79.88,78.36,79.08,148900
2023-04-17,78.88,79.26,77.48,78.43,143100
2023-04-18,78.42,78.67,76.51,77.19,170300
2023-04-19,77.41,78.25,77.01,78.25,147300
2023-04-20,78.32,79.08,77.89,79.01,120000
2023-04-21,79.48,79.48,78.64,78.89,281000
2023-04-24,78.77,79.41,78.04,78.92,136000
2023-04-25,78.71,79.33,78.46,79.06,202300
2023-04-26,77.96,78.66,76.57,77.15,139200
2023-04-27,76.89,77.71,76.23,76.99,179400
2023-04-28,77.25,77.91,75.36,75.92,375000
2023-05-01,78.42,78.42,75.47,75.82,245800
2023-05-02,75.92,76.04,74.29,75.71,179900
2023-05-03,76.03,76.74,75.33,75.53,158500
2023-05-04,75.28,76.35,74.74,76.26,124900
2023-05-05,75.82,77.09,75.82,76.65,158700
2023-05-08,76.48,76.71,75.56,76.4,137400
2023-05-09,76.62,76.73,76.3,76.34,158100
2023-05-10,76.94,77.83,76.21,77.66,123000
2023-05-11,77.25,77.25,75.69,76.18,185600
2023-05-12,74.85,76.91,74.85,75.78,199100
2023-05-15,76.23,76.92,75.21,76.64,159700
2023-05-16,77.02,77.14,74.87,75.17,124200
2023-05-17,75.33,75.91,74.84,75.72,117000
2023-05-18,75.34,75.87,74.8,75.23,124400
2023-05-19,75.9,76.26,74.12,74.22,146300
2023-05-22,74.53,75.76,74.03,75.51,130600
2023-05-23,75.18,76.68,75.18,75.59,127200
2023-05-24,75.25,75.59,74.6,75.26,141000
2023-05-25,74.91,75.08,73.97,74.79,141000
