Date,Open,High,Low,Close,Volume
2023-01-13,34.0,35.11,34.0,34.47,311000
2023-01-17,34.54,34.72,33.71,33.8,262300
2023-01-18,33.82,34.4,33.01,33.21,254100
2023-01-19,33.21,33.95,32.92,33.55,258900
2023-01-20,33.84,34.09,33.29,34.01,248600
2023-01-23,34.16,34.69,33.92,34.1,259200
2023-01-24,34.49,34.49,33.62,33.79,209100
2023-01-25,33.46,34.99,33.31,34.69,412700
2023-01-26,31.81,32.89,30.07,30.37,1508900
2023-01-27,29.91,30.73,29.9,30.49,847500
2023-01-30,29.88,31.07,29.59,29.66,882300
2023-01-31,29.75,31.4,29.75,31.25,991800
2023-02-01,31.25,31.39,29.75,31.25,1018900
2023-02-02,31.62,32.35,31.26,32.18,821400
2023-02-03,31.56,32.27,30.8,30.8,648100
2023-02-06,30.5,31.01,30.36,30.46,564600
2023-02-07,30.31,31.26,30.1,31.21,666000
2023-02-08,31.19,31.51,30.55,31.01,713800
2023-02-09,31.31,31.8,30.3,30.44,420600
2023-02-10,30.32,30.81,30.06,30.75,431500
2023-02-13,30.56,31.16,30.35,31.08,257200
2023-02-14,30.89,31.88,30.45,31.73,456300
2023-02-15,31.38,33.53,31.2,33.49,725300
2023-02-16,33.11,34.16,32.88,33.46,572700
2023-02-17,33.54,33.58,32.71,33.55,528100
2023-02-21,34.99,36.4,34.06,34.07,1172100
2023-02-22,34.04,35.09,33.76,34.5,508900
2023-02-23,34.5,35.35,34.45,35.26,341300
2023-02-24,34.77,35.32,34.25,34.4,671100
2023-02-27,34.54,34.87,33.79,33.79,534000
2023-02-28,33.59,33.93,32.52,33.58,612700
2023-03-01,33.34,33.78,32.75,33.76,436500
2023-03-02,33.43,33.82,33.27,33.74,237400
2023-03-03,34.07,34.33,33.45,34.16,336200
2023-03-06,34.15,34.15,33.17,33.27,347900
2023-03-07,32.97,33.5,31.7,31.9,591200
2023-03-08,31.93,32.06,31.13,31.37,524600
2023-03-09,31.25,31.97,30.93,31.57,451800
2023-03-10,31.38,31.47,30.67,31.04,396300
2023-03-13,30.37,30.41,28.94,28.96,577800
2023-03-14,29.85,30.24,27.85,28.24,719400
2023-03-15,27.4,28.34,27.14,28.16,659900
2023-03-16,27.77,28.77,27.23,28.57,520200
2023-03-17,28.31,28.38,26.78,26.79,880600
2023-03-20,26.99,27.87,26.23,26.71,797600
2023-03-21,27.54,28.46,27.32,27.83,565300
2023-03-22,28.02,28.59,27.48,27.49,308000
2023-03-23,27.54,28.12,27.01,27.26,452600
2023-03-24,27.0,27.43,26.58,27.19,475900
2023-03-27,27.48,27.7,26.97,27.58,394100
2023-03-28,27.58,29.18,27.58,28.34,487000
2023-03-29,28.71,28.71,27.57,28.28,427300
2023-03-30,28.71,29.19,27.77,27.83,531200
2023-03-31,28.01,28.86,27.94,28.75,413500
2023-04-03,28.84,29.45,28.0,28.57,560500
2023-04-04,28.86,28.86,27.8,27.86,369800
2023-04-05,27.6,27.72,27.23,27.33,367400
2023-04-06,27.42,27.57,26.67,26.73,344800
2023-04-10,26.8,28.4,26.71,27.29,579600
2023-04-11,27.35,28.44,27.35,28.3,318600
2023-04-12,28.64,28.74,27.18,27.33,356000
2023-04-13,27.54,27.65,26.87,27.39,365300
2023-04-14,27.69,28.55,27.46,27.68,287900
2023-04-17,27.59,28.3,27.4,28.16,323800
2023-04-18,28.18,28.38,27.77,27.79,256100
2023-04-19,27.67,28.05,27.29,28.01,293700
2023-04-20,27.65,27.98,27.56,27.98,263300
2023-04-21,27.98,28.13,27.43,27.91,394500
2023-04-24,27.88,28.0,27.19,27.5,305300
2023-04-25,27.21,27.21,26.45,26.72,461700
2023-04-26,26.61,27.15,26.27,26.53,457700
2023-04-27,25.66,29.24,25.6,27.6,1692700
2023-04-28,27.4,29.5,27.4,29.12,895000
2023-05-01,28.63,28.83,27.76,28.0,593000
2023-05-02,27.94,28.27,27.06,28.0,559100
2023-05-03,28.07,28.87,27.95,28.0,377600
2023-05-04,27.82,28.52,27.69,27.94,601800
2023-05-05,28.46,29.11,28.39,28.88,359400
2023-05-08,29.04,29.04,28.0,28.74,309000
2023-05-09,28.51,29.11,28.24,28.41,343900
2023-05-10,28.96,28.97,27.79,28.14,472200
2023-05-11,28.0,28.19,27.82,28.0,234800
2023-05-12,28.16,28.26,27.3,27.61,309200
2023-05-15,27.66,28.2,27.44,28.0,379900
2023-05-16,27.67,27.93,27.18,27.72,376600
2023-05-17,27.86,28.81,27.71,28.76,277200
2023-05-18,28.78,29.04,28.4,28.95,204500
2023-05-19,28.99,29.14,27.92,28.07,249400
2023-05-22,28.15,28.33,27.86,28.2,186000
2023-05-23,28.03,29.59,27.98,29.01,306400
