Date,Open,High,Low,Close,Volume
2023-01-13,29.56,31.34,29.56,30.85,221500
2023-01-17,30.73,31.21,30.2,31.03,169700
2023-01-18,31.89,32.9,30.8,31.44,240600
2023-01-19,31.19,31.35,30.25,31.07,157200
2023-01-20,31.6,32.0,30.99,31.97,146300
2023-01-23,32.09,33.86,31.816,33.31,175100
2023-01-24,32.81,33.225,32.61,33.1,85400
2023-01-25,32.47,34.03,32.365,33.95,156500
2023-01-26,34.25,34.5,32.99,34.3,297700
2023-01-27,33.49,34.6,33.49,33.94,169200
2023-01-30,33.36,33.615,32.5,32.55,147300
2023-01-31,32.54,34.19,32.5,33.8,235200
2023-02-01,34.06,36.44,34.06,35.91,231400
2023-02-02,36.2,37.68,36.2,37.13,242000
2023-02-03,36.06,37.43,35.781,36.04,196100
2023-02-06,35.51,36.115,35.0,35.55,145500
2023-02-07,35.36,35.92,34.77,35.67,228100
2023-02-08,36.41,39.73,36.29,37.14,493300
2023-02-09,37.78,37.956,35.565,35.8,186400
2023-02-10,35.17,35.552,34.4,35.24,129100
2023-02-13,35.27,35.7,35.03,35.69,115300
2023-02-14,35.07,35.97,34.75,35.68,141500
2023-02-15,35.12,36.21,34.91,36.13,93800
2023-02-16,35.43,35.94,35.2,35.31,98400
2023-02-17,35.35,35.35,34.02,34.45,169600
2023-02-21,33.57,34.08,32.46,32.51,127300
2023-02-22,32.91,33.895,32.475,32.84,272700
2023-02-23,33.75,34.18,32.41,32.86,240200
2023-02-24,32.13,32.66,31.84,32.42,214400
2023-02-27,32.85,33.11,32.385,32.61,173500
2023-02-28,32.56,33.3,32.43,32.95,818100
2023-03-01,33.09,33.7,32.82,32.87,125100
2023-03-02,32.4,32.615,31.672,32.44,133600
2023-03-03,32.7,32.89,31.73,32.75,145900
2023-03-06,32.75,32.87,31.18,31.39,228200
2023-03-07,31.36,31.74,30.48,30.93,183900
2023-03-08,31.03,31.99,31.03,31.37,159100
2023-03-09,31.7,32.4,31.13,31.15,145300
2023-03-10,31.25,31.31,29.535,30.03,168000
2023-03-13,29.38,30.26,29.315,29.51,213200
2023-03-14,30.35,31.1,29.474,29.98,187300
2023-03-15,29.24,29.45,28.65,29.22,151100
2023-03-16,28.83,30.62,28.5,30.3,159200
2023-03-17,30.22,30.73,29.42,29.59,459100
2023-03-20,29.97,30.17,29.475,29.85,177300
2023-03-21,30.35,30.83,29.67,29.89,117900
2023-03-22,29.86,30.78,29.37,29.43,123900
2023-03-23,29.81,30.74,29.81,30.47,171200
2023-03-24,30.02,30.34,29.71,30.26,200900
2023-03-27,30.5,30.545,29.86,30.29,112600
2023-03-28,30.07,30.87,29.115,29.66,171200
2023-03-29,30.19,30.68,29.76,30.52,86100
2023-03-30,30.92,31.4,30.86,31.26,63700
2023-03-31,31.2,32.83,31.2,32.74,248700
2023-04-03,32.57,33.18,32.25,32.77,242600
2023-04-04,32.86,32.86,30.105,30.2,159400
2023-04-05,29.88,29.88,29.19,29.7,94500
2023-04-06,29.55,29.865,29.046,29.55,90300
2023-04-10,29.11,30.45,29.11,30.32,118700
2023-04-11,30.57,30.875,30.155,30.21,95300
2023-04-12,30.82,30.82,29.56,29.69,87700
2023-04-13,29.79,29.79,29.33,29.49,119600
2023-04-14,29.52,30.12,29.375,29.48,131700
2023-04-17,28.88,29.53,28.66,29.36,85900
