Date,Open,High,Low,Close,Volume
2023-02-03,20.475,20.82,19.66,20.435,58400
2023-02-06,19.955,20.745,19.955,20.605,34000
2023-02-07,20.675,21.135,20.51,21.05,47200
2023-02-08,20.77,21.29,20.41,20.94,68200
2023-02-09,20.955,21.295,20.48,20.78,60000
2023-02-10,20.645,20.645,20.23,20.235,40800
2023-02-13,20.165,20.8,20.165,20.635,41200
2023-02-14,20.43,20.66,20.155,20.525,33600
2023-02-15,20.255,21.14,20.255,20.945,50600
2023-02-16,20.86,22.05,20.85,21.12,58800
2023-02-17,21.235,22.0,20.94,21.27,98000
2023-02-21,21.0,21.15,20.315,20.335,117800
2023-02-22,20.53,20.925,20.2,20.76,42800
2023-02-23,20.845,21.15,20.02,20.9,53400
2023-02-24,20.715,21.545,20.3,21.46,72200
2023-02-27,21.67,21.75,21.02,21.1,73000
2023-02-28,21.09,21.29,20.935,21.03,97600
2023-03-01,21.2,21.61,21.15,21.58,69400
2023-03-02,21.39,21.97,21.39,21.78,65800
2023-03-03,22.05,22.49,21.93,22.25,40600
2023-03-06,22.135,22.265,21.47,21.605,119800
2023-03-07,21.555,22.57,21.555,22.445,85800
2023-03-08,22.605,22.785,22.12,22.54,62200
2023-03-09,22.62,23.0,21.95,22.12,34400
2023-03-10,21.915,21.975,20.995,21.06,46400
2023-03-13,20.615,21.135,20.22,21.02,46400
2023-03-14,21.475,21.965,21.245,21.795,57400
2023-03-15,21.42,21.42,20.66,20.95,43800
2023-03-16,20.585,21.47,20.43,21.245,35000
2023-03-17,20.955,20.955,20.635,20.78,103600
2023-03-20,21.07,21.185,20.61,20.835,67800
2023-03-21,21.295,21.295,20.87,21.18,73000
2023-03-22,20.96,21.175,20.49,20.51,70600
2023-03-23,20.455,21.17,20.455,20.735,69400
2023-03-24,20.605,21.435,20.4,21.39,85600
2023-03-27,21.73,21.875,21.1,21.54,75600
2023-03-28,21.285,21.9,21.23,21.755,101800
2023-03-29,21.97,21.97,21.475,21.575,44400
2023-03-30,21.49,21.595,20.775,20.925,39800
2023-03-31,20.925,21.585,20.925,21.545,125200
2023-04-03,21.64,22.08,21.52,21.93,69400
2023-04-04,22.04,22.04,20.925,20.98,89600
2023-04-05,20.8,20.86,20.025,20.235,79800
2023-04-06,20.1,20.63,20.0,20.265,46400
2023-04-10,20.08,20.58,20.08,20.295,70200
2023-04-11,20.385,20.795,20.295,20.45,71000
2023-04-12,20.455,20.785,20.425,20.505,57600
2023-04-13,20.69,20.96,20.355,20.915,49000
2023-04-14,21.045,21.355,20.88,20.955,81600
2023-04-17,21.015,21.425,20.9,21.36,69800
2023-04-18,21.51,21.56,21.065,21.125,40600
2023-04-19,20.925,21.36,20.925,21.175,32800
2023-04-20,21.145,21.805,21.145,21.805,58400
2023-04-21,21.745,21.915,21.415,21.45,63400
2023-04-24,21.45,21.845,21.45,21.605,31200
2023-04-25,21.48,21.985,21.48,21.76,54000
2023-04-26,21.6,21.715,20.8,21.15,73600
2023-04-27,21.3,21.555,21.265,21.48,30400
2023-04-28,21.285,21.92,21.19,21.595,81800
2023-05-01,21.71,22.01,21.605,21.905,42400
2023-05-02,21.825,22.235,21.515,22.15,85600
2023-05-03,22.19,23.35,21.795,22.635,67000
2023-05-04,22.635,22.635,21.22,21.52,202000
2023-05-05,21.885,22.08,21.625,21.875,49200
2023-05-08,21.875,22.305,21.87,21.96,49200
2023-05-09,21.955,22.2,21.6,22.135,204400
2023-05-10,22.75,24.71,22.75,24.56,67200
2023-05-11,24.55,24.55,23.475,23.49,58400
2023-05-12,23.66,23.965,23.29,23.44,51000
2023-05-15,23.715,24.26,23.63,24.125,250000
2023-05-16,24.05,24.6,23.835,24.295,64000
2023-05-17,24.345,25.32,24.31,25.175,87800
2023-05-18,25.175,25.25,24.54,25.115,61200
2023-05-19,25.155,25.415,24.92,25.19,41000
2023-05-22,25.215,25.62,24.9,24.99,70600
2023-05-23,25.0,25.55,24.895,25.185,54600
2023-05-24,25.035,25.035,24.36,24.365,40600
2023-05-25,24.37,24.595,24.08,24.245,46000
2023-05-26,24.14,24.22,23.675,23.94,76200
2023-05-30,24.11,24.2,23.605,23.695,61800
2023-05-31,23.65,23.9,23.23,23.71,172200
2023-06-01,23.86,24.34,23.54,24.23,45400
2023-06-02,24.52,25.625,24.165,25.465,75200
2023-06-05,25.42,25.42,24.7,25.21,42400
2023-06-06,25.265,26.19,25.265,25.99,71200
2023-06-07,26.17,26.73,26.155,26.655,71400
2023-06-08,26.645,26.645,26.015,26.2,53600
2023-06-09,26.23,26.595,26.01,26.49,42200
